Date,Open,High,Low,Close,Volume
31-Mar-17,10.19,10.19,10.19,10.19,272
30-Mar-17,10.45,10.45,9.85,10.23,11320
29-Mar-17,10.35,10.36,10.03,10.23,1306
28-Mar-17,10.42,10.43,10.05,10.28,1425
27-Mar-17,-,-,-,10.49,0
24-Mar-17,-,-,-,10.49,0
23-Mar-17,-,-,-,10.49,0
22-Mar-17,-,-,-,10.49,0
21-Mar-17,10.49,10.49,10.49,10.49,156
20-Mar-17,10.77,10.77,10.49,10.49,593
17-Mar-17,10.58,10.58,10.58,10.58,175
16-Mar-17,10.68,10.68,10.05,10.08,994
15-Mar-17,10.77,10.81,10.41,10.73,2532
14-Mar-17,-,-,-,10.91,0
13-Mar-17,-,-,-,10.91,0
10-Mar-17,11.02,11.04,10.90,10.91,3203
9-Mar-17,10.80,10.82,10.80,10.82,1351
8-Mar-17,11.10,11.10,11.10,11.10,212
7-Mar-17,-,-,-,11.00,0
6-Mar-17,11.01,11.01,9.75,11.00,884
3-Mar-17,-,-,-,11.12,0
2-Mar-17,11.20,11.20,11.12,11.12,287
1-Mar-17,11.15,11.26,10.99,11.26,2383
28-Feb-17,10.80,10.94,10.76,10.94,5083
27-Feb-17,10.66,10.75,10.66,10.72,625
24-Feb-17,10.81,10.81,10.77,10.77,1181
23-Feb-17,10.40,10.61,10.40,10.61,482
22-Feb-17,11.25,11.26,11.25,11.25,5069
21-Feb-17,-,-,-,11.26,0
17-Feb-17,11.25,11.29,11.25,11.26,328
16-Feb-17,11.10,12.89,11.10,11.42,4993
15-Feb-17,11.00,11.06,11.00,11.06,5404
14-Feb-17,11.03,11.03,11.00,11.01,1234
13-Feb-17,10.69,11.08,10.69,11.06,3809
10-Feb-17,10.16,10.16,10.16,10.16,346
9-Feb-17,9.78,10.40,9.78,10.24,3288
8-Feb-17,10.23,10.23,10.23,10.23,266
7-Feb-17,10.13,10.22,10.13,10.13,1362
6-Feb-17,10.10,10.26,9.75,10.25,23817
3-Feb-17,10.00,10.13,10.00,10.13,763
2-Feb-17,9.56,10.28,9.56,10.28,942
1-Feb-17,-,-,-,10.44,0
31-Jan-17,10.34,10.44,10.04,10.44,3926
30-Jan-17,-,-,-,10.22,0
27-Jan-17,10.22,10.22,10.22,10.22,116
26-Jan-17,10.22,10.36,10.22,10.36,1105
25-Jan-17,10.29,10.53,10.28,10.53,1765
24-Jan-17,10.22,10.26,10.20,10.21,1141
23-Jan-17,10.27,10.29,10.27,10.29,463
20-Jan-17,10.38,10.38,10.38,10.38,518
19-Jan-17,10.50,10.56,10.30,10.56,1083
18-Jan-17,10.72,10.72,10.18,10.18,667
17-Jan-17,10.71,10.71,10.50,10.51,9947
13-Jan-17,10.98,10.98,10.98,10.98,475
12-Jan-17,10.98,11.00,10.53,10.82,16691
11-Jan-17,11.00,11.00,10.62,10.88,2352
10-Jan-17,11.12,11.22,11.08,11.10,3133
9-Jan-17,11.30,11.44,11.30,11.44,1560
5-Jan-17,11.29,11.33,11.03,11.03,2642
4-Jan-17,11.45,11.45,10.75,10.75,2356
3-Jan-17,11.60,11.60,10.50,11.16,8448
30-Dec-16,11.60,11.90,11.60,11.90,550
29-Dec-16,11.91,12.03,11.58,11.99,7578
28-Dec-16,12.30,12.39,12.20,12.20,5558
27-Dec-16,11.80,11.80,10.81,11.33,3701
23-Dec-16,11.11,11.16,11.10,11.13,1201
22-Dec-16,11.09,11.09,11.05,11.05,483
21-Dec-16,11.04,11.04,11.04,11.04,2139
20-Dec-16,10.96,11.11,10.96,11.11,777
19-Dec-16,11.39,11.39,11.26,11.26,713
15-Dec-16,11.00,11.00,11.00,11.00,708
14-Dec-16,11.50,11.98,11.10,11.15,2409
12-Dec-16,11.74,11.74,11.70,11.70,415
8-Dec-16,11.68,11.68,11.53,11.53,1454
6-Dec-16,11.80,11.80,11.49,11.49,1914
5-Dec-16,11.16,11.40,11.16,11.40,635
1-Dec-16,10.58,10.58,10.58,10.58,203
30-Nov-16,11.75,11.98,11.75,11.88,1587
29-Nov-16,11.45,11.58,11.45,11.58,827
28-Nov-16,11.54,11.55,11.54,11.55,1447
23-Nov-16,11.64,12.00,11.64,11.95,1439
22-Nov-16,11.27,11.75,11.27,11.45,3716
21-Nov-16,10.63,10.95,10.61,10.95,2434
17-Nov-16,10.81,10.91,10.81,10.91,1167
16-Nov-16,11.34,11.34,11.33,11.33,586
15-Nov-16,11.07,11.26,11.00,11.03,3464
11-Nov-16,11.24,11.24,11.08,11.08,630
10-Nov-16,10.99,11.81,10.99,11.24,681
7-Nov-16,12.01,12.30,12.01,12.01,1198
4-Nov-16,11.51,11.78,11.40,11.43,4104
3-Nov-16,11.77,11.77,11.54,11.56,579
31-Oct-16,12.01,12.01,12.01,12.01,154
27-Oct-16,12.48,12.48,12.39,12.40,962
26-Oct-16,12.35,12.35,12.25,12.25,1139
25-Oct-16,12.19,12.19,12.19,12.19,847
21-Oct-16,12.10,12.31,12.10,12.20,3475
20-Oct-16,11.80,11.92,11.80,11.88,2214
19-Oct-16,12.72,12.72,12.72,12.72,119
18-Oct-16,12.62,12.72,12.62,12.72,1614
17-Oct-16,12.50,12.50,12.50,12.50,116
13-Oct-16,12.80,12.95,12.80,12.95,1360
12-Oct-16,12.64,12.64,12.64,12.64,231
11-Oct-16,12.75,12.90,12.75,12.90,843
10-Oct-16,12.29,13.41,12.29,13.00,9161
7-Oct-16,12.59,12.59,12.59,12.59,191
6-Oct-16,13.55,13.55,13.55,13.55,114
5-Oct-16,13.27,13.27,13.27,13.27,571
4-Oct-16,13.56,13.56,12.71,13.49,1480
3-Oct-16,13.00,14.10,12.90,12.97,3731
30-Sep-16,13.00,13.03,13.00,13.00,1400
29-Sep-16,13.00,13.10,13.00,13.00,2484
28-Sep-16,13.00,13.00,13.00,13.00,331
22-Sep-16,13.44,13.44,13.01,13.07,1212
21-Sep-16,13.15,13.26,13.15,13.26,398
20-Sep-16,13.12,13.12,13.11,13.12,724
19-Sep-16,13.21,13.21,13.02,13.02,812
16-Sep-16,12.52,12.52,12.52,12.52,100
15-Sep-16,12.86,12.86,12.86,12.86,1162
14-Sep-16,12.63,12.63,12.30,12.30,944
13-Sep-16,13.10,13.18,12.73,12.73,3939
12-Sep-16,13.14,13.14,13.08,13.09,899
9-Sep-16,13.20,13.61,13.15,13.15,1235
8-Sep-16,13.50,13.50,13.50,13.50,111
7-Sep-16,13.81,13.82,13.81,13.82,1015
6-Sep-16,13.56,13.64,13.23,13.32,4000
2-Sep-16,13.89,13.90,13.50,13.84,3086
1-Sep-16,14.03,14.24,13.34,13.71,10416
31-Aug-16,13.84,14.07,13.75,13.75,5247
30-Aug-16,13.63,13.79,13.63,13.64,2802
29-Aug-16,13.63,13.64,13.51,13.51,2011
25-Aug-16,13.62,13.62,13.61,13.62,520
24-Aug-16,13.64,13.64,13.26,13.26,773
23-Aug-16,13.65,13.65,13.65,13.65,100
