Date,Open,High,Low,Close,Volume
31-Mar-17,9.00,9.00,8.85,8.85,13574
30-Mar-17,9.35,9.35,8.80,9.00,8116
29-Mar-17,9.05,9.18,8.85,9.18,6278
28-Mar-17,9.00,9.00,8.95,8.95,2293
27-Mar-17,8.50,9.10,8.50,9.00,8506
24-Mar-17,8.85,8.85,8.55,8.65,25731
23-Mar-17,8.90,9.05,8.76,8.80,8253
22-Mar-17,8.95,9.07,8.80,9.00,8197
21-Mar-17,8.95,9.05,8.80,8.85,9692
20-Mar-17,8.95,8.95,8.75,8.85,3290
17-Mar-17,8.93,8.95,8.75,8.90,11528
16-Mar-17,9.08,9.10,9.00,9.05,4320
15-Mar-17,8.85,9.00,8.75,8.90,13288
14-Mar-17,9.00,9.00,8.75,8.90,8945
13-Mar-17,9.15,9.35,9.00,9.00,29863
10-Mar-17,8.90,9.05,8.86,9.05,15685
9-Mar-17,9.20,9.20,8.86,8.95,19796
8-Mar-17,9.25,9.30,9.20,9.21,3037
7-Mar-17,9.60,9.75,9.00,9.15,19662
6-Mar-17,9.30,9.75,9.22,9.55,20181
3-Mar-17,8.90,9.40,8.85,9.40,18106
2-Mar-17,8.85,9.45,8.85,8.90,35390
1-Mar-17,8.75,8.75,8.60,8.74,13264
28-Feb-17,8.45,8.70,8.38,8.55,51328
27-Feb-17,7.85,8.45,7.85,8.45,38072
24-Feb-17,7.83,8.02,7.72,7.95,20383
23-Feb-17,7.70,7.85,7.70,7.75,4712
22-Feb-17,7.80,7.85,7.70,7.80,18998
21-Feb-17,7.85,7.90,7.60,7.78,6160
17-Feb-17,7.90,7.90,7.60,7.85,7167
16-Feb-17,7.80,8.00,7.80,7.85,3990
15-Feb-17,8.05,8.05,7.85,7.90,10926
14-Feb-17,8.10,8.15,7.95,8.05,2897
13-Feb-17,8.35,8.35,8.00,8.10,14236
10-Feb-17,8.40,8.45,8.25,8.40,10762
9-Feb-17,8.05,8.50,8.00,8.40,16964
8-Feb-17,8.00,8.15,8.00,8.10,4514
7-Feb-17,8.00,8.10,8.00,8.08,4028
6-Feb-17,8.15,8.15,7.90,8.00,17566
3-Feb-17,8.20,8.25,7.95,8.00,34751
2-Feb-17,8.05,8.20,8.05,8.10,5744
1-Feb-17,8.10,8.10,7.96,8.05,21067
31-Jan-17,8.10,8.20,7.90,7.90,5397
30-Jan-17,8.30,8.40,8.00,8.15,15473
27-Jan-17,8.40,8.45,8.25,8.25,7419
26-Jan-17,8.50,8.50,8.20,8.45,15524
25-Jan-17,8.15,8.30,8.05,8.25,52881
24-Jan-17,8.15,8.30,8.00,8.05,28893
23-Jan-17,8.00,8.30,7.90,8.10,63845
20-Jan-17,7.55,8.00,7.50,7.80,115463
19-Jan-17,7.54,7.65,7.50,7.50,10310
18-Jan-17,7.35,7.55,7.29,7.45,47517
17-Jan-17,7.50,7.82,7.00,7.30,85417
13-Jan-17,7.35,7.40,7.20,7.28,2851
12-Jan-17,7.45,7.50,7.20,7.45,11755
11-Jan-17,7.40,7.40,7.35,7.35,419
