Date,Open,High,Low,Close,Volume
31-Mar-17,28.25,28.70,27.90,28.05,196151
30-Mar-17,28.15,28.45,27.95,28.40,86868
29-Mar-17,27.95,28.35,27.90,28.20,124210
28-Mar-17,27.80,28.25,27.45,28.02,177849
27-Mar-17,28.60,29.12,27.70,27.90,224253
24-Mar-17,28.75,29.50,27.55,28.85,365129
23-Mar-17,27.65,29.15,27.45,28.60,237878
22-Mar-17,27.75,28.45,27.33,27.65,201000
21-Mar-17,28.45,28.60,27.72,27.85,223158
20-Mar-17,26.50,28.78,26.40,28.25,321617
17-Mar-17,26.55,28.05,26.45,27.00,670824
16-Mar-17,27.50,28.15,27.15,28.05,151688
15-Mar-17,26.80,27.45,26.46,27.35,122307
14-Mar-17,26.75,27.55,26.35,26.65,130842
13-Mar-17,26.10,27.00,26.10,26.95,93838
10-Mar-17,26.15,26.25,25.80,26.15,128641
9-Mar-17,25.95,26.10,25.65,25.95,126931
8-Mar-17,25.95,26.20,25.50,26.00,200972
7-Mar-17,26.55,26.95,25.55,25.85,242872
6-Mar-17,26.60,28.02,26.30,26.55,194846
3-Mar-17,27.45,27.70,26.25,26.85,197365
2-Mar-17,28.20,28.20,27.25,27.45,120400
1-Mar-17,28.45,28.65,28.00,28.25,192283
28-Feb-17,29.00,29.00,27.75,28.10,332581
27-Feb-17,29.10,29.35,28.55,29.05,206857
24-Feb-17,29.45,29.75,28.85,29.10,158924
23-Feb-17,29.90,29.95,29.38,29.65,98386
22-Feb-17,28.80,29.90,28.70,29.85,174014
21-Feb-17,29.10,29.50,28.45,28.80,136579
17-Feb-17,28.60,29.00,28.25,29.00,156996
16-Feb-17,27.85,28.70,27.82,28.45,149603
15-Feb-17,27.75,27.95,27.55,27.90,103237
14-Feb-17,27.35,27.80,27.15,27.75,117272
13-Feb-17,27.75,27.88,27.30,27.50,95799
10-Feb-17,26.75,27.70,26.50,27.65,93817
9-Feb-17,26.40,26.75,26.40,26.70,95064
8-Feb-17,26.60,27.20,26.10,26.30,120281
7-Feb-17,26.90,26.95,26.60,26.75,154625
6-Feb-17,27.30,27.30,26.75,26.80,179762
3-Feb-17,27.05,27.50,26.75,27.30,178100
2-Feb-17,26.35,27.00,26.25,26.80,189798
1-Feb-17,27.40,27.70,25.35,26.30,440763
31-Jan-17,27.50,27.95,27.15,27.25,146002
30-Jan-17,27.80,28.00,27.50,27.65,172696
27-Jan-17,27.50,28.05,27.10,27.95,142803
26-Jan-17,27.00,27.45,26.80,27.40,85171
25-Jan-17,27.25,27.30,26.70,27.05,108076
24-Jan-17,26.75,27.25,26.25,26.95,213409
23-Jan-17,26.20,26.75,26.20,26.70,78811
20-Jan-17,26.15,26.50,26.15,26.25,112331
19-Jan-17,26.40,26.55,25.90,26.15,139758
18-Jan-17,26.80,27.35,26.12,26.40,215356
17-Jan-17,27.10,27.40,26.49,26.80,173651
13-Jan-17,27.45,27.75,26.85,27.15,208415
12-Jan-17,27.60,27.80,26.45,27.40,194000
11-Jan-17,28.00,28.80,27.50,27.65,177657
10-Jan-17,27.85,28.02,26.65,27.95,295640
9-Jan-17,29.10,29.15,27.70,28.00,334019
6-Jan-17,30.85,31.05,29.00,29.15,146849
5-Jan-17,29.95,31.10,29.65,30.85,264223
4-Jan-17,29.00,30.20,28.65,30.00,227884
3-Jan-17,27.60,29.85,27.15,28.90,382433
30-Dec-16,29.05,29.05,26.82,27.30,234048
29-Dec-16,28.95,29.35,28.58,28.95,120230
28-Dec-16,29.50,29.50,28.60,28.80,136662
27-Dec-16,28.20,29.85,28.20,29.40,154501
23-Dec-16,28.00,28.70,27.92,28.30,97316
22-Dec-16,27.95,28.15,27.55,28.00,85120
21-Dec-16,28.10,28.70,27.90,27.90,136132
20-Dec-16,27.65,28.22,27.25,28.00,118026
19-Dec-16,27.65,28.20,27.45,27.65,171237
16-Dec-16,28.00,28.65,27.52,27.65,812495
15-Dec-16,27.85,28.45,27.65,28.15,176414
14-Dec-16,28.20,28.35,27.60,27.75,171735
13-Dec-16,28.00,28.30,27.70,28.10,195463
12-Dec-16,29.80,29.80,27.78,27.80,193983
9-Dec-16,29.95,30.20,29.70,30.00,205903
8-Dec-16,28.75,30.00,28.65,29.95,221729
7-Dec-16,27.80,29.02,27.70,28.80,143927
6-Dec-16,27.30,27.85,27.10,27.65,138515
5-Dec-16,26.95,27.35,26.70,27.25,202975
2-Dec-16,27.15,27.70,26.90,26.95,195191
1-Dec-16,28.00,28.65,26.90,27.10,194548
30-Nov-16,28.65,28.90,27.70,28.05,217432
29-Nov-16,28.70,28.85,28.45,28.65,120425
28-Nov-16,27.90,28.70,27.82,28.65,164604
25-Nov-16,28.00,28.40,27.75,27.90,60650
23-Nov-16,27.55,28.20,27.45,27.95,107954
22-Nov-16,27.15,27.80,27.10,27.75,137480
21-Nov-16,26.80,27.15,26.30,27.10,158560
18-Nov-16,25.65,26.70,25.65,26.65,193423
17-Nov-16,25.85,26.15,25.65,25.65,194530
16-Nov-16,25.95,26.10,24.95,25.75,176885
15-Nov-16,26.10,26.40,25.70,25.95,179425
14-Nov-16,26.50,26.65,25.95,26.20,263296
11-Nov-16,25.45,26.55,24.90,26.20,288038
10-Nov-16,25.20,25.65,24.10,25.35,355684
9-Nov-16,23.95,25.05,23.60,24.95,247942
8-Nov-16,24.50,24.65,23.55,24.45,372778
7-Nov-16,24.15,24.95,22.05,23.55,525866
4-Nov-16,24.30,25.75,24.16,25.30,273506
3-Nov-16,24.20,24.50,23.80,24.35,172424
2-Nov-16,25.50,25.60,23.85,24.10,340946
1-Nov-16,26.35,26.60,25.50,25.65,154071
31-Oct-16,26.40,26.55,26.05,26.40,214678
28-Oct-16,26.30,26.72,26.00,26.20,120452
27-Oct-16,26.20,26.40,25.75,26.10,106693
26-Oct-16,26.35,26.55,25.80,26.00,114514
25-Oct-16,26.45,26.75,26.30,26.45,125417
24-Oct-16,26.10,26.75,26.10,26.30,117815
21-Oct-16,25.55,26.05,25.45,26.00,136891
20-Oct-16,25.90,26.00,25.33,25.85,108313
19-Oct-16,26.70,26.70,25.98,26.05,169676
18-Oct-16,25.55,26.90,25.45,26.55,243590
17-Oct-16,25.70,26.05,25.20,25.60,201280
14-Oct-16,25.91,26.41,25.82,25.83,110416
13-Oct-16,25.64,26.18,25.53,25.94,179743
12-Oct-16,26.10,26.26,25.79,25.89,147897
11-Oct-16,26.50,26.98,25.89,26.02,186665
10-Oct-16,26.01,26.74,25.70,26.53,154823
7-Oct-16,26.10,26.13,25.41,25.97,208012
6-Oct-16,26.13,26.26,25.93,26.09,117236
5-Oct-16,26.24,26.25,25.82,26.19,225256
4-Oct-16,26.70,27.02,25.93,26.20,309653
3-Oct-16,27.20,27.22,26.46,26.63,384479
30-Sep-16,27.74,27.83,27.14,27.21,542902
29-Sep-16,27.04,27.61,26.87,27.60,238286
28-Sep-16,27.19,27.36,27.00,27.26,183829
27-Sep-16,26.88,27.30,26.63,27.19,170226
26-Sep-16,27.15,27.17,26.84,26.97,176863
23-Sep-16,27.13,27.35,26.94,27.25,180902
22-Sep-16,27.22,27.51,26.64,27.31,344041
21-Sep-16,26.35,27.08,26.11,27.04,355423
20-Sep-16,26.60,26.63,26.14,26.26,240378
19-Sep-16,26.46,26.58,25.93,26.44,263878
16-Sep-16,26.39,26.44,25.99,26.24,1109073
15-Sep-16,25.80,26.32,25.73,26.31,330401
14-Sep-16,25.95,26.00,25.52,25.82,285994
13-Sep-16,26.64,26.72,25.64,26.08,379952
12-Sep-16,25.55,27.22,25.49,26.95,587621
9-Sep-16,25.35,25.70,25.28,25.57,480021
8-Sep-16,25.46,25.66,25.36,25.58,218101
