Date,Open,High,Low,Close,Volume
31-Mar-17,18.60,19.15,18.60,19.00,164472
30-Mar-17,19.15,19.15,18.55,18.65,104759
29-Mar-17,18.70,19.18,18.60,19.15,87386
28-Mar-17,18.70,18.90,18.15,18.72,102084
27-Mar-17,18.10,18.75,18.05,18.75,125785
24-Mar-17,18.20,18.45,18.20,18.25,127253
23-Mar-17,18.10,18.45,18.00,18.15,131477
22-Mar-17,18.30,18.75,18.05,18.10,115205
21-Mar-17,18.50,18.65,18.15,18.35,114165
20-Mar-17,18.30,18.65,17.85,18.45,118227
17-Mar-17,18.15,18.50,17.90,18.40,667451
16-Mar-17,18.00,18.45,17.95,18.25,110785
15-Mar-17,18.00,18.25,17.85,18.00,134883
14-Mar-17,18.25,18.30,17.85,18.05,72174
13-Mar-17,17.50,18.20,17.45,18.20,127093
10-Mar-17,17.85,17.90,17.40,17.50,60563
9-Mar-17,17.50,17.85,17.40,17.70,89342
8-Mar-17,18.05,18.15,17.50,17.55,84342
7-Mar-17,18.15,18.30,17.90,18.00,61742
6-Mar-17,18.00,19.00,17.80,18.15,123129
3-Mar-17,18.80,19.05,18.05,18.15,94162
2-Mar-17,18.95,19.15,17.70,18.80,130184
1-Mar-17,18.55,19.00,18.05,18.95,143368
28-Feb-17,19.00,19.15,17.90,18.20,227019
27-Feb-17,18.90,19.15,18.60,19.05,112181
24-Feb-17,18.95,19.15,18.80,18.90,104254
23-Feb-17,19.15,19.25,18.95,19.05,56833
22-Feb-17,18.90,19.20,18.75,19.05,52073
21-Feb-17,18.95,19.12,18.70,19.00,78772
17-Feb-17,19.25,19.30,18.85,19.10,170074
16-Feb-17,19.05,19.55,19.05,19.20,78260
15-Feb-17,19.15,19.30,18.90,19.15,53796
14-Feb-17,19.10,19.40,19.00,19.25,205595
13-Feb-17,19.55,19.55,19.00,19.15,119488
10-Feb-17,19.50,19.70,19.15,19.45,85797
9-Feb-17,18.65,19.52,18.65,19.35,133230
8-Feb-17,18.45,18.90,18.40,18.60,115204
7-Feb-17,18.95,18.95,18.30,18.45,176617
6-Feb-17,18.80,19.18,18.65,19.00,121201
3-Feb-17,18.80,19.20,18.65,18.75,187152
2-Feb-17,19.15,19.28,18.60,18.70,186535
1-Feb-17,20.80,20.95,18.50,19.30,453021
31-Jan-17,20.60,20.95,20.55,20.55,106139
30-Jan-17,20.60,20.70,20.35,20.60,87400
27-Jan-17,20.70,20.85,20.35,20.70,63670
26-Jan-17,20.75,20.75,20.35,20.60,65914
25-Jan-17,20.65,20.95,20.40,20.75,69608
24-Jan-17,20.85,20.95,20.45,20.55,92363
23-Jan-17,20.80,20.95,20.55,20.85,96654
20-Jan-17,20.65,21.10,20.55,20.80,89359
19-Jan-17,20.85,20.95,20.55,20.70,75141
18-Jan-17,21.00,21.30,20.65,20.85,64987
17-Jan-17,20.80,21.05,20.70,20.85,77104
13-Jan-17,21.25,21.30,20.75,20.90,66308
12-Jan-17,21.40,21.45,20.70,21.10,110428
11-Jan-17,21.55,21.65,21.05,21.45,100629
10-Jan-17,21.10,21.80,21.10,21.45,112356
9-Jan-17,21.25,21.40,20.65,20.95,99506
6-Jan-17,21.75,21.75,21.15,21.25,86015
5-Jan-17,22.30,22.60,21.65,21.75,138063
4-Jan-17,21.65,22.60,21.65,22.40,173626
3-Jan-17,20.80,22.35,20.65,21.60,270673
30-Dec-16,21.10,21.10,20.35,20.75,61240
29-Dec-16,21.10,21.40,20.95,21.20,44927
28-Dec-16,21.40,21.40,20.65,21.05,53744
27-Dec-16,20.90,21.70,20.85,21.30,89396
23-Dec-16,21.05,21.20,20.60,20.80,137072
22-Dec-16,21.35,21.40,20.95,20.95,60404
21-Dec-16,21.35,21.85,21.20,21.25,99587
20-Dec-16,21.35,21.55,20.92,21.25,130756
19-Dec-16,21.15,21.45,20.70,21.20,126154
16-Dec-16,20.50,21.10,20.25,21.05,1077893
15-Dec-16,20.55,20.90,20.14,20.40,140420
14-Dec-16,20.25,20.80,19.70,20.50,118214
13-Dec-16,20.45,21.00,20.00,20.10,115560
12-Dec-16,20.65,20.75,19.80,20.25,110212
9-Dec-16,20.85,20.85,20.25,20.75,97511
8-Dec-16,20.20,20.95,20.05,20.62,138784
7-Dec-16,19.60,20.35,19.40,20.20,144667
6-Dec-16,19.45,20.00,19.25,19.90,113972
5-Dec-16,18.85,19.35,18.65,19.30,75457
2-Dec-16,18.80,18.85,18.25,18.55,84707
1-Dec-16,18.30,19.00,18.15,18.80,81796
30-Nov-16,18.85,18.97,17.90,18.20,88637
29-Nov-16,18.30,18.98,17.85,18.85,69371
28-Nov-16,18.25,18.55,18.15,18.20,55404
25-Nov-16,18.40,18.50,18.13,18.25,25213
23-Nov-16,18.15,18.50,17.85,18.30,42686
22-Nov-16,18.45,18.75,17.95,18.25,60422
21-Nov-16,17.80,18.30,17.75,18.25,42507
18-Nov-16,17.55,17.90,17.40,17.85,53280
17-Nov-16,17.85,17.90,17.35,17.50,47050
16-Nov-16,17.90,17.95,17.15,17.70,59777
15-Nov-16,18.40,18.40,17.75,17.90,35390
14-Nov-16,18.55,18.65,17.90,18.25,82107
11-Nov-16,17.55,18.45,17.10,18.20,116109
