Date,Open,High,Low,Close,Volume
31-Mar-17,129.57,130.69,129.40,130.13,2086431
30-Mar-17,129.55,130.28,129.30,129.61,2205186
29-Mar-17,128.40,129.63,128.20,129.58,2272464
28-Mar-17,127.81,129.28,127.81,128.69,2213163
27-Mar-17,127.48,128.84,126.36,128.25,2424236
24-Mar-17,127.86,129.00,127.05,127.70,3044007
23-Mar-17,126.20,127.25,126.01,126.87,2197390
22-Mar-17,124.60,126.94,124.51,126.21,3477250
21-Mar-17,126.64,127.36,124.96,125.07,3105349
20-Mar-17,126.99,128.09,125.79,126.31,3320867
17-Mar-17,128.45,130.30,126.94,127.01,8749926
16-Mar-17,123.25,123.60,121.52,122.35,4044627
15-Mar-17,122.00,122.42,120.90,122.11,2396325
14-Mar-17,121.65,121.99,120.62,121.44,1507722
13-Mar-17,121.11,121.96,120.89,121.80,1805225
10-Mar-17,120.57,121.37,120.24,121.09,2211585
9-Mar-17,119.82,120.26,119.11,119.91,1984225
8-Mar-17,120.21,120.66,119.35,119.60,2963124
7-Mar-17,120.06,120.69,119.69,119.98,1872509
6-Mar-17,119.73,120.48,119.37,120.15,1979700
3-Mar-17,119.83,120.13,119.48,120.04,1361060
2-Mar-17,120.09,120.12,119.28,119.90,1819664
1-Mar-17,119.24,120.57,118.38,120.35,2356481
28-Feb-17,118.83,118.84,118.02,118.34,2008016
27-Feb-17,119.02,119.20,118.07,118.78,1550480
24-Feb-17,118.30,119.32,117.83,119.31,1942492
23-Feb-17,120.10,120.15,118.03,118.83,2382433
22-Feb-17,119.67,119.89,118.85,119.47,1982071
21-Feb-17,119.73,120.17,119.31,119.63,2032259
17-Feb-17,118.79,119.72,118.24,119.67,2143337
16-Feb-17,118.84,119.47,118.47,118.93,1649517
15-Feb-17,117.33,119.09,117.07,118.73,1699561
14-Feb-17,117.65,117.79,116.67,117.58,1556662
13-Feb-17,117.03,117.94,116.20,117.65,1910382
10-Feb-17,116.51,116.94,115.03,116.85,2612905
9-Feb-17,116.26,116.90,116.02,116.44,1688862
8-Feb-17,115.00,116.38,114.45,116.13,2591686
7-Feb-17,114.83,115.19,114.54,114.96,1643454
6-Feb-17,114.68,114.82,113.29,114.46,3067477
3-Feb-17,113.55,115.45,113.42,115.17,2507874
2-Feb-17,112.82,113.58,112.27,113.16,1695789
1-Feb-17,113.31,113.64,112.68,113.36,1859067
31-Jan-17,113.22,113.75,112.70,113.38,1716649
30-Jan-17,113.22,113.87,112.26,113.82,2176539
27-Jan-17,113.07,114.01,112.75,113.99,1696857
26-Jan-17,113.79,114.44,112.73,112.88,2745739
25-Jan-17,113.77,114.57,113.29,114.25,4116861
24-Jan-17,111.46,114.17,111.34,113.72,3654774
23-Jan-17,110.71,111.92,110.30,110.97,2574228
20-Jan-17,110.02,110.81,109.57,110.71,3179186
19-Jan-17,108.63,109.98,108.04,109.79,3090902
18-Jan-17,108.50,109.17,107.53,108.79,2537255
17-Jan-17,107.79,108.05,107.06,108.00,1697769
13-Jan-17,108.84,108.90,107.98,108.53,1594154
12-Jan-17,107.99,108.74,107.16,108.59,1617882
11-Jan-17,108.23,109.05,108.00,108.99,1783953
10-Jan-17,108.57,108.79,107.61,108.26,3080998
9-Jan-17,107.96,108.79,107.56,108.57,2925379
6-Jan-17,105.98,108.43,105.25,108.30,2626352
5-Jan-17,104.13,106.02,103.77,105.91,2504772
4-Jan-17,103.74,104.37,103.50,104.14,1712583
3-Jan-17,103.43,104.03,102.81,103.48,2277933
30-Dec-16,104.07,104.22,102.47,102.95,2095844
29-Dec-16,103.63,104.39,103.41,103.68,1094982
28-Dec-16,104.83,105.16,103.50,103.77,1742924
27-Dec-16,105.00,105.90,104.86,104.98,1047901
23-Dec-16,104.61,105.42,104.61,105.02,1047659
22-Dec-16,105.12,105.15,103.95,104.72,1717345
21-Dec-16,105.74,106.06,104.48,105.51,2524647
20-Dec-16,105.50,105.88,104.76,105.77,2194542
19-Dec-16,103.57,106.08,103.41,105.29,3567060
16-Dec-16,107.80,107.80,101.91,103.55,8949417
15-Dec-16,106.33,106.48,104.60,105.10,5678867
14-Dec-16,106.30,106.79,105.44,105.81,3213662
13-Dec-16,105.74,107.60,105.62,106.15,3396638
12-Dec-16,104.62,105.24,103.52,105.16,2711975
9-Dec-16,104.00,104.50,103.42,104.31,2620553
8-Dec-16,103.36,104.07,102.54,103.50,1852118
7-Dec-16,100.89,103.51,100.89,103.36,2728942
6-Dec-16,101.99,101.99,100.71,101.55,2679915
5-Dec-16,100.46,102.52,100.16,101.95,2319383
2-Dec-16,99.52,100.14,98.00,99.73,3514407
1-Dec-16,102.82,102.92,98.87,99.51,5121202
30-Nov-16,104.99,105.46,102.80,102.81,3399919
29-Nov-16,104.27,105.98,104.26,104.95,2353061
28-Nov-16,104.81,105.15,104.09,104.50,1552584
25-Nov-16,104.17,105.03,103.90,105.02,938191
23-Nov-16,105.41,105.56,103.98,104.21,2144636
22-Nov-16,105.85,106.36,105.04,105.21,1703124
21-Nov-16,105.56,106.14,105.14,105.65,1805956
18-Nov-16,106.19,106.80,104.72,105.02,2358168
17-Nov-16,103.77,105.93,103.48,105.81,2600419
16-Nov-16,103.61,104.40,102.96,104.08,2459564
15-Nov-16,103.14,104.76,102.55,103.66,2561046
14-Nov-16,104.12,104.49,101.77,102.42,3040483
11-Nov-16,103.62,104.47,102.62,103.68,3833663
10-Nov-16,108.08,108.26,101.66,104.08,7301854
9-Nov-16,105.55,108.05,104.52,107.86,3650448
8-Nov-16,108.68,109.16,107.93,108.39,2453769
7-Nov-16,107.66,108.97,107.37,108.66,2729881
4-Nov-16,105.85,107.09,105.60,106.20,2587537
3-Nov-16,106.54,108.16,106.48,107.17,3666957
2-Nov-16,106.85,106.95,105.57,105.89,2140271
1-Nov-16,107.79,107.97,106.04,106.87,1951512
31-Oct-16,108.02,108.29,107.04,107.51,1678352
28-Oct-16,107.08,108.32,107.05,107.60,1931143
27-Oct-16,108.47,108.66,106.69,107.07,2393908
26-Oct-16,108.74,108.82,107.59,107.97,1623670
25-Oct-16,110.76,110.77,108.95,109.03,1713152
24-Oct-16,109.63,111.09,109.35,110.81,2014943
21-Oct-16,108.51,109.17,107.63,109.03,1838305
20-Oct-16,108.41,109.38,107.55,109.03,1820833
19-Oct-16,108.81,108.89,108.15,108.39,1282176
18-Oct-16,108.44,108.82,108.01,108.42,1318965
17-Oct-16,108.00,108.28,107.39,107.49,1136503
14-Oct-16,108.19,109.10,107.82,107.84,1968363
13-Oct-16,107.13,108.13,106.53,108.01,1588510
12-Oct-16,108.42,108.42,106.82,108.05,1464448
11-Oct-16,109.00,109.20,107.04,107.37,1970947
10-Oct-16,109.15,110.13,109.15,109.24,1581880
7-Oct-16,109.07,109.07,107.60,108.64,1412707
6-Oct-16,108.72,109.27,108.14,108.56,1590828
5-Oct-16,108.57,109.33,108.32,108.80,1854957
4-Oct-16,108.52,108.94,107.85,108.39,1394021
3-Oct-16,108.41,108.96,108.16,108.45,1553774
30-Sep-16,108.15,108.84,107.44,108.54,3717559
29-Sep-16,109.50,109.57,107.55,107.80,2436886
28-Sep-16,109.48,109.68,108.82,109.49,2740322
27-Sep-16,106.99,109.76,106.74,109.70,3531392
26-Sep-16,106.91,107.57,106.53,107.26,2342661
23-Sep-16,107.21,108.00,106.79,107.47,3087239
22-Sep-16,107.46,108.50,107.01,107.92,3960346
21-Sep-16,106.54,108.22,105.80,107.78,8764529
20-Sep-16,100.16,100.90,99.72,100.62,4104871
19-Sep-16,99.21,100.21,99.02,99.68,3307490
16-Sep-16,99.26,99.67,98.32,98.93,3700615
15-Sep-16,98.84,100.04,98.49,99.62,3094979
14-Sep-16,98.95,99.55,98.49,98.79,2028975
13-Sep-16,99.92,99.92,97.87,98.77,3797564
12-Sep-16,99.18,100.50,99.00,100.32,2882638
9-Sep-16,100.97,101.28,99.38,99.38,3379338
8-Sep-16,102.77,102.97,101.62,101.88,2110629
7-Sep-16,103.47,103.51,102.58,103.00,1386851
6-Sep-16,103.33,103.74,103.09,103.50,1585082
