Stock,Date,Open,High,Low,Close,Volume
artna,4-Apr-16,27.50,27.87,27.16,27.73,29893
artna,5-Apr-16,27.57,27.80,26.79,27.07,24705
artna,6-Apr-16,27.18,27.56,27.08,27.36,27996
artna,7-Apr-16,27.30,27.77,27.28,27.51,31319
artna,8-Apr-16,27.52,27.60,27.17,27.37,26066
artna,11-Apr-16,27.35,27.58,27.14,27.23,27028
artna,12-Apr-16,27.30,27.78,27.16,27.55,46750
artna,13-Apr-16,27.67,27.67,27.20,27.58,27085
artna,14-Apr-16,27.67,27.87,27.18,27.83,23081
artna,15-Apr-16,27.86,28.91,27.70,28.77,18512
artna,18-Apr-16,28.88,29.57,28.76,29.38,32766
artna,19-Apr-16,29.53,29.53,28.86,29.45,24071
artna,20-Apr-16,29.45,29.45,28.70,28.70,25498
artna,21-Apr-16,28.68,28.97,26.52,26.54,71491
artna,22-Apr-16,26.54,27.43,26.54,27.04,10715
artna,25-Apr-16,27.11,27.67,26.68,27.29,22289
artna,26-Apr-16,27.47,27.69,27.07,27.56,27886
artna,27-Apr-16,27.59,27.67,27.02,27.38,23737
artna,28-Apr-16,27.19,27.60,26.75,26.80,34760
artna,29-Apr-16,26.87,27.08,26.55,26.99,34351
artna,2-May-16,26.94,27.16,26.71,27.06,31334
artna,3-May-16,27.00,27.45,27.00,27.31,14896
artna,4-May-16,27.26,28.00,26.81,27.70,30913
artna,5-May-16,27.67,28.82,27.67,28.64,27170
artna,6-May-16,28.59,29.01,28.12,28.86,34900
artna,9-May-16,28.51,28.55,27.28,28.43,32376
artna,10-May-16,28.60,28.72,28.28,28.48,31175
artna,11-May-16,28.47,28.47,27.82,27.89,10578
artna,12-May-16,27.85,28.59,27.37,27.42,26709
artna,13-May-16,27.41,27.86,27.37,27.42,22000
artna,16-May-16,27.39,28.57,27.39,27.57,27063
artna,17-May-16,27.59,27.59,26.02,26.26,45078
artna,18-May-16,26.26,26.94,26.06,26.39,21705
artna,19-May-16,26.35,26.94,26.13,26.84,23554
artna,20-May-16,26.84,27.51,26.60,27.50,32770
artna,23-May-16,27.44,27.73,26.95,27.18,23484
artna,24-May-16,27.42,29.14,27.42,28.87,59980
artna,25-May-16,28.90,29.31,28.06,28.28,34146
artna,26-May-16,28.50,28.74,28.01,28.25,32002
artna,27-May-16,28.58,28.89,28.19,28.68,34786
artna,31-May-16,28.76,28.76,28.02,28.20,22254
artna,1-Jun-16,28.03,28.58,27.82,28.53,15754
artna,2-Jun-16,28.37,28.81,28.37,28.59,22545
artna,3-Jun-16,28.75,29.02,28.66,28.92,22148
artna,6-Jun-16,28.93,29.39,28.93,29.26,16992
artna,7-Jun-16,29.37,29.88,29.13,29.56,16525
artna,8-Jun-16,29.76,30.32,29.56,30.31,26912
artna,9-Jun-16,30.14,30.31,29.63,29.67,29493
artna,10-Jun-16,29.49,30.06,29.46,29.71,29296
artna,13-Jun-16,29.82,30.73,29.71,30.55,30026
artna,14-Jun-16,30.43,31.31,29.53,31.04,33245
artna,15-Jun-16,31.02,31.31,30.32,30.58,22371
artna,16-Jun-16,30.68,31.34,29.59,31.21,37767
artna,17-Jun-16,31.29,31.35,29.86,30.56,150050
artna,20-Jun-16,30.60,30.84,30.20,30.65,27051
artna,21-Jun-16,30.65,31.33,30.60,31.04,16224
artna,22-Jun-16,30.99,31.41,30.90,31.01,31669
artna,23-Jun-16,31.26,31.36,30.61,30.93,19189
artna,24-Jun-16,30.10,31.69,29.41,31.69,92243
artna,27-Jun-16,31.44,33.22,31.35,33.08,63855
artna,28-Jun-16,33.21,33.21,32.72,33.08,40752
artna,29-Jun-16,33.27,33.54,33.15,33.38,25631
artna,30-Jun-16,33.58,33.94,33.20,33.92,28152
artna,1-Jul-16,34.15,34.58,33.80,34.09,39621
artna,5-Jul-16,34.63,34.93,34.32,34.87,43187
artna,6-Jul-16,34.82,35.00,34.04,34.42,27151
artna,7-Jul-16,34.43,34.44,33.48,33.48,36337
artna,8-Jul-16,33.39,34.21,33.27,34.16,35871
artna,11-Jul-16,33.96,34.18,33.40,34.07,27227
artna,12-Jul-16,33.92,34.20,33.38,33.94,28833
artna,13-Jul-16,34.07,34.26,33.73,33.78,27915
artna,14-Jul-16,33.76,33.90,33.13,33.17,25049
artna,15-Jul-16,33.19,34.31,32.54,32.67,51079
artna,18-Jul-16,32.73,33.40,32.60,33.22,44072
artna,19-Jul-16,33.20,33.70,33.11,33.32,27842
artna,20-Jul-16,33.37,33.83,32.96,33.41,24898
artna,21-Jul-16,33.29,33.73,33.13,33.24,28324
artna,22-Jul-16,33.15,33.75,33.07,33.75,56059
artna,25-Jul-16,33.51,33.84,33.00,33.40,42113
artna,26-Jul-16,33.59,33.70,33.25,33.40,19260
artna,27-Jul-16,33.43,33.74,33.25,33.70,18961
artna,28-Jul-16,33.72,33.91,33.39,33.81,12269
artna,29-Jul-16,33.82,34.26,33.69,34.09,27043
artna,1-Aug-16,34.24,34.27,33.33,33.39,18583
artna,2-Aug-16,33.20,33.28,33.08,33.11,18136
artna,3-Aug-16,33.10,33.13,32.50,32.71,40326
artna,4-Aug-16,32.50,33.01,32.50,32.50,32080
artna,5-Aug-16,32.51,32.79,32.32,32.37,48082
artna,8-Aug-16,32.64,32.64,32.00,32.02,20813
artna,9-Aug-16,32.01,32.57,31.62,31.77,50168
artna,10-Aug-16,31.68,31.80,30.94,31.19,49977
artna,11-Aug-16,31.19,31.55,31.03,31.47,24254
artna,12-Aug-16,31.41,31.66,31.36,31.44,17101
artna,15-Aug-16,31.54,31.54,30.86,30.97,32070
artna,16-Aug-16,31.00,31.00,29.11,29.40,49935
artna,17-Aug-16,29.23,30.11,29.18,29.98,30815
artna,18-Aug-16,30.09,30.55,30.08,30.44,29986
artna,19-Aug-16,30.26,30.62,29.63,29.76,32893
artna,22-Aug-16,29.98,30.30,29.78,30.11,19809
artna,23-Aug-16,30.23,30.39,29.80,29.93,29365
artna,24-Aug-16,30.04,30.04,29.56,29.72,13783
artna,25-Aug-16,29.65,29.93,29.63,29.73,23662
artna,26-Aug-16,29.89,30.33,29.62,29.77,15085
artna,29-Aug-16,29.79,29.91,29.11,29.18,28636
artna,30-Aug-16,29.15,29.18,27.89,27.95,39244
artna,31-Aug-16,27.86,27.86,27.42,27.47,37472
artna,1-Sep-16,27.64,27.64,27.06,27.10,38383
artna,2-Sep-16,27.10,27.81,27.00,27.18,48101
artna,6-Sep-16,27.19,27.33,27.07,27.18,35132
artna,7-Sep-16,27.15,27.36,27.07,27.18,51301
artna,8-Sep-16,27.12,28.09,27.12,27.98,23577
artna,9-Sep-16,27.85,27.85,26.41,26.43,31073
artna,12-Sep-16,26.56,27.33,26.48,26.97,38809
artna,13-Sep-16,26.74,26.96,26.28,26.32,28867
artna,14-Sep-16,26.55,26.71,26.36,26.64,25795
