Date,Open,High,Low,Close,Volume
31-Mar-17,32.58,32.78,32.28,32.56,15960
30-Mar-17,32.40,32.74,32.17,32.56,14793
29-Mar-17,32.13,32.86,32.13,32.75,21330
28-Mar-17,32.25,32.34,32.01,32.28,13664
27-Mar-17,32.26,32.40,32.10,32.22,9095
24-Mar-17,32.96,33.91,32.30,32.38,11479
23-Mar-17,32.56,33.28,32.56,32.91,13366
22-Mar-17,33.00,33.62,32.20,32.67,13415
21-Mar-17,33.40,33.72,32.98,32.99,18868
20-Mar-17,33.74,33.74,33.30,33.39,13693
17-Mar-17,33.35,34.00,32.18,33.66,34629
16-Mar-17,33.72,33.96,33.06,33.44,17501
15-Mar-17,32.55,34.00,31.79,33.91,34773
14-Mar-17,31.88,32.62,31.56,32.53,18503
13-Mar-17,31.51,32.05,31.50,31.93,19513
10-Mar-17,31.67,31.96,31.47,31.60,22292
9-Mar-17,32.00,32.26,31.37,31.37,21219
8-Mar-17,32.32,32.42,32.07,32.14,18587
7-Mar-17,32.65,32.74,32.16,32.27,14829
6-Mar-17,32.36,32.66,32.26,32.27,11113
3-Mar-17,34.22,34.50,32.11,32.39,36747
2-Mar-17,33.52,34.49,32.87,34.21,36573
1-Mar-17,32.98,33.95,32.88,33.75,48730
28-Feb-17,32.92,33.00,32.72,32.95,26469
27-Feb-17,32.62,33.00,32.57,32.99,19683
24-Feb-17,32.84,32.97,32.49,32.71,11248
23-Feb-17,32.66,33.00,32.01,32.98,19325
22-Feb-17,32.29,32.66,32.01,32.35,23800
21-Feb-17,32.40,32.40,31.99,32.13,24081
17-Feb-17,31.70,32.44,31.51,32.39,23047
16-Feb-17,31.84,32.00,31.19,31.60,9058
15-Feb-17,31.31,31.87,31.15,31.79,13417
14-Feb-17,31.39,31.66,31.21,31.50,23268
13-Feb-17,30.21,31.41,30.09,31.39,22682
10-Feb-17,29.95,30.22,29.86,29.99,20371
9-Feb-17,30.20,30.34,29.95,30.01,34271
8-Feb-17,30.10,30.67,29.83,30.07,13497
7-Feb-17,30.41,31.07,30.21,30.58,16071
6-Feb-17,31.19,31.57,30.39,30.56,12514
3-Feb-17,31.45,31.95,30.80,31.05,10308
2-Feb-17,31.12,31.14,30.50,30.83,12350
1-Feb-17,30.97,31.26,30.66,30.83,13949
31-Jan-17,30.80,31.05,30.51,31.03,35412
30-Jan-17,32.19,32.33,31.00,31.04,16544
27-Jan-17,32.72,32.72,31.88,32.25,9711
26-Jan-17,32.53,32.74,32.15,32.42,12540
25-Jan-17,32.00,32.77,32.00,32.74,16807
24-Jan-17,31.85,32.00,31.51,31.99,18324
23-Jan-17,31.69,31.86,31.50,31.65,14861
20-Jan-17,31.41,31.89,31.41,31.57,13983
19-Jan-17,31.68,31.90,31.25,31.50,16584
18-Jan-17,30.72,31.93,30.72,31.64,31607
17-Jan-17,30.19,30.92,30.02,30.73,28132
13-Jan-17,29.43,29.95,29.36,29.83,14934
12-Jan-17,30.22,30.37,29.43,29.46,19533
11-Jan-17,30.27,30.56,30.11,30.31,14636
10-Jan-17,30.06,30.48,29.92,30.38,12692
9-Jan-17,30.57,30.62,30.10,30.13,16715
6-Jan-17,30.93,31.08,30.23,30.70,22951
5-Jan-17,31.01,31.79,30.77,30.85,13815
4-Jan-17,30.98,31.77,30.97,31.14,31987
3-Jan-17,32.03,32.03,30.84,30.89,27134
30-Dec-16,31.75,31.96,31.50,31.94,15159
29-Dec-16,31.94,32.83,31.81,31.92,14089
28-Dec-16,32.38,32.95,31.84,31.95,12583
27-Dec-16,31.94,32.76,31.92,32.56,15705
23-Dec-16,31.80,32.20,31.63,31.77,12417
22-Dec-16,32.40,32.59,31.80,31.84,20100
21-Dec-16,32.21,32.80,32.21,32.43,14954
20-Dec-16,32.36,32.82,32.20,32.37,19408
19-Dec-16,32.03,32.75,32.03,32.63,16522
16-Dec-16,32.00,32.40,31.86,32.32,68763
15-Dec-16,31.47,32.10,31.43,31.93,20991
14-Dec-16,32.68,32.68,31.45,31.46,27045
13-Dec-16,32.71,32.75,32.21,32.49,13002
12-Dec-16,32.66,32.90,32.40,32.62,23929
9-Dec-16,32.44,32.84,31.95,32.73,21560
8-Dec-16,32.01,32.69,31.36,32.35,36248
7-Dec-16,32.43,32.57,31.69,31.95,18085
6-Dec-16,32.55,32.69,31.86,32.37,21883
5-Dec-16,32.01,32.61,31.39,32.52,22483
2-Dec-16,31.87,32.10,31.82,31.89,10936
1-Dec-16,31.47,32.20,31.29,31.49,13729
30-Nov-16,32.52,32.74,31.44,31.52,19411
29-Nov-16,32.46,32.94,32.46,32.79,17589
28-Nov-16,32.47,32.98,32.43,32.70,18044
25-Nov-16,31.61,32.75,31.46,32.43,5825
23-Nov-16,32.48,33.00,31.22,31.52,20869
22-Nov-16,32.29,33.00,32.21,33.00,32554
21-Nov-16,31.93,32.30,31.62,32.29,20623
18-Nov-16,31.65,31.95,30.98,31.74,23401
17-Nov-16,31.30,31.91,30.51,31.65,23012
16-Nov-16,30.72,31.40,29.71,31.40,25758
15-Nov-16,30.88,31.48,30.23,31.05,22886
14-Nov-16,30.78,31.24,29.79,30.93,24273
11-Nov-16,28.30,30.97,27.93,30.96,51683
10-Nov-16,27.98,28.45,27.13,28.36,31443
9-Nov-16,27.98,28.34,27.31,28.00,43681
8-Nov-16,28.27,28.59,28.20,28.53,18191
7-Nov-16,27.62,28.34,27.62,28.27,19260
4-Nov-16,28.58,28.74,27.93,28.03,28592
3-Nov-16,27.58,28.50,27.58,28.27,23354
2-Nov-16,27.32,27.55,27.10,27.27,17264
1-Nov-16,28.12,28.35,27.32,27.39,24149
31-Oct-16,27.83,28.29,27.60,28.22,17509
28-Oct-16,27.64,28.01,27.54,27.73,11236
27-Oct-16,27.90,28.00,27.73,27.75,13198
26-Oct-16,28.36,28.73,27.93,28.06,12274
25-Oct-16,28.34,28.68,28.21,28.43,15781
24-Oct-16,28.32,28.44,28.25,28.27,10763
21-Oct-16,28.22,28.36,28.13,28.28,6109
20-Oct-16,28.08,28.34,28.04,28.23,10171
19-Oct-16,28.10,28.25,27.60,28.12,14492
18-Oct-16,28.06,28.12,27.70,28.00,14429
17-Oct-16,27.90,28.11,27.60,27.97,10279
14-Oct-16,27.89,28.10,27.62,27.69,17340
13-Oct-16,27.20,28.10,27.20,27.88,16802
12-Oct-16,27.09,28.05,26.92,27.47,26689
11-Oct-16,27.79,27.95,26.89,26.96,26486
10-Oct-16,26.83,27.96,26.83,27.81,20000
7-Oct-16,27.23,27.30,26.78,26.78,20974
6-Oct-16,26.85,27.20,26.75,27.18,17973
5-Oct-16,27.41,27.41,26.72,26.98,27441
4-Oct-16,28.18,28.18,27.00,27.14,30747
3-Oct-16,28.35,28.68,28.03,28.18,28276
30-Sep-16,28.44,28.74,28.26,28.54,20300
29-Sep-16,28.65,28.65,28.11,28.31,11435
28-Sep-16,28.75,29.01,28.60,28.75,20774
27-Sep-16,29.13,29.38,28.70,28.78,18995
