Date,Open,High,Low,Close,Volume
31-Mar-17,52.68,53.38,52.68,53.15,36380
30-Mar-17,52.76,52.92,52.35,52.77,52068
29-Mar-17,52.72,52.99,52.41,52.90,14339
28-Mar-17,52.69,52.96,52.50,52.84,19288
27-Mar-17,52.66,53.35,52.49,52.90,22304
24-Mar-17,52.74,53.01,52.61,52.85,24108
23-Mar-17,52.80,53.66,52.63,52.85,17772
22-Mar-17,53.18,53.27,52.55,52.85,31942
21-Mar-17,53.33,53.60,52.75,53.04,34735
20-Mar-17,54.12,54.24,53.01,53.31,20611
17-Mar-17,52.76,54.33,52.76,54.11,89624
16-Mar-17,53.74,53.74,52.69,52.95,30880
15-Mar-17,53.37,53.92,52.61,53.81,54495
14-Mar-17,53.47,54.14,52.81,52.89,28387
13-Mar-17,52.75,54.29,52.75,53.81,33359
10-Mar-17,53.61,53.63,52.83,53.27,27808
9-Mar-17,54.23,54.40,52.96,53.04,29310
8-Mar-17,55.83,55.95,53.94,54.10,32234
7-Mar-17,56.22,56.75,55.76,55.76,23098
6-Mar-17,56.44,56.81,56.01,56.04,24512
3-Mar-17,58.94,58.94,55.98,56.80,39071
2-Mar-17,58.03,59.26,56.89,58.83,25772
1-Mar-17,57.01,58.61,55.52,57.89,32834
28-Feb-17,56.30,57.09,56.30,57.05,40617
27-Feb-17,55.76,56.29,55.35,56.26,30645
24-Feb-17,56.00,56.82,55.78,55.84,13166
23-Feb-17,55.00,56.40,54.70,56.09,29909
22-Feb-17,53.73,54.61,53.73,54.60,13945
21-Feb-17,53.78,54.15,53.78,54.04,32500
17-Feb-17,54.15,54.20,53.61,53.96,39183
16-Feb-17,53.50,53.99,53.25,53.79,30781
15-Feb-17,52.89,53.38,52.47,53.30,10384
14-Feb-17,53.20,53.26,52.61,53.19,21792
13-Feb-17,53.31,53.67,52.85,53.46,18664
10-Feb-17,53.15,53.35,52.66,53.28,12042
9-Feb-17,52.65,52.98,52.58,52.90,19465
8-Feb-17,52.58,53.21,52.35,52.58,19632
7-Feb-17,52.50,52.97,51.87,52.90,25291
6-Feb-17,52.81,52.86,52.36,52.56,36368
3-Feb-17,52.92,53.10,52.86,52.96,15651
2-Feb-17,52.61,53.27,52.52,52.96,19947
1-Feb-17,53.99,54.55,52.95,53.07,17265
31-Jan-17,52.86,54.17,52.86,54.04,23811
30-Jan-17,54.42,54.42,53.00,53.20,20146
