Date,Open,High,Low,Close,Volume
31-Mar-17,11.35,11.90,11.33,11.65,138658
30-Mar-17,11.20,11.45,11.15,11.45,72122
29-Mar-17,11.35,11.35,11.25,11.25,40625
28-Mar-17,11.15,11.50,11.15,11.45,89222
27-Mar-17,11.00,11.25,10.95,11.25,78041
24-Mar-17,10.90,11.15,10.80,11.00,108387
23-Mar-17,10.55,10.90,10.55,10.90,84407
22-Mar-17,10.55,10.70,10.55,10.60,52301
21-Mar-17,10.50,10.68,10.50,10.60,88368
20-Mar-17,10.60,10.60,10.50,10.55,38724
17-Mar-17,10.35,10.60,10.15,10.60,114057
16-Mar-17,10.50,10.80,10.50,10.55,51499
15-Mar-17,10.40,10.68,10.38,10.65,45782
14-Mar-17,10.30,10.54,10.10,10.40,50447
13-Mar-17,10.35,10.44,10.25,10.30,73555
10-Mar-17,10.40,10.42,10.35,10.35,43175
9-Mar-17,10.35,10.40,10.32,10.35,47385
8-Mar-17,10.40,10.42,10.32,10.35,56475
7-Mar-17,10.35,10.50,10.35,10.35,47763
6-Mar-17,10.65,10.65,10.35,10.40,35850
3-Mar-17,10.85,10.85,10.60,10.75,81616
2-Mar-17,10.35,10.80,10.35,10.75,73129
1-Mar-17,10.40,10.50,10.35,10.35,48216
28-Feb-17,10.40,10.50,10.34,10.35,53138
27-Feb-17,10.35,10.50,10.35,10.50,55574
24-Feb-17,10.55,10.65,10.35,10.35,63300
23-Feb-17,10.90,10.90,10.52,10.65,53278
22-Feb-17,10.55,10.90,10.40,10.90,81156
21-Feb-17,10.60,10.70,10.45,10.55,44031
17-Feb-17,10.85,10.85,10.65,10.70,65976
16-Feb-17,10.80,10.90,10.75,10.85,44890
15-Feb-17,10.50,10.92,10.40,10.90,147782
14-Feb-17,10.35,10.65,10.30,10.50,72821
13-Feb-17,10.30,10.45,10.25,10.35,60973
10-Feb-17,10.25,10.45,10.20,10.35,47413
9-Feb-17,10.05,10.20,10.05,10.20,36704
8-Feb-17,10.20,10.28,10.15,10.15,55587
7-Feb-17,10.25,10.30,10.10,10.25,46888
6-Feb-17,10.20,10.30,10.10,10.20,28006
3-Feb-17,10.05,10.30,10.00,10.25,57873
2-Feb-17,10.05,10.18,10.02,10.05,43085
1-Feb-17,10.25,10.35,10.05,10.15,45104
31-Jan-17,10.05,10.32,10.00,10.30,54302
30-Jan-17,10.30,10.30,10.10,10.10,35211
27-Jan-17,10.25,10.38,10.10,10.30,39823
26-Jan-17,10.55,10.65,10.00,10.30,146144
25-Jan-17,10.55,10.60,10.47,10.60,36571
24-Jan-17,10.30,10.58,10.30,10.50,73236
23-Jan-17,10.25,10.40,10.25,10.35,31262
20-Jan-17,10.10,10.42,10.10,10.25,52402
19-Jan-17,10.30,10.30,10.11,10.15,72419
18-Jan-17,10.25,10.35,10.18,10.30,92989
17-Jan-17,10.50,10.55,10.15,10.25,76594
13-Jan-17,10.30,10.50,10.30,10.50,64062
12-Jan-17,10.55,10.60,10.30,10.35,47463
11-Jan-17,10.45,10.65,10.43,10.60,52062
10-Jan-17,10.45,10.50,10.25,10.50,70221
9-Jan-17,10.50,10.62,10.35,10.40,93408
6-Jan-17,10.85,10.85,10.55,10.60,51224
5-Jan-17,10.95,10.95,10.70,10.85,73388
4-Jan-17,10.85,10.99,10.80,10.90,31641
3-Jan-17,10.85,10.91,10.70,10.85,46600
30-Dec-16,10.55,11.00,10.51,10.85,109760
29-Dec-16,10.95,11.05,10.90,11.00,38840
