Date,Open,High,Low,Close,Volume
31-Mar-17,30.31,30.40,30.30,30.35,17869
30-Mar-17,30.28,30.38,30.24,30.36,20020
29-Mar-17,30.29,30.34,30.29,30.34,15508
28-Mar-17,30.30,30.39,30.30,30.37,22158
27-Mar-17,30.32,30.38,30.30,30.33,6959
24-Mar-17,30.43,30.45,30.30,30.31,6937
23-Mar-17,30.34,30.46,30.30,30.39,8596
22-Mar-17,30.31,30.48,30.29,30.35,14991
21-Mar-17,30.48,30.48,30.31,30.32,3900
20-Mar-17,30.41,30.50,30.30,30.48,10764
17-Mar-17,30.32,30.63,30.30,30.32,35047
16-Mar-17,30.44,30.44,30.30,30.33,8139
15-Mar-17,30.40,30.45,30.30,30.33,31191
14-Mar-17,30.24,30.34,30.24,30.28,5106
13-Mar-17,30.40,30.40,30.30,30.31,8723
10-Mar-17,30.40,30.50,30.29,30.30,13910
9-Mar-17,30.31,30.44,30.24,30.27,7023
8-Mar-17,30.30,30.36,30.29,30.29,10255
7-Mar-17,30.30,30.40,30.29,30.34,15394
6-Mar-17,30.31,30.36,30.29,30.32,7878
3-Mar-17,30.24,30.48,30.11,30.44,15702
2-Mar-17,30.30,30.43,30.29,30.30,25355
1-Mar-17,30.46,30.59,30.29,30.40,20930
28-Feb-17,30.60,30.70,30.32,30.46,17359
27-Feb-17,30.58,30.80,30.58,30.75,11788
24-Feb-17,30.53,30.85,30.51,30.80,9509
23-Feb-17,30.50,30.85,30.50,30.67,21939
22-Feb-17,30.58,30.58,30.40,30.49,70108
21-Feb-17,30.05,30.82,30.00,30.61,243212
17-Feb-17,25.31,26.80,25.31,26.15,6972
16-Feb-17,25.00,25.56,25.00,25.24,7625
15-Feb-17,25.75,26.10,25.52,25.86,3724
14-Feb-17,25.91,26.15,25.50,25.97,14799
13-Feb-17,26.70,26.70,26.01,26.23,8258
10-Feb-17,26.59,27.32,26.15,26.84,6548
9-Feb-17,26.76,26.94,26.76,26.81,1988
8-Feb-17,26.64,26.80,25.90,26.60,3639
7-Feb-17,26.07,27.07,26.07,26.63,2351
6-Feb-17,26.05,27.42,26.05,26.11,2872
3-Feb-17,26.01,26.40,26.01,26.31,4325
2-Feb-17,26.73,26.73,25.81,26.05,5656
1-Feb-17,26.21,26.79,25.82,25.93,3394
31-Jan-17,26.75,26.80,25.80,26.32,6506
30-Jan-17,28.32,28.32,25.88,26.75,4956
27-Jan-17,26.89,27.20,26.51,26.90,3080
26-Jan-17,27.37,27.59,26.95,26.96,2897
25-Jan-17,27.58,27.99,26.95,27.68,3011
24-Jan-17,26.34,27.19,26.19,26.97,6106
23-Jan-17,26.05,26.63,26.05,26.47,6638
20-Jan-17,26.59,27.31,25.74,26.70,9750
19-Jan-17,27.47,27.47,26.39,26.76,18692
18-Jan-17,28.02,28.02,27.20,27.69,8082
17-Jan-17,27.70,28.40,27.47,27.93,7253
13-Jan-17,27.68,27.84,27.68,27.73,3366
12-Jan-17,28.31,28.31,27.46,27.60,11929
11-Jan-17,28.28,28.48,27.35,28.31,15755
10-Jan-17,28.45,28.56,28.00,28.48,8048
9-Jan-17,28.09,29.07,27.83,28.40,8363
6-Jan-17,28.46,29.05,27.54,28.28,7450
5-Jan-17,28.59,29.57,28.19,28.66,8181
4-Jan-17,29.03,29.61,28.02,28.87,13609
3-Jan-17,29.14,29.34,28.67,28.68,10123
30-Dec-16,29.90,30.02,28.96,29.33,11279
29-Dec-16,29.59,30.07,29.37,29.64,10322
28-Dec-16,29.38,29.69,29.07,29.35,11657
27-Dec-16,29.27,29.87,29.10,29.39,7387
23-Dec-16,29.06,29.49,29.06,29.30,4559
22-Dec-16,29.29,29.62,28.50,29.10,18565
21-Dec-16,29.18,29.90,29.08,29.52,13479
20-Dec-16,29.93,31.29,29.58,30.09,20232
19-Dec-16,30.19,30.41,29.14,29.54,23270
16-Dec-16,28.77,30.90,27.23,30.05,110719
15-Dec-16,28.74,29.41,28.00,28.54,16190
14-Dec-16,29.00,29.50,28.48,28.63,20380
13-Dec-16,29.55,29.95,26.55,29.30,15437
12-Dec-16,27.71,29.98,27.71,29.65,27909
9-Dec-16,27.22,27.85,27.11,27.52,12245
8-Dec-16,26.75,27.25,25.63,27.25,23204
7-Dec-16,26.35,26.60,26.10,26.53,11006
6-Dec-16,25.60,26.38,25.60,26.08,7905
5-Dec-16,25.73,25.94,25.60,25.86,6969
2-Dec-16,26.09,26.09,25.30,25.69,3776
1-Dec-16,25.50,26.38,25.29,25.52,7356
30-Nov-16,26.12,26.49,25.50,25.51,13784
29-Nov-16,26.23,26.56,25.83,26.20,5500
28-Nov-16,25.63,26.49,25.63,26.46,12946
25-Nov-16,25.86,25.86,25.50,25.74,1403
23-Nov-16,25.69,26.00,25.03,25.92,6579
22-Nov-16,25.77,25.77,25.25,25.64,11388
21-Nov-16,25.61,26.02,25.53,25.75,13277
18-Nov-16,24.62,25.74,24.42,25.54,13005
17-Nov-16,24.29,24.77,24.26,24.72,6725
16-Nov-16,23.73,24.28,23.46,24.23,10689
15-Nov-16,24.34,24.34,23.40,23.60,10165
14-Nov-16,23.94,24.75,23.84,24.27,22659
11-Nov-16,23.61,23.95,22.95,23.95,31723
10-Nov-16,23.29,23.76,22.06,23.75,20290
9-Nov-16,22.29,23.29,22.29,23.20,13381
8-Nov-16,22.50,22.60,22.35,22.58,6096
7-Nov-16,22.27,22.58,22.09,22.55,8118
4-Nov-16,22.38,22.38,22.09,22.09,11789
3-Nov-16,22.68,22.82,22.12,22.13,7031
2-Nov-16,23.36,23.36,22.66,22.70,9205
1-Nov-16,23.58,23.89,23.24,23.34,6926
31-Oct-16,23.99,23.99,23.50,23.55,11028
28-Oct-16,23.50,23.96,23.50,23.90,2879
27-Oct-16,23.68,23.68,23.50,23.51,3239
26-Oct-16,23.77,23.96,23.58,23.73,6973
25-Oct-16,23.97,23.99,23.73,23.73,4670
24-Oct-16,23.93,23.94,23.69,23.71,3920
21-Oct-16,23.75,23.75,23.56,23.58,1962
20-Oct-16,23.53,24.00,23.53,23.90,19545
19-Oct-16,23.75,23.97,23.63,23.73,5590
18-Oct-16,23.75,24.00,23.44,23.94,4966
17-Oct-16,23.75,23.94,23.50,23.72,6422
14-Oct-16,23.75,23.92,23.21,23.70,5077
13-Oct-16,23.65,23.93,23.61,23.75,5925
12-Oct-16,23.15,23.64,23.15,23.49,4061
11-Oct-16,23.28,23.28,23.00,23.13,8797
10-Oct-16,23.04,23.40,23.00,23.31,8029
7-Oct-16,22.92,22.98,22.65,22.66,7804
6-Oct-16,23.02,23.14,22.85,23.00,5164
5-Oct-16,23.49,23.57,23.12,23.18,10944
4-Oct-16,23.45,23.50,22.60,22.94,11535
3-Oct-16,23.74,23.74,23.35,23.35,9075
30-Sep-16,23.97,24.00,23.55,23.85,9569
29-Sep-16,24.36,24.40,23.93,23.96,9691
28-Sep-16,24.61,24.64,24.11,24.42,13646
27-Sep-16,25.39,25.39,24.24,24.68,11193
26-Sep-16,25.45,25.54,25.01,25.15,7981
23-Sep-16,25.19,25.73,25.10,25.55,11598
22-Sep-16,24.84,25.41,24.68,25.30,10327
21-Sep-16,24.17,25.02,24.07,24.75,11224
20-Sep-16,24.12,24.65,24.12,24.21,9793
