Date,Open,High,Low,Close,Volume
31-Mar-17,65.65,66.25,64.90,65.00,127868
30-Mar-17,65.65,65.70,64.35,65.40,99001
29-Mar-17,66.60,66.85,65.55,65.65,790064
28-Mar-17,63.45,67.20,63.42,66.90,321640
27-Mar-17,62.35,63.50,62.20,63.30,73116
24-Mar-17,62.85,63.45,62.80,62.90,48048
23-Mar-17,62.30,63.80,62.15,62.80,58001
22-Mar-17,62.35,62.80,61.85,62.35,59643
21-Mar-17,62.40,62.85,61.75,62.20,80914
20-Mar-17,62.65,62.70,61.98,62.15,59066
17-Mar-17,61.85,63.20,61.85,62.60,235580
16-Mar-17,62.55,63.20,61.40,62.25,97604
15-Mar-17,61.40,62.88,61.00,62.65,90347
14-Mar-17,61.75,61.90,60.35,60.95,65303
13-Mar-17,61.35,62.30,61.35,62.20,58500
10-Mar-17,61.40,61.95,60.80,61.65,88745
9-Mar-17,61.65,62.20,61.05,61.25,61173
8-Mar-17,63.60,63.60,61.85,61.85,54957
7-Mar-17,63.60,64.20,63.40,63.65,52092
6-Mar-17,63.75,64.35,63.60,63.95,48806
3-Mar-17,65.05,65.05,63.50,64.20,82806
2-Mar-17,64.75,65.35,64.20,64.95,50433
1-Mar-17,64.25,65.10,63.75,64.75,125972
28-Feb-17,64.35,64.75,63.50,63.95,99454
27-Feb-17,64.35,64.85,63.56,64.70,133417
24-Feb-17,63.65,65.18,63.65,64.95,108399
23-Feb-17,62.60,64.10,61.75,63.70,922942
22-Feb-17,63.50,63.55,61.90,62.45,222218
21-Feb-17,63.45,64.35,63.00,64.10,64713
17-Feb-17,63.75,63.90,63.20,63.45,79074
16-Feb-17,62.70,63.55,62.70,63.40,37975
15-Feb-17,62.65,62.90,62.15,62.85,40944
14-Feb-17,63.05,63.20,62.25,63.15,80044
13-Feb-17,63.70,63.85,62.95,63.40,66328
10-Feb-17,62.70,63.60,62.25,63.50,56811
9-Feb-17,62.20,62.75,62.20,62.55,51104
8-Feb-17,62.60,63.20,62.00,62.40,68477
7-Feb-17,62.70,62.95,62.05,62.60,67733
6-Feb-17,62.70,62.85,62.25,62.55,46926
3-Feb-17,62.95,63.05,62.45,62.70,55392
2-Feb-17,62.60,62.77,62.00,62.45,62800
1-Feb-17,63.90,63.90,62.12,62.45,67065
31-Jan-17,62.50,63.90,62.35,63.65,82936
30-Jan-17,63.65,64.20,62.45,62.65,61161
27-Jan-17,63.80,64.05,63.35,63.85,62616
26-Jan-17,64.25,64.45,63.10,63.80,87886
25-Jan-17,65.25,65.85,63.95,64.20,729430
24-Jan-17,61.00,65.40,60.40,65.15,279257
23-Jan-17,60.50,61.25,60.30,60.65,62364
20-Jan-17,60.65,61.00,60.50,60.80,91043
19-Jan-17,62.20,62.20,60.55,60.60,53378
18-Jan-17,62.30,62.75,62.15,62.50,77875
17-Jan-17,62.80,62.90,62.15,62.35,69189
13-Jan-17,62.00,63.05,61.60,62.65,71734
12-Jan-17,63.60,63.85,62.00,62.45,109748
11-Jan-17,63.80,64.15,63.30,63.70,79985
10-Jan-17,63.25,64.15,63.05,63.90,90111
9-Jan-17,64.85,64.95,63.30,63.50,76364
6-Jan-17,64.45,65.15,64.30,64.60,51499
5-Jan-17,65.55,65.55,64.45,64.55,46165
4-Jan-17,64.10,65.85,64.00,65.50,103320
3-Jan-17,65.25,65.25,63.66,64.00,107999
30-Dec-16,65.45,65.65,64.60,65.30,69169
29-Dec-16,65.00,65.55,64.61,65.50,40018
28-Dec-16,65.10,65.40,64.10,64.65,45430
27-Dec-16,64.95,65.45,64.85,65.30,57837
23-Dec-16,64.55,65.00,64.25,64.90,43101
22-Dec-16,64.40,64.85,63.81,64.55,56716
21-Dec-16,65.05,66.00,64.35,64.40,60951
20-Dec-16,65.45,65.85,64.85,65.30,93435
19-Dec-16,65.15,65.90,65.00,65.20,76393
16-Dec-16,65.35,66.30,65.05,65.20,351931
15-Dec-16,64.35,65.70,64.15,65.25,108687
14-Dec-16,65.55,66.25,63.95,64.00,68901
13-Dec-16,65.75,66.85,65.25,65.50,107481
12-Dec-16,63.25,65.70,60.55,65.40,108699
9-Dec-16,62.95,64.50,62.95,64.35,105114
8-Dec-16,61.10,63.50,61.00,63.48,115909
7-Dec-16,60.50,61.80,60.40,61.50,86102
6-Dec-16,60.10,61.00,59.75,60.50,70716
5-Dec-16,59.60,60.20,59.00,60.20,61956
2-Dec-16,59.40,60.15,59.00,59.30,38265
1-Dec-16,59.05,59.85,58.20,59.15,64926
30-Nov-16,60.60,60.85,58.85,59.20,96764
29-Nov-16,60.85,61.75,59.95,61.15,74722
28-Nov-16,60.50,62.60,60.50,61.20,198214
25-Nov-16,58.80,60.50,58.80,60.45,100881
23-Nov-16,61.90,62.35,58.08,59.20,541405
22-Nov-16,63.15,63.50,62.00,62.40,169530
21-Nov-16,62.85,63.55,62.85,63.30,66938
18-Nov-16,62.90,63.30,62.10,63.10,97283
17-Nov-16,61.65,63.00,61.65,62.70,83156
16-Nov-16,61.50,62.25,60.90,62.15,61875
15-Nov-16,61.55,62.90,60.40,61.50,79008
14-Nov-16,60.30,61.75,58.36,61.30,113443
11-Nov-16,58.85,60.25,58.50,60.15,228457
10-Nov-16,58.30,59.75,56.40,58.65,130745
9-Nov-16,57.05,58.65,56.05,58.55,109697
8-Nov-16,57.65,58.90,57.65,58.15,66950
7-Nov-16,57.30,58.05,56.40,57.95,70670
4-Nov-16,57.30,58.10,56.55,56.80,65492
3-Nov-16,56.25,57.20,56.15,56.60,49155
2-Nov-16,56.80,57.20,56.00,56.35,65524
1-Nov-16,58.65,58.70,56.70,56.70,65556
31-Oct-16,57.60,59.25,56.90,58.45,127288
28-Oct-16,57.09,57.93,57.06,57.76,79315
27-Oct-16,57.00,57.41,56.46,57.12,72251
26-Oct-16,56.60,56.95,56.13,56.78,62183
25-Oct-16,55.87,56.74,55.87,56.68,51218
24-Oct-16,55.57,56.34,55.49,55.95,43552
21-Oct-16,55.30,55.57,55.05,55.38,32730
20-Oct-16,55.91,56.16,55.45,55.64,45822
19-Oct-16,55.88,56.25,55.51,55.90,43503
18-Oct-16,55.81,56.41,55.31,55.81,66655
17-Oct-16,55.90,56.26,55.61,55.75,63615
14-Oct-16,55.86,56.30,55.41,55.68,59127
13-Oct-16,55.45,56.28,55.42,55.79,57702
12-Oct-16,54.51,55.58,54.51,55.41,50303
11-Oct-16,54.88,54.98,54.17,54.68,127290
10-Oct-16,54.17,55.00,54.13,54.87,65314
7-Oct-16,54.06,54.82,53.82,54.01,99116
6-Oct-16,53.48,54.29,53.48,53.82,78474
5-Oct-16,54.65,54.65,53.67,53.83,84324
4-Oct-16,55.61,55.61,54.10,54.37,80348
3-Oct-16,56.40,56.40,55.46,55.61,76458
30-Sep-16,56.88,57.35,56.25,56.51,150639
29-Sep-16,57.44,57.60,56.59,56.88,63002
28-Sep-16,57.81,58.03,57.17,57.67,75309
27-Sep-16,58.62,59.49,57.25,57.75,118912
26-Sep-16,58.75,59.14,58.48,58.87,74135
23-Sep-16,58.70,59.19,57.53,58.81,57310
22-Sep-16,58.45,59.00,58.19,58.99,52827
21-Sep-16,57.12,58.21,56.80,58.17,59009
20-Sep-16,57.00,57.50,56.88,56.99,68001
19-Sep-16,56.76,56.80,56.33,56.78,71194
16-Sep-16,55.71,56.58,54.90,56.21,214367
15-Sep-16,55.06,55.50,54.68,55.45,55294
14-Sep-16,55.04,55.46,54.59,55.17,53404
13-Sep-16,55.24,55.32,54.59,54.76,101588
12-Sep-16,54.10,55.60,54.10,55.60,118890
9-Sep-16,55.88,55.88,53.78,53.89,74893
8-Sep-16,56.27,56.65,55.00,56.30,47130
7-Sep-16,55.57,56.63,55.27,56.45,134013
6-Sep-16,55.62,56.18,55.45,55.63,95101
2-Sep-16,54.28,55.70,54.28,55.61,47845
1-Sep-16,55.01,55.01,54.33,54.60,69067
31-Aug-16,54.71,55.10,54.52,54.94,81899
30-Aug-16,55.28,55.32,54.21,54.78,87309
29-Aug-16,55.26,55.93,54.95,55.49,52003
26-Aug-16,56.88,57.32,55.16,55.22,56732
25-Aug-16,56.33,56.89,55.97,56.82,70648
24-Aug-16,56.58,56.62,55.34,56.57,80794
23-Aug-16,56.59,57.48,56.59,56.73,102884
22-Aug-16,56.55,57.12,56.55,56.73,48337
19-Aug-16,56.92,56.92,55.86,56.55,75340
18-Aug-16,56.00,57.06,55.82,57.06,64369
17-Aug-16,55.02,56.02,54.62,55.88,68880
16-Aug-16,55.93,55.93,55.23,55.25,70474
15-Aug-16,57.27,57.27,55.95,56.02,60153
12-Aug-16,56.75,57.01,56.70,56.96,49968
11-Aug-16,56.16,56.66,55.82,56.65,65242
10-Aug-16,56.14,56.30,55.62,56.12,48292
9-Aug-16,55.65,56.43,55.60,56.08,63033
8-Aug-16,56.23,56.35,54.81,55.84,71552
5-Aug-16,55.74,56.88,55.31,56.26,105264
4-Aug-16,55.94,56.66,55.39,55.67,41670
3-Aug-16,56.54,56.54,55.68,55.97,36262
2-Aug-16,56.34,56.78,56.05,56.57,64309
1-Aug-16,56.02,56.79,55.77,56.65,45220
29-Jul-16,55.81,56.55,55.73,56.15,70430
28-Jul-16,55.68,56.11,55.58,55.93,63648
27-Jul-16,56.00,56.38,55.05,55.86,104705
26-Jul-16,56.69,56.69,55.88,56.33,63163
25-Jul-16,56.47,56.57,56.05,56.54,30661
22-Jul-16,55.94,56.91,55.94,56.69,44803
21-Jul-16,55.97,56.27,55.66,56.11,73362
20-Jul-16,56.10,56.34,55.77,56.22,50790
19-Jul-16,56.44,56.50,55.74,56.26,68317
18-Jul-16,56.47,56.76,56.00,56.25,39781
15-Jul-16,56.40,56.69,55.98,56.30,58090
14-Jul-16,56.37,56.92,56.04,56.14,74302
13-Jul-16,56.26,56.82,55.94,56.56,75457
12-Jul-16,56.55,56.80,55.61,55.91,146675
11-Jul-16,56.66,56.94,56.09,56.71,100174
8-Jul-16,56.07,56.98,55.20,56.90,91660
7-Jul-16,57.34,57.34,55.95,56.09,61959
6-Jul-16,56.80,57.37,56.55,57.08,71791
5-Jul-16,56.66,57.34,56.34,56.97,100766
1-Jul-16,56.89,57.15,55.64,56.32,69206
30-Jun-16,55.18,56.54,54.80,56.52,100528
29-Jun-16,55.55,55.94,55.03,55.19,66661
28-Jun-16,55.62,55.78,54.90,55.17,102163
27-Jun-16,54.51,55.72,54.39,55.45,99426
24-Jun-16,54.00,55.27,53.42,54.54,665422
23-Jun-16,54.25,54.70,53.94,54.65,91774
22-Jun-16,54.47,54.88,54.07,54.16,96655
21-Jun-16,54.70,54.93,54.38,54.65,126437
20-Jun-16,54.81,55.05,53.95,54.81,103729
17-Jun-16,54.75,55.08,53.78,54.71,212695
16-Jun-16,54.74,55.27,54.60,54.99,104277
15-Jun-16,55.68,55.72,54.17,54.72,92994
14-Jun-16,54.99,55.86,54.70,55.44,102957
13-Jun-16,55.42,55.66,54.85,55.00,79073
10-Jun-16,54.72,55.40,54.35,55.24,92972
9-Jun-16,54.00,54.73,53.80,54.63,77267
8-Jun-16,52.92,54.18,52.92,54.06,71570
7-Jun-16,52.72,53.28,52.56,52.94,90536
6-Jun-16,52.11,52.87,51.95,52.51,85595
3-Jun-16,51.63,52.51,51.16,52.23,63942
2-Jun-16,51.53,51.53,50.40,51.27,84021
1-Jun-16,50.71,51.67,50.05,51.46,152750
31-May-16,51.58,51.90,50.67,50.71,179212
27-May-16,50.77,51.57,50.40,51.57,86796
26-May-16,50.40,51.02,49.94,50.88,86815
25-May-16,50.86,50.86,50.16,50.28,110425
24-May-16,50.15,51.03,50.07,50.82,106829
23-May-16,50.42,50.95,49.87,49.94,53641
20-May-16,50.27,50.38,49.84,50.36,61825
19-May-16,49.58,50.24,49.42,50.04,64461
18-May-16,50.04,51.00,49.44,49.81,64094
17-May-16,52.36,52.36,49.80,50.31,109345
16-May-16,52.04,52.40,51.81,52.31,108945
13-May-16,52.35,52.52,51.62,52.24,49760
12-May-16,52.18,52.73,51.76,52.39,61053
11-May-16,52.21,52.38,51.51,52.08,67136
10-May-16,52.08,52.37,51.78,52.11,81039
9-May-16,51.28,52.02,51.03,51.85,77269
6-May-16,51.21,51.38,50.45,51.38,73827
5-May-16,51.86,52.30,51.15,51.25,66122
4-May-16,50.88,52.08,50.64,51.70,79217
3-May-16,50.49,51.21,50.42,50.91,76826
2-May-16,50.01,51.15,49.54,50.83,70310
29-Apr-16,49.38,50.17,49.33,49.85,66230
28-Apr-16,49.33,50.18,49.08,49.64,115129
27-Apr-16,49.24,49.75,48.93,49.49,110222
26-Apr-16,48.78,49.30,48.36,49.06,97633
25-Apr-16,48.41,48.68,48.04,48.60,87507
22-Apr-16,48.29,48.83,48.15,48.44,103892
21-Apr-16,49.01,49.27,47.90,48.28,104102
20-Apr-16,50.58,50.58,48.81,48.90,67742
19-Apr-16,50.46,51.03,50.26,50.42,64093
18-Apr-16,50.18,50.58,49.72,50.57,68439
15-Apr-16,49.50,50.48,49.45,50.04,93500
14-Apr-16,50.27,50.27,49.65,49.68,65205
