Date,Open,High,Low,Close,Volume
31-Mar-17,36.01,37.23,35.86,36.95,93337
30-Mar-17,35.62,35.99,35.30,35.89,29835
29-Mar-17,35.61,36.10,35.38,35.90,26959
28-Mar-17,35.85,35.93,35.48,35.81,47083
27-Mar-17,36.06,36.45,35.89,36.15,32954
24-Mar-17,36.35,36.63,35.82,36.30,24800
23-Mar-17,36.34,37.06,36.02,36.28,29261
22-Mar-17,36.25,36.70,36.06,36.37,54620
21-Mar-17,36.56,36.96,36.16,36.41,38693
20-Mar-17,36.98,37.22,36.35,36.57,75362
17-Mar-17,36.55,37.28,36.52,37.10,206132
16-Mar-17,37.11,37.41,36.63,36.74,48692
15-Mar-17,36.21,37.31,36.21,37.03,51960
14-Mar-17,36.01,36.75,35.61,36.12,31947
13-Mar-17,35.50,36.45,35.41,36.13,40158
10-Mar-17,35.00,35.81,34.55,35.64,60012
9-Mar-17,35.12,35.74,34.68,34.77,37237
8-Mar-17,36.51,36.51,35.23,35.28,40539
7-Mar-17,36.51,37.06,36.27,36.51,25941
6-Mar-17,37.79,37.79,36.44,36.69,36578
3-Mar-17,38.56,38.99,37.16,37.90,42673
2-Mar-17,38.12,38.90,37.72,38.57,29192
1-Mar-17,38.24,38.72,37.66,38.38,44736
28-Feb-17,37.64,38.20,37.22,37.65,50254
27-Feb-17,37.28,37.75,37.05,37.59,49506
24-Feb-17,37.58,38.58,37.20,37.28,36298
23-Feb-17,37.05,37.68,36.73,37.48,39068
22-Feb-17,35.92,37.18,35.91,36.95,43961
21-Feb-17,35.25,36.26,35.15,36.19,44357
17-Feb-17,36.42,36.42,35.35,35.50,52826
16-Feb-17,35.84,36.50,35.76,36.20,36780
15-Feb-17,35.37,35.87,35.23,35.84,16153
14-Feb-17,36.26,36.26,35.40,35.61,39660
13-Feb-17,36.25,36.61,35.63,36.37,31968
10-Feb-17,35.51,36.34,35.51,36.26,25477
9-Feb-17,35.21,35.70,35.06,35.33,40835
8-Feb-17,35.60,36.16,35.29,35.63,53885
7-Feb-17,35.90,36.44,35.26,35.59,39334
6-Feb-17,36.48,36.66,35.92,35.99,50111
3-Feb-17,37.11,37.11,36.55,36.59,31918
2-Feb-17,36.57,37.04,36.55,36.86,28044
1-Feb-17,38.02,38.05,36.59,36.59,39149
31-Jan-17,37.34,37.96,37.04,37.81,39474
30-Jan-17,38.65,38.74,37.30,37.30,46917
27-Jan-17,39.25,39.25,38.81,38.98,16458
26-Jan-17,39.50,39.63,39.08,39.24,26047
25-Jan-17,38.93,39.76,38.85,39.58,34590
24-Jan-17,38.77,39.00,38.28,38.64,61147
23-Jan-17,38.40,38.98,38.40,38.72,29703
20-Jan-17,38.08,39.00,37.80,38.46,40072
19-Jan-17,38.86,38.88,38.05,38.09,28563
18-Jan-17,39.50,39.50,38.76,38.96,22876
17-Jan-17,39.32,39.58,38.87,39.37,46178
13-Jan-17,38.65,39.35,38.65,39.30,38820
12-Jan-17,39.56,39.65,38.48,38.81,34505
11-Jan-17,39.28,39.72,39.00,39.58,37162
10-Jan-17,38.28,39.74,37.76,39.62,61683
9-Jan-17,39.60,39.60,38.31,38.50,89303
6-Jan-17,41.48,41.48,39.69,39.73,74723
5-Jan-17,41.95,42.17,41.03,41.24,50902
4-Jan-17,41.58,42.25,41.50,41.92,36351
3-Jan-17,42.80,42.80,41.20,41.32,64805
30-Dec-16,42.30,42.99,41.90,42.94,55738
29-Dec-16,42.14,42.66,41.83,42.33,29314
28-Dec-16,42.61,42.88,41.78,41.84,25655
27-Dec-16,42.10,42.95,41.75,42.65,36311
23-Dec-16,41.63,42.42,41.40,42.16,31475
22-Dec-16,42.10,42.41,41.54,41.67,33573
21-Dec-16,42.19,42.71,41.98,42.09,25711
20-Dec-16,42.13,42.66,41.80,42.32,49160
19-Dec-16,41.82,42.91,41.68,42.04,47898
16-Dec-16,42.18,42.95,42.02,42.21,258198
15-Dec-16,41.52,42.38,41.02,42.12,58566
14-Dec-16,42.90,43.05,41.42,41.49,64452
13-Dec-16,44.00,44.48,42.52,42.65,71983
12-Dec-16,43.15,43.99,42.63,43.91,45932
9-Dec-16,43.40,43.86,43.07,43.49,60637
8-Dec-16,41.91,43.22,41.50,43.04,67414
7-Dec-16,41.92,42.22,41.71,42.12,49577
6-Dec-16,42.19,42.40,41.38,41.65,69604
5-Dec-16,41.35,42.45,40.81,42.34,53683
2-Dec-16,41.48,41.90,41.03,41.29,40305
1-Dec-16,41.20,41.87,40.61,41.29,47768
30-Nov-16,42.15,42.41,40.70,40.74,48959
29-Nov-16,42.37,42.98,41.51,42.23,49605
28-Nov-16,42.04,42.76,41.90,42.57,38524
25-Nov-16,41.04,41.91,40.90,41.80,13618
23-Nov-16,42.17,42.66,40.60,40.77,61743
22-Nov-16,40.80,42.78,40.42,42.74,70912
21-Nov-16,40.51,40.96,40.18,40.86,54055
18-Nov-16,39.72,40.30,39.19,40.25,48363
17-Nov-16,38.80,39.86,38.80,39.55,44663
16-Nov-16,38.69,39.04,37.22,38.82,99817
15-Nov-16,39.11,39.58,37.62,39.11,50683
14-Nov-16,37.38,39.13,34.41,39.02,95634
