Date,Open,High,Low,Close,Volume
31-Mar-17,38.05,38.60,37.85,37.90,183942
30-Mar-17,38.05,38.30,37.80,38.15,112229
29-Mar-17,38.10,38.45,37.89,38.10,204044
28-Mar-17,38.15,38.70,37.85,38.20,182920
27-Mar-17,37.45,38.55,37.45,38.25,143898
24-Mar-17,37.10,38.45,37.00,37.65,265041
23-Mar-17,35.90,36.80,35.90,36.35,65109
22-Mar-17,35.95,36.40,35.65,36.00,79872
21-Mar-17,36.30,36.55,35.95,36.00,85948
20-Mar-17,36.55,36.80,35.98,36.15,90200
17-Mar-17,36.10,36.95,36.00,36.55,239605
16-Mar-17,36.85,36.85,36.15,36.40,72013
15-Mar-17,36.05,37.00,36.05,36.85,83747
14-Mar-17,36.15,36.35,35.90,36.00,61244
13-Mar-17,36.30,36.75,36.30,36.40,88704
10-Mar-17,36.40,36.75,36.10,36.60,81829
9-Mar-17,36.60,36.85,36.15,36.20,53782
8-Mar-17,37.70,37.70,36.55,36.58,84005
7-Mar-17,37.75,38.53,37.65,37.70,59941
6-Mar-17,37.80,38.10,37.65,37.70,47412
3-Mar-17,38.50,38.55,37.60,37.95,88076
2-Mar-17,38.00,38.70,37.85,38.50,123247
1-Mar-17,37.65,38.45,37.65,38.25,81670
28-Feb-17,38.05,38.15,37.40,37.60,137156
27-Feb-17,38.15,38.40,37.95,38.25,80801
24-Feb-17,37.75,38.45,37.75,38.25,86340
23-Feb-17,37.85,38.20,37.45,37.95,173378
22-Feb-17,38.15,38.15,37.65,37.85,55286
21-Feb-17,37.75,38.15,37.55,38.15,95039
17-Feb-17,38.10,38.10,37.55,37.75,80687
16-Feb-17,37.75,38.15,37.65,38.05,55092
15-Feb-17,37.80,38.00,37.40,37.90,61262
14-Feb-17,38.05,38.25,37.66,38.15,97170
13-Feb-17,38.55,38.70,38.10,38.25,82126
10-Feb-17,38.05,38.80,37.96,38.65,62280
9-Feb-17,38.05,38.60,37.80,38.05,111896
8-Feb-17,38.05,39.25,38.00,38.10,85344
7-Feb-17,38.00,39.25,37.90,38.15,124707
6-Feb-17,38.75,38.85,37.85,37.90,88562
3-Feb-17,38.05,39.05,37.95,38.90,102586
2-Feb-17,37.40,37.95,37.35,37.90,105281
1-Feb-17,37.95,38.05,37.40,37.45,59354
31-Jan-17,37.20,37.90,37.20,37.85,116967
30-Jan-17,38.10,38.10,37.35,37.40,82706
27-Jan-17,38.20,38.60,37.90,38.15,68568
26-Jan-17,38.60,38.65,38.05,38.35,90256
25-Jan-17,38.50,39.45,37.95,38.50,180417
24-Jan-17,37.40,38.50,37.05,38.35,100292
23-Jan-17,37.45,37.85,37.15,37.40,86023
20-Jan-17,37.60,38.20,37.35,37.65,88318
19-Jan-17,38.30,38.30,37.55,37.65,58010
18-Jan-17,38.25,38.60,38.00,38.35,81330
