Date,Open,High,Low,Close,Volume
31-Mar-17,5.55,5.55,5.49,5.55,3081
30-Mar-17,5.45,5.50,5.35,5.50,14827
29-Mar-17,5.25,5.50,5.25,5.50,22860
28-Mar-17,5.45,5.55,5.40,5.40,5965
27-Mar-17,5.45,5.50,5.40,5.45,13803
24-Mar-17,5.50,5.60,5.50,5.50,19160
23-Mar-17,5.44,5.55,5.44,5.45,13027
22-Mar-17,5.45,5.55,5.40,5.45,17772
21-Mar-17,5.46,5.50,5.44,5.50,10451
20-Mar-17,5.40,5.55,5.40,5.45,11436
17-Mar-17,5.41,5.50,5.40,5.40,21399
16-Mar-17,5.35,5.45,5.35,5.35,20619
15-Mar-17,5.55,5.61,5.35,5.45,23290
14-Mar-17,5.45,5.55,5.40,5.50,56788
13-Mar-17,5.55,5.55,5.40,5.40,11677
10-Mar-17,5.60,5.60,5.50,5.50,19340
9-Mar-17,5.40,5.55,5.40,5.50,50142
8-Mar-17,5.40,5.52,5.40,5.40,17620
7-Mar-17,5.30,5.50,5.30,5.35,49304
6-Mar-17,5.30,5.35,5.25,5.35,62994
3-Mar-17,5.29,5.30,5.25,5.25,28578
2-Mar-17,5.25,5.30,5.20,5.30,15765
1-Mar-17,5.20,5.30,5.20,5.25,89346
28-Feb-17,5.25,5.29,5.12,5.15,19596
27-Feb-17,5.30,5.35,5.20,5.25,31297
24-Feb-17,5.30,5.40,5.30,5.32,9955
23-Feb-17,5.30,5.32,5.25,5.30,16943
22-Feb-17,5.30,5.35,5.25,5.30,35714
21-Feb-17,5.35,5.35,5.30,5.35,24339
17-Feb-17,5.30,5.35,5.30,5.35,19099
16-Feb-17,5.35,5.40,5.25,5.30,32189
15-Feb-17,5.30,5.33,5.29,5.30,29305
14-Feb-17,5.30,5.40,5.30,5.30,42714
13-Feb-17,5.20,5.40,5.15,5.40,41538
10-Feb-17,5.35,5.35,5.10,5.20,23916
9-Feb-17,5.20,5.25,5.20,5.22,6655
8-Feb-17,5.20,5.25,5.20,5.20,4938
7-Feb-17,5.15,5.25,5.10,5.20,14510
6-Feb-17,5.10,5.25,5.10,5.15,5245
3-Feb-17,5.25,5.30,5.10,5.20,14640
2-Feb-17,5.25,5.30,5.20,5.30,28477
1-Feb-17,5.20,5.26,5.20,5.25,17069
31-Jan-17,5.20,5.30,5.15,5.15,7550
30-Jan-17,5.25,5.30,5.15,5.25,6101
27-Jan-17,5.25,5.30,5.20,5.30,4971
26-Jan-17,5.35,5.35,5.15,5.16,2806
25-Jan-17,5.25,5.30,5.25,5.30,16689
24-Jan-17,5.05,5.26,5.05,5.25,51243
23-Jan-17,5.40,5.40,5.18,5.25,26963
20-Jan-17,5.10,5.45,5.10,5.35,28619
19-Jan-17,5.15,5.20,5.10,5.15,9347
18-Jan-17,5.15,5.15,5.10,5.10,4687
17-Jan-17,5.25,5.25,5.10,5.10,7555
13-Jan-17,5.30,5.30,5.20,5.30,5258
12-Jan-17,5.15,5.20,5.10,5.20,4937
11-Jan-17,5.40,5.40,5.20,5.22,5291
10-Jan-17,5.15,5.40,5.10,5.35,8035
9-Jan-17,5.05,5.20,5.00,5.05,27307
6-Jan-17,5.45,5.45,5.05,5.05,29399
5-Jan-17,5.25,5.35,5.20,5.35,3709
4-Jan-17,5.35,5.35,5.25,5.25,2624
3-Jan-17,5.60,5.60,5.10,5.40,8895
30-Dec-16,5.25,5.50,5.20,5.50,93947
29-Dec-16,5.35,5.40,5.02,5.15,12772
28-Dec-16,5.60,5.60,5.20,5.30,13779
27-Dec-16,5.70,5.70,5.50,5.60,16300
23-Dec-16,5.50,5.70,5.50,5.60,8372
22-Dec-16,5.55,5.70,5.45,5.55,17226
21-Dec-16,5.30,5.55,5.15,5.50,12374
20-Dec-16,5.30,5.42,5.15,5.22,12453
19-Dec-16,5.25,5.45,5.12,5.45,32596
16-Dec-16,5.20,5.25,5.15,5.18,6143
15-Dec-16,5.05,5.20,5.05,5.15,28697
14-Dec-16,5.00,5.10,5.00,5.05,84976
13-Dec-16,5.10,5.14,5.05,5.05,14931
12-Dec-16,5.15,5.20,5.00,5.10,17434
9-Dec-16,5.11,5.20,5.10,5.20,13111
8-Dec-16,5.15,5.35,5.10,5.10,17243
7-Dec-16,5.10,5.15,5.08,5.15,23910
6-Dec-16,4.95,5.15,4.95,5.00,9965
5-Dec-16,5.00,5.05,4.90,4.90,4139
2-Dec-16,4.95,4.95,4.90,4.95,17945
1-Dec-16,5.00,5.05,4.95,4.95,7039
30-Nov-16,5.10,5.20,4.95,4.95,19440
29-Nov-16,4.95,5.15,4.95,4.95,8683
28-Nov-16,4.90,5.20,4.90,4.90,29928
25-Nov-16,5.10,5.10,4.85,4.95,15812
23-Nov-16,5.00,5.35,4.90,4.90,27308
22-Nov-16,4.95,5.10,4.95,5.10,17720
21-Nov-16,5.10,5.10,4.90,4.95,5938
18-Nov-16,5.00,5.15,4.90,5.15,40283
17-Nov-16,5.05,5.45,4.90,5.05,38240
16-Nov-16,4.90,5.05,4.82,5.00,39446
15-Nov-16,5.00,5.55,4.80,4.90,48557
14-Nov-16,4.90,5.10,4.90,5.00,1954
11-Nov-16,4.80,5.10,4.75,4.80,36176
10-Nov-16,4.70,4.85,4.70,4.75,26685
9-Nov-16,4.75,4.85,4.67,4.75,16504
8-Nov-16,4.82,5.25,4.75,4.80,19075
7-Nov-16,4.75,4.95,4.70,4.70,13284
