Date,Open,High,Low,Close,Volume
31-Mar-17,21.28,22.38,21.28,22.00,7539
30-Mar-17,21.60,21.60,21.26,21.54,4492
29-Mar-17,21.06,21.85,21.06,21.48,5560
28-Mar-17,20.40,21.95,20.40,20.89,7053
27-Mar-17,20.10,21.94,20.10,20.70,5443
24-Mar-17,19.95,20.07,19.86,20.02,3948
23-Mar-17,19.59,20.00,19.26,19.83,4914
22-Mar-17,19.79,20.30,19.73,19.77,9363
21-Mar-17,21.57,21.57,19.12,19.22,41918
20-Mar-17,21.90,22.00,21.15,21.15,36422
17-Mar-17,19.25,22.51,19.25,22.50,115660
16-Mar-17,19.11,19.24,19.07,19.07,1859
15-Mar-17,19.08,19.62,18.60,19.06,6923
14-Mar-17,19.06,19.06,18.73,18.75,3374
13-Mar-17,19.13,19.18,18.60,18.96,8400
10-Mar-17,19.17,19.20,19.00,19.00,2069
9-Mar-17,19.19,19.19,19.08,19.17,2679
8-Mar-17,19.10,19.20,19.10,19.19,2304
7-Mar-17,19.20,19.30,19.01,19.15,4228
6-Mar-17,19.91,19.91,19.16,19.16,7964
3-Mar-17,20.40,20.40,19.80,19.80,8121
2-Mar-17,19.50,21.48,19.50,20.16,38068
1-Mar-17,18.55,18.90,18.25,18.67,11038
28-Feb-17,18.42,18.48,17.45,17.59,29560
27-Feb-17,17.98,18.23,17.98,18.22,6627
24-Feb-17,17.99,17.99,17.88,17.99,2766
23-Feb-17,17.93,17.93,17.83,17.84,1856
22-Feb-17,17.95,17.95,17.67,17.67,2650
21-Feb-17,17.20,17.97,17.20,17.83,10516
17-Feb-17,17.61,17.61,16.83,17.03,25466
16-Feb-17,18.43,18.43,17.20,17.28,23772
15-Feb-17,18.37,18.43,18.27,18.31,2914
14-Feb-17,18.58,18.72,18.23,18.29,2768
13-Feb-17,18.15,18.61,18.15,18.44,2370
10-Feb-17,18.55,18.55,18.33,18.33,6004
9-Feb-17,18.10,18.35,18.08,18.33,7646
8-Feb-17,18.51,18.53,18.31,18.32,3471
7-Feb-17,18.19,18.36,18.00,18.33,6616
6-Feb-17,18.33,18.47,18.28,18.31,4232
3-Feb-17,18.07,18.61,18.07,18.33,3474
2-Feb-17,18.05,18.07,18.00,18.07,2248
1-Feb-17,18.47,18.67,17.93,18.00,3442
31-Jan-17,18.31,18.33,17.46,18.32,3258
30-Jan-17,17.56,17.60,17.43,17.60,3333
27-Jan-17,17.21,17.80,17.21,17.79,10545
26-Jan-17,17.29,17.29,17.10,17.21,1455
25-Jan-17,19.13,19.13,16.78,17.00,25528
24-Jan-17,17.86,19.52,17.59,17.59,6482
23-Jan-17,17.91,20.04,17.37,17.45,14482
20-Jan-17,17.27,17.84,17.27,17.84,7470
19-Jan-17,17.17,17.31,17.05,17.09,3146
18-Jan-17,17.17,17.32,16.97,17.00,9948
17-Jan-17,17.05,17.33,16.82,16.82,7708
13-Jan-17,17.08,17.08,16.72,16.72,3118
12-Jan-17,17.26,17.26,17.00,17.05,2910
11-Jan-17,17.03,17.33,17.03,17.24,2916
10-Jan-17,17.00,17.00,16.71,17.00,5602
9-Jan-17,16.81,17.06,16.81,17.06,1682
6-Jan-17,16.80,16.80,16.73,16.80,2280
5-Jan-17,16.72,16.80,16.72,16.73,2828
4-Jan-17,16.67,16.67,16.63,16.67,6003
3-Jan-17,16.78,16.78,16.60,16.60,5349
30-Dec-16,16.79,16.80,16.65,16.65,2342
29-Dec-16,16.75,16.80,16.65,16.70,2396
28-Dec-16,16.60,16.70,16.60,16.70,3042
27-Dec-16,16.60,16.60,16.50,16.50,1698
23-Dec-16,16.53,16.57,16.53,16.57,3750
21-Dec-16,16.62,16.62,16.62,16.62,280
20-Dec-16,16.78,16.78,16.78,16.78,616
16-Dec-16,16.60,16.64,16.59,16.62,3477
15-Dec-16,16.62,16.73,16.62,16.64,1515
14-Dec-16,16.79,16.79,16.63,16.63,3344
13-Dec-16,16.67,16.68,16.61,16.61,1628
12-Dec-16,16.70,16.80,16.63,16.65,3554
9-Dec-16,16.33,16.78,16.33,16.69,17787
8-Dec-16,16.36,16.47,16.36,16.37,1767
7-Dec-16,16.31,16.41,16.31,16.41,1438
6-Dec-16,16.37,16.47,16.37,16.47,1364
5-Dec-16,16.47,16.47,16.42,16.42,6705
2-Dec-16,16.47,16.48,16.47,16.48,616
1-Dec-16,16.50,16.50,16.50,16.50,519
30-Nov-16,16.60,16.63,16.58,16.60,2871
29-Nov-16,16.47,16.63,16.47,16.47,6105
28-Nov-16,16.57,16.65,16.50,16.50,1768
25-Nov-16,16.50,16.54,16.43,16.43,1302
21-Nov-16,16.50,16.67,16.48,16.67,4258
18-Nov-16,16.33,16.42,16.33,16.36,634
17-Nov-16,16.47,16.47,16.37,16.37,1394
16-Nov-16,16.63,16.67,16.35,16.35,5610
15-Nov-16,16.32,16.62,16.32,16.62,3393
11-Nov-16,16.31,16.39,16.31,16.33,1707
10-Nov-16,16.60,16.60,16.31,16.31,7557
9-Nov-16,16.57,16.57,16.23,16.31,7020
8-Nov-16,16.34,16.40,16.34,16.40,1430
7-Nov-16,16.37,16.57,16.31,16.31,6548
4-Nov-16,16.31,16.43,16.31,16.43,1692
3-Nov-16,16.32,16.43,16.32,16.43,1100
2-Nov-16,16.62,16.62,16.53,16.57,2378
1-Nov-16,16.53,16.62,16.52,16.52,2046
31-Oct-16,16.32,16.40,16.23,16.40,3754
28-Oct-16,16.31,16.31,16.31,16.31,262
27-Oct-16,16.33,16.35,16.33,16.33,1710
26-Oct-16,16.31,16.32,16.31,16.31,802
25-Oct-16,16.33,16.33,16.31,16.32,1710
24-Oct-16,16.31,16.31,16.31,16.31,1362
21-Oct-16,16.31,16.31,16.31,16.31,450
20-Oct-16,16.31,16.39,16.31,16.31,2139
19-Oct-16,16.33,16.33,16.31,16.32,4707
18-Oct-16,16.31,16.33,16.31,16.31,3040
17-Oct-16,16.22,16.31,16.00,16.31,4120
13-Oct-16,16.27,16.29,16.27,16.29,618
11-Oct-16,16.27,16.45,16.27,16.45,1988
10-Oct-16,16.27,16.41,16.27,16.41,920
7-Oct-16,16.26,16.28,16.00,16.28,1875
6-Oct-16,16.33,16.33,16.33,16.33,410
5-Oct-16,15.81,15.81,15.81,15.81,1292
4-Oct-16,16.33,16.33,15.93,15.93,7455
3-Oct-16,16.30,16.30,16.30,16.30,396
28-Sep-16,15.83,16.10,15.79,15.79,3120
27-Sep-16,15.77,15.77,15.77,15.77,801
26-Sep-16,16.33,16.33,16.33,16.33,326
22-Sep-16,16.33,16.33,16.01,16.17,1004
21-Sep-16,16.00,16.35,15.83,16.35,2847
20-Sep-16,15.73,16.13,15.73,16.13,321
19-Sep-16,15.82,15.82,15.82,15.82,675
16-Sep-16,15.89,16.18,15.89,16.18,4029
15-Sep-16,16.00,16.00,15.77,15.99,2342
14-Sep-16,15.70,15.70,15.60,15.70,1575
13-Sep-16,15.58,15.69,15.55,15.69,3112
12-Sep-16,15.51,15.51,15.51,15.51,226
9-Sep-16,15.72,15.72,15.50,15.68,4814
8-Sep-16,15.61,15.73,15.61,15.73,1186
7-Sep-16,15.57,15.73,15.53,15.55,3942
6-Sep-16,15.51,15.71,15.51,15.57,2008
2-Sep-16,15.56,15.56,15.41,15.41,1197
1-Sep-16,15.70,15.70,15.70,15.70,694
31-Aug-16,15.57,15.77,15.57,15.58,2565
30-Aug-16,15.71,15.76,15.57,15.57,1011
29-Aug-16,15.90,15.90,15.82,15.90,1654
26-Aug-16,15.59,15.95,15.53,15.53,1090
25-Aug-16,15.57,16.05,15.57,15.57,1629
24-Aug-16,15.67,15.83,15.65,15.83,2406
23-Aug-16,15.68,16.06,15.68,15.75,6458
22-Aug-16,15.43,15.71,15.42,15.61,4556
19-Aug-16,15.66,15.66,15.47,15.51,1269
18-Aug-16,15.75,16.39,14.88,15.47,28454
17-Aug-16,16.08,16.08,15.97,16.04,6662
16-Aug-16,16.30,16.34,16.17,16.17,2156
15-Aug-16,16.33,16.33,16.21,16.33,1035
12-Aug-16,16.30,16.30,16.30,16.30,189
11-Aug-16,16.50,16.50,16.40,16.40,1556
10-Aug-16,16.40,16.49,16.26,16.49,2406
9-Aug-16,16.26,16.35,16.23,16.35,1058
8-Aug-16,16.33,16.49,16.17,16.43,1994
