Date,Open,High,Low,Close,Volume
31-Mar-17,34.05,35.25,34.05,35.05,52994
30-Mar-17,34.20,34.30,33.95,34.20,19546
29-Mar-17,34.25,34.65,34.05,34.40,10816
28-Mar-17,34.45,34.60,34.15,34.40,17861
27-Mar-17,33.80,34.65,33.80,34.60,20033
24-Mar-17,34.20,34.50,33.95,34.00,17425
23-Mar-17,34.05,34.85,33.95,34.20,23094
22-Mar-17,34.55,35.00,33.80,34.15,28630
21-Mar-17,35.10,35.10,34.30,34.45,27787
20-Mar-17,35.35,35.40,34.63,34.85,22466
17-Mar-17,34.45,35.60,34.45,35.45,182650
16-Mar-17,35.00,35.15,34.60,34.70,29239
15-Mar-17,33.95,35.25,33.95,35.05,34325
14-Mar-17,33.50,34.22,33.20,34.00,33521
13-Mar-17,33.65,34.05,33.10,33.65,47103
10-Mar-17,33.45,34.10,33.45,33.80,27482
9-Mar-17,34.60,34.69,33.15,33.20,30024
8-Mar-17,35.55,35.55,34.40,34.40,21192
7-Mar-17,35.40,35.85,35.25,35.50,18977
6-Mar-17,35.65,36.05,35.20,35.60,16918
3-Mar-17,36.80,36.80,35.55,36.05,21128
2-Mar-17,36.70,36.95,36.50,36.80,14385
1-Mar-17,36.20,37.25,36.20,36.80,23008
28-Feb-17,36.35,36.40,35.60,36.00,39144
27-Feb-17,36.35,36.55,36.00,36.35,25697
24-Feb-17,36.10,37.15,35.90,36.50,15226
23-Feb-17,35.90,36.80,35.90,36.65,16964
22-Feb-17,35.10,36.00,35.05,35.85,19250
21-Feb-17,35.00,35.15,34.60,35.15,27167
17-Feb-17,34.90,34.95,34.70,34.85,20361
16-Feb-17,34.95,35.15,34.60,34.85,22069
15-Feb-17,34.30,35.10,34.30,35.00,15046
14-Feb-17,34.75,34.75,34.30,34.50,15551
13-Feb-17,34.75,34.95,34.45,34.90,21182
10-Feb-17,33.90,34.55,33.90,34.45,16573
9-Feb-17,33.75,34.50,33.70,33.90,17569
8-Feb-17,34.35,34.66,33.40,33.65,31427
7-Feb-17,34.20,34.60,33.35,34.30,39333
6-Feb-17,34.65,34.80,34.25,34.25,15425
3-Feb-17,35.00,35.00,34.65,34.80,18653
2-Feb-17,34.90,35.05,34.70,34.85,11637
1-Feb-17,35.90,36.00,34.60,34.75,20596
31-Jan-17,35.05,35.95,35.00,35.80,28623
30-Jan-17,36.85,36.85,35.40,35.40,28396
27-Jan-17,37.50,37.65,36.65,36.85,18959
26-Jan-17,37.40,37.90,37.00,37.65,26511
25-Jan-17,37.35,37.80,36.80,37.40,15182
24-Jan-17,36.35,37.50,36.00,37.25,46337
23-Jan-17,36.65,36.74,35.95,36.20,30106
20-Jan-17,36.05,37.00,36.05,36.85,35638
19-Jan-17,36.75,36.90,36.00,36.10,18615
18-Jan-17,36.75,37.00,36.35,36.75,31256
17-Jan-17,36.40,36.75,36.25,36.50,27762
13-Jan-17,35.70,36.40,35.70,36.15,21864
12-Jan-17,36.80,37.00,35.40,35.70,33959
11-Jan-17,36.35,37.25,36.15,37.15,28457
10-Jan-17,35.30,36.30,35.16,36.30,49016
9-Jan-17,36.90,37.20,35.75,35.75,43284
6-Jan-17,38.20,38.40,36.90,37.00,25315
5-Jan-17,38.70,38.70,37.91,38.35,32270
4-Jan-17,38.30,39.00,38.10,38.75,28070
3-Jan-17,38.60,38.60,37.44,38.30,33287
30-Dec-16,38.15,38.30,37.80,38.20,12674
29-Dec-16,38.30,38.55,37.90,38.10,21687
28-Dec-16,39.10,39.10,37.95,38.00,14182
27-Dec-16,38.75,39.45,38.75,39.10,20630
23-Dec-16,38.70,38.80,38.30,38.75,14508
22-Dec-16,38.50,38.85,38.25,38.60,29346
21-Dec-16,38.00,38.80,37.90,38.50,27273
20-Dec-16,38.35,38.65,37.85,38.10,60435
19-Dec-16,38.60,39.10,38.15,38.15,72803
16-Dec-16,38.65,39.50,38.50,38.70,130729
15-Dec-16,38.10,39.35,37.75,38.65,39088
14-Dec-16,39.50,39.65,38.05,38.10,28993
13-Dec-16,39.40,39.85,39.02,39.40,32304
12-Dec-16,38.95,39.56,38.20,39.15,27358
9-Dec-16,38.70,39.15,38.45,39.00,28716
8-Dec-16,37.45,38.95,37.10,38.80,40413
7-Dec-16,37.70,37.85,37.25,37.45,31107
6-Dec-16,36.95,37.50,36.80,37.30,30498
5-Dec-16,36.60,37.00,36.28,36.95,28296
2-Dec-16,36.15,36.75,36.05,36.30,32552
1-Dec-16,36.55,37.15,35.60,36.00,30117
30-Nov-16,37.60,37.70,36.05,36.40,46362
29-Nov-16,37.30,38.60,37.20,37.70,55734
28-Nov-16,37.00,38.05,36.90,37.20,34298
25-Nov-16,36.40,36.95,36.12,36.85,16938
23-Nov-16,36.95,36.95,36.10,36.40,35704
22-Nov-16,34.40,37.15,34.22,37.00,76953
21-Nov-16,34.50,34.70,34.09,34.45,33970
18-Nov-16,33.55,34.50,33.50,34.45,42384
17-Nov-16,33.05,33.95,33.00,33.65,35482
16-Nov-16,32.45,33.02,32.45,33.00,65952
15-Nov-16,32.15,32.90,31.35,32.65,28279
14-Nov-16,32.50,32.50,30.25,32.25,37891
11-Nov-16,30.60,32.50,30.60,32.50,69614
10-Nov-16,30.60,30.95,29.70,30.55,44877
9-Nov-16,29.40,30.75,29.10,30.65,34492
8-Nov-16,29.75,30.45,29.55,29.90,24948
7-Nov-16,29.65,29.96,29.30,29.70,41291
4-Nov-16,29.75,29.95,29.40,29.40,29426
3-Nov-16,29.80,30.70,29.50,29.65,18675
2-Nov-16,30.50,30.55,29.45,29.85,30424
1-Nov-16,31.50,31.90,30.45,30.45,28006
31-Oct-16,31.10,31.80,30.90,31.60,27509
28-Oct-16,30.95,31.40,30.95,31.25,14114
27-Oct-16,31.50,31.50,31.15,31.25,15989
26-Oct-16,31.65,32.15,31.45,31.48,17731
25-Oct-16,32.20,32.30,31.00,31.90,18770
24-Oct-16,32.60,32.85,32.25,32.40,21210
21-Oct-16,31.85,32.70,31.20,32.50,101023
20-Oct-16,31.40,31.95,31.34,31.85,26484
19-Oct-16,30.70,31.45,30.55,31.30,34309
18-Oct-16,30.35,31.15,29.73,30.85,36324
17-Oct-16,28.85,30.40,28.85,30.15,41569
14-Oct-16,29.10,29.31,28.97,29.00,24652
13-Oct-16,29.00,29.35,28.80,28.85,24291
12-Oct-16,28.85,29.40,28.85,29.10,26714
11-Oct-16,28.85,29.35,28.70,28.85,37596
10-Oct-16,29.00,29.30,28.85,29.05,17351
7-Oct-16,29.20,29.30,28.62,28.64,27248
6-Oct-16,28.72,29.10,28.61,29.01,14477
5-Oct-16,28.85,29.07,28.70,28.83,19491
4-Oct-16,29.08,29.08,28.74,28.76,19397
3-Oct-16,29.61,29.61,29.00,29.04,16329
30-Sep-16,29.49,29.77,29.28,29.66,31676
29-Sep-16,30.06,30.06,29.30,29.36,21305
28-Sep-16,30.01,30.33,30.01,30.21,23343
27-Sep-16,30.42,30.64,30.14,30.18,19342
26-Sep-16,30.64,30.64,30.07,30.32,22068
23-Sep-16,30.82,31.00,30.67,30.84,19001
22-Sep-16,30.25,30.99,29.93,30.90,23155
21-Sep-16,30.00,30.17,29.60,30.12,22490
20-Sep-16,29.60,30.00,29.60,29.89,27170
19-Sep-16,29.20,29.68,29.20,29.60,16037
16-Sep-16,28.69,29.25,28.66,29.25,39016
15-Sep-16,27.94,28.61,27.94,28.58,17263
14-Sep-16,28.00,28.12,27.81,27.90,13986
13-Sep-16,28.31,28.32,27.92,27.94,31422
