Stock,Date,Open,High,Low,Close,Volume
bbl,4-Apr-16,22.43,22.64,21.68,21.71,3441825
bbl,5-Apr-16,20.83,21.14,20.76,20.98,2511610
bbl,6-Apr-16,20.65,21.18,20.36,21.16,2709545
bbl,7-Apr-16,20.82,21.15,20.64,20.68,2201440
bbl,8-Apr-16,21.55,21.80,21.43,21.53,2215153
bbl,11-Apr-16,22.31,22.61,22.17,22.35,1745277
bbl,12-Apr-16,23.04,23.55,22.80,23.41,2386611
bbl,13-Apr-16,24.87,25.31,24.75,25.12,4159966
bbl,14-Apr-16,25.56,25.85,25.25,25.56,5056488
bbl,15-Apr-16,25.52,25.90,25.27,25.66,2380531
bbl,18-Apr-16,25.56,26.55,25.41,26.45,2411080
bbl,19-Apr-16,27.38,28.03,27.17,27.98,3168296
bbl,20-Apr-16,28.33,29.42,28.18,29.13,6039198
bbl,21-Apr-16,29.13,29.30,28.06,28.20,7841228
bbl,22-Apr-16,28.62,28.86,28.16,28.43,3765142
bbl,25-Apr-16,27.40,27.60,26.96,27.29,4496732
bbl,26-Apr-16,27.53,27.63,27.09,27.60,2764591
bbl,27-Apr-16,26.81,27.52,26.80,27.44,4760697
bbl,28-Apr-16,27.68,28.16,27.40,27.51,3711224
bbl,29-Apr-16,27.58,28.09,27.35,27.57,2966319
bbl,2-May-16,27.85,27.85,27.23,27.56,3164030
bbl,3-May-16,26.33,26.33,25.57,25.81,3762922
bbl,4-May-16,24.44,24.91,24.02,24.16,4117912
bbl,5-May-16,24.68,24.97,23.96,24.19,3548462
bbl,6-May-16,23.92,24.88,23.92,24.54,3280469
bbl,9-May-16,23.58,23.58,22.96,23.17,3784699
bbl,10-May-16,23.53,24.11,23.42,24.08,2222568
bbl,11-May-16,24.47,24.66,23.93,24.25,2706613
bbl,12-May-16,24.26,24.41,23.35,23.63,2636290
bbl,13-May-16,23.52,23.96,23.39,23.46,2598281
bbl,16-May-16,24.20,24.86,24.19,24.36,2697206
bbl,17-May-16,24.61,25.48,24.38,25.12,4167918
bbl,18-May-16,24.42,25.02,24.09,24.22,3504063
bbl,19-May-16,23.66,24.38,23.43,24.24,3151913
bbl,20-May-16,24.39,24.66,23.74,23.79,2136629
bbl,23-May-16,23.35,23.98,23.25,23.77,2445857
bbl,24-May-16,24.11,24.29,23.83,24.07,2272761
bbl,25-May-16,24.53,25.24,24.46,25.15,2832666
bbl,26-May-16,25.82,25.87,24.98,25.03,4080497
bbl,27-May-16,25.08,25.13,24.43,24.59,2571822
bbl,31-May-16,24.16,24.86,23.86,23.94,3380178
bbl,1-Jun-16,23.30,23.86,23.12,23.76,3077437
bbl,2-Jun-16,23.39,23.86,23.35,23.80,1972930
bbl,3-Jun-16,24.47,24.87,24.26,24.84,2739045
bbl,6-Jun-16,25.60,26.18,25.52,26.15,2982029
bbl,7-Jun-16,25.86,26.16,25.72,25.76,1941575
bbl,8-Jun-16,26.56,26.82,26.36,26.46,2031354
bbl,9-Jun-16,25.46,25.59,24.73,24.86,5241725
bbl,10-Jun-16,23.86,24.17,23.36,23.46,5616525
bbl,13-Jun-16,23.31,23.83,23.26,23.50,3339095
bbl,14-Jun-16,22.98,23.25,22.41,22.72,4139313
bbl,15-Jun-16,23.05,23.84,23.05,23.37,4229035
bbl,16-Jun-16,22.82,23.33,22.37,23.29,3360099
bbl,17-Jun-16,23.72,24.39,23.61,24.20,3827750
bbl,20-Jun-16,24.95,25.35,24.82,24.97,3265313
bbl,21-Jun-16,25.00,25.22,24.66,25.06,3169706
bbl,22-Jun-16,25.47,25.51,24.96,24.97,3611545
bbl,23-Jun-16,25.69,26.14,25.33,26.08,2169585
bbl,24-Jun-16,23.37,24.27,23.36,23.75,3718789
bbl,27-Jun-16,22.79,23.06,22.39,22.71,4603332
bbl,28-Jun-16,23.94,24.19,23.57,23.88,3143886
bbl,29-Jun-16,24.65,24.79,24.36,24.40,3746242
bbl,30-Jun-16,25.14,25.38,24.78,25.38,5010100
bbl,1-Jul-16,24.90,25.36,24.84,25.27,2706889
bbl,5-Jul-16,25.00,25.13,24.30,24.41,2812847
bbl,6-Jul-16,24.07,24.89,23.97,24.89,2766447
bbl,7-Jul-16,25.31,25.42,24.02,24.18,3041730
bbl,8-Jul-16,24.89,25.40,24.89,25.40,3171271
bbl,11-Jul-16,25.67,26.11,25.63,25.88,1819509
bbl,12-Jul-16,26.32,26.80,26.32,26.68,2254381
bbl,13-Jul-16,27.47,27.49,26.38,26.67,2327844
bbl,14-Jul-16,26.96,27.08,26.66,26.82,1883366
bbl,15-Jul-16,26.72,26.87,26.24,26.40,1610883
bbl,18-Jul-16,26.05,26.21,25.74,26.19,1764427
bbl,19-Jul-16,25.26,25.43,24.68,24.78,2512318
bbl,20-Jul-16,24.24,24.58,23.96,24.40,2554730
bbl,21-Jul-16,24.85,25.31,24.78,24.88,1804762
bbl,22-Jul-16,24.70,24.75,24.30,24.51,1438484
bbl,25-Jul-16,24.59,24.59,24.08,24.26,1705217
bbl,26-Jul-16,24.67,25.42,24.60,25.37,2841936
bbl,27-Jul-16,25.72,26.04,25.32,25.71,2620058
bbl,28-Jul-16,25.63,25.70,25.32,25.51,1899380
bbl,29-Jul-16,25.10,25.61,24.91,25.56,3783025
bbl,1-Aug-16,25.67,25.80,25.34,25.37,2918795
bbl,2-Aug-16,25.46,25.56,24.94,25.30,2290773
bbl,3-Aug-16,25.36,25.90,25.18,25.88,2256916
bbl,4-Aug-16,25.85,26.28,25.71,26.20,2731014
bbl,5-Aug-16,26.52,26.88,26.28,26.88,2451071
bbl,8-Aug-16,27.26,27.64,27.26,27.37,1587926
bbl,9-Aug-16,27.20,27.49,27.15,27.23,1863768
bbl,10-Aug-16,27.59,27.64,26.93,26.99,1640912
bbl,11-Aug-16,27.09,27.56,26.97,27.44,1293072
bbl,12-Aug-16,27.18,27.27,26.75,26.84,1172642
bbl,15-Aug-16,26.83,27.16,26.83,27.01,1405028
bbl,16-Aug-16,27.96,27.97,27.40,27.40,1992099
bbl,17-Aug-16,27.45,27.81,27.15,27.81,2186289
bbl,18-Aug-16,28.33,28.48,28.13,28.37,1524557
