Date,Open,High,Low,Close,Volume
31-Mar-17,31.11,31.37,31.02,31.15,1228324
30-Mar-17,31.64,32.00,31.62,31.71,1412546
29-Mar-17,31.10,31.82,31.04,31.63,2221547
28-Mar-17,30.80,31.31,30.67,31.20,2720233
27-Mar-17,30.25,30.72,30.04,30.63,2069435
24-Mar-17,31.48,31.55,31.08,31.24,1892038
23-Mar-17,31.82,31.95,31.47,31.61,1607198
22-Mar-17,31.51,31.97,31.36,31.85,2406467
21-Mar-17,32.94,33.02,31.77,31.78,1861313
20-Mar-17,32.84,33.19,32.78,33.11,1426554
17-Mar-17,32.93,33.15,32.78,32.97,1671991
16-Mar-17,33.19,33.19,32.59,32.70,2310464
15-Mar-17,31.71,32.74,31.42,32.70,2137154
14-Mar-17,30.97,31.25,30.70,31.12,1722328
13-Mar-17,31.48,31.54,31.24,31.32,1729293
10-Mar-17,31.00,31.04,30.43,30.68,1915744
9-Mar-17,30.88,31.05,30.43,30.69,2614889
8-Mar-17,32.20,32.21,31.21,31.23,2454670
7-Mar-17,33.09,33.12,32.80,32.84,1704317
6-Mar-17,33.03,33.14,32.84,33.06,1516587
3-Mar-17,33.45,33.90,33.33,33.84,1698890
2-Mar-17,33.37,33.59,32.93,32.94,1961002
1-Mar-17,33.32,33.74,33.26,33.64,2241139
28-Feb-17,32.36,32.61,32.31,32.49,1912078
27-Feb-17,32.87,33.41,32.82,33.14,2160802
24-Feb-17,32.74,33.05,32.56,32.67,2096554
23-Feb-17,34.86,34.91,33.64,33.76,2146490
22-Feb-17,33.97,34.39,33.94,34.32,2475803
21-Feb-17,34.98,35.43,34.98,35.30,1767487
17-Feb-17,34.77,34.93,34.65,34.92,1250073
16-Feb-17,35.60,35.73,35.37,35.49,1292151
15-Feb-17,35.45,35.73,35.30,35.51,1670381
14-Feb-17,34.89,35.19,34.60,35.18,1750131
13-Feb-17,35.06,35.10,34.64,34.99,3044656
10-Feb-17,34.31,34.62,34.26,34.47,3201023
9-Feb-17,33.64,33.96,33.37,33.90,3461163
8-Feb-17,33.79,34.08,33.56,33.70,3755138
7-Feb-17,34.75,34.86,34.37,34.41,4416989
6-Feb-17,34.65,34.88,34.44,34.69,1669235
3-Feb-17,35.09,35.29,34.73,34.91,2057357
2-Feb-17,36.16,36.39,35.85,36.10,1439126
1-Feb-17,36.89,37.01,36.40,36.85,1588854
31-Jan-17,36.62,36.66,36.13,36.59,2452243
30-Jan-17,35.96,36.07,35.45,35.64,1650043
27-Jan-17,36.77,36.83,36.30,36.42,1522327
26-Jan-17,36.45,36.71,36.19,36.49,1749580
25-Jan-17,36.68,37.10,36.60,37.04,1984183
24-Jan-17,37.30,37.44,37.00,37.20,1553569
23-Jan-17,35.92,36.07,35.79,36.06,1188289
20-Jan-17,35.54,35.79,35.44,35.58,974175
19-Jan-17,35.74,35.85,35.38,35.64,1462523
18-Jan-17,35.46,36.00,35.41,35.73,1081217
17-Jan-17,35.72,35.91,35.42,35.49,986348
13-Jan-17,35.27,35.58,35.05,35.45,1074847
12-Jan-17,35.80,35.80,35.15,35.24,1357438
11-Jan-17,34.87,35.02,34.33,35.01,2137412
10-Jan-17,34.11,34.30,33.87,34.21,2112247
9-Jan-17,32.45,32.76,32.41,32.44,995214
6-Jan-17,32.83,32.91,32.42,32.48,868274
5-Jan-17,32.53,33.01,32.51,32.94,1182456
4-Jan-17,32.32,32.75,32.20,32.74,1603864
3-Jan-17,32.57,32.78,32.46,32.74,2147253
30-Dec-16,32.16,32.20,31.40,31.46,1208737
29-Dec-16,32.04,32.11,31.76,31.86,1004694
28-Dec-16,32.24,32.37,31.85,31.85,1296107
27-Dec-16,31.24,31.41,31.24,31.29,498893
23-Dec-16,31.12,31.29,31.00,31.13,957455
22-Dec-16,31.58,31.70,31.21,31.26,2019829
21-Dec-16,32.10,32.18,31.97,32.00,2107452
20-Dec-16,31.91,32.37,31.86,32.29,1865304
19-Dec-16,31.74,32.02,31.63,31.79,2186452
16-Dec-16,32.42,32.72,32.24,32.33,2880162
15-Dec-16,32.69,32.84,32.50,32.74,2009003
14-Dec-16,34.25,34.85,33.47,33.49,2683828
13-Dec-16,35.18,35.32,34.30,34.40,2710061
12-Dec-16,35.72,35.83,35.21,35.28,2780292
9-Dec-16,34.51,34.53,33.84,34.04,1780424
8-Dec-16,35.30,35.32,34.43,34.56,2206823
7-Dec-16,34.17,34.59,34.11,34.51,1967927
6-Dec-16,33.14,33.68,33.11,33.66,1989720
5-Dec-16,34.07,34.43,33.87,34.35,1597203
2-Dec-16,32.84,33.53,32.80,33.47,1408632
1-Dec-16,33.21,33.86,33.10,33.43,2091907
30-Nov-16,33.32,33.48,32.85,33.12,2484837
29-Nov-16,32.77,33.00,32.57,32.68,1614645
28-Nov-16,33.58,33.91,33.50,33.60,1525626
25-Nov-16,33.90,34.04,33.65,33.92,921916
23-Nov-16,33.12,34.26,33.10,34.24,2086525
22-Nov-16,33.03,33.71,32.93,33.68,2287036
21-Nov-16,31.84,32.04,31.71,31.99,1584880
18-Nov-16,31.26,31.43,30.92,31.26,1581891
17-Nov-16,31.95,32.03,31.62,31.80,2472302
16-Nov-16,31.47,31.71,31.22,31.32,1821068
15-Nov-16,31.62,32.07,31.47,32.05,2622587
14-Nov-16,33.20,33.57,33.06,33.46,2969440
11-Nov-16,33.14,33.24,32.40,33.07,3839456
10-Nov-16,34.12,34.40,33.07,33.40,4439863
9-Nov-16,32.91,33.72,32.71,33.18,5349162
8-Nov-16,31.10,31.95,30.91,31.79,2865041
7-Nov-16,30.22,30.67,30.11,30.65,1692607
4-Nov-16,29.00,29.44,28.97,29.20,1907324
3-Nov-16,29.76,30.03,29.56,29.63,2429281
2-Nov-16,29.97,30.21,29.62,29.62,2663308
1-Nov-16,30.90,30.90,29.92,30.08,2831271
31-Oct-16,30.44,30.48,30.15,30.24,2178790
28-Oct-16,29.99,30.29,29.95,30.09,1921959
27-Oct-16,30.28,30.28,29.91,30.09,1659806
26-Oct-16,30.35,30.62,30.25,30.58,1901960
25-Oct-16,30.62,30.96,30.56,30.92,2158572
24-Oct-16,30.51,30.56,29.96,30.23,1837878
21-Oct-16,29.98,30.19,29.93,30.15,1851320
20-Oct-16,30.01,30.37,29.69,30.25,1607706
19-Oct-16,30.11,30.30,29.95,30.21,2037383
18-Oct-16,30.43,30.44,30.00,30.05,1912470
17-Oct-16,29.44,29.68,29.28,29.35,1891772
14-Oct-16,29.92,30.21,29.54,29.55,2154190
13-Oct-16,29.03,29.65,28.85,29.45,2463570
12-Oct-16,30.43,30.87,30.29,30.43,2646558
11-Oct-16,31.25,31.30,30.23,30.46,2398744
