Date,Open,High,Low,Close,Volume
31-Mar-17,36.39,36.59,36.23,36.32,1873656
30-Mar-17,36.89,37.28,36.77,36.90,2075773
29-Mar-17,36.43,37.15,36.37,36.89,2197858
28-Mar-17,36.03,36.72,35.91,36.53,4391393
27-Mar-17,35.42,35.94,35.18,35.83,3256758
24-Mar-17,36.62,36.78,36.31,36.51,2885500
23-Mar-17,36.98,37.12,36.64,36.82,2354153
22-Mar-17,36.71,37.20,36.50,37.07,2914160
21-Mar-17,38.18,38.28,36.92,36.96,3675220
20-Mar-17,38.11,38.54,38.04,38.45,2384182
17-Mar-17,38.21,38.35,38.11,38.18,1981766
16-Mar-17,38.29,38.38,37.84,37.91,4781365
15-Mar-17,36.73,38.04,36.39,37.96,3392239
14-Mar-17,35.97,36.26,35.68,36.15,3928260
13-Mar-17,36.39,36.61,36.21,36.38,2596332
10-Mar-17,36.05,36.05,35.38,35.64,3765497
9-Mar-17,35.87,36.12,35.39,35.67,4457211
8-Mar-17,37.45,37.54,36.38,36.44,3379148
7-Mar-17,38.45,38.51,38.04,38.16,3251831
6-Mar-17,38.39,38.51,38.10,38.34,2461989
3-Mar-17,38.51,39.12,38.47,39.06,3187691
2-Mar-17,38.65,38.92,37.97,38.03,4893352
1-Mar-17,38.57,38.99,38.53,38.82,5016620
28-Feb-17,37.63,37.88,37.52,37.82,4573634
27-Feb-17,38.24,38.79,38.12,38.60,3363689
24-Feb-17,38.13,38.33,37.83,37.97,3276923
23-Feb-17,40.39,40.46,38.96,39.11,3999892
22-Feb-17,39.50,39.86,39.48,39.81,4035551
21-Feb-17,40.59,40.97,40.43,40.75,2574524
17-Feb-17,40.27,40.36,40.07,40.28,2275791
16-Feb-17,41.07,41.23,40.79,40.99,2743279
15-Feb-17,40.73,40.97,40.55,40.74,2243853
14-Feb-17,40.36,40.50,39.92,40.47,2193208
13-Feb-17,40.53,40.64,40.13,40.43,3084397
10-Feb-17,39.68,40.24,39.60,40.09,4407447
9-Feb-17,38.56,39.26,38.26,39.21,4427248
8-Feb-17,38.57,38.88,38.32,38.70,3255708
7-Feb-17,39.32,39.54,39.05,39.18,2372801
6-Feb-17,39.42,39.59,39.17,39.30,1924184
3-Feb-17,39.99,40.06,39.24,39.39,4439945
2-Feb-17,40.93,41.19,40.67,40.93,1956788
1-Feb-17,41.50,41.68,41.01,41.41,1984494
31-Jan-17,41.48,41.67,40.89,41.29,3045426
30-Jan-17,40.77,40.88,40.34,40.62,2548135
27-Jan-17,41.38,41.52,41.03,41.24,1571921
26-Jan-17,41.12,41.43,40.84,41.14,2526763
25-Jan-17,41.18,41.74,41.09,41.68,2735420
24-Jan-17,41.51,41.79,41.29,41.55,3138208
23-Jan-17,40.30,40.43,40.10,40.32,2008522
20-Jan-17,39.90,40.11,39.74,39.93,1565953
19-Jan-17,40.08,40.34,39.77,40.05,1948577
18-Jan-17,39.77,40.43,39.75,40.16,2297088
17-Jan-17,40.13,40.30,39.78,39.85,1872592
13-Jan-17,39.62,39.96,39.50,39.84,1706343
12-Jan-17,40.13,40.19,39.60,39.74,2353190
11-Jan-17,39.14,39.42,38.66,39.38,4407630
10-Jan-17,38.37,38.84,38.25,38.56,4722825
9-Jan-17,37.03,37.25,36.81,36.85,2426325
6-Jan-17,37.29,37.46,36.92,36.96,1663021
5-Jan-17,37.06,37.60,36.99,37.52,1807869
4-Jan-17,36.66,37.24,36.61,37.17,3795935
3-Jan-17,36.96,37.10,36.68,37.02,3750300
30-Dec-16,36.58,36.65,35.64,35.78,1894539
29-Dec-16,36.49,36.52,36.09,36.27,2625343
28-Dec-16,36.55,36.89,36.20,36.22,2632321
27-Dec-16,35.57,35.77,35.50,35.64,1273004
23-Dec-16,35.41,35.61,35.27,35.41,1482052
22-Dec-16,35.78,36.06,35.56,35.64,2446707
21-Dec-16,36.44,36.44,36.12,36.19,1596661
20-Dec-16,36.01,36.60,36.00,36.53,2448513
19-Dec-16,35.97,36.22,35.81,35.91,2600708
16-Dec-16,36.65,36.99,36.35,36.40,3576732
15-Dec-16,36.90,37.08,36.59,37.03,3373619
14-Dec-16,38.55,39.19,37.54,37.57,3134878
13-Dec-16,39.55,39.63,38.47,38.77,3712300
12-Dec-16,40.01,40.20,39.54,39.57,3719993
9-Dec-16,38.89,38.89,38.14,38.48,2059742
8-Dec-16,39.70,39.80,38.80,38.90,3118663
7-Dec-16,38.62,39.16,38.59,38.92,3045007
6-Dec-16,37.40,38.36,37.40,38.34,3520318
5-Dec-16,38.50,38.91,38.28,38.74,3447383
2-Dec-16,37.20,38.04,37.15,38.02,2222707
1-Dec-16,37.74,38.37,37.53,37.80,2932130
30-Nov-16,37.94,38.14,37.22,37.54,4197782
29-Nov-16,37.41,37.80,37.20,37.42,2651530
28-Nov-16,38.38,38.77,38.30,38.34,2202512
25-Nov-16,38.55,38.89,38.42,38.74,2336402
23-Nov-16,37.63,38.73,37.63,38.73,2643457
22-Nov-16,37.40,38.35,37.36,38.31,4753838
21-Nov-16,36.07,36.46,35.98,36.44,3082781
18-Nov-16,35.62,35.62,35.13,35.48,2121173
17-Nov-16,36.14,36.34,35.72,35.92,3218304
16-Nov-16,36.00,36.13,35.55,35.67,2932199
15-Nov-16,35.92,36.60,35.69,36.59,4782929
14-Nov-16,37.60,37.86,37.38,37.74,4313199
11-Nov-16,37.82,37.96,36.97,37.50,4192957
10-Nov-16,38.65,39.12,37.59,38.13,8226714
9-Nov-16,37.58,38.61,37.34,37.86,11138698
8-Nov-16,35.85,36.92,35.74,36.71,5275098
7-Nov-16,35.01,35.60,34.96,35.56,3672814
4-Nov-16,33.75,34.20,33.65,33.98,2392706
3-Nov-16,34.55,34.86,34.29,34.38,3341267
2-Nov-16,34.60,34.95,34.25,34.26,3502821
1-Nov-16,35.50,35.55,34.62,34.86,3147121
31-Oct-16,35.06,35.30,34.91,35.02,2289588
28-Oct-16,34.64,35.07,34.63,34.87,2967215
27-Oct-16,34.89,34.97,34.48,34.65,3464431
26-Oct-16,35.12,35.36,34.98,35.25,4049540
25-Oct-16,35.40,35.78,35.37,35.71,3229088
24-Oct-16,35.40,35.41,34.73,34.97,1988639
21-Oct-16,34.67,35.01,34.60,34.96,2985731
20-Oct-16,34.66,35.16,34.36,35.02,3516083
19-Oct-16,34.51,34.99,34.36,34.95,3899795
18-Oct-16,35.01,35.05,34.41,34.49,5085356
17-Oct-16,33.94,34.21,33.82,33.88,2877894
14-Oct-16,34.53,34.77,33.97,33.99,2641782
13-Oct-16,33.63,34.18,33.31,34.05,3109004
12-Oct-16,35.05,35.49,34.85,35.01,3411851
11-Oct-16,35.59,35.70,34.78,34.98,2802929
10-Oct-16,35.68,36.16,35.66,35.91,2093213
7-Oct-16,35.71,35.75,34.93,35.36,3578737
6-Oct-16,34.99,35.27,34.93,35.07,1387451
5-Oct-16,35.03,35.48,34.88,35.30,1836127
4-Oct-16,35.67,35.67,34.51,34.65,3889770
3-Oct-16,34.80,34.96,34.56,34.85,2372800
30-Sep-16,34.80,34.89,34.47,34.65,2888120
29-Sep-16,34.31,35.00,34.19,34.40,4499087
28-Sep-16,32.95,34.15,32.80,34.10,4191818
27-Sep-16,32.21,32.70,32.06,32.62,4337461
26-Sep-16,32.52,32.89,32.52,32.63,3157686
23-Sep-16,32.55,32.97,32.44,32.54,3421163
22-Sep-16,33.20,33.41,32.43,32.46,4562602
21-Sep-16,31.44,32.29,31.42,32.18,3135904
20-Sep-16,31.07,31.27,30.84,31.07,2941971
19-Sep-16,30.76,31.00,30.42,30.49,2759204
16-Sep-16,29.96,30.31,29.75,29.97,2708463
15-Sep-16,30.06,30.79,29.88,30.58,2918835
14-Sep-16,29.70,30.28,29.60,29.98,4052108
13-Sep-16,30.11,30.14,29.30,29.37,4039316
12-Sep-16,29.96,31.18,29.82,31.02,4662387
9-Sep-16,31.38,31.40,30.62,30.74,4232752
8-Sep-16,30.97,31.53,30.93,31.23,2188324
7-Sep-16,31.13,31.29,30.81,31.04,2445318
6-Sep-16,31.00,31.75,30.75,31.60,3433503
2-Sep-16,30.84,30.94,30.38,30.62,3838959
1-Sep-16,29.93,30.33,29.74,30.23,4320643
