Date,Open,High,Low,Close,Volume
31-Mar-17,34.46,34.53,34.33,34.52,4835262
30-Mar-17,34.56,34.61,34.34,34.52,5921137
29-Mar-17,33.88,34.50,33.86,34.43,5369612
28-Mar-17,33.78,34.06,33.71,33.92,5863586
27-Mar-17,33.62,33.85,33.57,33.75,3404986
24-Mar-17,33.88,33.91,33.74,33.78,4488634
23-Mar-17,33.90,34.27,33.86,34.06,5184255
22-Mar-17,33.99,34.09,33.80,33.99,4983389
21-Mar-17,34.51,34.53,34.09,34.24,5606138
20-Mar-17,34.13,34.24,34.06,34.19,4048851
17-Mar-17,34.32,34.39,34.17,34.28,4572084
16-Mar-17,34.08,34.14,33.85,34.02,7129466
15-Mar-17,33.59,33.86,33.47,33.78,8938962
14-Mar-17,33.74,33.74,33.28,33.43,8722622
13-Mar-17,34.11,34.29,33.95,34.07,7785945
10-Mar-17,34.44,34.55,34.18,34.33,20585934
9-Mar-17,33.22,33.50,33.10,33.50,7067995
8-Mar-17,33.75,33.85,33.26,33.31,6736987
7-Mar-17,34.05,34.05,33.84,33.87,4198765
6-Mar-17,33.93,34.06,33.85,33.97,4984533
3-Mar-17,34.13,34.24,34.04,34.09,5293890
2-Mar-17,34.19,34.37,34.09,34.12,5373370
1-Mar-17,34.35,34.46,34.20,34.23,7408313
28-Feb-17,33.91,34.04,33.84,33.92,7412665
27-Feb-17,33.69,34.04,33.62,33.98,8594123
24-Feb-17,33.58,33.65,33.42,33.50,6159755
23-Feb-17,33.93,34.09,33.78,33.86,6922516
22-Feb-17,33.53,33.70,33.38,33.41,6011139
21-Feb-17,34.04,34.11,33.74,33.83,8189056
17-Feb-17,33.53,33.56,33.33,33.42,6428329
16-Feb-17,33.89,34.10,33.64,33.68,7511192
15-Feb-17,33.80,33.90,33.71,33.80,7675121
14-Feb-17,34.59,34.61,34.37,34.58,8026463
13-Feb-17,34.57,34.72,34.52,34.66,6899224
10-Feb-17,34.65,34.71,34.44,34.53,6389815
9-Feb-17,34.86,34.91,34.41,34.44,8939965
8-Feb-17,34.17,34.46,34.00,34.43,8322899
7-Feb-17,34.77,34.89,34.15,34.38,17843224
6-Feb-17,35.81,35.92,35.66,35.82,5848046
3-Feb-17,35.92,36.17,35.80,35.92,5070434
2-Feb-17,35.87,35.98,35.54,35.79,7642634
1-Feb-17,36.18,36.20,35.81,35.99,7160611
31-Jan-17,36.06,36.15,35.72,35.98,5467434
