Date,Open,High,Low,Close,Volume
31-Mar-17,107.70,108.14,107.05,107.37,6158992
30-Mar-17,108.15,108.68,107.20,107.78,6797658
29-Mar-17,106.95,108.08,106.88,108.07,4919884
28-Mar-17,106.28,107.74,106.12,107.17,6331533
27-Mar-17,107.00,107.35,105.82,106.28,6479407
24-Mar-17,107.93,108.42,107.70,107.99,6339900
23-Mar-17,108.29,108.86,107.75,107.87,5451228
22-Mar-17,107.65,108.85,107.52,108.39,8106844
21-Mar-17,108.06,108.23,107.40,108.04,7406294
20-Mar-17,107.27,107.85,107.02,107.66,5301890
17-Mar-17,108.00,108.42,107.68,107.68,14353407
16-Mar-17,108.81,108.88,107.44,107.86,8894699
15-Mar-17,108.08,108.98,107.54,108.88,9472102
14-Mar-17,108.47,108.57,107.12,107.36,9935732
13-Mar-17,110.51,110.81,109.31,109.35,6369288
10-Mar-17,111.40,111.41,109.44,110.61,6560329
9-Mar-17,109.31,110.17,108.51,110.04,7247427
8-Mar-17,111.68,111.92,109.40,109.61,9071579
7-Mar-17,113.54,113.88,111.69,111.81,6660335
6-Mar-17,113.25,113.50,112.67,113.17,4731940
3-Mar-17,113.76,113.89,113.21,113.55,4909979
2-Mar-17,113.67,114.27,113.31,113.36,5892485
1-Mar-17,112.92,114.39,112.88,113.88,7353829
28-Feb-17,111.66,112.76,111.49,112.50,7030223
27-Feb-17,110.65,112.27,110.37,111.75,7276445
24-Feb-17,110.90,111.02,109.47,110.12,6189419
23-Feb-17,111.34,111.83,110.75,111.02,8659712
22-Feb-17,111.19,111.78,110.31,110.38,5732048
21-Feb-17,110.73,112.31,110.60,111.72,6619107
17-Feb-17,110.42,110.57,109.27,110.33,8111023
16-Feb-17,112.99,112.99,110.43,110.68,9478223
15-Feb-17,112.21,113.24,112.21,112.57,7048099
14-Feb-17,112.68,113.07,111.78,112.52,5811158
13-Feb-17,113.36,113.99,113.05,113.91,4858511
10-Feb-17,112.75,113.45,112.37,113.05,6194334
9-Feb-17,111.91,112.63,111.69,112.26,4607757
8-Feb-17,111.13,111.79,110.32,111.58,5188785
7-Feb-17,112.98,113.10,111.11,111.39,6038351
6-Feb-17,113.28,113.50,112.45,112.98,5637260
3-Feb-17,112.41,114.28,112.14,113.57,6623532
2-Feb-17,111.17,112.24,110.71,112.21,6289020
1-Feb-17,111.20,111.78,110.84,111.00,5889321
31-Jan-17,111.89,112.20,110.76,111.35,7950987
30-Jan-17,113.15,113.80,110.72,111.82,8252901
27-Jan-17,113.53,114.70,112.85,113.79,11698850
26-Jan-17,117.50,117.82,116.50,116.55,6937290
25-Jan-17,116.90,117.43,116.34,117.24,5276756
24-Jan-17,115.85,117.11,115.61,116.37,5024409
23-Jan-17,115.12,115.96,114.99,115.39,5104133
