Date,Open,High,Low,Close,Volume
31-Mar-17,9.24,9.39,9.24,9.32,588876
30-Mar-17,9.38,9.38,9.26,9.27,625357
29-Mar-17,9.12,9.34,9.12,9.33,972173
28-Mar-17,8.99,9.12,8.92,9.10,988211
27-Mar-17,8.95,9.04,8.90,8.94,470615
24-Mar-17,8.99,9.11,8.99,9.05,532026
23-Mar-17,8.92,9.08,8.92,8.98,721352
22-Mar-17,9.00,9.01,8.91,8.95,1329095
21-Mar-17,9.08,9.12,8.96,9.03,807915
20-Mar-17,8.86,9.08,8.85,9.05,562080
17-Mar-17,9.00,9.07,8.93,8.93,901278
16-Mar-17,9.02,9.03,8.89,8.96,1147709
15-Mar-17,8.72,8.98,8.65,8.97,906169
14-Mar-17,8.69,8.70,8.51,8.60,978057
13-Mar-17,8.84,8.87,8.76,8.78,627034
10-Mar-17,8.76,8.84,8.71,8.84,1174357
9-Mar-17,8.58,8.69,8.44,8.68,975961
8-Mar-17,8.83,8.87,8.60,8.61,1546348
7-Mar-17,8.79,8.95,8.79,8.90,808368
6-Mar-17,8.96,8.98,8.72,8.79,1095218
3-Mar-17,8.78,8.93,8.74,8.86,502269
2-Mar-17,8.79,8.87,8.69,8.76,643900
1-Mar-17,9.02,9.04,8.84,8.91,1324707
28-Feb-17,9.08,9.13,8.99,9.02,656407
27-Feb-17,9.10,9.19,9.06,9.17,739090
24-Feb-17,9.21,9.21,9.04,9.08,1280461
23-Feb-17,9.16,9.29,9.11,9.29,2403428
22-Feb-17,9.18,9.18,9.01,9.01,1098618
21-Feb-17,9.32,9.34,9.20,9.27,1237413
17-Feb-17,9.32,9.34,9.23,9.28,1200038
16-Feb-17,9.50,9.56,9.39,9.39,958982
15-Feb-17,9.46,9.49,9.36,9.47,1464327
14-Feb-17,9.57,9.59,9.47,9.51,902605
13-Feb-17,9.54,9.57,9.43,9.56,582679
10-Feb-17,9.56,9.63,9.48,9.62,967739
9-Feb-17,9.53,9.54,9.42,9.43,851930
8-Feb-17,9.38,9.42,9.28,9.42,779856
7-Feb-17,9.45,9.50,9.38,9.45,1672666
6-Feb-17,9.63,9.70,9.50,9.53,1659001
3-Feb-17,9.65,9.75,9.64,9.67,849884
2-Feb-17,9.65,9.67,9.54,9.62,855570
1-Feb-17,9.48,9.61,9.41,9.58,1082893
31-Jan-17,9.37,9.45,9.33,9.40,904169
30-Jan-17,9.36,9.42,9.28,9.31,1726628
27-Jan-17,9.34,9.48,9.34,9.44,1069462
26-Jan-17,9.48,9.50,9.41,9.45,549751
25-Jan-17,9.48,9.54,9.41,9.46,1758409
24-Jan-17,9.58,9.62,9.51,9.52,923663
23-Jan-17,9.42,9.56,9.42,9.56,934077
20-Jan-17,9.52,9.58,9.46,9.50,1068429
19-Jan-17,9.44,9.54,9.38,9.39,1231981
18-Jan-17,9.43,9.54,9.39,9.42,949791
17-Jan-17,9.50,9.62,9.48,9.56,1169444
13-Jan-17,9.42,9.53,9.39,9.45,759949
12-Jan-17,9.57,9.71,9.53,9.54,1265036
11-Jan-17,9.43,9.53,9.36,9.50,738771
10-Jan-17,9.34,9.40,9.31,9.37,473845
9-Jan-17,9.36,9.39,9.24,9.30,639887
6-Jan-17,9.56,9.67,9.44,9.49,794193
5-Jan-17,9.44,9.64,9.44,9.56,1154791
4-Jan-17,9.31,9.41,9.22,9.40,549294
3-Jan-17,9.16,9.33,9.14,9.28,1020867
30-Dec-16,9.07,9.15,9.03,9.05,262456
29-Dec-16,9.11,9.17,9.06,9.08,362244
28-Dec-16,9.14,9.20,9.01,9.10,279056
27-Dec-16,8.97,9.15,8.97,9.13,385479
23-Dec-16,9.00,9.01,8.85,8.90,724638
22-Dec-16,9.16,9.20,9.03,9.03,458439
21-Dec-16,9.28,9.33,9.17,9.20,417940
20-Dec-16,9.23,9.35,9.21,9.25,689302
19-Dec-16,9.10,9.21,9.07,9.19,712574
16-Dec-16,9.06,9.16,9.00,9.09,632329
15-Dec-16,8.88,9.00,8.61,8.99,876845
14-Dec-16,9.02,9.14,8.96,8.98,1712136
13-Dec-16,9.07,9.15,9.00,9.10,715660
12-Dec-16,9.01,9.10,8.92,8.97,2262438
9-Dec-16,8.51,8.81,8.51,8.74,539260
8-Dec-16,8.77,8.77,8.52,8.61,1283826
7-Dec-16,8.82,8.84,8.66,8.72,988549
6-Dec-16,8.52,8.80,8.52,8.71,1218617
5-Dec-16,8.68,8.81,8.60,8.60,1248590
2-Dec-16,8.60,8.75,8.58,8.58,917340
1-Dec-16,8.77,8.96,8.56,8.59,1501359
30-Nov-16,8.25,8.63,8.24,8.56,2432819
29-Nov-16,7.98,8.05,7.84,7.85,756929
28-Nov-16,8.18,8.28,8.13,8.16,823461
25-Nov-16,8.16,8.26,8.12,8.14,292308
23-Nov-16,8.23,8.30,8.17,8.24,705868
22-Nov-16,8.43,8.44,8.21,8.32,892233
21-Nov-16,8.26,8.40,8.26,8.39,954625
18-Nov-16,8.21,8.24,8.01,8.06,781340
17-Nov-16,8.35,8.39,8.11,8.15,1113448
16-Nov-16,8.26,8.33,8.12,8.14,1103776
15-Nov-16,8.12,8.38,8.11,8.33,1465373
14-Nov-16,7.88,8.03,7.88,7.99,738222
11-Nov-16,8.04,8.08,7.65,7.90,1576018
10-Nov-16,8.71,8.71,8.16,8.17,1072236
9-Nov-16,8.55,8.80,8.55,8.75,497499
8-Nov-16,8.67,8.88,8.64,8.80,488757
