Date,Open,High,Low,Close,Volume
31-Mar-17,73.36,73.56,73.02,73.25,94496
30-Mar-17,74.42,74.59,73.50,73.66,119006
29-Mar-17,74.18,74.71,73.83,74.66,68351
28-Mar-17,74.14,74.99,74.14,74.75,65006
27-Mar-17,73.67,74.47,73.67,74.34,39919
24-Mar-17,74.55,74.67,74.26,74.52,45970
23-Mar-17,74.13,74.89,73.80,74.63,176963
22-Mar-17,74.13,74.84,74.11,74.58,99573
21-Mar-17,75.89,76.22,74.41,74.59,96558
20-Mar-17,75.12,75.98,75.12,75.68,72987
17-Mar-17,75.05,75.18,74.76,74.83,77250
16-Mar-17,74.67,75.02,74.46,74.58,115199
15-Mar-17,72.38,73.94,72.38,73.60,243142
14-Mar-17,72.89,72.89,72.16,72.34,78116
13-Mar-17,73.43,73.72,73.06,73.47,67679
10-Mar-17,73.80,73.80,72.85,73.03,68846
9-Mar-17,73.86,74.09,73.11,73.69,120128
8-Mar-17,75.66,75.66,74.08,74.10,107366
7-Mar-17,75.95,76.22,75.64,75.81,75868
6-Mar-17,75.90,76.04,75.51,75.91,40780
3-Mar-17,75.33,75.77,75.27,75.37,107004
2-Mar-17,75.26,75.46,74.88,74.89,70810
1-Mar-17,76.04,76.38,75.71,76.07,157662
28-Feb-17,76.21,76.25,75.76,75.96,69161
27-Feb-17,77.48,77.48,76.88,77.05,110976
24-Feb-17,78.49,78.49,77.88,77.99,70645
23-Feb-17,79.16,79.43,78.33,78.57,94805
22-Feb-17,79.00,79.28,78.58,78.86,97334
21-Feb-17,79.23,79.77,79.04,79.54,77464
17-Feb-17,76.90,77.45,76.90,77.33,77434
16-Feb-17,77.86,78.30,77.28,77.33,76552
15-Feb-17,78.99,78.99,78.33,78.69,88341
14-Feb-17,79.32,79.38,78.60,79.19,57540
13-Feb-17,79.51,79.85,79.14,79.32,59252
10-Feb-17,78.95,79.61,78.64,79.59,82797
9-Feb-17,77.69,77.73,77.04,77.39,129387
8-Feb-17,77.50,77.92,76.83,77.80,107378
7-Feb-17,77.82,78.09,77.13,77.32,69670
6-Feb-17,78.26,78.28,77.55,77.57,44219
3-Feb-17,78.52,78.80,77.91,78.12,61921
2-Feb-17,78.70,78.77,78.25,78.51,59944
1-Feb-17,79.57,79.84,77.93,78.68,110132
31-Jan-17,79.27,79.56,79.00,79.49,60714
30-Jan-17,79.02,79.47,78.60,79.17,64691
27-Jan-17,80.05,80.36,79.23,79.53,71793
26-Jan-17,80.99,81.80,80.75,81.36,91026
25-Jan-17,79.62,81.33,79.50,81.24,125842
24-Jan-17,79.24,79.86,79.20,79.32,171154
23-Jan-17,78.77,78.84,78.06,78.73,77439
20-Jan-17,80.07,80.07,78.94,79.09,99532
19-Jan-17,80.34,80.53,79.44,79.93,64481
18-Jan-17,81.03,81.25,80.48,80.60,81799
17-Jan-17,80.88,81.39,80.47,80.91,83211
13-Jan-17,80.31,81.13,80.21,80.77,87280
12-Jan-17,79.81,79.93,79.17,79.75,96244
11-Jan-17,79.72,80.37,79.06,80.11,68373
10-Jan-17,79.22,80.16,79.04,79.76,169909
9-Jan-17,78.78,79.42,78.68,78.68,147840
6-Jan-17,77.85,78.00,77.59,77.82,56198
5-Jan-17,76.76,78.00,76.76,77.76,182849
4-Jan-17,74.28,75.05,74.02,74.78,116768
3-Jan-17,75.13,75.62,74.25,74.75,107032
30-Dec-16,74.15,74.15,73.55,73.70,53243
29-Dec-16,74.75,74.82,74.11,74.19,94325
28-Dec-16,75.38,75.38,74.67,74.76,64849
27-Dec-16,74.72,75.08,74.70,74.97,55885
23-Dec-16,74.70,74.88,74.40,74.57,42122
22-Dec-16,75.06,75.17,74.48,75.05,81875
21-Dec-16,76.42,76.59,75.93,76.08,60658
20-Dec-16,76.16,76.32,75.59,75.99,72589
19-Dec-16,76.40,76.84,75.95,76.08,109202
16-Dec-16,75.75,76.27,75.56,76.15,193541
15-Dec-16,75.24,76.41,75.16,76.10,189496
14-Dec-16,76.77,78.09,75.24,75.38,259093
13-Dec-16,73.98,76.51,73.44,76.05,568264
