Date,Open,High,Low,Close,Volume
31-Mar-17,81.57,81.96,81.44,81.51,155617
30-Mar-17,81.96,82.59,81.96,82.42,127507
29-Mar-17,81.46,82.37,81.46,82.29,118494
28-Mar-17,81.00,81.95,80.78,81.60,99026
27-Mar-17,79.52,80.97,79.51,80.89,113494
24-Mar-17,79.42,79.72,79.14,79.19,83923
23-Mar-17,78.56,79.14,78.46,78.75,99367
22-Mar-17,77.34,78.64,77.34,78.21,132586
21-Mar-17,78.54,78.94,76.98,77.02,98153
20-Mar-17,77.25,77.73,77.22,77.61,86642
17-Mar-17,77.13,77.17,76.64,76.66,75979
16-Mar-17,77.22,77.30,76.87,77.14,65960
15-Mar-17,75.02,76.32,74.82,76.15,95424
14-Mar-17,75.05,75.05,74.54,74.86,82120
13-Mar-17,75.62,75.73,75.44,75.72,66963
10-Mar-17,75.15,75.37,74.81,74.95,124401
9-Mar-17,75.83,75.95,75.00,75.81,120646
8-Mar-17,78.15,78.27,76.62,76.65,136844
7-Mar-17,77.24,77.79,77.16,77.37,83774
6-Mar-17,76.90,76.91,76.47,76.52,59875
3-Mar-17,76.91,77.06,76.68,76.85,38297
2-Mar-17,77.78,77.78,76.45,76.46,91482
1-Mar-17,77.67,78.28,77.35,78.18,88316
28-Feb-17,77.55,77.73,77.27,77.57,46133
27-Feb-17,77.93,77.93,77.64,77.79,46804
24-Feb-17,78.21,78.57,78.09,78.16,71412
23-Feb-17,80.15,80.15,79.31,79.47,79117
22-Feb-17,79.56,80.03,79.39,79.59,73538
21-Feb-17,80.03,80.21,79.61,80.20,58545
17-Feb-17,77.20,78.08,77.11,78.05,71645
16-Feb-17,77.46,77.86,77.20,77.49,100238
15-Feb-17,79.07,79.07,78.43,78.82,91724
14-Feb-17,79.29,79.53,78.64,79.50,51132
13-Feb-17,79.99,80.33,79.77,80.13,60106
10-Feb-17,79.42,80.20,79.42,80.06,70712
9-Feb-17,79.20,79.26,78.77,78.92,83799
8-Feb-17,78.75,79.42,78.13,79.38,116270
7-Feb-17,78.59,78.86,78.06,78.37,77726
6-Feb-17,79.75,79.83,79.17,79.19,36527
3-Feb-17,80.00,80.35,79.68,79.93,79651
2-Feb-17,79.94,80.45,79.86,80.41,105361
1-Feb-17,80.06,80.08,79.58,79.86,259804
31-Jan-17,79.93,80.19,79.54,80.04,71692
30-Jan-17,79.74,79.75,79.27,79.71,75283
27-Jan-17,80.51,80.62,80.05,80.22,68856
26-Jan-17,81.07,81.38,80.74,81.07,135054
25-Jan-17,80.86,81.64,80.82,81.62,156475
24-Jan-17,79.65,80.41,79.61,80.01,109958
23-Jan-17,78.34,78.83,78.31,78.78,61840
20-Jan-17,78.55,78.87,78.15,78.32,53253
19-Jan-17,78.65,78.66,77.63,78.01,93280
18-Jan-17,79.17,79.38,78.87,78.98,88093
17-Jan-17,79.46,79.72,78.96,79.26,88033
13-Jan-17,78.16,78.69,77.69,78.16,75423
12-Jan-17,76.17,76.77,76.08,76.54,107071
11-Jan-17,75.54,76.33,74.63,76.19,80022
10-Jan-17,75.72,76.50,75.61,75.80,87074
9-Jan-17,75.14,75.38,74.80,74.80,89108
6-Jan-17,74.86,74.98,74.43,74.65,86890
5-Jan-17,73.57,74.44,73.57,74.28,94447
4-Jan-17,71.58,72.37,71.58,71.92,97065
3-Jan-17,72.16,72.78,71.65,72.05,138086
30-Dec-16,70.90,71.20,70.64,71.02,77996
29-Dec-16,70.89,71.25,70.76,70.98,82541
28-Dec-16,71.22,71.36,70.81,70.88,83498
27-Dec-16,70.99,71.38,70.96,71.33,75946
23-Dec-16,70.75,71.09,70.60,70.86,92896
22-Dec-16,71.99,72.25,71.51,72.11,102894
21-Dec-16,72.97,73.04,72.61,72.64,55566
20-Dec-16,72.86,72.96,72.48,72.70,53865
19-Dec-16,72.57,73.12,72.22,72.73,83539
16-Dec-16,73.30,73.41,72.59,72.97,126530
15-Dec-16,73.05,73.48,72.57,73.21,66996
14-Dec-16,74.99,75.42,73.41,73.60,96749
13-Dec-16,72.80,74.87,72.72,74.36,228770
12-Dec-16,71.86,72.01,71.17,71.62,95669
9-Dec-16,71.57,72.03,71.50,71.77,76018
8-Dec-16,72.03,72.89,72.01,72.62,79005
7-Dec-16,71.78,72.46,71.55,72.28,132249
6-Dec-16,71.01,71.46,70.87,71.17,76233
5-Dec-16,71.08,71.35,70.66,71.19,94654
2-Dec-16,70.90,71.25,70.48,70.92,150105
1-Dec-16,71.82,72.42,71.41,71.56,141474
30-Nov-16,70.81,72.74,70.75,72.20,186362
29-Nov-16,69.73,70.04,69.32,69.71,81390
28-Nov-16,70.73,70.88,69.89,69.99,295750
25-Nov-16,69.92,69.93,69.47,69.69,203871
23-Nov-16,69.93,70.37,69.81,70.07,86380
