Date,Open,High,Low,Close,Volume
31-Mar-17,50.23,50.77,50.15,50.42,1484269
30-Mar-17,50.41,50.64,50.06,50.06,1626552
29-Mar-17,49.61,50.23,49.57,50.10,3506454
28-Mar-17,49.93,50.48,49.88,50.15,4228814
27-Mar-17,50.06,50.32,49.90,49.97,4294660
24-Mar-17,49.78,49.95,49.68,49.73,701493
23-Mar-17,49.59,50.13,49.52,49.76,617007
22-Mar-17,49.85,50.00,49.56,49.84,1484722
21-Mar-17,50.40,50.44,49.66,49.77,1559128
20-Mar-17,49.84,49.92,49.26,49.54,1252592
17-Mar-17,50.20,50.22,49.90,49.96,1197952
16-Mar-17,49.94,50.02,49.66,49.84,830534
15-Mar-17,49.03,49.72,48.84,49.64,1204157
14-Mar-17,49.41,49.49,48.94,49.20,2183369
13-Mar-17,50.43,50.48,49.98,50.04,2135128
10-Mar-17,50.38,50.45,50.10,50.25,1614796
9-Mar-17,49.15,49.84,49.03,49.78,3161410
8-Mar-17,49.90,50.03,49.14,49.20,3964425
7-Mar-17,50.32,50.64,50.12,50.12,2496041
6-Mar-17,50.62,51.07,50.55,51.00,2077273
3-Mar-17,50.60,51.15,50.44,50.93,1689737
2-Mar-17,50.19,50.41,50.14,50.23,2538572
1-Mar-17,50.23,50.52,50.20,50.35,1463034
28-Feb-17,50.00,50.11,49.89,49.97,1371177
27-Feb-17,50.26,50.43,50.04,50.13,1563383
24-Feb-17,50.24,50.64,50.03,50.26,2426778
23-Feb-17,51.30,51.45,50.99,51.16,3423855
22-Feb-17,50.77,51.22,50.44,51.06,5232126
21-Feb-17,50.82,51.98,50.81,51.91,4703752
17-Feb-17,50.21,50.57,50.04,50.55,4287532
16-Feb-17,51.18,51.29,50.83,50.89,1442122
15-Feb-17,50.68,50.97,50.61,50.93,2580675
14-Feb-17,51.00,51.04,50.38,50.71,1758000
13-Feb-17,51.25,51.39,50.81,50.92,2502418
10-Feb-17,51.03,51.25,50.87,50.90,1480251
9-Feb-17,50.65,50.71,50.36,50.51,1953803
8-Feb-17,49.52,50.10,49.33,49.99,2878067
7-Feb-17,50.07,50.14,49.45,49.63,1800493
6-Feb-17,50.48,50.58,50.21,50.38,668814
3-Feb-17,50.89,51.14,50.65,50.81,1590539
2-Feb-17,50.36,50.46,50.14,50.28,1414884
1-Feb-17,50.65,50.71,49.98,50.36,811685
31-Jan-17,50.77,50.80,50.29,50.56,2472321
30-Jan-17,49.98,50.04,49.57,49.82,1293789
27-Jan-17,50.69,50.73,50.14,50.40,1422923
26-Jan-17,51.08,51.26,50.74,50.79,1724075
25-Jan-17,51.61,51.84,51.45,51.48,1341438
24-Jan-17,51.11,51.50,51.07,51.23,1672438
23-Jan-17,51.01,51.06,50.72,50.91,2215654
20-Jan-17,51.47,51.47,51.05,51.16,2064722
19-Jan-17,51.06,51.08,50.28,50.66,3350513
18-Jan-17,51.16,51.51,51.02,51.19,1932294
17-Jan-17,51.77,51.90,51.35,51.51,4591378
13-Jan-17,52.03,52.04,51.58,51.59,1440706
12-Jan-17,51.93,51.98,51.75,51.81,1595240
11-Jan-17,50.75,51.44,50.73,51.21,916730
10-Jan-17,50.98,51.17,50.62,50.62,1815453
9-Jan-17,50.77,50.84,50.46,50.61,1379906
6-Jan-17,51.27,51.64,51.15,51.15,823465
5-Jan-17,51.28,51.92,51.25,51.75,1247733
4-Jan-17,51.13,51.25,50.92,51.12,2701335
3-Jan-17,51.06,51.24,50.63,50.87,2390155
30-Dec-16,51.00,51.36,50.89,50.97,1501343
29-Dec-16,50.83,50.95,50.60,50.62,1313527
28-Dec-16,50.60,50.69,50.24,50.28,957778
27-Dec-16,50.43,50.57,50.39,50.47,698786
23-Dec-16,50.53,50.54,50.19,50.21,1326636
22-Dec-16,50.00,50.35,49.87,50.06,3367676
21-Dec-16,49.60,49.70,49.36,49.53,2751019
20-Dec-16,49.42,49.49,48.93,48.95,3810939
19-Dec-16,49.61,49.72,48.78,48.85,1979533
16-Dec-16,49.50,49.85,49.42,49.77,1874113
15-Dec-16,49.14,49.79,49.00,49.69,1497678
14-Dec-16,50.33,50.48,49.31,49.44,1960257
13-Dec-16,50.00,50.75,49.97,50.53,1734364
12-Dec-16,50.05,50.24,49.70,49.89,3103780
9-Dec-16,48.78,49.21,48.77,49.16,2048758
8-Dec-16,49.06,49.17,48.58,49.00,1028824
7-Dec-16,48.82,49.23,48.71,49.13,1415042
6-Dec-16,48.11,48.68,47.97,48.43,2110314
5-Dec-16,47.97,48.44,47.90,48.17,1145045
2-Dec-16,47.48,48.16,47.38,47.78,1338219
1-Dec-16,47.76,48.11,47.59,47.75,2944888
30-Nov-16,47.49,48.04,47.48,47.66,3832469
29-Nov-16,46.20,47.00,46.04,46.91,3741114
28-Nov-16,46.60,46.75,46.30,46.40,3936824
