Date,Open,High,Low,Close,Volume
31-Mar-17,83.26,83.31,81.86,82.01,21750398
30-Mar-17,82.03,83.87,81.94,83.70,44704931
29-Mar-17,81.69,82.28,81.55,82.02,8495457
28-Mar-17,81.32,82.02,80.96,81.84,11028598
27-Mar-17,80.82,81.43,80.79,81.25,8481162
24-Mar-17,82.03,82.03,81.15,81.23,9128489
23-Mar-17,81.63,82.22,81.46,81.86,8927991
22-Mar-17,81.96,82.09,81.43,81.76,11168417
21-Mar-17,82.16,82.35,81.60,81.83,13387665
20-Mar-17,81.72,82.04,81.44,82.00,7700258
17-Mar-17,82.03,82.26,81.82,82.00,18834129
16-Mar-17,82.03,82.20,81.67,82.07,9923804
15-Mar-17,81.35,82.06,81.04,82.00,11970300
14-Mar-17,81.00,81.23,80.44,80.99,11335678
13-Mar-17,81.50,81.94,81.05,81.42,9571361
10-Mar-17,82.44,82.47,81.16,81.61,11355151
9-Mar-17,80.64,81.72,80.31,81.67,14721795
8-Mar-17,82.35,82.38,81.01,81.03,16817743
7-Mar-17,83.11,83.29,82.14,82.52,12711508
6-Mar-17,82.44,82.90,82.33,82.83,9617240
3-Mar-17,83.56,83.60,82.26,82.46,12304096
2-Mar-17,82.80,84.25,82.79,83.30,14170309
1-Mar-17,81.70,83.33,81.70,83.02,17482122
28-Feb-17,81.53,81.99,81.05,81.32,16834163
27-Feb-17,81.13,81.71,80.81,81.54,13465948
24-Feb-17,81.60,81.80,80.76,81.08,11338715
23-Feb-17,81.42,82.22,81.03,81.78,13847038
22-Feb-17,81.65,81.70,80.87,80.93,12917374
21-Feb-17,82.12,82.15,81.30,81.89,16419612
17-Feb-17,82.09,82.19,81.44,81.76,15645973
16-Feb-17,83.12,83.42,82.17,82.30,10614956
15-Feb-17,82.64,83.18,82.46,83.16,11768513
14-Feb-17,82.91,83.10,82.06,82.82,11370525
13-Feb-17,82.77,83.18,82.35,83.00,9071638
10-Feb-17,82.26,82.77,82.13,82.52,8739814
9-Feb-17,81.80,82.05,81.66,81.84,9602988
8-Feb-17,81.99,82.12,81.17,81.48,14006281
7-Feb-17,83.23,83.62,82.45,82.77,11705199
6-Feb-17,83.55,83.65,82.93,83.31,9938198
3-Feb-17,83.70,83.72,82.90,83.54,12746286
2-Feb-17,83.21,83.53,82.55,83.45,12200100
1-Feb-17,84.00,84.16,82.54,82.94,15111832
31-Jan-17,85.04,85.07,83.13,83.89,19128106
30-Jan-17,85.42,85.45,84.18,84.86,12789183
27-Jan-17,85.30,85.75,85.04,85.51,10947882
26-Jan-17,85.69,85.83,85.12,85.60,8779446
25-Jan-17,85.34,85.88,85.25,85.34,9578522
24-Jan-17,84.98,85.47,84.82,85.09,11858111
23-Jan-17,85.68,85.88,84.75,84.97,11433897
20-Jan-17,85.44,85.96,85.05,85.89,18739659
19-Jan-17,85.97,86.10,84.59,84.73,16382903
18-Jan-17,87.06,87.41,86.05,86.28,11831695
17-Jan-17,86.58,87.39,86.25,87.36,13237348
13-Jan-17,86.27,86.68,86.17,86.35,8415603
12-Jan-17,87.27,87.38,86.07,86.34,10407049
11-Jan-17,85.90,86.95,85.86,86.81,11183689
10-Jan-17,87.17,87.31,85.91,85.93,13283083
9-Jan-17,88.22,88.22,86.55,87.04,13762259
6-Jan-17,88.79,88.98,87.82,88.50,16518128
5-Jan-17,90.19,90.30,88.44,88.55,14443183
4-Jan-17,91.12,91.15,89.75,89.89,9434240
3-Jan-17,90.94,91.34,90.15,90.89,10360622
30-Dec-16,90.03,90.70,90.01,90.26,9117830
29-Dec-16,90.10,90.60,90.03,90.35,6684661
28-Dec-16,90.68,91.11,90.26,90.30,6745940
27-Dec-16,90.83,91.11,90.58,90.75,4960556
23-Dec-16,90.89,90.96,90.52,90.71,4266541
22-Dec-16,90.02,90.90,90.02,90.87,8003106
21-Dec-16,90.68,90.90,90.18,90.28,7308044
20-Dec-16,90.51,90.85,90.29,90.43,7221041
19-Dec-16,91.38,91.54,90.20,90.42,9674437
16-Dec-16,91.52,91.67,90.64,91.18,20560435
15-Dec-16,90.10,90.98,89.76,90.89,11155111
14-Dec-16,92.26,92.27,90.17,90.58,16325355
13-Dec-16,91.89,93.22,91.17,92.58,18829345
12-Dec-16,90.14,91.50,90.14,90.98,15545409
9-Dec-16,88.64,89.00,88.18,89.00,8021683
8-Dec-16,88.05,88.85,87.65,88.32,9086715
7-Dec-16,87.63,88.15,87.20,88.07,11182628
6-Dec-16,87.27,87.87,86.70,87.56,11293620
5-Dec-16,87.39,87.82,86.92,87.48,11741074
2-Dec-16,87.19,87.99,86.60,87.04,9706646
1-Dec-16,87.98,88.50,87.24,87.24,13005560
30-Nov-16,87.60,88.19,87.20,87.30,22696209
29-Nov-16,85.42,86.08,85.08,85.90,9181096
28-Nov-16,86.95,87.13,86.37,86.47,7449634
25-Nov-16,86.71,87.14,86.54,87.12,5043042
23-Nov-16,86.54,87.08,86.31,86.92,6061281
22-Nov-16,86.69,87.24,85.97,86.68,9390248
21-Nov-16,86.44,86.69,86.14,86.49,8861469
18-Nov-16,85.21,85.65,84.83,85.28,8457804
17-Nov-16,86.44,86.88,85.02,85.23,8200464
16-Nov-16,86.74,86.78,85.58,85.75,8201169
15-Nov-16,85.77,87.06,85.77,86.82,12883542
14-Nov-16,85.30,85.65,84.32,85.28,12607502
11-Nov-16,86.53,86.73,84.89,85.67,13812176
10-Nov-16,85.91,87.99,85.66,87.05,14106227
9-Nov-16,84.05,86.71,83.66,86.25,15901269
8-Nov-16,84.73,85.83,84.49,85.31,9735164
7-Nov-16,84.49,85.47,84.40,85.45,13576246
4-Nov-16,83.63,84.33,82.76,83.57,13877124
3-Nov-16,83.68,83.88,83.05,83.66,8836546
2-Nov-16,83.30,83.88,82.94,83.45,11226097
1-Nov-16,83.50,83.92,83.27,83.65,13050607
31-Oct-16,83.88,84.40,82.99,83.32,16663771
28-Oct-16,85.28,86.36,84.14,84.78,19072186
27-Oct-16,87.28,87.66,86.80,86.92,9071099
26-Oct-16,86.25,87.45,85.95,87.09,8488064
25-Oct-16,86.67,87.65,86.60,86.72,6835886
24-Oct-16,86.74,87.32,86.07,86.91,8354850
21-Oct-16,86.42,86.82,85.70,86.62,10736170
20-Oct-16,86.79,87.50,86.60,87.21,6866873
19-Oct-16,87.19,87.85,86.88,87.17,9373416
18-Oct-16,87.17,87.33,86.38,86.77,5429319
17-Oct-16,86.48,86.79,86.07,86.54,7263061
14-Oct-16,87.19,87.54,86.48,86.54,7991654
13-Oct-16,86.35,86.87,85.43,86.56,9890258
12-Oct-16,87.22,87.72,86.67,87.13,8172591
11-Oct-16,88.08,88.19,87.30,87.74,9309029
10-Oct-16,87.54,88.67,87.51,88.44,10060038
7-Oct-16,86.95,87.40,86.42,86.74,6614908
6-Oct-16,87.25,87.47,86.44,87.04,7718259
5-Oct-16,86.83,87.17,86.70,87.00,8796215
4-Oct-16,87.38,87.50,86.07,86.25,8222033
3-Oct-16,86.94,87.20,86.54,87.05,7111178
30-Sep-16,86.84,87.81,86.65,87.28,15961506
29-Sep-16,86.97,87.20,85.68,86.46,19082873
28-Sep-16,83.46,87.23,83.34,86.90,28117871
27-Sep-16,82.59,83.34,82.29,83.24,9595020
26-Sep-16,83.52,84.50,82.93,83.06,10860320
23-Sep-16,82.68,84.31,82.59,83.45,12667106
22-Sep-16,84.28,84.55,83.38,83.54,10738519
21-Sep-16,82.82,83.62,82.31,83.30,15055917
20-Sep-16,83.73,83.95,82.54,82.54,17521975
19-Sep-16,84.58,84.62,83.81,83.83,7929097
16-Sep-16,84.51,85.05,83.56,84.03,21538409
15-Sep-16,84.67,85.65,84.52,85.08,9251913
14-Sep-16,85.04,85.83,84.26,84.60,13957013
13-Sep-16,86.46,86.47,85.08,85.21,13214321
12-Sep-16,86.78,87.71,86.63,87.29,10889025
9-Sep-16,88.66,88.66,86.80,86.84,12820202
8-Sep-16,88.55,89.37,88.04,89.05,9579545
7-Sep-16,88.65,88.67,87.97,88.24,7470375
6-Sep-16,87.84,88.64,87.66,88.57,9851167
2-Sep-16,87.42,87.58,86.93,87.42,7059507
1-Sep-16,86.72,86.84,86.09,86.84,8434729
31-Aug-16,87.14,87.21,86.22,87.14,12491437
30-Aug-16,87.87,88.25,87.36,87.52,6441118
29-Aug-16,87.04,87.92,87.04,87.84,7027164
26-Aug-16,87.63,88.11,87.00,87.27,6474424
25-Aug-16,88.02,88.03,87.24,87.46,6935261
24-Aug-16,87.50,88.16,87.35,88.02,7985437
23-Aug-16,87.84,88.02,87.56,87.72,6514786
22-Aug-16,87.31,88.10,86.84,87.99,8235406
19-Aug-16,88.63,88.74,87.79,87.80,8615269
18-Aug-16,88.38,88.94,88.12,88.91,10342730
17-Aug-16,87.92,88.18,87.66,88.11,7104565
16-Aug-16,87.83,88.18,87.37,87.92,6817932
15-Aug-16,88.42,88.50,87.64,87.81,6432580
12-Aug-16,86.96,87.98,86.90,87.85,9986924
11-Aug-16,86.69,87.27,86.26,86.72,11616032
10-Aug-16,87.78,87.92,86.01,86.41,12714814
9-Aug-16,88.62,88.76,88.18,88.70,9654554
8-Aug-16,88.05,88.89,88.03,88.59,10492709
5-Aug-16,87.73,87.83,87.15,87.56,9617289
4-Aug-16,87.50,87.65,87.03,87.48,13451350
3-Aug-16,87.01,87.49,86.60,87.49,14632941
2-Aug-16,86.45,87.32,85.58,87.04,18919157
1-Aug-16,88.08,88.15,85.59,85.86,22908390
29-Jul-16,87.61,89.01,86.12,88.95,23928098
28-Jul-16,90.54,90.73,89.61,90.20,12439249
27-Jul-16,91.51,91.80,90.63,90.91,10037885
26-Jul-16,91.63,92.03,91.11,91.53,12143539
25-Jul-16,93.47,93.62,91.76,92.20,10845892
22-Jul-16,94.11,94.29,93.72,94.01,7139681
21-Jul-16,93.89,94.26,93.46,93.85,7759624
20-Jul-16,94.25,94.42,93.80,93.93,7383789
19-Jul-16,94.76,94.94,94.20,94.47,5901792
18-Jul-16,94.92,95.15,94.40,94.82,9865850
15-Jul-16,95.44,95.55,94.64,95.12,10334453
14-Jul-16,95.05,95.53,94.62,94.95,9293450
13-Jul-16,94.65,94.92,94.11,94.88,9458206
12-Jul-16,94.67,94.95,94.09,94.95,9870813
11-Jul-16,93.75,94.41,93.65,93.89,8335705
8-Jul-16,93.39,93.78,92.92,93.54,9807645
7-Jul-16,94.34,94.49,92.35,92.96,12240670
6-Jul-16,93.35,94.12,92.44,94.09,13144408
5-Jul-16,93.12,93.60,92.25,93.02,10744051
1-Jul-16,93.36,93.98,93.07,93.84,9946278
30-Jun-16,92.33,93.83,92.30,93.74,14073677
29-Jun-16,91.41,92.70,91.12,92.46,13920631
28-Jun-16,89.73,90.93,89.52,90.91,13254272
27-Jun-16,88.90,89.10,88.11,88.86,14395728
24-Jun-16,89.88,90.80,89.15,89.39,20010494
23-Jun-16,91.93,92.07,91.19,91.80,9464500
22-Jun-16,91.84,91.93,91.00,91.17,8785428
21-Jun-16,90.72,91.64,90.25,91.53,8557451
20-Jun-16,91.29,91.59,91.07,91.12,9388528
17-Jun-16,91.49,91.59,90.19,90.72,17483223
16-Jun-16,89.70,91.39,89.11,91.22,12824808
15-Jun-16,90.23,90.90,90.00,90.16,10655773
14-Jun-16,90.45,90.87,89.85,90.43,10161030
13-Jun-16,89.92,91.43,89.70,90.59,11369954
10-Jun-16,90.40,90.92,89.78,89.98,10353815
9-Jun-16,90.18,91.03,90.11,90.67,8974331
8-Jun-16,91.03,91.30,90.53,90.79,9982959
7-Jun-16,89.75,90.92,89.71,90.71,12889082
6-Jun-16,88.87,89.50,88.69,89.34,8572963
3-Jun-16,88.44,88.83,88.03,88.37,9367092
2-Jun-16,88.21,88.53,87.61,88.53,9837535
1-Jun-16,88.43,89.45,88.13,89.24,7994794
31-May-16,90.00,90.20,88.73,89.02,13178770
27-May-16,89.40,90.05,89.32,90.01,7499060
26-May-16,90.25,90.46,89.27,89.80,7860412
25-May-16,89.85,90.37,89.59,90.26,9576238
24-May-16,89.89,90.40,89.55,89.67,9342634
23-May-16,89.00,89.90,88.82,89.60,11709371
20-May-16,90.39,90.40,89.38,89.74,13190148
19-May-16,88.61,90.16,88.45,90.11,13536855
18-May-16,89.80,90.00,88.65,89.35,9604265
17-May-16,89.27,89.91,89.16,89.53,9814552
16-May-16,89.20,89.67,89.00,89.57,8636039
13-May-16,89.28,89.66,88.51,88.66,9545137
12-May-16,89.80,89.93,89.15,89.67,10706694
11-May-16,89.16,89.68,88.72,88.81,11552904
10-May-16,88.90,90.00,88.82,89.99,12489005
9-May-16,88.60,88.76,87.23,88.57,11052949
6-May-16,87.46,88.68,87.46,88.51,7965977
5-May-16,88.76,88.97,87.62,88.04,8672121
4-May-16,88.30,88.74,87.60,87.94,10487733
3-May-16,88.40,88.63,87.36,88.11,9950305
2-May-16,88.24,89.48,88.08,89.13,10234560
29-Apr-16,88.68,89.78,87.74,88.40,17634235
28-Apr-16,87.86,88.78,87.50,88.03,11225206
27-Apr-16,87.95,88.72,87.33,88.46,10458198
26-Apr-16,87.75,87.94,87.06,87.63,9408862
25-Apr-16,87.09,87.40,86.35,87.33,8071018
22-Apr-16,87.24,87.64,86.82,87.53,9085479
21-Apr-16,86.59,87.84,86.57,86.79,11909793
20-Apr-16,86.23,87.44,85.97,86.80,15220069
19-Apr-16,85.85,86.31,85.22,86.21,10324795
18-Apr-16,83.89,85.86,83.86,85.78,9092710
15-Apr-16,85.30,85.66,84.78,84.97,11053441
14-Apr-16,85.00,85.90,84.76,85.43,10623713
13-Apr-16,84.50,84.91,84.04,84.83,9182104
12-Apr-16,83.69,84.63,83.37,84.35,9970123
11-Apr-16,83.33,84.24,83.28,83.32,9834917
8-Apr-16,83.30,83.45,82.85,83.21,9315011
7-Apr-16,82.76,83.17,82.05,82.37,8185302
6-Apr-16,82.69,83.46,82.30,83.31,9195377
5-Apr-16,82.61,83.13,81.99,82.21,10393851
4-Apr-16,83.06,83.90,82.78,83.16,7975347
