Date,Open,High,Low,Close,Volume
31-Mar-17,109.74,110.33,109.51,109.76,1339588
30-Mar-17,110.15,110.75,109.62,110.26,3030169
29-Mar-17,110.47,111.62,110.22,111.33,1981082
28-Mar-17,111.21,111.90,111.03,111.53,923081
27-Mar-17,111.26,111.64,110.71,111.37,1117192
24-Mar-17,110.90,111.00,110.40,110.86,933707
23-Mar-17,110.36,111.34,110.29,110.98,958089
22-Mar-17,111.38,111.43,110.66,110.94,1066215
21-Mar-17,112.63,113.02,111.39,111.52,1294296
20-Mar-17,111.92,112.44,111.57,111.95,1249043
17-Mar-17,111.78,112.53,111.50,111.75,2546268
16-Mar-17,109.96,110.94,109.66,110.85,2920299
15-Mar-17,107.47,108.91,106.97,108.64,1480547
14-Mar-17,107.49,107.86,107.08,107.24,987755
13-Mar-17,107.00,108.00,106.93,107.93,1236738
10-Mar-17,106.95,107.93,106.84,107.61,1743692
9-Mar-17,106.19,106.93,105.97,106.81,1410615
8-Mar-17,106.78,107.04,105.78,106.02,2846085
7-Mar-17,106.49,108.34,106.03,107.69,4399088
6-Mar-17,107.93,108.16,107.10,107.23,1897875
3-Mar-17,107.14,108.96,107.06,108.73,2840180
2-Mar-17,106.54,107.08,105.61,105.85,5856380
1-Mar-17,109.71,110.18,109.37,109.94,2411275
28-Feb-17,108.77,109.63,108.52,109.49,1115593
27-Feb-17,108.96,109.45,108.91,109.34,1086074
24-Feb-17,108.70,109.36,108.44,109.26,924710
23-Feb-17,108.86,109.32,108.70,108.76,1004471
22-Feb-17,107.66,109.40,107.66,109.16,1561507
21-Feb-17,109.12,109.50,108.93,109.33,1395491
17-Feb-17,108.60,109.12,108.28,108.82,1801939
16-Feb-17,108.14,108.86,107.95,108.77,934843
15-Feb-17,107.13,108.12,106.94,107.95,1746814
14-Feb-17,107.32,108.56,106.62,108.44,2268434
13-Feb-17,106.51,107.00,106.29,106.82,893065
10-Feb-17,105.48,106.56,105.41,105.88,1806629
9-Feb-17,106.59,106.72,105.97,106.36,1525802
8-Feb-17,106.27,106.43,105.74,105.90,1640058
7-Feb-17,105.35,105.54,105.12,105.39,1329120
6-Feb-17,105.10,105.12,104.59,105.01,1216895
3-Feb-17,105.98,106.28,105.27,105.30,1487703
2-Feb-17,105.11,105.52,104.13,104.49,1570188
1-Feb-17,103.71,104.79,103.55,104.35,1119908
31-Jan-17,104.10,104.46,103.82,104.26,1143029
30-Jan-17,103.96,104.77,103.93,104.49,1206060
27-Jan-17,105.66,105.76,105.10,105.17,1167100
26-Jan-17,105.50,105.72,104.74,104.81,1486630
25-Jan-17,106.40,106.60,105.95,106.20,1043739
24-Jan-17,106.05,106.35,105.68,106.16,854331
23-Jan-17,106.19,106.44,105.43,106.24,1268320
20-Jan-17,105.72,105.79,105.10,105.39,1434666
19-Jan-17,105.57,105.65,104.73,104.86,977540
18-Jan-17,105.72,105.85,105.19,105.37,998070
17-Jan-17,105.21,106.29,105.17,106.25,1554851
13-Jan-17,106.01,106.12,105.27,105.86,1070694
12-Jan-17,106.10,106.18,105.40,105.94,1513015
11-Jan-17,105.28,105.81,104.41,105.15,1160022
10-Jan-17,106.06,106.25,105.30,105.43,1222212
9-Jan-17,106.24,106.32,105.40,105.94,1188926
6-Jan-17,105.95,106.24,105.73,105.93,1424421
5-Jan-17,105.85,107.25,105.72,106.80,2046225
4-Jan-17,105.68,105.68,104.90,105.22,1816264
3-Jan-17,104.78,104.78,103.91,104.54,1606872
30-Dec-16,105.98,106.20,105.01,105.44,1721208
29-Dec-16,104.65,104.93,104.46,104.89,1079696
28-Dec-16,103.43,104.15,103.40,103.90,1032516
27-Dec-16,104.67,104.68,103.68,103.92,1357781
23-Dec-16,103.39,103.59,103.12,103.49,795663
22-Dec-16,103.35,103.39,102.62,102.82,1678735
21-Dec-16,103.80,104.10,103.19,103.61,1545717
20-Dec-16,103.30,103.40,102.70,102.98,1817040
19-Dec-16,103.84,103.86,102.52,102.73,1543314
16-Dec-16,102.84,103.45,102.50,103.00,1995694
15-Dec-16,100.99,102.12,100.90,101.56,2282768
14-Dec-16,105.23,105.45,102.48,102.91,3553177
13-Dec-16,105.19,105.70,104.80,105.05,2008034
12-Dec-16,104.29,104.41,103.03,103.69,1553933
9-Dec-16,103.32,103.55,102.93,103.54,2199097
8-Dec-16,102.85,103.08,102.08,102.65,2533971
7-Dec-16,103.93,104.77,103.73,104.34,2525675
6-Dec-16,103.78,104.15,103.22,104.05,2500020
5-Dec-16,103.49,103.61,102.77,103.26,2705498
2-Dec-16,99.86,101.49,99.83,101.39,2559242
1-Dec-16,101.03,101.19,98.28,99.91,7462041
30-Nov-16,105.59,105.70,103.07,103.27,2574766
29-Nov-16,104.63,105.04,104.38,104.81,2576104
28-Nov-16,104.08,104.90,104.00,104.82,2275508
25-Nov-16,104.76,104.76,103.71,103.84,1360215
23-Nov-16,102.55,102.95,102.27,102.40,1874769
22-Nov-16,102.66,103.05,102.39,102.66,3591497
21-Nov-16,102.20,103.65,102.17,103.33,3722093
18-Nov-16,102.06,102.14,101.00,101.88,3579198
17-Nov-16,103.19,103.75,102.99,103.00,4376191
16-Nov-16,102.52,103.64,102.01,102.27,2955321
15-Nov-16,102.06,103.30,101.94,103.18,2925694
14-Nov-16,104.00,104.25,101.41,101.98,6424136
11-Nov-16,107.42,108.39,107.00,107.80,5579238
10-Nov-16,109.74,109.97,107.12,108.50,6073036
9-Nov-16,113.80,113.80,109.98,112.33,3942388
8-Nov-16,114.00,115.74,113.93,115.60,2897725
7-Nov-16,112.62,113.22,111.96,113.04,3028922
4-Nov-16,113.07,113.24,111.85,112.09,2377469
3-Nov-16,113.13,113.18,112.20,112.40,3246361
2-Nov-16,115.23,115.29,114.21,114.59,1857337
1-Nov-16,116.22,116.34,114.53,114.99,1805326
31-Oct-16,115.57,115.65,114.27,115.49,2365190
28-Oct-16,118.48,118.88,116.77,116.84,5399167
27-Oct-16,122.47,122.67,120.91,121.46,1777632
26-Oct-16,121.45,122.35,121.12,121.56,2513817
25-Oct-16,123.87,124.06,123.50,123.78,1477843
24-Oct-16,126.09,126.32,124.79,125.08,1294071
21-Oct-16,126.94,127.32,126.49,126.77,1194218
20-Oct-16,127.63,128.30,126.87,127.44,1463593
19-Oct-16,128.67,128.92,128.18,128.71,1535120
18-Oct-16,128.49,128.55,127.59,127.96,1873383
17-Oct-16,128.34,128.69,127.72,128.21,1108416
14-Oct-16,128.18,129.09,127.94,128.65,1084186
13-Oct-16,127.15,127.81,126.42,127.28,1198000
12-Oct-16,127.60,127.79,126.69,127.37,1317782
11-Oct-16,128.00,128.47,127.18,128.17,1235746
10-Oct-16,126.94,128.49,126.80,127.49,996428
7-Oct-16,127.02,127.44,126.01,127.25,1109780
6-Oct-16,127.76,128.48,127.15,127.26,1583336
5-Oct-16,129.42,129.67,128.90,129.26,1846201
4-Oct-16,129.51,129.83,128.40,128.72,1640775
3-Oct-16,130.21,130.47,128.86,128.91,1426250
30-Sep-16,130.75,131.91,130.50,131.41,1477411
29-Sep-16,132.36,132.50,130.66,131.16,3480586
28-Sep-16,132.17,133.64,132.17,133.44,2214224
27-Sep-16,130.85,132.55,130.76,131.88,2086649
26-Sep-16,130.73,136.08,129.99,132.20,3041244
23-Sep-16,129.77,130.62,129.69,130.16,776970
22-Sep-16,130.23,130.88,130.00,130.06,1355477
21-Sep-16,125.56,127.50,125.54,127.30,706900
20-Sep-16,126.46,126.50,125.88,125.88,506349
19-Sep-16,125.31,125.80,124.71,125.30,814957
16-Sep-16,124.25,124.48,123.52,124.09,762171
15-Sep-16,123.41,124.72,122.84,124.56,841775
14-Sep-16,122.43,123.33,122.23,122.78,629325
13-Sep-16,123.68,124.37,122.18,122.55,1193987
12-Sep-16,122.82,124.99,122.82,124.80,1209341
9-Sep-16,125.53,125.65,123.23,123.23,1331549
8-Sep-16,127.27,127.69,126.44,126.56,649158
7-Sep-16,128.46,128.57,127.27,127.37,757494
6-Sep-16,127.42,128.12,127.19,127.94,784807
2-Sep-16,126.81,127.00,126.42,126.76,824604
