Date,Open,High,Low,Close,Volume
31-Mar-17,112.31,112.47,111.83,111.86,3744389
30-Mar-17,112.29,112.55,112.00,112.18,2104918
29-Mar-17,112.06,112.54,111.97,112.43,2683678
28-Mar-17,111.81,112.76,111.64,112.45,3945393
27-Mar-17,111.87,112.29,111.57,111.83,3514557
24-Mar-17,111.98,112.24,111.79,112.12,3913223
23-Mar-17,111.95,112.33,111.67,111.78,3208362
22-Mar-17,112.31,112.38,111.57,112.02,3882237
21-Mar-17,111.54,112.31,111.47,111.77,5587739
20-Mar-17,111.15,111.44,110.81,111.15,3382089
17-Mar-17,111.48,111.52,110.93,111.39,6444384
16-Mar-17,111.09,111.20,110.53,111.14,4580674
15-Mar-17,109.56,111.23,109.50,111.11,4973393
14-Mar-17,109.28,109.73,109.12,109.34,3630038
13-Mar-17,109.32,109.80,109.03,109.41,3131237
10-Mar-17,109.58,109.71,109.28,109.59,3488905
9-Mar-17,109.60,109.61,108.91,109.02,4066952
8-Mar-17,109.17,109.33,108.47,109.30,5244494
7-Mar-17,109.16,109.77,109.00,109.32,4361109
6-Mar-17,109.80,110.19,109.43,109.63,4491045
3-Mar-17,110.10,110.67,109.65,110.56,4130942
2-Mar-17,109.81,110.32,109.43,110.11,3880791
1-Mar-17,109.60,110.32,109.17,109.73,4750734
28-Feb-17,109.05,110.60,109.05,110.38,4684747
27-Feb-17,109.69,109.88,109.23,109.27,3475121
24-Feb-17,109.50,109.92,109.33,109.83,3991764
23-Feb-17,109.12,110.00,109.12,109.54,3382733
22-Feb-17,109.37,109.78,109.16,109.41,3815267
21-Feb-17,108.07,109.50,107.95,109.36,5370662
17-Feb-17,107.29,108.30,107.21,108.15,5498432
16-Feb-17,107.15,108.18,106.32,108.12,5559903
15-Feb-17,105.35,107.25,104.77,106.73,7617151
14-Feb-17,106.17,107.00,105.67,106.92,5665028
13-Feb-17,106.50,106.69,105.88,106.52,3464318
10-Feb-17,105.83,106.34,105.59,106.10,2475506
9-Feb-17,105.42,106.49,105.02,105.97,4012387
8-Feb-17,105.50,106.23,105.25,105.69,3407089
7-Feb-17,104.63,105.90,104.63,105.61,3980353
6-Feb-17,105.10,105.24,104.53,104.57,4355238
3-Feb-17,104.44,105.76,104.06,105.11,4287147
2-Feb-17,103.76,104.39,103.29,104.03,3213734
1-Feb-17,103.61,103.78,102.98,103.01,3515578
31-Jan-17,103.21,104.17,103.21,103.78,3846647
30-Jan-17,103.01,103.72,103.00,103.69,3462554
27-Jan-17,104.38,104.41,103.43,103.48,4248229
26-Jan-17,104.51,104.73,104.07,104.14,3634560
25-Jan-17,104.71,105.19,104.54,104.61,3566079
24-Jan-17,104.00,104.93,103.78,104.71,4992265
23-Jan-17,102.90,104.22,102.83,104.01,4584802
20-Jan-17,102.79,103.32,102.44,103.24,4750772
19-Jan-17,102.28,103.00,102.17,102.36,3923119
18-Jan-17,102.40,103.00,102.32,102.74,4340388
17-Jan-17,101.07,102.32,101.06,102.19,3745757
