Date,Open,High,Low,Close,Volume
31-Mar-17,113.54,113.72,112.87,112.90,3790727
30-Mar-17,113.16,114.06,112.87,113.52,2968113
29-Mar-17,112.74,113.53,112.47,113.40,3613159
28-Mar-17,112.14,112.95,111.59,112.80,4000864
27-Mar-17,111.23,112.57,110.80,112.38,4521639
24-Mar-17,112.32,112.32,110.01,111.79,6601566
23-Mar-17,112.84,113.81,112.68,112.95,4522071
22-Mar-17,113.90,114.10,112.85,113.00,5343115
21-Mar-17,113.30,114.65,113.19,113.49,6947199
20-Mar-17,113.04,114.11,113.00,114.01,5682566
17-Mar-17,113.20,114.46,112.73,113.00,8830954
16-Mar-17,112.80,112.94,112.03,112.70,4002047
15-Mar-17,111.00,112.76,110.96,112.42,3665596
14-Mar-17,110.72,111.38,110.42,110.77,3518645
13-Mar-17,110.67,111.10,110.39,111.02,3166315
10-Mar-17,110.50,110.71,110.10,110.54,5141633
9-Mar-17,109.98,110.50,109.71,110.28,3465860
8-Mar-17,110.19,110.50,109.39,109.72,3681918
7-Mar-17,109.52,110.64,109.50,110.55,3929137
6-Mar-17,109.81,110.17,109.46,109.73,7192096
3-Mar-17,109.61,110.25,109.27,110.21,3725014
2-Mar-17,110.00,110.30,109.52,109.80,4419458
1-Mar-17,109.00,110.30,108.68,110.22,5140681
28-Feb-17,108.31,109.99,108.30,109.35,7336639
27-Feb-17,107.53,108.90,107.23,108.70,5557339
24-Feb-17,106.44,107.77,105.80,107.72,5549728
23-Feb-17,104.95,106.67,104.76,106.52,4286136
22-Feb-17,104.49,104.87,103.80,104.53,3660478
21-Feb-17,103.37,104.75,103.05,104.56,4570234
17-Feb-17,102.93,103.73,102.77,103.66,5092977
16-Feb-17,102.90,103.13,102.32,102.99,4888558
15-Feb-17,102.29,103.04,101.77,102.93,3395970
14-Feb-17,102.67,102.89,101.79,102.58,3311851
13-Feb-17,102.81,103.13,102.20,102.73,2886517
10-Feb-17,102.32,102.84,101.78,102.63,3412676
9-Feb-17,102.33,102.91,101.73,102.77,3125812
8-Feb-17,101.45,102.99,101.39,102.63,4881531
7-Feb-17,100.00,101.78,99.94,101.63,5450109
