Date,Open,High,Low,Close,Volume
31-Mar-17,62.86,63.18,62.78,63.02,5545131
30-Mar-17,63.10,63.17,62.82,62.82,6939461
29-Mar-17,62.68,63.01,62.52,62.94,5135214
28-Mar-17,62.59,62.78,62.52,62.72,4827079
27-Mar-17,62.85,62.95,62.68,62.75,4462030
24-Mar-17,62.29,62.85,62.18,62.64,3854507
23-Mar-17,61.91,62.44,61.86,62.28,4044258
22-Mar-17,62.13,62.20,61.89,62.03,6346834
21-Mar-17,62.10,62.28,61.96,62.00,7344963
20-Mar-17,61.82,62.11,61.81,62.01,4794720
17-Mar-17,61.71,62.05,61.64,61.74,14143925
16-Mar-17,61.57,61.77,61.00,61.33,10388105
15-Mar-17,60.72,61.08,60.70,60.90,8462302
14-Mar-17,60.62,60.77,60.45,60.55,6377063
13-Mar-17,60.59,60.83,60.56,60.69,6499308
10-Mar-17,60.50,60.75,60.43,60.58,5502619
9-Mar-17,60.48,60.73,60.43,60.45,10034906
8-Mar-17,60.52,60.77,60.40,60.44,6793646
7-Mar-17,61.20,61.32,61.05,61.18,4877735
6-Mar-17,61.11,61.32,60.97,61.30,5254688
3-Mar-17,61.30,61.48,61.21,61.39,4427307
2-Mar-17,61.77,61.88,61.56,61.59,14515521
1-Mar-17,61.70,61.96,61.57,61.93,7787963
28-Feb-17,61.41,61.66,61.37,61.57,4798142
27-Feb-17,61.30,61.68,61.20,61.61,4338690
24-Feb-17,61.44,61.55,61.21,61.50,3850525
23-Feb-17,60.99,61.75,60.87,61.55,9044364
22-Feb-17,60.89,60.95,60.69,60.95,3093013
21-Feb-17,60.58,60.97,60.53,60.94,4294690
17-Feb-17,60.74,60.82,60.44,60.73,3819105
16-Feb-17,60.30,60.83,60.27,60.71,6554380
15-Feb-17,59.80,60.49,59.76,60.43,3717883
14-Feb-17,60.15,60.26,59.89,60.02,6828246
13-Feb-17,60.63,60.81,60.01,60.31,13309424
10-Feb-17,60.50,60.67,60.40,60.57,4928666
9-Feb-17,60.72,60.83,60.50,60.54,9638784
8-Feb-17,60.62,60.91,60.50,60.50,7176036
7-Feb-17,60.41,60.71,60.31,60.59,4648517
6-Feb-17,60.31,60.39,60.19,60.36,7857184
3-Feb-17,60.07,60.49,60.05,60.39,6720185
2-Feb-17,60.08,60.23,59.86,59.92,10696158
1-Feb-17,60.05,60.28,59.93,59.95,7016171
31-Jan-17,59.87,60.33,59.87,60.13,8595766
30-Jan-17,60.10,60.10,59.82,59.87,4983859
27-Jan-17,60.23,60.47,60.17,60.34,6323657
26-Jan-17,60.05,60.26,60.05,60.17,6710730
25-Jan-17,59.50,60.10,59.37,60.05,9536628
24-Jan-17,59.10,59.26,59.02,59.15,11011094
23-Jan-17,58.90,59.01,58.85,58.88,12157092
20-Jan-17,58.69,58.77,58.49,58.71,12931453
19-Jan-17,58.34,58.63,58.29,58.58,21015630
18-Jan-17,58.00,58.08,57.84,58.00,25967483
17-Jan-17,58.15,58.15,57.63,57.68,49863038
13-Jan-17,55.75,56.03,55.65,55.97,4628586
12-Jan-17,55.90,56.11,55.55,55.74,4915702
11-Jan-17,55.82,56.31,55.75,55.80,4756702
10-Jan-17,55.81,55.93,55.44,55.81,2848094
9-Jan-17,55.25,55.85,55.25,55.71,4150624
6-Jan-17,55.26,55.66,55.21,55.36,4898568
5-Jan-17,55.46,55.75,55.19,55.19,9878616
4-Jan-17,56.24,56.35,54.56,55.43,12554597
3-Jan-17,56.26,56.47,56.00,56.17,3161967
30-Dec-16,56.26,56.37,55.95,56.04,3329695
29-Dec-16,55.90,56.19,55.90,56.10,1617468
28-Dec-16,56.02,56.15,55.79,55.94,3705933
27-Dec-16,56.03,56.29,55.93,56.18,3068195
23-Dec-16,55.90,56.07,55.77,56.03,2917151
22-Dec-16,55.84,55.95,55.75,55.95,3849765
21-Dec-16,55.70,56.18,55.70,55.93,2403367
20-Dec-16,55.82,55.99,55.48,55.98,3872264
19-Dec-16,55.85,56.15,55.71,55.97,5367079
16-Dec-16,55.66,55.85,55.46,55.54,7409387
15-Dec-16,55.21,55.74,55.19,55.65,2918347
14-Dec-16,55.81,56.01,55.26,55.31,5054018
13-Dec-16,55.58,55.87,55.35,55.77,4282067
12-Dec-16,54.98,55.40,54.85,55.38,4589318
9-Dec-16,54.96,55.19,54.91,55.16,5432471
8-Dec-16,54.84,54.96,54.32,54.83,6320440
7-Dec-16,55.08,55.41,54.80,55.40,7129638
6-Dec-16,54.79,55.23,54.74,55.19,6308413
5-Dec-16,54.87,55.12,54.62,54.93,7849286
2-Dec-16,54.08,54.71,54.06,54.68,5259711
1-Dec-16,53.79,54.10,53.66,53.96,5827656
30-Nov-16,54.90,55.26,54.08,54.10,9038082
29-Nov-16,54.73,55.12,54.70,54.96,4516694
28-Nov-16,54.63,55.00,54.61,54.67,6714249
25-Nov-16,54.62,54.85,54.52,54.61,4202672
23-Nov-16,54.19,54.42,53.74,54.35,5925100
22-Nov-16,54.03,54.60,54.03,54.57,8966045
21-Nov-16,53.63,54.25,53.62,54.21,7086215
18-Nov-16,53.78,54.06,53.71,53.84,5869860
17-Nov-16,53.66,54.06,53.61,53.75,5679942
16-Nov-16,53.56,53.92,53.45,53.79,4280196
15-Nov-16,53.21,53.88,53.17,53.67,9987884
14-Nov-16,53.50,53.62,52.88,53.05,11213039
11-Nov-16,53.20,53.66,53.10,53.58,6892288
10-Nov-16,53.50,53.50,52.39,52.67,17674449
9-Nov-16,54.50,54.80,54.25,54.53,8710198
8-Nov-16,54.82,55.42,54.65,55.41,4145165
7-Nov-16,54.71,55.04,54.61,55.04,6351312
4-Nov-16,54.71,54.85,54.41,54.46,4432427
3-Nov-16,54.77,55.07,54.72,54.84,4674541
2-Nov-16,54.59,54.84,54.38,54.43,7245753
1-Nov-16,55.02,55.15,54.46,54.47,8618075
31-Oct-16,54.85,55.15,54.73,55.08,6712504
28-Oct-16,54.28,55.06,54.26,54.73,7740746
27-Oct-16,54.40,54.71,54.07,54.26,9927043
26-Oct-16,54.74,54.86,53.96,54.17,11513152
25-Oct-16,55.25,55.59,54.90,54.96,15833586
24-Oct-16,54.03,55.40,53.92,55.10,16993839
21-Oct-16,56.65,56.65,53.13,53.78,92190281
20-Oct-16,47.09,47.27,46.09,47.17,9303485
19-Oct-16,44.90,46.41,43.38,46.29,13859214
18-Oct-16,47.90,47.90,47.14,47.27,5884153
17-Oct-16,47.13,47.98,47.13,47.25,5432836
14-Oct-16,47.35,47.48,47.18,47.27,6043931
13-Oct-16,47.08,47.95,46.56,47.44,8243766
12-Oct-16,46.52,47.13,46.31,47.08,5426363
11-Oct-16,46.73,46.95,46.27,46.39,4357631
