Date,Open,High,Low,Close,Volume
31-Mar-17,108.93,108.93,108.41,108.62,310308
30-Mar-17,110.00,110.30,109.89,110.06,202813
29-Mar-17,110.26,110.34,110.11,110.25,390370
28-Mar-17,111.90,112.59,111.79,112.41,205363
27-Mar-17,111.03,111.96,110.76,111.73,211671
24-Mar-17,111.11,111.62,110.92,111.36,161695
23-Mar-17,110.55,111.08,110.32,110.51,159938
22-Mar-17,110.89,111.00,110.12,110.83,279319
21-Mar-17,112.69,112.86,111.12,111.39,383127
20-Mar-17,112.26,112.60,111.94,112.00,186605
17-Mar-17,112.64,112.74,112.07,112.21,480458
16-Mar-17,113.71,113.96,113.17,113.24,109377
15-Mar-17,112.63,113.50,112.54,113.24,170519
14-Mar-17,112.48,112.60,112.01,112.09,130639
13-Mar-17,113.37,113.82,113.33,113.40,233720
10-Mar-17,112.84,112.98,112.40,112.66,287381
9-Mar-17,112.11,112.41,111.88,112.19,150598
8-Mar-17,112.55,112.59,111.76,111.80,180393
7-Mar-17,112.69,113.05,112.50,112.65,171605
6-Mar-17,113.14,113.14,112.75,112.91,162049
3-Mar-17,113.27,113.54,113.07,113.34,125840
2-Mar-17,113.59,113.89,113.16,113.39,252735
1-Mar-17,114.82,114.98,114.51,114.74,240418
28-Feb-17,113.60,113.65,112.99,113.15,196115
27-Feb-17,113.71,114.27,113.67,114.24,180659
24-Feb-17,113.90,114.03,113.49,113.77,179977
23-Feb-17,114.68,114.89,114.38,114.59,181617
22-Feb-17,114.21,114.45,114.07,114.40,187051
21-Feb-17,114.08,114.59,113.82,114.30,269484
17-Feb-17,112.49,113.70,112.34,113.70,240406
16-Feb-17,113.20,113.61,113.09,113.35,196083
15-Feb-17,113.72,113.72,113.32,113.61,189113
14-Feb-17,114.34,114.49,113.76,114.47,234159
13-Feb-17,114.07,114.50,113.89,114.13,414093
10-Feb-17,112.55,113.14,112.50,112.89,376916
9-Feb-17,111.81,111.99,111.12,111.92,445405
8-Feb-17,113.34,113.41,112.87,113.27,251368
7-Feb-17,113.50,113.52,112.73,113.04,344364
6-Feb-17,114.20,114.48,112.75,113.31,437927
3-Feb-17,114.70,115.46,114.69,115.12,187540
2-Feb-17,114.70,114.76,113.97,114.53,248818
1-Feb-17,115.84,116.15,115.04,115.26,324205
31-Jan-17,116.21,116.37,115.07,115.75,324604
30-Jan-17,116.36,116.58,115.55,116.07,159201
27-Jan-17,117.09,117.09,116.50,116.69,196725
26-Jan-17,119.43,119.99,118.96,118.98,182534
25-Jan-17,118.62,119.28,118.52,119.06,233154
24-Jan-17,116.91,117.92,116.69,117.64,304226
23-Jan-17,118.45,118.45,117.75,118.29,140457
20-Jan-17,119.12,119.39,118.66,118.92,122597
19-Jan-17,119.56,119.95,118.90,119.31,106808
18-Jan-17,118.71,118.99,118.52,118.79,138537
17-Jan-17,118.85,118.96,118.17,118.41,190556
13-Jan-17,119.82,119.90,119.52,119.81,113085
12-Jan-17,119.64,119.94,118.36,119.64,218727
11-Jan-17,119.09,119.91,119.09,119.91,191950
10-Jan-17,119.09,120.06,118.79,119.76,214431
9-Jan-17,119.48,119.96,119.47,119.74,135759
6-Jan-17,119.84,120.23,119.40,120.13,171558
5-Jan-17,121.19,121.39,120.32,120.44,525907
4-Jan-17,120.27,121.29,120.14,121.19,250601
3-Jan-17,118.17,118.67,117.83,118.55,203983
30-Dec-16,117.77,117.91,116.82,117.20,153458
29-Dec-16,117.29,117.63,116.78,117.04,181657
28-Dec-16,118.96,119.22,118.40,118.42,105640
27-Dec-16,119.46,119.96,119.04,119.39,234522
23-Dec-16,120.78,121.10,120.78,120.90,101935
22-Dec-16,120.70,120.90,120.47,120.66,104708
21-Dec-16,121.35,121.44,121.00,121.11,87468
20-Dec-16,121.36,122.06,121.25,121.67,257859
19-Dec-16,121.32,122.23,121.24,121.84,171919
16-Dec-16,120.87,121.45,120.71,121.00,203822
15-Dec-16,121.92,122.21,121.70,121.98,211737
14-Dec-16,121.95,122.45,120.98,121.06,161229
13-Dec-16,122.22,123.18,122.17,123.07,201881
12-Dec-16,121.80,122.45,121.39,121.86,247490
9-Dec-16,122.81,123.15,122.61,122.98,292173
8-Dec-16,123.05,123.18,122.54,122.81,430986
7-Dec-16,119.63,121.77,119.63,121.46,304641
6-Dec-16,117.44,117.92,117.20,117.88,133968
5-Dec-16,117.34,118.08,117.30,117.56,156934
2-Dec-16,116.97,117.29,116.70,116.83,190881
1-Dec-16,117.69,118.71,117.50,117.77,260657
30-Nov-16,118.63,118.81,118.25,118.53,231619
29-Nov-16,118.15,118.57,117.94,118.30,190953
28-Nov-16,117.97,117.97,117.41,117.65,174715
25-Nov-16,117.70,118.15,117.41,117.80,191757
23-Nov-16,113.46,114.86,113.36,114.51,270600
22-Nov-16,113.71,113.87,113.25,113.78,153201
21-Nov-16,114.22,114.67,114.13,114.51,218441
18-Nov-16,114.06,114.43,113.92,114.04,235545
17-Nov-16,113.00,113.24,112.36,113.24,201221
16-Nov-16,112.64,112.88,112.37,112.57,228650
15-Nov-16,111.98,112.49,111.81,112.49,141996
14-Nov-16,111.83,112.43,111.51,111.78,226735
11-Nov-16,111.45,112.05,111.37,111.95,158576
10-Nov-16,110.93,111.40,109.94,110.86,371899
9-Nov-16,110.35,112.78,110.35,111.81,567877
8-Nov-16,113.00,115.40,112.62,113.81,228960
7-Nov-16,111.62,112.55,111.49,112.48,354401
4-Nov-16,110.53,111.20,110.24,110.56,321377
3-Nov-16,113.79,114.18,112.94,113.17,320414
2-Nov-16,114.14,114.67,113.13,113.38,227372
1-Nov-16,115.76,115.76,114.18,114.73,307298
31-Oct-16,115.51,115.79,115.40,115.66,135011
28-Oct-16,114.84,115.14,114.41,114.81,140473
27-Oct-16,115.39,115.50,114.81,114.85,216086
26-Oct-16,114.93,115.70,114.75,115.50,211167
25-Oct-16,115.43,115.75,115.24,115.25,159941
24-Oct-16,115.13,115.52,115.02,115.45,141251
21-Oct-16,114.86,115.36,114.61,115.27,174701
20-Oct-16,115.88,116.32,115.63,116.14,161558
19-Oct-16,115.13,115.38,114.89,114.89,112605
18-Oct-16,115.52,115.52,114.83,115.05,188106
17-Oct-16,115.18,115.84,115.08,115.43,163942
14-Oct-16,115.32,115.83,115.05,115.09,156786
13-Oct-16,114.53,115.20,114.09,114.69,231697
12-Oct-16,115.00,115.35,114.64,115.15,157721
11-Oct-16,115.80,115.80,115.02,115.32,224603
10-Oct-16,116.13,116.83,116.06,116.42,165178
7-Oct-16,115.96,116.09,115.22,115.89,228879
6-Oct-16,116.22,116.65,116.18,116.44,133605
5-Oct-16,116.43,117.18,116.43,117.07,202291
4-Oct-16,115.56,116.24,115.11,115.33,166113
3-Oct-16,114.49,115.67,114.34,115.26,609501
30-Sep-16,115.26,116.58,115.00,116.06,376299
29-Sep-16,116.53,116.85,115.76,115.99,400258
28-Sep-16,117.35,117.75,116.48,117.63,188063
27-Sep-16,118.60,118.60,117.79,118.32,325877
26-Sep-16,116.86,117.32,116.50,117.10,317199
23-Sep-16,117.62,117.89,117.26,117.66,402204
22-Sep-16,120.83,121.17,120.33,120.80,508341
21-Sep-16,119.63,120.20,118.01,119.45,402674
20-Sep-16,116.85,117.01,116.32,116.46,195433
19-Sep-16,115.25,116.03,114.97,115.07,221230
16-Sep-16,114.87,115.20,114.38,114.63,600218
15-Sep-16,117.02,118.37,116.82,118.17,224931
14-Sep-16,117.85,117.85,117.31,117.45,291787
13-Sep-16,119.34,119.82,118.36,118.81,350037
12-Sep-16,118.66,120.49,118.66,120.35,245522
9-Sep-16,120.00,120.15,118.64,118.66,370567
8-Sep-16,120.78,121.27,120.65,121.01,164454
7-Sep-16,121.37,121.80,120.59,120.74,268759
6-Sep-16,120.51,120.75,120.08,120.67,292556
2-Sep-16,121.52,122.09,121.52,122.08,314392
1-Sep-16,121.59,122.00,120.57,121.02,341122
31-Aug-16,121.19,121.37,120.04,120.63,395297
30-Aug-16,121.23,121.41,120.94,121.24,169532
29-Aug-16,120.02,120.44,120.01,120.34,205622
26-Aug-16,118.27,119.31,117.97,118.62,405456
25-Aug-16,120.76,120.96,120.21,120.29,354324
24-Aug-16,121.58,121.77,120.73,120.90,368506
23-Aug-16,120.27,120.40,119.80,119.80,169869
22-Aug-16,120.31,120.76,120.20,120.58,332242
19-Aug-16,119.47,119.85,119.40,119.62,356789
18-Aug-16,118.25,119.16,118.25,118.94,775204
17-Aug-16,118.53,119.22,118.52,119.20,537090
16-Aug-16,117.00,117.71,116.80,117.28,221619
15-Aug-16,117.50,117.89,117.50,117.58,120149
12-Aug-16,117.57,118.18,117.47,117.79,239904
11-Aug-16,117.23,117.94,117.12,117.77,264717
