Date,Open,High,Low,Close,Volume
31-Mar-17,49.30,49.57,49.09,49.34,2954594
30-Mar-17,49.77,49.89,49.62,49.63,1293032
29-Mar-17,49.87,50.14,49.85,50.06,1329271
28-Mar-17,50.02,50.24,50.01,50.18,1404001
27-Mar-17,50.56,50.61,50.23,50.30,1932891
24-Mar-17,50.39,50.42,50.04,50.17,1034682
23-Mar-17,49.97,50.35,49.94,50.01,1751500
22-Mar-17,50.22,50.29,50.00,50.15,1494188
21-Mar-17,50.51,50.56,50.02,50.04,2054412
20-Mar-17,50.33,50.41,50.14,50.20,1153242
17-Mar-17,50.17,50.22,49.90,49.92,1471388
16-Mar-17,49.97,50.11,49.82,50.01,1465912
15-Mar-17,48.94,49.82,48.80,49.66,1938986
14-Mar-17,48.98,49.34,48.92,48.96,1293375
13-Mar-17,48.88,49.04,48.69,48.78,1012314
10-Mar-17,48.98,49.27,48.89,49.14,1746677
9-Mar-17,48.22,48.75,48.14,48.62,2865983
8-Mar-17,47.46,47.70,47.40,47.56,2154652
7-Mar-17,47.70,47.86,47.57,47.71,1101479
6-Mar-17,47.49,47.64,47.40,47.59,1346892
3-Mar-17,47.29,47.68,47.06,47.63,1730679
2-Mar-17,47.05,47.47,47.02,47.28,1980179
1-Mar-17,47.52,47.76,47.50,47.56,1549762
28-Feb-17,47.52,47.77,47.45,47.48,2446109
27-Feb-17,47.47,47.83,47.38,47.67,2569028
24-Feb-17,47.22,47.28,46.92,47.12,1473773
23-Feb-17,47.05,47.40,46.86,46.90,2347939
22-Feb-17,46.24,47.96,46.00,46.93,11407650
21-Feb-17,44.47,45.00,44.33,44.87,10931374
17-Feb-17,47.27,48.82,46.07,48.53,37033831
16-Feb-17,42.21,42.62,42.15,42.57,1787113
15-Feb-17,41.54,42.29,41.54,42.17,1838521
14-Feb-17,41.74,41.79,41.46,41.67,1039418
13-Feb-17,41.86,41.92,41.71,41.83,1074758
10-Feb-17,41.61,41.91,41.56,41.77,1033255
9-Feb-17,42.06,42.25,41.97,42.08,1384574
8-Feb-17,41.92,42.02,41.73,42.01,1937060
7-Feb-17,41.57,41.76,41.49,41.68,2444908
6-Feb-17,41.12,41.21,41.06,41.14,1249307
3-Feb-17,41.49,41.52,41.27,41.37,2762108
2-Feb-17,41.25,41.40,41.15,41.16,4913323
1-Feb-17,41.00,41.28,40.82,41.11,3433201
31-Jan-17,40.92,41.15,40.89,41.11,3173263
30-Jan-17,40.59,40.92,40.51,40.90,3793570
27-Jan-17,40.88,41.11,40.83,41.07,3478021
26-Jan-17,40.49,40.58,40.31,40.51,3252316
25-Jan-17,42.43,42.62,42.34,42.58,1698997
24-Jan-17,42.18,42.46,42.16,42.36,1874118
23-Jan-17,42.05,42.38,42.01,42.31,1405279
20-Jan-17,41.67,41.98,41.67,41.95,1524625
19-Jan-17,41.46,41.62,41.37,41.56,2389145
18-Jan-17,41.60,41.76,41.54,41.62,1720571
17-Jan-17,41.47,41.73,41.42,41.61,1963887
13-Jan-17,41.44,41.60,41.22,41.46,1272322
12-Jan-17,41.46,41.60,41.37,41.57,1866267
11-Jan-17,41.04,41.26,40.79,41.15,1581643
10-Jan-17,41.06,41.06,40.85,40.88,1132090
9-Jan-17,40.96,41.25,40.96,41.19,1102931
6-Jan-17,40.90,41.00,40.85,40.94,1350994
5-Jan-17,40.96,41.37,40.93,41.22,1649834
4-Jan-17,40.73,40.90,40.65,40.90,1566672
3-Jan-17,40.35,40.58,40.19,40.54,2536941
30-Dec-16,40.78,40.86,40.62,40.70,1127649
29-Dec-16,40.46,40.63,40.45,40.52,982577
28-Dec-16,40.25,40.44,40.22,40.27,843440
27-Dec-16,40.50,40.61,40.41,40.52,693851
23-Dec-16,40.56,40.60,40.40,40.47,802140
22-Dec-16,40.49,40.58,40.31,40.47,1625310
21-Dec-16,40.31,40.51,40.18,40.22,1132166
20-Dec-16,40.23,40.44,40.13,40.37,1475938
19-Dec-16,40.16,40.34,40.00,40.12,1554025
16-Dec-16,39.79,39.92,39.59,39.70,2084633
15-Dec-16,39.64,39.68,39.48,39.58,2299406
14-Dec-16,40.68,40.79,40.22,40.26,4019824
13-Dec-16,40.57,40.96,40.55,40.79,1895820
12-Dec-16,39.68,39.99,39.67,39.92,2425844
9-Dec-16,39.54,39.89,39.51,39.86,2481204
8-Dec-16,39.26,39.37,39.08,39.14,2030009
