Date,Open,High,Low,Close,Volume
31-Mar-17,49.64,49.89,49.42,49.68,4594715
30-Mar-17,50.07,50.18,49.84,49.86,4235998
29-Mar-17,50.25,50.44,50.17,50.34,3071737
28-Mar-17,50.37,50.56,50.34,50.50,2280577
27-Mar-17,50.72,50.78,50.50,50.60,2708446
24-Mar-17,50.60,50.61,50.17,50.26,1428552
23-Mar-17,50.08,50.50,50.04,50.07,1961494
22-Mar-17,50.23,50.37,50.05,50.13,2359302
21-Mar-17,50.47,50.52,49.89,49.89,2358161
20-Mar-17,50.18,50.25,50.00,50.12,2411033
17-Mar-17,49.99,50.01,49.67,49.75,3486147
16-Mar-17,49.74,49.92,49.63,49.84,3393149
15-Mar-17,48.77,49.53,48.66,49.40,2320310
14-Mar-17,48.82,49.21,48.69,48.75,2307138
13-Mar-17,48.61,48.81,48.41,48.56,2374111
10-Mar-17,48.86,49.10,48.74,49.03,2349316
9-Mar-17,47.98,48.49,47.87,48.46,5811535
8-Mar-17,47.17,47.42,47.14,47.38,2118565
7-Mar-17,47.45,47.56,47.30,47.46,4261397
6-Mar-17,47.22,47.35,47.12,47.31,2450269
3-Mar-17,46.99,47.37,46.78,47.32,3148529
2-Mar-17,46.71,47.20,46.69,46.99,3099529
1-Mar-17,47.32,47.57,47.26,47.38,1365070
28-Feb-17,47.25,47.48,47.17,47.33,2345492
27-Feb-17,47.32,47.47,47.14,47.34,2827353
24-Feb-17,47.15,47.16,46.79,46.91,3630878
23-Feb-17,46.94,47.14,46.58,46.58,3776538
22-Feb-17,46.24,47.51,46.01,46.75,12116416
21-Feb-17,44.78,45.17,44.55,45.09,11041972
17-Feb-17,46.90,49.17,46.46,48.79,42417440
16-Feb-17,41.95,42.36,41.90,42.32,2535767
15-Feb-17,41.18,42.11,41.17,41.94,3143160
14-Feb-17,41.33,41.39,41.05,41.28,1176949
13-Feb-17,41.41,41.43,41.28,41.33,1028541
10-Feb-17,40.98,41.35,40.97,41.24,1610151
9-Feb-17,41.42,41.63,41.33,41.56,1631989
8-Feb-17,41.18,41.46,41.06,41.36,1483852
7-Feb-17,40.98,41.15,40.90,41.10,1505337
6-Feb-17,40.66,40.78,40.62,40.74,1289679
3-Feb-17,41.00,41.10,40.79,41.06,2414772
2-Feb-17,40.66,40.86,40.56,40.57,2237058
1-Feb-17,40.43,40.66,40.26,40.56,2760745
31-Jan-17,40.37,40.67,40.35,40.65,2917442
30-Jan-17,40.10,40.49,40.08,40.45,2850132
27-Jan-17,40.65,40.78,40.53,40.76,3434007
26-Jan-17,40.29,40.36,40.06,40.27,3936484
25-Jan-17,42.12,42.33,42.08,42.32,1522223
24-Jan-17,41.87,42.14,41.87,42.11,1948143
23-Jan-17,41.85,42.08,41.74,42.02,1469539
20-Jan-17,41.52,41.74,41.51,41.71,1464008
19-Jan-17,41.17,41.30,41.05,41.25,2294891
18-Jan-17,41.39,41.50,41.31,41.37,2161184
17-Jan-17,41.21,41.49,41.21,41.41,2531929
13-Jan-17,41.32,41.45,41.18,41.43,1178780
12-Jan-17,41.33,41.47,41.27,41.47,1269108
11-Jan-17,40.95,41.13,40.78,41.09,1336515
10-Jan-17,41.15,41.15,40.86,40.89,1375945
9-Jan-17,41.06,41.39,41.06,41.32,2145275
6-Jan-17,40.93,41.10,40.88,41.07,1732548
5-Jan-17,41.09,41.38,41.01,41.29,1307575
4-Jan-17,40.84,40.98,40.75,40.92,1206449
3-Jan-17,40.43,40.65,40.35,40.61,2585893
30-Dec-16,41.13,41.22,40.99,41.06,1597918
29-Dec-16,40.75,40.91,40.73,40.83,995713
28-Dec-16,40.46,40.65,40.44,40.46,1053037
27-Dec-16,40.78,40.84,40.73,40.77,694269
23-Dec-16,40.93,40.94,40.71,40.75,1172728
22-Dec-16,40.88,40.88,40.63,40.81,1358691
21-Dec-16,40.65,40.85,40.52,40.52,1438518
20-Dec-16,40.54,40.76,40.43,40.73,2069805
19-Dec-16,40.40,40.65,40.21,40.36,1610145
16-Dec-16,40.11,40.23,39.89,40.03,1961726
15-Dec-16,39.65,39.83,39.60,39.75,2538328
14-Dec-16,40.73,40.84,40.09,40.11,3753004
13-Dec-16,40.76,41.10,40.70,40.85,2695389
12-Dec-16,39.88,40.24,39.87,40.21,2149467
9-Dec-16,39.74,40.04,39.63,40.02,2494824
8-Dec-16,39.44,39.54,39.22,39.28,2780402
7-Dec-16,39.98,40.17,39.83,40.12,4385736
6-Dec-16,40.04,40.49,39.68,39.76,4492896
5-Dec-16,40.21,40.27,39.88,40.10,3831090
2-Dec-16,39.15,39.59,39.05,39.47,4745716
1-Dec-16,39.18,39.23,38.78,39.12,3796656
30-Nov-16,40.52,40.52,39.82,39.83,4413929
29-Nov-16,39.28,39.44,39.22,39.39,1471828
28-Nov-16,39.34,39.44,39.18,39.21,1505905
25-Nov-16,39.64,39.70,39.54,39.64,3295762
23-Nov-16,38.43,38.73,38.41,38.66,2100850
22-Nov-16,39.05,39.12,38.90,39.03,2407675
21-Nov-16,39.02,39.10,38.91,39.06,1902043
18-Nov-16,38.86,38.99,38.76,38.90,3297773
17-Nov-16,39.12,39.30,39.07,39.19,1976225
16-Nov-16,39.13,39.39,39.07,39.19,3462876
15-Nov-16,39.50,39.74,39.40,39.72,5104705
14-Nov-16,39.34,39.45,39.03,39.40,3200055
11-Nov-16,39.58,39.92,39.56,39.76,6754190
10-Nov-16,40.15,40.15,39.66,39.95,4909964
9-Nov-16,40.92,41.66,40.91,41.51,4594955
8-Nov-16,41.97,42.32,41.94,42.10,2914037
7-Nov-16,41.70,41.96,41.58,41.93,2214244
