Date,Open,High,Low,Close,Volume
31-Mar-17,6.60,6.68,6.55,6.60,81646
30-Mar-17,6.55,6.65,6.50,6.55,100926
29-Mar-17,6.50,6.60,6.42,6.60,114242
28-Mar-17,6.35,6.50,6.32,6.50,67341
27-Mar-17,6.10,6.45,6.10,6.40,156233
24-Mar-17,6.05,6.22,6.05,6.20,137556
23-Mar-17,5.90,6.16,5.90,6.10,92712
22-Mar-17,6.00,6.02,5.90,5.95,66292
21-Mar-17,6.05,6.12,5.95,6.00,142146
20-Mar-17,5.90,6.08,5.90,6.00,52214
17-Mar-17,6.05,6.08,5.90,5.95,54437
16-Mar-17,6.10,6.15,5.98,6.00,106719
15-Mar-17,5.85,6.18,5.85,6.10,112529
14-Mar-17,5.90,6.00,5.75,5.85,101119
13-Mar-17,5.85,6.02,5.85,5.95,112707
10-Mar-17,5.90,5.92,5.78,5.90,137965
9-Mar-17,5.85,6.00,5.70,5.90,189576
8-Mar-17,6.00,6.18,5.80,5.85,231666
7-Mar-17,5.90,6.20,5.88,6.10,239135
6-Mar-17,5.80,5.95,5.70,5.85,206007
3-Mar-17,5.95,6.00,5.70,5.75,175553
2-Mar-17,6.00,6.05,5.85,5.90,178936
1-Mar-17,6.05,6.14,6.01,6.05,50483
28-Feb-17,6.05,6.10,6.00,6.00,79671
27-Feb-17,6.15,6.15,6.02,6.05,113072
24-Feb-17,6.20,6.25,6.10,6.15,128613
23-Feb-17,6.25,6.35,6.22,6.25,82287
22-Feb-17,6.35,6.40,6.20,6.20,91220
21-Feb-17,6.45,6.45,6.32,6.45,114443
17-Feb-17,6.55,6.60,6.40,6.40,67970
16-Feb-17,6.60,6.65,6.50,6.60,76912
15-Feb-17,6.45,6.62,6.45,6.60,32911
14-Feb-17,6.45,6.55,6.40,6.50,61428
13-Feb-17,6.50,6.50,6.35,6.45,57357
10-Feb-17,6.70,6.70,6.45,6.50,119117
9-Feb-17,6.45,6.70,6.40,6.70,198609
8-Feb-17,6.05,6.35,5.98,6.30,114363
7-Feb-17,6.05,6.10,6.00,6.10,125104
6-Feb-17,6.45,6.45,6.05,6.10,138510
3-Feb-17,6.50,6.52,6.42,6.50,80242
2-Feb-17,6.45,6.55,6.40,6.45,66789
1-Feb-17,6.45,6.48,6.35,6.45,69012
31-Jan-17,6.45,6.48,6.40,6.40,56121
30-Jan-17,6.50,6.50,6.30,6.50,159410
27-Jan-17,6.50,6.55,6.40,6.50,161821
26-Jan-17,6.70,6.70,6.50,6.55,87901
25-Jan-17,6.50,6.65,6.50,6.65,72545
24-Jan-17,6.30,6.58,6.30,6.55,92315
23-Jan-17,6.40,6.40,6.15,6.30,103176
20-Jan-17,6.45,6.55,6.40,6.45,53462
19-Jan-17,6.30,6.50,6.30,6.35,118671
18-Jan-17,6.45,6.50,6.20,6.25,129851
17-Jan-17,6.65,6.65,6.48,6.50,68418
13-Jan-17,6.50,6.60,6.45,6.60,104086
12-Jan-17,6.55,6.65,6.45,6.45,84715
11-Jan-17,6.35,6.60,6.32,6.50,75195
10-Jan-17,6.40,6.50,6.30,6.35,90882
9-Jan-17,6.50,6.54,6.30,6.35,138273
6-Jan-17,6.70,6.72,6.55,6.60,167704
5-Jan-17,6.65,6.75,6.60,6.60,92897
4-Jan-17,6.55,6.70,6.50,6.60,145431
3-Jan-17,6.90,6.90,6.41,6.55,207312
30-Dec-16,6.70,6.85,6.70,6.75,66922
29-Dec-16,6.75,6.82,6.70,6.75,70674
28-Dec-16,6.80,6.80,6.70,6.80,84706
27-Dec-16,6.80,6.90,6.75,6.85,63352
