Stock,Date,Open,High,Low,Close,Volume
aav,4-Apr-16,5.16,5.26,5.09,5.09,72287
aav,5-Apr-16,5.02,5.14,4.99,5.12,55613
aav,6-Apr-16,5.18,5.23,5.09,5.21,72851
aav,7-Apr-16,5.20,5.24,5.10,5.14,34515
aav,8-Apr-16,5.33,5.33,5.16,5.23,54813
aav,11-Apr-16,5.22,5.36,5.22,5.31,49819
aav,12-Apr-16,5.35,5.59,5.23,5.55,128168
aav,13-Apr-16,5.54,5.64,5.43,5.43,75881
aav,14-Apr-16,5.46,5.49,5.17,5.27,79251
aav,15-Apr-16,5.22,5.22,5.13,5.16,173508
aav,18-Apr-16,5.04,5.35,4.97,5.30,67590
aav,19-Apr-16,5.36,5.47,5.35,5.45,85910
aav,20-Apr-16,5.38,5.64,5.37,5.49,76638
aav,21-Apr-16,5.50,5.54,5.43,5.45,39508
aav,22-Apr-16,5.47,5.70,5.47,5.52,83165
aav,25-Apr-16,5.47,5.51,5.40,5.41,55806
aav,26-Apr-16,5.44,5.56,5.42,5.48,92874
aav,27-Apr-16,5.53,5.64,5.41,5.54,56862
aav,28-Apr-16,5.53,5.63,5.49,5.53,72285
aav,29-Apr-16,5.60,5.75,5.54,5.72,50459
aav,2-May-16,5.68,5.70,5.56,5.61,110759
aav,3-May-16,5.54,5.54,5.27,5.30,92934
aav,4-May-16,5.25,5.34,5.13,5.33,97671
aav,5-May-16,5.40,5.47,5.26,5.29,96941
aav,6-May-16,5.34,5.37,5.24,5.31,88254
aav,9-May-16,5.25,5.28,5.10,5.19,63846
aav,10-May-16,5.24,5.42,5.24,5.40,47039
aav,11-May-16,5.42,5.60,5.37,5.55,69633
aav,12-May-16,5.61,5.78,5.57,5.77,79100
aav,13-May-16,5.70,5.77,5.66,5.72,36127
aav,16-May-16,5.75,5.91,5.75,5.89,132362
aav,17-May-16,5.89,5.93,5.85,5.86,62109
aav,18-May-16,5.83,5.85,5.62,5.63,42129
aav,19-May-16,5.57,5.73,5.49,5.71,60623
aav,20-May-16,5.71,5.79,5.65,5.75,26929
aav,23-May-16,5.77,5.77,5.63,5.70,25635
aav,24-May-16,5.77,5.80,5.70,5.74,49409
aav,25-May-16,5.77,5.95,5.77,5.93,47051
aav,26-May-16,5.97,6.03,5.79,5.86,95101
aav,27-May-16,5.83,5.94,5.75,5.86,59584
aav,31-May-16,5.80,5.93,5.77,5.89,48845
aav,1-Jun-16,5.79,5.93,5.78,5.92,33793
aav,2-Jun-16,5.85,5.99,5.84,5.91,67009
aav,3-Jun-16,5.98,6.05,5.89,5.94,54478
aav,6-Jun-16,6.00,6.17,6.00,6.09,76345
aav,7-Jun-16,6.16,6.20,6.13,6.15,100128
aav,8-Jun-16,6.23,6.31,5.99,6.00,258464
aav,9-Jun-16,5.94,6.09,5.93,5.95,134310
aav,10-Jun-16,5.93,5.93,5.71,5.81,137095
aav,13-Jun-16,5.76,5.87,5.64,5.69,88825
aav,14-Jun-16,5.62,5.79,5.62,5.64,61781
aav,15-Jun-16,5.62,5.73,5.53,5.53,67031
aav,16-Jun-16,5.49,5.51,5.38,5.41,61627
aav,17-Jun-16,5.52,5.64,5.50,5.61,108856
aav,20-Jun-16,5.69,5.82,5.62,5.70,86121
aav,21-Jun-16,5.68,5.70,5.60,5.63,40137
aav,22-Jun-16,5.68,5.68,5.46,5.50,60570
aav,23-Jun-16,5.59,5.61,5.50,5.54,52706
aav,24-Jun-16,5.30,5.46,5.29,5.36,63221
aav,27-Jun-16,5.31,5.43,5.25,5.33,69158
