Date,Open,High,Low,Close,Volume
31-Mar-17,9.38,9.58,9.30,9.53,2449834
30-Mar-17,9.63,9.81,9.43,9.49,3145493
29-Mar-17,9.36,9.68,9.27,9.53,3321810
28-Mar-17,9.07,9.50,9.03,9.38,2363607
27-Mar-17,8.99,9.17,8.88,8.99,2088487
24-Mar-17,9.17,9.31,9.04,9.13,1757056
23-Mar-17,8.98,9.22,8.98,9.13,2366974
22-Mar-17,8.85,9.17,8.66,9.08,2728936
21-Mar-17,9.10,9.12,8.83,8.93,2342692
20-Mar-17,9.05,9.12,8.82,9.00,2687851
17-Mar-17,9.41,9.50,9.11,9.16,3483823
16-Mar-17,9.50,9.59,9.25,9.35,3029082
15-Mar-17,9.09,9.56,9.03,9.50,3478467
14-Mar-17,9.00,9.00,8.44,8.92,3208352
13-Mar-17,9.15,9.41,9.11,9.20,2072475
10-Mar-17,9.43,9.47,8.88,9.17,3120545
9-Mar-17,9.29,9.60,8.97,9.28,5179186
8-Mar-17,9.44,9.65,9.08,9.42,5756893
7-Mar-17,10.00,10.05,9.48,9.58,4272174
6-Mar-17,10.32,10.34,9.71,9.93,3437266
3-Mar-17,10.71,11.00,10.34,10.36,2794343
2-Mar-17,10.70,11.00,10.64,10.70,2800299
1-Mar-17,10.63,11.10,10.63,10.93,3300048
28-Feb-17,10.50,10.96,10.40,10.51,4460582
27-Feb-17,10.43,10.94,10.32,10.73,4046391
24-Feb-17,10.57,10.71,10.26,10.39,5053049
23-Feb-17,10.07,11.00,9.93,10.87,6565734
22-Feb-17,9.90,10.03,9.77,9.79,2770284
21-Feb-17,10.28,10.34,10.07,10.09,2867796
17-Feb-17,10.35,10.43,9.97,10.00,4283500
16-Feb-17,10.68,10.83,10.42,10.46,2045520
15-Feb-17,10.91,11.00,10.56,10.65,2794622
14-Feb-17,10.84,11.00,10.64,10.98,2504059
13-Feb-17,10.82,11.00,10.70,10.78,2196282
10-Feb-17,10.79,11.03,10.61,10.93,4206794
9-Feb-17,10.95,11.20,10.60,10.60,4027002
8-Feb-17,10.56,10.91,10.32,10.85,5517228
7-Feb-17,10.56,11.06,10.48,10.70,7959915
6-Feb-17,11.98,12.35,10.85,10.91,10289743
3-Feb-17,12.20,12.76,12.16,12.65,3790184
2-Feb-17,12.18,12.32,11.72,12.12,3972960
