Date,Open,High,Low,Close,Volume
31-Mar-17,4.23,4.57,4.23,4.55,2388361
30-Mar-17,4.45,4.47,4.23,4.27,1872805
29-Mar-17,4.50,4.53,4.36,4.40,2961997
28-Mar-17,4.23,4.51,4.20,4.50,1821748
27-Mar-17,4.15,4.23,4.04,4.21,1363823
24-Mar-17,4.31,4.37,4.14,4.17,1443207
23-Mar-17,4.25,4.32,4.17,4.29,1563316
22-Mar-17,4.30,4.32,4.18,4.25,1893544
21-Mar-17,4.47,4.51,4.30,4.32,1769993
20-Mar-17,4.42,4.47,4.33,4.46,1724310
17-Mar-17,4.49,4.53,4.44,4.49,4351355
16-Mar-17,4.50,4.56,4.40,4.46,2576626
15-Mar-17,4.60,4.66,4.43,4.46,3691504
14-Mar-17,4.48,4.54,4.31,4.51,3326932
13-Mar-17,4.38,4.60,4.38,4.58,2660883
10-Mar-17,4.59,4.71,4.39,4.44,2203798
9-Mar-17,4.51,4.62,4.30,4.52,3775194
8-Mar-17,4.73,4.81,4.42,4.59,3776334
7-Mar-17,5.17,5.18,4.74,4.76,3469994
6-Mar-17,4.93,5.08,4.86,4.91,3126263
3-Mar-17,5.08,5.30,4.92,4.98,8661541
2-Mar-17,5.51,5.70,5.50,5.63,1916351
1-Mar-17,5.62,5.79,5.58,5.62,2186253
28-Feb-17,5.50,5.58,5.43,5.51,1524772
27-Feb-17,5.54,5.65,5.44,5.61,1486286
24-Feb-17,5.67,5.71,5.50,5.53,1063560
23-Feb-17,5.97,6.02,5.67,5.79,1405864
22-Feb-17,5.90,5.99,5.78,5.79,1375056
21-Feb-17,5.97,6.13,5.91,5.97,1520710
17-Feb-17,5.87,6.00,5.81,5.86,1448032
16-Feb-17,5.96,6.02,5.86,5.87,1485821
15-Feb-17,5.90,6.05,5.89,5.97,1386537
14-Feb-17,5.84,5.98,5.81,5.96,1170914
13-Feb-17,5.98,6.10,5.83,5.84,1088767
10-Feb-17,6.11,6.16,5.99,6.09,1279891
9-Feb-17,5.97,6.08,5.90,5.95,1814450
8-Feb-17,5.86,6.10,5.68,5.87,1401935
7-Feb-17,6.03,6.18,5.86,5.98,2168077
6-Feb-17,6.34,6.35,6.06,6.10,1745908
3-Feb-17,6.16,6.41,6.12,6.38,2286741
2-Feb-17,6.40,6.46,6.13,6.20,2011439
1-Feb-17,6.64,6.70,6.26,6.41,2413854
31-Jan-17,6.83,6.83,6.52,6.55,3477277
30-Jan-17,6.94,6.98,6.67,6.84,2837998
27-Jan-17,7.25,7.30,7.04,7.05,1728309
26-Jan-17,7.37,7.49,7.29,7.35,1831702
25-Jan-17,7.23,7.48,7.21,7.27,2065776
24-Jan-17,7.20,7.33,7.06,7.14,1494687
23-Jan-17,7.30,7.38,7.05,7.13,1686896
20-Jan-17,7.48,7.58,7.34,7.41,1378779
19-Jan-17,7.29,7.40,7.20,7.36,1668834
18-Jan-17,7.14,7.37,7.10,7.28,1576374
17-Jan-17,7.16,7.34,7.00,7.26,1771614
13-Jan-17,7.16,7.24,7.03,7.07,948794
12-Jan-17,7.28,7.30,7.07,7.18,1165466
11-Jan-17,7.23,7.29,7.08,7.18,1249406
10-Jan-17,7.13,7.21,6.95,7.18,1837821
9-Jan-17,7.25,7.29,7.03,7.06,2111359
6-Jan-17,7.23,7.40,7.10,7.36,1716300
5-Jan-17,7.27,7.40,7.14,7.19,1518164
4-Jan-17,7.07,7.26,6.91,7.18,2143082
3-Jan-17,7.18,7.30,6.76,7.06,1913622
30-Dec-16,7.10,7.19,6.92,6.99,2706287
29-Dec-16,7.29,7.36,7.10,7.13,1563412
28-Dec-16,7.70,7.70,7.22,7.36,1938980
27-Dec-16,7.50,7.68,7.45,7.63,1314313
23-Dec-16,7.37,7.49,7.35,7.45,3119281
22-Dec-16,7.14,7.48,7.14,7.40,1961840
21-Dec-16,7.11,7.34,7.06,7.13,2523968
20-Dec-16,7.10,7.27,6.98,7.04,2102080
19-Dec-16,6.75,7.10,6.75,6.98,2636071
16-Dec-16,6.77,6.89,6.66,6.73,5514356
15-Dec-16,6.60,6.95,6.53,6.68,2928073
14-Dec-16,7.28,7.33,6.77,6.83,3508845
13-Dec-16,7.74,7.74,7.25,7.43,2618551
12-Dec-16,7.77,7.88,7.38,7.40,3235816
9-Dec-16,7.55,7.55,7.32,7.39,2474372
8-Dec-16,7.39,7.51,7.29,7.40,3011637
7-Dec-16,7.59,7.69,7.18,7.26,12006019
6-Dec-16,7.72,8.02,7.56,8.01,1614091
5-Dec-16,7.95,8.24,7.85,7.89,2082980
2-Dec-16,7.52,7.91,7.52,7.76,2010155
1-Dec-16,8.14,8.17,7.45,7.54,2439056
30-Nov-16,7.45,7.93,7.37,7.82,4384426
29-Nov-16,6.64,6.82,6.44,6.76,2415482
28-Nov-16,7.32,7.33,6.81,6.85,1336654
25-Nov-16,7.32,7.32,7.08,7.16,820244
23-Nov-16,7.10,7.55,7.10,7.38,2103128
22-Nov-16,7.25,7.34,7.04,7.20,1374838
21-Nov-16,7.07,7.29,6.98,7.19,2116087
18-Nov-16,6.74,6.95,6.69,6.75,1408523
17-Nov-16,6.84,6.90,6.62,6.66,1389321
16-Nov-16,6.77,6.84,6.50,6.65,1631133
15-Nov-16,6.50,6.84,6.50,6.77,2510783
14-Nov-16,6.29,6.42,5.98,6.35,2462272
11-Nov-16,6.07,6.35,5.86,6.29,2102635
10-Nov-16,6.31,6.40,6.06,6.18,1981975
9-Nov-16,6.08,6.52,6.03,6.38,3367250
8-Nov-16,5.62,6.28,5.54,6.11,3793281
7-Nov-16,5.38,5.77,5.38,5.69,2571208
4-Nov-16,4.97,5.77,4.80,5.26,6625377
3-Nov-16,4.88,4.97,4.61,4.84,2528076
2-Nov-16,5.09,5.12,4.80,4.86,2313547
1-Nov-16,5.31,5.42,5.02,5.18,1972739
31-Oct-16,5.29,5.30,5.06,5.19,2217221
28-Oct-16,5.46,5.63,5.27,5.34,2054530
27-Oct-16,5.53,5.74,5.41,5.51,1964700
26-Oct-16,5.45,5.55,5.35,5.48,2300032
25-Oct-16,5.62,5.71,5.49,5.58,1763313
24-Oct-16,5.89,5.94,5.56,5.69,1720974
21-Oct-16,5.87,6.14,5.84,5.90,1545012
20-Oct-16,5.63,6.15,5.59,5.94,2362815
19-Oct-16,5.46,5.90,5.44,5.78,2184975
18-Oct-16,5.27,5.38,5.14,5.35,1299884
17-Oct-16,5.17,5.25,5.07,5.12,1215818
14-Oct-16,5.30,5.46,5.13,5.17,2255947
13-Oct-16,5.29,5.44,5.22,5.24,1834762
12-Oct-16,5.28,5.58,5.26,5.37,1832121
11-Oct-16,5.55,5.57,5.26,5.30,1663113
10-Oct-16,5.55,5.78,5.50,5.59,1352380
7-Oct-16,5.47,5.58,5.32,5.35,1222759
6-Oct-16,5.51,5.67,5.38,5.42,1381937
5-Oct-16,5.53,5.63,5.41,5.43,2046093
4-Oct-16,5.66,5.74,5.32,5.33,1885000
3-Oct-16,5.59,5.75,5.56,5.64,3052252
30-Sep-16,5.73,5.77,5.55,5.56,2758978
29-Sep-16,5.88,6.20,5.57,5.67,4958314
28-Sep-16,5.24,5.84,5.06,5.84,3134747
27-Sep-16,5.00,5.19,4.88,5.17,1979283
26-Sep-16,5.17,5.40,5.13,5.19,1367565
23-Sep-16,5.36,5.41,5.01,5.11,1496030
22-Sep-16,5.43,5.49,5.32,5.39,1459034
21-Sep-16,5.32,5.45,5.16,5.30,2565957
20-Sep-16,5.02,5.23,4.88,5.10,1973669
19-Sep-16,5.42,5.49,5.01,5.03,2406249
16-Sep-16,5.50,5.50,5.28,5.32,2556132
15-Sep-16,5.80,5.88,5.57,5.61,1648365
14-Sep-16,5.79,5.90,5.54,5.73,2231831
13-Sep-16,6.21,6.30,5.77,5.87,2108019
12-Sep-16,6.33,6.57,6.18,6.41,1601012
9-Sep-16,6.72,6.80,6.44,6.47,1407726
8-Sep-16,6.65,6.90,6.50,6.88,1904360
7-Sep-16,6.68,6.82,6.43,6.50,2710167
6-Sep-16,6.78,6.95,6.61,6.63,1447779
2-Sep-16,6.74,6.94,6.64,6.74,1386809
1-Sep-16,6.58,6.70,6.43,6.58,1657690
31-Aug-16,6.60,6.73,6.45,6.64,2104031
30-Aug-16,6.74,7.02,6.55,6.66,1793805
29-Aug-16,6.39,6.84,6.29,6.69,2582769
26-Aug-16,6.25,6.56,6.22,6.41,1866235
25-Aug-16,6.02,6.24,5.94,6.22,2111482
24-Aug-16,6.23,6.46,5.99,6.02,1467855
23-Aug-16,6.22,6.46,6.16,6.39,1795100
22-Aug-16,6.22,6.48,6.16,6.27,1522802
19-Aug-16,6.44,6.49,6.19,6.43,1964587
18-Aug-16,6.17,6.69,6.17,6.47,2887766
17-Aug-16,5.98,6.13,5.78,6.12,1962114
16-Aug-16,6.09,6.12,5.83,6.01,2363813
15-Aug-16,5.79,6.40,5.74,6.09,3710385
12-Aug-16,5.91,5.95,5.60,5.68,3387935
11-Aug-16,5.83,6.10,5.71,5.82,2448624
10-Aug-16,5.75,6.08,5.67,5.76,2454173
9-Aug-16,5.51,5.72,5.40,5.70,3906521
8-Aug-16,5.42,5.60,5.38,5.44,3951053
5-Aug-16,6.25,6.25,5.35,5.37,4360469
4-Aug-16,5.64,6.17,5.56,5.92,2516680
3-Aug-16,5.50,5.74,5.36,5.69,2029254
2-Aug-16,5.65,5.71,5.18,5.50,2139393
1-Aug-16,5.84,5.85,5.44,5.50,2130347
29-Jul-16,5.64,5.97,5.62,5.97,1621953
28-Jul-16,5.79,5.91,5.70,5.76,1033141
27-Jul-16,6.02,6.11,5.67,5.80,1770561
26-Jul-16,5.72,6.00,5.65,5.96,1551699
25-Jul-16,5.71,5.82,5.54,5.79,1544535
22-Jul-16,5.89,5.94,5.64,5.84,1314973
21-Jul-16,5.99,6.09,5.64,5.85,2559240
20-Jul-16,5.53,6.00,5.36,5.99,1979834
19-Jul-16,5.90,5.93,5.55,5.58,1695392
18-Jul-16,5.90,6.00,5.69,5.90,1386637
15-Jul-16,6.11,6.20,5.85,5.95,1702857
14-Jul-16,6.20,6.28,5.96,5.97,1381341
13-Jul-16,6.30,6.56,6.02,6.10,1551146
12-Jul-16,6.11,6.50,6.02,6.33,2158868
11-Jul-16,6.22,6.60,5.83,5.85,1577233
8-Jul-16,6.13,6.22,5.86,6.14,1524044
7-Jul-16,6.37,6.49,5.84,5.96,1662478
6-Jul-16,6.10,6.30,6.05,6.22,1029072
5-Jul-16,6.31,6.48,5.92,6.15,1376781
1-Jul-16,6.48,6.85,6.39,6.58,2004105
30-Jun-16,6.85,7.04,6.35,6.39,2458627
29-Jun-16,6.86,7.08,6.58,6.85,1743055
28-Jun-16,6.78,6.88,6.52,6.62,1886319
27-Jun-16,6.70,6.87,6.26,6.35,1732776
24-Jun-16,6.98,7.16,6.74,6.86,2143864
23-Jun-16,7.31,7.53,7.21,7.38,998015
22-Jun-16,7.43,7.51,7.10,7.17,1175572
21-Jun-16,7.26,7.42,7.12,7.33,1610216
20-Jun-16,7.51,7.72,7.22,7.30,1571678
17-Jun-16,7.35,7.47,7.11,7.15,2206476
16-Jun-16,7.10,7.18,6.87,6.97,1714675
15-Jun-16,7.45,7.62,7.22,7.27,1695258
14-Jun-16,7.65,7.95,7.35,7.52,1508124
13-Jun-16,7.65,8.03,7.54,7.67,696215
10-Jun-16,8.37,8.55,7.71,7.74,1593137
9-Jun-16,8.62,9.02,8.54,8.63,1390247
8-Jun-16,8.57,9.05,8.52,8.86,2629889
7-Jun-16,8.22,8.40,8.16,8.34,1367175
6-Jun-16,7.65,8.29,7.59,8.17,1718250
3-Jun-16,7.45,7.77,7.23,7.44,1610907
2-Jun-16,6.88,7.30,6.81,7.27,900958
1-Jun-16,7.00,7.15,6.67,7.12,1437499
31-May-16,7.07,7.45,6.96,7.11,2409446
27-May-16,7.04,7.07,6.82,6.89,1346626
26-May-16,7.64,7.80,7.10,7.11,1340925
25-May-16,7.30,7.62,7.24,7.44,1469335
24-May-16,7.52,7.71,7.00,7.13,1267825
23-May-16,7.44,7.48,7.16,7.42,1321777
20-May-16,7.43,7.62,7.20,7.58,1112702
19-May-16,7.19,7.56,6.93,7.30,1327200
18-May-16,7.75,7.91,7.41,7.47,1650328
17-May-16,7.39,7.98,7.37,7.78,1568661
16-May-16,7.35,8.32,7.26,7.39,2102278
13-May-16,6.74,7.32,6.72,6.99,1790834
12-May-16,7.31,7.44,6.80,6.83,1540612
11-May-16,6.88,7.38,6.70,7.08,1230738
10-May-16,6.65,7.13,6.61,7.01,1413030
9-May-16,6.94,7.05,6.49,6.56,1876377
6-May-16,6.67,7.59,6.45,7.08,2033974
5-May-16,7.52,7.58,6.92,7.08,1465545
4-May-16,7.11,7.45,6.79,6.92,1312230
3-May-16,7.35,7.39,6.84,7.05,2390546
2-May-16,8.02,8.06,7.64,7.79,1907126
29-Apr-16,8.89,9.05,7.60,7.96,2529189
28-Apr-16,9.21,9.30,8.40,8.57,2600730
27-Apr-16,8.84,9.38,8.84,9.35,1970704
26-Apr-16,8.52,8.94,8.35,8.68,1845311
25-Apr-16,8.39,8.66,8.22,8.49,1565603
22-Apr-16,7.91,8.78,7.90,8.38,1711913
21-Apr-16,7.91,8.09,7.70,7.81,1352669
20-Apr-16,7.57,7.96,7.43,7.83,1089678
19-Apr-16,7.57,7.86,7.40,7.70,949199
18-Apr-16,6.64,7.43,6.21,7.40,1204715
15-Apr-16,6.95,7.26,6.89,7.11,1341175
14-Apr-16,7.24,7.40,6.95,7.10,755682
13-Apr-16,7.64,7.73,7.10,7.17,1685888
12-Apr-16,6.76,7.70,6.70,7.63,3015771
11-Apr-16,6.52,6.90,6.50,6.67,1170650
8-Apr-16,6.37,6.74,6.25,6.41,1146375
7-Apr-16,5.99,6.20,5.83,6.03,774931
6-Apr-16,5.74,6.20,5.65,6.08,1459741
5-Apr-16,5.58,5.66,5.26,5.54,1625400
4-Apr-16,6.06,6.41,5.60,5.80,1742876
