Date,Open,High,Low,Close,Volume
31-Mar-17,67.58,68.61,67.40,68.56,450962
30-Mar-17,67.68,67.82,66.85,67.69,359043
29-Mar-17,67.00,67.98,66.80,67.30,362286
28-Mar-17,66.23,66.99,66.23,66.94,268362
27-Mar-17,66.66,66.66,65.86,66.24,367650
24-Mar-17,66.26,67.07,66.16,66.89,274578
23-Mar-17,65.88,66.89,65.47,66.14,367357
22-Mar-17,65.90,66.24,65.43,65.86,322700
21-Mar-17,66.97,66.97,65.58,66.36,470661
20-Mar-17,66.50,66.95,65.97,66.68,460097
17-Mar-17,67.46,67.71,66.53,66.67,1274747
16-Mar-17,67.67,67.75,67.14,67.46,329062
15-Mar-17,67.00,67.71,66.58,67.38,359003
14-Mar-17,66.92,67.17,66.10,66.56,425406
13-Mar-17,67.11,67.88,67.01,67.17,432751
10-Mar-17,67.26,67.79,66.78,67.11,351443
9-Mar-17,66.75,67.35,65.97,67.34,564306
8-Mar-17,67.81,67.97,66.81,66.84,376071
7-Mar-17,67.80,67.93,67.20,67.71,247940
6-Mar-17,68.20,68.20,67.41,67.84,517512
3-Mar-17,69.66,69.66,68.00,68.14,739413
2-Mar-17,69.30,69.76,69.15,69.50,401828
1-Mar-17,69.44,70.10,69.25,69.75,442651
28-Feb-17,68.49,69.08,68.21,68.92,528601
27-Feb-17,68.96,69.04,68.33,68.51,372437
24-Feb-17,69.90,69.99,68.01,68.74,687519
23-Feb-17,70.13,70.69,69.59,70.18,408662
22-Feb-17,70.00,70.22,69.77,70.01,472698
21-Feb-17,70.39,70.85,70.04,70.32,347672
17-Feb-17,70.57,70.75,69.66,70.03,410829
16-Feb-17,71.67,71.81,70.50,70.64,492886
15-Feb-17,72.00,73.01,71.76,72.62,850000
14-Feb-17,71.52,72.13,71.40,71.96,767514
13-Feb-17,71.59,71.89,71.00,71.83,918184
10-Feb-17,71.73,72.80,71.53,72.11,875715
9-Feb-17,71.28,72.64,71.20,72.28,635076
8-Feb-17,69.63,71.42,69.43,71.42,567438
7-Feb-17,71.05,71.24,69.86,70.67,576409
6-Feb-17,71.79,72.00,71.00,71.57,665645
3-Feb-17,70.68,71.87,70.15,71.80,904840
2-Feb-17,70.68,70.72,69.51,70.44,415954
1-Feb-17,69.99,70.73,69.41,70.59,715501
31-Jan-17,69.04,69.75,68.20,69.71,434555
30-Jan-17,69.73,69.75,68.63,69.08,501208
27-Jan-17,68.79,69.99,68.28,69.80,868896
26-Jan-17,68.15,68.93,67.96,68.67,669004
25-Jan-17,66.30,68.01,66.30,67.69,748343
24-Jan-17,64.90,66.23,64.90,65.98,697723
23-Jan-17,64.84,64.93,64.10,64.86,820636
20-Jan-17,64.85,65.04,64.40,64.62,395416
19-Jan-17,64.22,64.55,64.05,64.40,430398
18-Jan-17,64.37,64.50,63.93,64.12,713332
17-Jan-17,65.60,65.96,64.30,64.30,1099802
13-Jan-17,64.95,65.14,64.50,64.89,666427
12-Jan-17,66.04,66.20,64.55,64.80,608358
11-Jan-17,66.17,66.25,65.54,65.88,515580
10-Jan-17,67.13,67.55,65.55,65.79,718589
9-Jan-17,68.12,68.27,67.00,67.12,451290
6-Jan-17,67.93,68.05,67.41,67.99,430638
5-Jan-17,67.62,67.91,67.08,67.53,397800
4-Jan-17,67.22,67.68,67.00,67.37,386074
3-Jan-17,66.90,67.63,66.52,67.07,413770
30-Dec-16,65.78,66.17,65.51,66.16,420340
29-Dec-16,65.89,66.21,65.61,65.96,420142
28-Dec-16,67.06,67.22,66.00,66.19,508632
27-Dec-16,66.82,67.34,66.37,66.81,645286
23-Dec-16,65.87,66.60,65.67,66.58,283929
22-Dec-16,65.23,66.16,64.91,66.05,614567
21-Dec-16,64.98,65.63,64.77,65.16,673817
20-Dec-16,64.98,65.39,64.64,65.04,726085
19-Dec-16,64.93,65.16,64.39,64.98,534199
16-Dec-16,64.26,65.40,64.01,65.17,2132668
15-Dec-16,63.50,64.25,62.77,64.15,751544
14-Dec-16,64.00,64.37,63.56,63.88,953300
13-Dec-16,64.28,64.75,64.12,64.37,758713
12-Dec-16,65.43,65.65,64.00,64.22,461517
9-Dec-16,64.70,64.86,64.28,64.63,635256
8-Dec-16,63.17,64.64,62.78,64.51,906946
7-Dec-16,62.59,63.10,62.51,63.00,1144729
6-Dec-16,62.51,63.02,62.10,62.73,645472
5-Dec-16,62.99,63.36,62.32,62.51,755005
2-Dec-16,62.69,63.54,62.65,62.72,446960
1-Dec-16,64.56,64.99,62.18,62.71,794254
30-Nov-16,64.75,64.88,63.71,64.34,1051021
29-Nov-16,63.28,64.03,62.77,63.28,793645
28-Nov-16,64.78,64.79,63.89,63.92,625876
25-Nov-16,64.30,65.06,63.77,65.06,224400
23-Nov-16,64.94,65.24,63.93,64.56,682458
22-Nov-16,65.67,65.99,64.61,64.94,633291
21-Nov-16,65.01,65.72,64.52,65.36,462130
18-Nov-16,63.65,64.50,63.33,64.50,643778
17-Nov-16,64.64,64.91,63.52,63.64,718556
16-Nov-16,64.61,64.98,63.79,64.10,739668
15-Nov-16,65.02,65.33,64.44,64.85,496429
14-Nov-16,63.48,64.69,63.25,64.57,600725
11-Nov-16,63.86,63.98,63.00,63.55,424937
10-Nov-16,63.75,64.39,63.20,64.18,534020
9-Nov-16,64.16,64.92,63.88,64.71,889746
8-Nov-16,64.06,65.03,63.91,64.66,435980
7-Nov-16,63.98,64.25,63.55,64.07,523979
4-Nov-16,63.99,64.00,63.23,63.23,562791
3-Nov-16,63.45,64.08,63.09,63.99,608183
2-Nov-16,63.22,63.48,61.37,63.06,1227119
1-Nov-16,64.70,65.29,63.61,63.64,929615
31-Oct-16,66.00,66.07,64.47,64.54,665226
28-Oct-16,66.84,67.00,65.29,65.81,780983
27-Oct-16,67.09,67.35,66.32,66.84,605047
26-Oct-16,67.28,67.40,66.50,66.92,1042632
25-Oct-16,68.48,68.63,67.00,67.59,4350150
24-Oct-16,70.52,70.93,69.39,70.64,279213
21-Oct-16,70.67,70.92,70.07,70.64,361699
20-Oct-16,70.52,71.25,70.01,70.76,186873
19-Oct-16,69.98,71.15,69.86,70.76,827215
18-Oct-16,69.87,70.54,69.14,70.01,270597
17-Oct-16,68.99,69.39,68.77,69.28,192048
14-Oct-16,70.00,70.29,68.61,68.94,285808
13-Oct-16,69.70,70.00,69.01,69.96,242239
12-Oct-16,69.90,70.45,69.58,69.97,268963
11-Oct-16,70.18,70.50,69.34,70.29,597015
10-Oct-16,70.25,70.83,69.80,70.64,544166
7-Oct-16,68.99,70.15,68.91,69.98,736561
6-Oct-16,69.04,69.50,68.38,68.94,384991
5-Oct-16,70.35,70.54,68.66,69.23,637250
4-Oct-16,70.73,71.04,69.68,70.07,252476
3-Oct-16,71.51,71.79,70.42,70.69,431850
30-Sep-16,71.43,72.05,70.93,71.60,496888
29-Sep-16,71.29,71.86,70.75,71.22,287027
28-Sep-16,70.48,71.41,69.70,71.37,288309
27-Sep-16,70.31,70.84,69.74,70.45,345344
26-Sep-16,71.73,71.78,70.91,70.96,282323
23-Sep-16,71.25,72.13,71.22,71.61,268047
22-Sep-16,71.35,72.00,71.17,71.90,285918
21-Sep-16,69.63,71.35,69.24,70.93,375074
20-Sep-16,69.23,69.60,68.79,68.93,158494
19-Sep-16,69.14,69.73,68.95,69.35,201185
16-Sep-16,67.98,68.40,67.80,68.16,461245
15-Sep-16,68.39,68.77,67.37,68.35,549079
14-Sep-16,67.52,68.77,67.11,68.30,419258
13-Sep-16,68.78,68.91,67.14,67.40,763290
12-Sep-16,69.00,70.05,68.80,69.28,240043
9-Sep-16,70.99,71.25,69.37,69.38,404416
8-Sep-16,71.07,71.68,70.73,71.45,401186
7-Sep-16,70.64,71.00,70.33,70.51,259457
6-Sep-16,70.88,71.06,70.03,70.62,219293
2-Sep-16,70.10,70.70,69.72,70.43,194761
1-Sep-16,70.39,70.44,69.05,69.89,290729
31-Aug-16,69.50,70.43,69.13,70.26,502752
30-Aug-16,69.82,70.15,69.41,69.70,211425
29-Aug-16,69.70,70.28,69.29,69.76,194408
26-Aug-16,69.67,70.16,69.29,69.74,193097
25-Aug-16,69.91,70.06,68.94,69.55,225752
24-Aug-16,69.52,70.99,69.38,69.90,401824
23-Aug-16,69.64,70.45,69.59,70.17,304133
22-Aug-16,71.19,71.19,69.66,69.66,509359
19-Aug-16,71.97,72.07,70.91,71.33,318288
18-Aug-16,71.11,72.42,70.74,72.05,355013
17-Aug-16,72.07,72.30,70.64,71.11,466732
16-Aug-16,71.30,71.91,70.64,71.80,568768
15-Aug-16,72.80,73.06,71.11,71.46,465682
12-Aug-16,72.96,73.36,72.52,72.52,247327
11-Aug-16,72.76,73.38,71.89,72.41,233274
10-Aug-16,73.44,73.76,72.66,73.45,376326
