Date,Open,High,Low,Close,Volume
31-Mar-17,19.85,20.20,19.30,20.10,221031
30-Mar-17,20.15,20.58,19.70,19.70,270920
29-Mar-17,19.50,20.65,19.34,19.85,235013
28-Mar-17,18.60,19.55,18.60,19.20,199125
27-Mar-17,18.40,18.70,18.30,18.60,107314
24-Mar-17,19.25,19.25,18.35,18.65,176068
23-Mar-17,18.30,19.20,18.10,19.15,216992
22-Mar-17,17.90,18.30,17.55,18.15,138957
21-Mar-17,18.05,18.12,17.45,17.90,180450
20-Mar-17,17.70,18.10,17.40,17.90,175138
17-Mar-17,17.35,17.75,17.15,17.60,319489
16-Mar-17,18.00,18.75,17.10,17.15,391028
15-Mar-17,16.45,17.90,16.30,17.85,334316
14-Mar-17,16.20,16.35,15.65,16.25,295422
13-Mar-17,17.15,18.18,16.30,16.55,370601
10-Mar-17,15.85,17.75,15.85,17.20,507114
9-Mar-17,16.10,16.50,15.00,15.70,640657
8-Mar-17,17.25,17.70,16.10,16.55,628804
7-Mar-17,18.65,18.65,17.50,17.75,487186
6-Mar-17,18.65,19.20,18.30,18.70,237226
3-Mar-17,17.80,18.90,17.43,18.70,436251
2-Mar-17,18.90,19.55,17.75,18.30,995695
1-Mar-17,20.00,20.35,19.30,20.15,363775
28-Feb-17,20.00,20.20,18.70,19.70,734952
27-Feb-17,21.00,23.95,20.65,20.75,919913
24-Feb-17,22.90,22.90,17.55,21.30,2060343
23-Feb-17,29.20,30.00,23.50,24.55,1187663
22-Feb-17,30.45,30.45,28.65,29.20,262150
21-Feb-17,30.05,31.20,29.95,30.55,158425
17-Feb-17,29.60,29.85,29.44,29.55,69977
16-Feb-17,29.95,30.15,29.45,29.60,117844
15-Feb-17,30.20,30.40,29.70,30.00,91460
14-Feb-17,31.30,31.30,30.24,30.45,112975
13-Feb-17,30.15,31.30,30.15,30.95,159534
10-Feb-17,29.70,30.65,29.64,30.25,113040
9-Feb-17,28.60,29.60,28.60,29.45,152900
8-Feb-17,29.00,29.05,27.63,28.55,321172
7-Feb-17,30.05,30.45,29.15,29.20,215015
6-Feb-17,30.85,31.05,30.15,30.35,109342
3-Feb-17,30.70,31.00,30.00,30.70,104162
2-Feb-17,31.25,31.32,29.62,30.50,228371
1-Feb-17,31.65,31.78,30.90,31.25,112082
31-Jan-17,32.00,32.20,31.25,31.60,141875
30-Jan-17,32.85,32.95,31.10,32.15,226374
27-Jan-17,32.35,32.95,31.55,32.80,254740
26-Jan-17,31.30,32.05,31.30,32.00,180651
25-Jan-17,30.65,31.60,30.63,31.00,256120
24-Jan-17,29.90,30.80,29.83,30.55,193688
23-Jan-17,30.00,30.15,29.30,29.60,198100
20-Jan-17,29.95,30.50,29.55,29.70,267337
19-Jan-17,28.80,29.95,28.70,29.00,227525
18-Jan-17,29.30,29.42,28.00,28.60,238110
17-Jan-17,29.40,29.95,29.40,29.50,187002
13-Jan-17,29.80,30.19,29.10,29.35,153140
12-Jan-17,30.70,30.80,29.10,29.90,203564
11-Jan-17,29.15,30.65,28.85,30.25,358384
10-Jan-17,29.95,31.25,29.45,29.65,555915
9-Jan-17,28.45,29.75,28.05,29.60,569831
6-Jan-17,26.60,27.55,26.50,27.30,375284
5-Jan-17,25.75,26.60,25.66,26.35,263083
4-Jan-17,25.40,25.75,25.15,25.55,235269
3-Jan-17,24.25,25.65,24.03,24.90,220115
30-Dec-16,24.40,24.58,23.55,23.75,256821
29-Dec-16,24.95,25.00,24.25,24.55,197501
28-Dec-16,25.15,25.42,24.65,24.80,176889
27-Dec-16,25.25,25.53,25.06,25.30,155701
23-Dec-16,25.20,25.65,25.00,25.30,143618
22-Dec-16,25.00,25.70,25.00,25.50,180130
21-Dec-16,25.50,25.75,24.40,25.20,224921
20-Dec-16,25.00,25.75,24.95,25.35,139361
19-Dec-16,24.60,25.23,24.60,25.05,107613
16-Dec-16,24.40,24.85,24.20,24.60,141093
15-Dec-16,23.80,25.25,23.75,24.25,198417
14-Dec-16,25.30,25.38,24.00,24.25,311891
13-Dec-16,25.60,25.95,25.30,25.60,156738
12-Dec-16,25.60,26.21,25.05,25.45,286369
9-Dec-16,24.10,25.21,24.00,24.35,346775
8-Dec-16,23.30,24.05,23.29,23.80,151450
7-Dec-16,23.40,23.45,22.95,23.25,165674
6-Dec-16,23.60,24.00,22.95,23.50,166239
5-Dec-16,22.80,24.05,22.70,24.05,287503
2-Dec-16,22.65,22.95,22.25,22.50,166461
1-Dec-16,22.60,23.45,22.25,22.50,288193
30-Nov-16,21.85,22.50,21.40,22.10,335935
29-Nov-16,21.00,21.50,20.00,21.05,232310
28-Nov-16,21.55,21.55,21.05,21.15,85645
25-Nov-16,21.40,21.45,21.06,21.35,40933
23-Nov-16,21.75,22.00,21.10,21.45,136642
22-Nov-16,22.25,22.36,21.75,21.80,100732
21-Nov-16,21.80,22.45,21.41,22.05,212581
18-Nov-16,21.20,21.65,21.03,21.50,115801
17-Nov-16,21.25,21.65,21.00,21.20,145679
16-Nov-16,21.00,21.43,20.73,21.10,146860
15-Nov-16,19.35,20.94,19.35,20.85,146120
14-Nov-16,19.35,19.65,19.00,19.10,99276
11-Nov-16,19.70,19.75,19.11,19.50,124350
10-Nov-16,20.10,20.49,19.66,19.80,84234
9-Nov-16,19.20,20.24,19.15,20.15,118028
8-Nov-16,19.95,20.65,19.45,19.65,165395
7-Nov-16,19.95,20.58,19.35,19.95,333575
4-Nov-16,19.80,20.17,19.40,19.65,103657
3-Nov-16,19.80,20.45,19.50,20.00,153750
2-Nov-16,20.50,20.50,19.55,20.10,180766
1-Nov-16,20.65,21.40,20.43,20.80,88150
31-Oct-16,21.75,21.95,20.60,20.85,155516
28-Oct-16,21.90,22.70,21.50,22.00,121347
27-Oct-16,21.65,22.00,21.65,21.90,104896
26-Oct-16,21.00,22.10,21.00,21.35,131304
25-Oct-16,22.40,22.65,21.09,21.35,228954
24-Oct-16,23.90,24.00,22.00,22.20,354133
21-Oct-16,22.95,23.90,22.72,23.90,326155
20-Oct-16,21.55,22.43,21.40,22.40,344391
19-Oct-16,20.25,21.45,20.19,21.45,241416
18-Oct-16,20.55,20.55,19.65,20.25,144185
17-Oct-16,20.05,20.80,20.00,20.20,185384
14-Oct-16,20.00,20.33,19.70,19.75,129441
13-Oct-16,20.35,20.40,19.75,19.75,125990
12-Oct-16,20.75,20.75,19.45,20.40,272312
11-Oct-16,21.50,21.85,21.20,21.30,411151
10-Oct-16,20.75,22.15,20.70,21.35,406844
7-Oct-16,19.95,20.74,19.87,20.67,420914
6-Oct-16,20.00,20.00,19.66,19.70,287528
5-Oct-16,19.52,20.00,19.52,20.00,326671
4-Oct-16,19.78,19.89,19.04,19.21,183948
3-Oct-16,18.93,19.72,18.70,19.59,242564
30-Sep-16,19.17,19.18,18.66,18.66,164264
29-Sep-16,18.48,19.39,18.34,18.89,381619
28-Sep-16,17.51,18.43,17.50,18.33,501629
27-Sep-16,17.34,17.50,17.15,17.41,102585
26-Sep-16,17.25,17.50,17.25,17.34,67907
23-Sep-16,17.50,17.77,17.24,17.30,106879
22-Sep-16,17.74,17.97,17.50,17.51,155171
21-Sep-16,17.51,17.94,17.32,17.71,156120
20-Sep-16,17.25,17.54,17.10,17.14,142394
19-Sep-16,17.24,17.57,17.17,17.22,111404
16-Sep-16,17.00,17.45,17.00,17.17,168705
15-Sep-16,17.29,17.50,17.15,17.21,83318
14-Sep-16,17.30,17.54,17.08,17.26,88867
13-Sep-16,17.43,17.79,17.14,17.31,196148
12-Sep-16,17.39,17.84,17.31,17.61,98059
9-Sep-16,17.70,17.97,17.40,17.58,86808
8-Sep-16,17.68,17.99,17.60,17.85,201788
7-Sep-16,17.57,17.81,17.45,17.45,82337
6-Sep-16,17.60,17.74,17.56,17.57,71008
2-Sep-16,17.08,17.62,17.08,17.44,75378
1-Sep-16,17.11,17.22,16.88,16.94,80289
31-Aug-16,17.43,17.69,17.16,17.19,78627
30-Aug-16,17.62,17.80,17.43,17.59,130826
29-Aug-16,17.56,17.70,17.33,17.54,73836
26-Aug-16,17.13,17.75,17.13,17.47,90184
25-Aug-16,17.06,17.48,16.98,17.22,92445
24-Aug-16,17.34,17.64,17.08,17.12,112139
23-Aug-16,16.90,17.66,16.66,17.29,180244
22-Aug-16,17.30,17.33,16.78,16.78,134948
19-Aug-16,17.70,17.78,17.37,17.37,146754
18-Aug-16,17.35,17.64,17.29,17.48,180578
17-Aug-16,17.25,17.52,17.00,17.29,192101
16-Aug-16,17.00,17.23,16.85,16.94,82558
15-Aug-16,17.35,17.39,16.75,16.81,142311
12-Aug-16,16.64,17.09,16.55,17.02,159480
11-Aug-16,15.97,16.97,15.97,16.62,182105
10-Aug-16,16.35,16.50,15.74,16.04,142904
9-Aug-16,16.77,16.78,16.29,16.36,138036
8-Aug-16,16.69,17.00,16.50,16.78,142230
5-Aug-16,15.83,16.33,15.70,16.29,140259
4-Aug-16,16.04,16.44,15.81,15.82,125822
3-Aug-16,15.98,16.40,15.76,16.04,170435
2-Aug-16,15.83,16.22,15.56,15.90,186737
1-Aug-16,16.13,16.36,15.68,15.80,166452
29-Jul-16,16.19,16.69,15.85,16.47,101096
28-Jul-16,15.75,16.44,15.54,16.33,130919
27-Jul-16,16.14,16.35,15.64,15.83,157427
26-Jul-16,16.12,16.34,15.95,16.00,115785
25-Jul-16,16.87,16.89,16.10,16.21,168585
22-Jul-16,16.96,17.08,16.60,16.86,155862
21-Jul-16,16.76,17.25,16.64,16.91,166999
20-Jul-16,17.05,17.05,16.56,16.92,134983
19-Jul-16,17.95,17.95,16.69,16.76,237051
18-Jul-16,16.96,18.14,16.94,17.99,468660
15-Jul-16,17.23,17.70,16.70,16.90,121936
14-Jul-16,17.36,17.79,17.18,17.22,110942
13-Jul-16,17.31,17.82,16.70,17.36,323098
12-Jul-16,18.35,18.82,17.83,17.97,728315
11-Jul-16,18.50,18.89,17.60,17.85,508219
8-Jul-16,17.66,18.96,17.50,18.37,314604
7-Jul-16,18.69,19.22,16.86,17.39,479840
6-Jul-16,16.96,17.49,16.79,17.46,128343
5-Jul-16,18.00,18.17,16.26,17.19,382103
1-Jul-16,18.52,18.96,18.02,18.20,129608
30-Jun-16,17.51,18.75,17.31,18.48,276451
29-Jun-16,17.50,18.48,17.05,17.67,368947
28-Jun-16,15.60,17.45,15.47,17.30,387776
27-Jun-16,16.35,16.39,15.16,15.27,273176
24-Jun-16,14.98,16.40,14.70,16.22,266825
23-Jun-16,15.97,16.47,15.76,15.84,186949
22-Jun-16,16.23,16.23,15.70,15.88,107424
21-Jun-16,15.47,16.24,15.08,16.11,204183
20-Jun-16,16.13,16.13,15.56,15.57,193713
17-Jun-16,15.26,16.00,15.21,15.86,280789
16-Jun-16,14.60,14.97,14.24,14.89,199805
15-Jun-16,14.58,15.18,14.44,14.82,180507
14-Jun-16,14.47,14.99,14.34,14.77,144012
13-Jun-16,14.50,15.02,14.45,14.65,149696
10-Jun-16,15.00,15.28,14.54,14.70,240724
9-Jun-16,15.10,15.50,14.87,15.42,199411
8-Jun-16,16.30,16.41,15.37,15.56,407657
7-Jun-16,15.91,16.33,15.68,15.94,216782
6-Jun-16,14.96,15.98,14.87,15.79,493084
3-Jun-16,15.00,15.24,14.52,14.75,247178
2-Jun-16,13.84,15.00,13.57,15.00,400391
1-Jun-16,13.75,14.12,13.42,13.91,243692
31-May-16,14.04,14.39,13.82,13.95,188952
27-May-16,13.85,14.07,13.54,14.04,219033
26-May-16,14.22,14.30,13.86,13.91,127225
25-May-16,13.50,14.20,13.50,14.07,235186
24-May-16,13.68,14.03,13.39,13.42,215363
23-May-16,14.18,14.26,13.80,13.80,204133
20-May-16,13.53,14.60,13.40,14.39,306318
19-May-16,13.33,13.67,13.15,13.48,168071
18-May-16,13.29,13.73,13.12,13.48,277136
17-May-16,13.68,14.05,13.27,13.40,219307
16-May-16,13.78,14.14,13.41,13.49,365469
13-May-16,13.09,13.57,13.07,13.50,261744
12-May-16,14.25,14.42,13.06,13.17,325893
11-May-16,13.17,14.13,12.68,14.13,342427
10-May-16,12.94,13.54,12.78,13.45,225981
9-May-16,14.09,14.45,12.81,12.89,379208
6-May-16,14.50,15.24,14.16,14.21,243295
5-May-16,14.97,15.30,14.15,14.73,223453
4-May-16,15.00,15.00,14.11,14.54,183997
3-May-16,15.19,15.29,14.50,14.54,324702
2-May-16,16.50,16.50,15.01,15.30,359003
29-Apr-16,15.55,16.67,15.53,16.51,313807
28-Apr-16,16.00,16.53,15.55,15.55,192792
27-Apr-16,16.41,16.75,15.33,16.20,348912
26-Apr-16,15.62,16.49,15.55,16.18,190568
25-Apr-16,16.66,16.75,15.27,15.47,454621
22-Apr-16,15.85,16.75,15.85,16.75,379942
21-Apr-16,16.66,16.70,15.79,15.86,362457
20-Apr-16,16.09,16.96,16.00,16.55,191590
19-Apr-16,15.03,16.55,14.95,16.31,328796
18-Apr-16,15.20,15.84,14.73,15.17,438571
15-Apr-16,16.05,16.39,15.57,15.86,248825
14-Apr-16,16.20,16.90,15.78,16.49,365428
13-Apr-16,14.81,17.00,14.78,16.14,735142
12-Apr-16,13.83,15.38,13.81,14.77,568721
11-Apr-16,12.35,13.78,12.15,13.68,478901
8-Apr-16,12.29,12.98,11.56,12.60,516343
7-Apr-16,12.79,13.60,11.29,12.27,1375195
6-Apr-16,13.43,13.97,13.25,13.61,501668
5-Apr-16,13.25,13.42,13.00,13.31,327750
4-Apr-16,13.77,13.94,13.25,13.27,296319
