Date,Open,High,Low,Close,Volume
31-Mar-17,11.13,11.28,11.07,11.07,2256518
30-Mar-17,11.27,11.38,11.16,11.22,1687614
29-Mar-17,11.12,11.30,11.10,11.27,2214333
28-Mar-17,11.05,11.21,10.98,11.20,3351763
27-Mar-17,10.76,11.08,10.73,11.03,2781052
24-Mar-17,11.02,11.14,10.86,10.89,1758090
23-Mar-17,10.87,11.08,10.80,10.99,1866818
22-Mar-17,10.60,10.89,10.55,10.86,2479023
21-Mar-17,11.02,11.15,10.62,10.64,2733764
20-Mar-17,11.03,11.08,10.90,11.01,1333268
17-Mar-17,11.18,11.30,11.02,11.06,1792446
16-Mar-17,10.97,11.19,10.88,11.16,2878786
15-Mar-17,10.88,10.91,10.72,10.88,3304938
14-Mar-17,10.98,11.00,10.73,10.79,2629304
13-Mar-17,11.18,11.18,10.97,11.00,2651028
10-Mar-17,10.89,11.09,10.79,11.06,2329615
9-Mar-17,11.09,11.32,10.82,10.88,2801241
8-Mar-17,11.04,11.34,10.99,11.16,3065732
7-Mar-17,10.85,11.07,10.80,11.01,3108741
6-Mar-17,10.82,10.90,10.71,10.89,2505070
3-Mar-17,10.91,10.97,10.79,10.87,1698928
2-Mar-17,11.08,11.17,10.88,10.89,2976093
1-Mar-17,11.18,11.28,11.00,11.04,3178317
28-Feb-17,11.21,11.28,11.04,11.09,2225099
27-Feb-17,11.09,11.35,10.91,11.29,2481710
24-Feb-17,11.26,11.28,10.93,10.95,3944947
23-Feb-17,11.44,11.51,11.26,11.27,2796479
22-Feb-17,11.37,11.49,11.29,11.41,2939364
21-Feb-17,11.77,11.77,11.42,11.49,3000782
17-Feb-17,11.79,11.94,11.68,11.72,1737143
16-Feb-17,11.91,12.10,11.74,11.84,2710172
15-Feb-17,12.26,12.33,11.74,11.85,4926059
14-Feb-17,12.01,12.37,11.87,12.36,4855984
13-Feb-17,11.34,11.76,11.23,11.73,4073754
10-Feb-17,10.90,11.33,10.87,11.13,4136647
9-Feb-17,11.00,11.04,10.70,10.84,3807401
8-Feb-17,10.72,11.02,10.60,10.89,4177160
7-Feb-17,10.37,10.76,10.37,10.68,3655927
6-Feb-17,10.71,10.73,10.34,10.45,3716482
3-Feb-17,10.71,10.85,10.56,10.67,3810933
2-Feb-17,11.28,11.31,10.50,10.74,8042605
1-Feb-17,11.42,11.42,11.02,11.27,9550861
31-Jan-17,12.66,12.82,12.56,12.75,2193853
30-Jan-17,12.94,12.96,12.45,12.61,3851376
27-Jan-17,12.93,13.05,12.79,12.98,2693424
26-Jan-17,12.85,13.06,12.77,12.97,3844042
25-Jan-17,13.02,13.33,12.61,12.84,6476528
24-Jan-17,12.25,12.99,12.21,12.95,5783511
23-Jan-17,11.78,12.12,11.72,12.08,2983904
20-Jan-17,11.96,12.28,11.61,11.74,4186306
19-Jan-17,10.86,11.95,10.84,11.92,7462106
18-Jan-17,11.89,12.12,10.71,10.85,15215187
17-Jan-17,13.30,13.36,12.94,13.27,4791153
13-Jan-17,12.61,13.30,12.40,13.29,5358466
12-Jan-17,12.78,13.36,12.50,12.66,8491049
11-Jan-17,11.99,12.44,11.87,12.43,8587523
10-Jan-17,10.82,11.92,10.80,11.85,7319595
9-Jan-17,10.85,10.85,10.63,10.75,2388664
6-Jan-17,10.99,11.01,10.67,10.77,1632558
5-Jan-17,10.80,11.25,10.76,10.93,4701043
4-Jan-17,10.49,10.71,10.46,10.69,2504982
3-Jan-17,10.50,10.56,10.23,10.40,2431224
30-Dec-16,10.38,10.58,10.34,10.47,2223900
29-Dec-16,10.20,10.42,10.12,10.33,1897419
28-Dec-16,10.42,10.54,10.17,10.24,3401898
27-Dec-16,10.57,10.66,10.41,10.53,2243499
23-Dec-16,10.80,10.85,10.48,10.51,2910459
22-Dec-16,10.45,10.65,10.29,10.60,5598968
21-Dec-16,10.70,10.72,10.48,10.48,1746133
20-Dec-16,10.58,10.89,10.55,10.72,3192683
19-Dec-16,10.79,10.85,10.54,10.59,3331523
16-Dec-16,10.34,10.90,10.30,10.79,6161275
15-Dec-16,9.98,10.38,9.96,10.35,3003003
14-Dec-16,10.41,10.48,10.06,10.07,3100742
13-Dec-16,10.45,10.52,10.21,10.45,2523513
12-Dec-16,10.71,10.73,10.34,10.36,2249364
9-Dec-16,10.70,10.77,10.53,10.59,2922306
8-Dec-16,10.38,10.57,10.32,10.44,3698834
7-Dec-16,10.00,10.36,9.95,10.25,4013377
6-Dec-16,9.72,10.00,9.69,9.93,2658513
5-Dec-16,9.47,9.80,9.46,9.76,2553562
2-Dec-16,9.47,9.55,9.36,9.42,1458700
1-Dec-16,9.29,9.74,9.29,9.49,3238702
30-Nov-16,9.20,9.28,9.11,9.19,2308508
29-Nov-16,9.22,9.29,9.07,9.07,2179567
28-Nov-16,9.29,9.38,9.17,9.31,2138806
25-Nov-16,9.32,9.33,9.16,9.26,1250829
23-Nov-16,9.21,9.39,9.14,9.22,2094358
22-Nov-16,9.15,9.29,9.06,9.26,2625336
21-Nov-16,9.32,9.42,9.13,9.18,2238104
18-Nov-16,9.33,9.33,9.04,9.08,1624248
17-Nov-16,9.29,9.29,9.16,9.24,1803305
16-Nov-16,8.92,9.30,8.90,9.20,3551213
15-Nov-16,8.86,9.05,8.71,8.97,2759098
14-Nov-16,8.75,8.88,8.70,8.87,2631388
11-Nov-16,8.99,9.01,8.60,8.71,3615840
10-Nov-16,8.64,9.10,8.59,8.94,5074702
9-Nov-16,8.41,8.60,8.35,8.54,5296301
8-Nov-16,8.32,8.62,8.23,8.48,4310643
7-Nov-16,8.39,8.50,8.24,8.25,2536362
4-Nov-16,8.16,8.58,8.12,8.24,4049777
3-Nov-16,8.34,8.34,7.97,8.23,5495990
2-Nov-16,7.68,8.35,7.60,8.34,6947371
1-Nov-16,7.74,7.74,7.41,7.46,3169735
31-Oct-16,7.93,7.94,7.69,7.70,1701750
28-Oct-16,7.92,8.05,7.88,7.93,1777417
27-Oct-16,7.96,8.04,7.88,7.93,1965263
26-Oct-16,7.83,8.10,7.83,7.94,2321667
25-Oct-16,7.93,8.01,7.81,7.88,2114144
24-Oct-16,8.05,8.06,7.87,7.88,1851994
21-Oct-16,8.05,8.09,8.00,8.04,1342852
20-Oct-16,8.00,8.15,7.93,8.12,2081187
19-Oct-16,8.07,8.09,8.00,8.03,1528776
18-Oct-16,8.01,8.01,7.84,8.00,1485906
17-Oct-16,7.97,8.06,7.88,7.91,2306950
14-Oct-16,7.91,8.08,7.87,8.02,3583891
13-Oct-16,7.67,7.83,7.45,7.82,4117426
12-Oct-16,7.89,7.93,7.74,7.76,2165051
11-Oct-16,7.98,8.02,7.88,7.94,2139765
10-Oct-16,7.92,8.03,7.88,7.96,1900921
7-Oct-16,8.07,8.08,7.86,7.88,3007098
6-Oct-16,8.08,8.21,7.92,8.04,2439707
5-Oct-16,8.22,8.23,8.09,8.13,3163223
4-Oct-16,8.39,8.42,8.09,8.10,4302840
3-Oct-16,8.56,8.62,8.37,8.43,2099715
30-Sep-16,8.74,8.82,8.55,8.56,1974639
29-Sep-16,8.72,8.83,8.62,8.68,2882859
28-Sep-16,8.55,8.65,8.33,8.63,3778284
27-Sep-16,8.64,8.67,8.50,8.56,2487467
26-Sep-16,8.81,8.86,8.69,8.71,1115028
23-Sep-16,8.89,9.00,8.75,8.84,1782032
22-Sep-16,9.08,9.16,8.89,8.95,1345351
21-Sep-16,8.82,8.96,8.80,8.96,1373014
20-Sep-16,8.78,8.92,8.71,8.74,1805301
19-Sep-16,8.91,8.91,8.71,8.75,2567358
16-Sep-16,8.78,8.81,8.68,8.77,1752039
15-Sep-16,8.68,8.90,8.68,8.84,2039940
14-Sep-16,8.63,8.84,8.59,8.68,3379931
13-Sep-16,8.99,8.99,8.57,8.64,3157081
12-Sep-16,8.96,9.10,8.93,9.03,2893087
9-Sep-16,9.20,9.28,9.01,9.04,2579198
8-Sep-16,9.41,9.43,9.27,9.33,1655046
7-Sep-16,9.51,9.59,9.35,9.37,1568175
6-Sep-16,9.40,9.52,9.31,9.49,2222813
2-Sep-16,9.24,9.32,9.18,9.30,3161470
1-Sep-16,9.19,9.22,9.05,9.13,3526652
31-Aug-16,9.31,9.32,9.09,9.22,2237486
30-Aug-16,9.36,9.49,9.31,9.34,1563076
29-Aug-16,9.30,9.38,9.25,9.35,3082044
26-Aug-16,9.45,9.59,9.28,9.29,1461481
25-Aug-16,9.55,9.56,9.39,9.42,1169128
24-Aug-16,9.47,9.66,9.46,9.56,1481817
23-Aug-16,9.45,9.57,9.39,9.50,1271336
22-Aug-16,9.40,9.46,9.31,9.42,1350489
19-Aug-16,9.49,9.56,9.43,9.45,1417512
18-Aug-16,9.62,9.65,9.50,9.55,1339173
17-Aug-16,9.65,9.66,9.51,9.61,1392602
16-Aug-16,9.90,9.92,9.67,9.67,1458251
15-Aug-16,9.82,9.87,9.67,9.85,1395858
12-Aug-16,9.84,9.84,9.65,9.74,1496258
11-Aug-16,9.52,9.79,9.49,9.78,2120831
10-Aug-16,9.61,9.63,9.39,9.45,1227338
9-Aug-16,9.73,9.75,9.49,9.52,1532834
8-Aug-16,9.65,9.72,9.56,9.69,1834315
5-Aug-16,9.43,9.53,9.30,9.52,1475270
4-Aug-16,9.47,9.68,9.42,9.43,2051205
3-Aug-16,9.45,9.48,9.25,9.48,2062743
2-Aug-16,9.49,9.56,9.29,9.45,3235371
1-Aug-16,9.55,9.63,9.08,9.14,2927188
29-Jul-16,9.58,9.85,9.38,9.56,4256982
28-Jul-16,10.40,10.42,9.39,9.50,8255223
27-Jul-16,10.60,10.68,10.49,10.63,2753874
26-Jul-16,10.22,10.55,10.20,10.55,2321331
25-Jul-16,10.30,10.34,10.15,10.26,1485183
22-Jul-16,10.50,10.54,10.28,10.35,1568209
