Stock,Date,Open,High,Low,Close,Volume
bac,4-Apr-16,13.54,13.65,13.41,13.51,59422447
bac,5-Apr-16,13.30,13.34,13.16,13.19,78192291
bac,6-Apr-16,13.20,13.30,13.11,13.27,62156474
bac,7-Apr-16,13.15,13.20,12.75,12.85,104821350
bac,8-Apr-16,13.03,13.14,12.86,12.88,76275781
bac,11-Apr-16,12.92,13.09,12.88,12.97,79078538
bac,12-Apr-16,13.00,13.33,12.93,13.27,97844723
bac,13-Apr-16,13.55,13.85,13.53,13.79,136118399
bac,14-Apr-16,13.71,14.28,13.70,14.14,178740254
bac,15-Apr-16,14.27,14.29,13.95,14.00,87129635
bac,18-Apr-16,13.85,14.24,13.82,14.17,80353213
bac,19-Apr-16,14.26,14.54,14.24,14.45,101312443
bac,20-Apr-16,14.56,14.94,14.53,14.93,109230544
bac,21-Apr-16,14.98,15.14,14.75,14.90,120374813
bac,22-Apr-16,14.86,15.14,14.86,15.11,82432324
bac,25-Apr-16,15.02,15.14,14.81,14.96,70278416
bac,26-Apr-16,15.02,15.14,14.80,15.09,84569780
bac,27-Apr-16,15.02,15.30,14.98,15.02,106576718
bac,28-Apr-16,14.92,15.08,14.76,14.79,77434840
bac,29-Apr-16,14.73,14.85,14.43,14.56,121693594
bac,2-May-16,14.58,14.78,14.40,14.77,68788931
bac,3-May-16,14.51,14.51,14.15,14.36,106570634
bac,4-May-16,14.09,14.27,14.00,14.13,98642270
bac,5-May-16,14.15,14.32,14.00,14.05,72976421
bac,6-May-16,13.83,14.14,13.80,14.11,76212901
bac,9-May-16,14.08,14.19,13.91,13.99,55191157
bac,10-May-16,14.08,14.33,14.05,14.30,59735043
bac,11-May-16,14.25,14.50,14.19,14.20,67704361
bac,12-May-16,14.30,14.47,14.05,14.14,72112920
bac,13-May-16,14.15,14.37,13.87,13.88,85859536
bac,16-May-16,13.82,14.02,13.80,13.93,57697993
bac,17-May-16,13.89,14.13,13.82,14.01,76155974
bac,18-May-16,14.02,14.75,14.01,14.69,151376672
bac,19-May-16,14.60,14.86,14.43,14.53,105870891
bac,20-May-16,14.64,14.70,14.43,14.52,79607441
bac,23-May-16,14.54,14.60,14.40,14.47,66164575
bac,24-May-16,14.60,14.75,14.53,14.68,94587591
bac,25-May-16,14.83,15.15,14.83,14.92,123394563
bac,26-May-16,14.98,14.99,14.69,14.70,64985444
bac,27-May-16,14.76,14.88,14.69,14.88,62338012
bac,31-May-16,15.03,15.05,14.73,14.79,85635898
bac,1-Jun-16,14.60,14.90,14.45,14.86,62612116
bac,2-Jun-16,14.95,14.98,14.77,14.94,64327307
bac,3-Jun-16,14.46,14.50,14.19,14.42,148600851
bac,6-Jun-16,14.44,14.70,14.37,14.52,80949339
bac,7-Jun-16,14.54,14.60,14.34,14.35,67447137
bac,8-Jun-16,14.35,14.46,14.30,14.43,58292864
bac,9-Jun-16,14.32,14.32,14.08,14.19,74814895
bac,10-Jun-16,13.98,14.00,13.75,13.83,90725677
bac,13-Jun-16,13.64,13.91,13.58,13.60,74851719
bac,14-Jun-16,13.56,13.73,13.17,13.26,85377775
bac,15-Jun-16,13.38,13.66,13.28,13.34,100659070
bac,16-Jun-16,13.23,13.33,13.02,13.31,90151952
bac,17-Jun-16,13.38,13.53,13.28,13.40,89022300
bac,20-Jun-16,13.74,13.85,13.51,13.54,89873995
bac,21-Jun-16,13.62,13.65,13.44,13.62,73810799
bac,22-Jun-16,13.60,13.78,13.59,13.61,77980475
