Date,Open,High,Low,Close,Volume
31-Mar-17,73.12,73.68,71.61,72.16,99383
30-Mar-17,74.28,74.30,73.07,73.54,51783
29-Mar-17,75.17,75.28,74.04,74.51,71720
28-Mar-17,73.87,75.12,73.56,74.95,54363
27-Mar-17,73.67,74.61,72.86,73.58,59642
24-Mar-17,72.95,74.70,72.95,74.10,55856
23-Mar-17,72.85,73.56,72.44,73.00,52754
22-Mar-17,72.15,73.28,71.72,72.75,62603
21-Mar-17,72.22,73.40,71.92,72.74,62787
20-Mar-17,70.46,72.18,70.46,71.70,46077
17-Mar-17,72.73,72.73,70.12,70.76,336121
16-Mar-17,71.80,72.86,71.55,72.80,87749
15-Mar-17,69.81,71.77,69.48,71.71,69995
14-Mar-17,73.76,73.76,72.30,72.86,88379
13-Mar-17,72.15,73.93,72.13,73.91,152536
10-Mar-17,71.61,71.89,71.24,71.87,34932
9-Mar-17,72.31,72.31,71.18,71.46,65492
8-Mar-17,72.97,72.98,71.87,71.95,38435
7-Mar-17,72.72,73.66,72.66,73.32,19869
6-Mar-17,72.61,73.12,72.49,72.82,18038
3-Mar-17,72.56,73.15,72.56,72.94,26117
2-Mar-17,73.43,73.66,72.46,72.53,43445
1-Mar-17,72.68,74.02,72.67,73.32,28987
28-Feb-17,72.35,73.14,71.84,72.18,32340
27-Feb-17,72.31,72.56,72.15,72.39,18111
24-Feb-17,72.91,72.91,71.75,72.18,22567
23-Feb-17,73.00,73.38,72.71,73.03,32441
22-Feb-17,72.49,72.89,72.14,72.68,36284
21-Feb-17,72.55,73.34,72.24,73.15,33405
17-Feb-17,72.17,72.47,71.83,72.02,27734
16-Feb-17,72.69,72.90,72.20,72.31,27832
15-Feb-17,72.42,73.10,71.98,72.79,27735
14-Feb-17,72.10,72.52,71.62,72.27,23400
13-Feb-17,72.22,72.41,71.64,71.78,16741
10-Feb-17,72.78,72.79,71.13,72.70,91128
9-Feb-17,71.62,72.89,71.62,72.32,63419
8-Feb-17,72.13,72.36,71.19,71.89,44400
7-Feb-17,72.23,72.58,71.90,72.53,19208
6-Feb-17,72.07,72.87,71.84,72.38,30131
3-Feb-17,72.15,72.96,71.92,72.13,23862
2-Feb-17,71.63,72.29,71.63,72.12,39877
1-Feb-17,71.68,72.20,71.37,71.78,40055
31-Jan-17,71.84,72.19,71.30,71.31,29949
30-Jan-17,71.83,72.37,71.61,71.92,24407
27-Jan-17,72.63,72.63,71.91,72.26,17196
26-Jan-17,73.04,73.40,72.15,72.55,31861
25-Jan-17,71.58,73.01,71.37,72.70,23558
24-Jan-17,72.65,72.65,71.17,71.35,63454
23-Jan-17,71.38,72.38,71.38,72.29,28808
20-Jan-17,71.40,71.71,70.92,71.66,27391
19-Jan-17,71.67,71.67,70.88,71.31,21337
18-Jan-17,71.56,72.23,71.34,71.78,21958
17-Jan-17,71.25,71.92,71.25,71.49,11670
13-Jan-17,71.44,71.73,71.04,71.29,18990
12-Jan-17,71.41,71.98,71.04,71.32,19803
11-Jan-17,70.49,71.34,70.00,71.14,23329
10-Jan-17,70.27,70.78,70.04,70.72,22746
9-Jan-17,70.55,70.79,69.99,70.61,45064
