Date,Open,High,Low,Close,Volume
31-Mar-17,25.18,25.25,24.88,25.08,334483
30-Mar-17,25.47,25.52,25.17,25.22,248400
29-Mar-17,25.51,25.54,25.24,25.45,554480
28-Mar-17,24.73,25.45,24.73,25.45,513203
27-Mar-17,24.52,24.81,24.26,24.73,453982
24-Mar-17,24.61,24.90,24.56,24.82,298373
23-Mar-17,24.15,24.65,24.00,24.52,517518
22-Mar-17,23.83,24.20,23.68,24.11,635035
21-Mar-17,24.27,24.33,23.90,23.98,616800
20-Mar-17,24.09,24.27,23.89,24.10,487413
17-Mar-17,23.98,24.22,23.80,24.13,332111
16-Mar-17,23.51,24.08,23.39,23.94,308429
15-Mar-17,23.33,23.40,23.13,23.37,252993
14-Mar-17,22.99,23.37,22.96,23.25,423335
13-Mar-17,22.91,23.21,22.76,23.11,295135
10-Mar-17,22.99,23.07,22.67,22.83,277770
9-Mar-17,22.80,23.06,22.80,22.84,422099
8-Mar-17,23.20,23.24,22.84,22.86,289608
7-Mar-17,22.75,23.16,22.71,23.13,393522
6-Mar-17,22.68,22.76,22.64,22.68,568553
3-Mar-17,22.57,22.80,22.47,22.79,328404
2-Mar-17,22.55,22.55,22.38,22.41,486839
1-Mar-17,22.16,22.70,22.11,22.65,638746
28-Feb-17,21.98,22.11,21.92,21.98,364893
27-Feb-17,22.04,22.13,21.90,22.02,287920
24-Feb-17,21.88,21.97,21.67,21.94,350580
23-Feb-17,22.10,22.26,22.03,22.10,337117
22-Feb-17,22.18,22.18,22.00,22.10,778375
21-Feb-17,21.74,22.16,21.70,22.15,857881
17-Feb-17,21.74,21.86,21.56,21.78,303541
16-Feb-17,21.85,22.13,21.85,21.88,372055
15-Feb-17,21.80,22.09,21.76,21.97,393688
14-Feb-17,22.03,22.03,21.81,21.83,180020
13-Feb-17,22.04,22.19,21.95,22.04,335065
10-Feb-17,21.91,22.11,21.76,22.05,415455
9-Feb-17,21.90,21.96,21.79,21.80,581855
8-Feb-17,21.80,21.98,21.67,21.79,409547
7-Feb-17,21.74,21.90,21.74,21.89,360928
6-Feb-17,21.74,21.92,21.67,21.78,271274
3-Feb-17,21.76,21.98,21.69,21.85,279442
2-Feb-17,21.30,21.72,21.26,21.62,306096
1-Feb-17,21.71,21.80,21.30,21.36,400831
31-Jan-17,21.55,21.75,21.21,21.59,325949
30-Jan-17,21.98,21.98,21.58,21.64,285704
27-Jan-17,22.17,22.33,22.10,22.16,161068
26-Jan-17,21.97,22.25,21.96,22.21,511928
25-Jan-17,21.82,22.15,21.82,22.06,1641641
24-Jan-17,21.91,22.04,21.73,21.76,1014435
23-Jan-17,21.95,21.95,21.77,21.85,354030
20-Jan-17,21.97,22.04,21.79,21.92,424540
19-Jan-17,21.94,21.95,21.78,21.92,353177
18-Jan-17,21.94,22.08,21.81,21.95,756482
17-Jan-17,21.80,22.08,21.80,21.90,500845
13-Jan-17,21.62,21.90,21.62,21.85,407229
12-Jan-17,21.65,21.86,21.58,21.64,723469
11-Jan-17,21.58,21.74,21.38,21.62,740719
10-Jan-17,22.03,22.03,21.69,21.69,502297
9-Jan-17,21.90,22.00,21.77,21.89,271019
6-Jan-17,22.03,22.11,21.91,21.94,198435
5-Jan-17,22.03,22.26,21.91,22.04,358056
4-Jan-17,22.03,22.24,21.90,22.00,251841
3-Jan-17,22.12,22.13,21.87,22.00,261819
30-Dec-16,22.00,22.03,21.78,21.87,147715
29-Dec-16,21.94,22.18,21.78,21.91,243462
28-Dec-16,21.74,22.00,21.70,21.86,176196
27-Dec-16,21.56,21.69,21.50,21.62,110941
23-Dec-16,21.57,21.61,21.39,21.54,130227
22-Dec-16,21.50,21.75,21.45,21.61,210449
21-Dec-16,21.89,21.94,21.53,21.56,224506
20-Dec-16,21.90,21.98,21.83,21.88,253774
19-Dec-16,22.13,22.20,21.78,21.79,199864
16-Dec-16,22.57,22.62,22.04,22.12,369964
15-Dec-16,22.68,22.88,22.54,22.61,336409
14-Dec-16,23.21,23.33,22.73,22.74,215517
13-Dec-16,23.19,23.50,23.10,23.26,316306
12-Dec-16,23.35,23.44,23.01,23.09,204007
9-Dec-16,22.64,23.50,22.64,23.48,613236
8-Dec-16,22.48,22.70,22.34,22.70,298565
7-Dec-16,22.12,22.53,22.05,22.47,383318
6-Dec-16,21.75,21.99,21.70,21.90,537823
5-Dec-16,21.34,21.63,21.23,21.63,537508
2-Dec-16,21.25,21.44,21.06,21.07,800871
1-Dec-16,21.69,21.78,21.21,21.22,416956
30-Nov-16,21.82,22.01,21.63,21.66,595931
29-Nov-16,21.86,22.04,21.73,21.74,410830
28-Nov-16,22.11,22.27,21.86,21.86,428276
25-Nov-16,22.22,22.32,22.18,22.20,71008
23-Nov-16,22.29,22.38,22.18,22.32,268451
22-Nov-16,22.52,22.57,22.26,22.46,279855
21-Nov-16,22.41,22.45,22.23,22.44,278156
18-Nov-16,22.47,22.49,21.82,22.25,275265
17-Nov-16,22.48,22.68,22.29,22.50,450186
16-Nov-16,22.35,22.48,22.15,22.38,475407
15-Nov-16,22.51,22.53,22.20,22.53,470587
14-Nov-16,22.25,22.45,22.17,22.43,640676
11-Nov-16,22.28,22.46,22.00,22.27,595056
10-Nov-16,22.76,23.14,22.41,22.63,620861
9-Nov-16,22.90,22.97,22.37,22.57,355322
8-Nov-16,22.75,23.07,22.70,23.00,243168
7-Nov-16,22.88,22.98,22.74,22.85,322164
4-Nov-16,22.57,22.64,22.36,22.50,428275
3-Nov-16,22.54,22.73,22.40,22.63,650622
2-Nov-16,22.37,22.54,22.15,22.43,334126
1-Nov-16,22.92,22.94,22.16,22.35,223914
31-Oct-16,22.37,22.90,22.37,22.85,342243
28-Oct-16,21.92,22.41,21.92,22.26,145298
27-Oct-16,22.05,22.22,21.91,22.06,278232
26-Oct-16,21.85,22.00,21.72,21.86,392025
25-Oct-16,21.66,22.15,21.66,21.99,293014
24-Oct-16,21.78,21.84,21.54,21.66,202671
21-Oct-16,21.11,21.67,21.11,21.55,232355
20-Oct-16,21.09,21.37,21.00,21.23,202416
19-Oct-16,21.10,21.23,21.06,21.13,168069
18-Oct-16,20.81,21.13,20.59,21.03,593529
17-Oct-16,20.51,20.58,20.39,20.54,208723
14-Oct-16,20.74,20.76,20.40,20.52,152104
13-Oct-16,20.44,20.75,20.22,20.62,281391
12-Oct-16,20.78,20.83,20.54,20.59,145917
11-Oct-16,20.57,20.76,20.48,20.75,187736
10-Oct-16,20.64,20.89,20.64,20.70,174641
7-Oct-16,20.63,20.68,20.38,20.52,208507
6-Oct-16,20.60,20.70,20.53,20.60,209438
5-Oct-16,20.81,20.84,20.51,20.63,168209
4-Oct-16,20.76,20.88,20.52,20.62,390688
3-Oct-16,20.70,20.85,20.55,20.76,170623
30-Sep-16,20.69,20.88,20.62,20.69,234650
29-Sep-16,20.81,20.97,20.57,20.57,520348
28-Sep-16,20.79,20.91,20.48,20.84,586713
27-Sep-16,20.74,20.84,20.42,20.70,250432
26-Sep-16,20.71,20.82,20.60,20.74,283961
23-Sep-16,20.90,20.98,20.78,20.86,195864
22-Sep-16,21.16,21.32,20.88,21.02,209286
21-Sep-16,20.92,21.00,20.69,20.99,379030
20-Sep-16,20.73,20.78,20.48,20.70,375677
19-Sep-16,20.64,20.75,20.56,20.63,278078
16-Sep-16,20.49,20.58,20.37,20.44,307233
15-Sep-16,20.49,20.71,20.43,20.68,356921
14-Sep-16,20.50,20.82,20.42,20.44,362999
13-Sep-16,20.59,20.74,20.34,20.44,438730
12-Sep-16,20.69,20.85,20.59,20.82,387471
9-Sep-16,21.05,21.09,20.82,20.82,483719
8-Sep-16,21.46,21.58,21.31,21.34,298282
7-Sep-16,21.44,21.74,21.39,21.51,626411
6-Sep-16,21.60,21.86,21.38,21.79,584587
