Date,Open,High,Low,Close,Volume
31-Mar-17,40.93,40.98,40.78,40.82,1625899
30-Mar-17,40.87,41.14,40.86,41.05,1692593
29-Mar-17,40.72,40.97,40.71,40.86,1623107
28-Mar-17,40.75,41.16,40.74,41.05,1818976
27-Mar-17,40.50,40.78,40.41,40.69,2366455
24-Mar-17,40.56,40.66,40.36,40.56,1741145
23-Mar-17,40.45,40.62,40.43,40.55,2164617
22-Mar-17,40.30,40.60,40.27,40.50,2634016
21-Mar-17,41.15,41.21,40.59,40.64,2746117
20-Mar-17,40.85,40.85,40.65,40.66,2041538
17-Mar-17,41.13,41.20,40.78,40.91,2367023
16-Mar-17,41.43,41.53,41.24,41.41,2324764
15-Mar-17,40.86,41.16,40.85,41.15,1917280
14-Mar-17,40.68,40.80,40.59,40.75,1501517
13-Mar-17,41.05,41.27,41.01,41.16,2070930
10-Mar-17,40.49,40.59,40.36,40.58,1989154
9-Mar-17,40.70,40.70,40.51,40.57,1883778
8-Mar-17,40.79,40.87,40.51,40.51,1449473
7-Mar-17,40.57,40.65,40.50,40.57,1260445
6-Mar-17,40.85,40.88,40.62,40.77,1552541
3-Mar-17,40.94,41.09,40.86,41.01,1643807
2-Mar-17,40.84,40.93,40.74,40.77,2198633
1-Mar-17,40.69,41.00,40.69,40.84,2652566
28-Feb-17,40.18,40.34,40.15,40.30,2004013
27-Feb-17,40.29,40.47,40.23,40.36,2040163
24-Feb-17,40.58,40.74,40.51,40.67,2402277
23-Feb-17,41.23,41.28,40.87,41.02,2682683
22-Feb-17,40.85,41.35,40.85,41.18,3838982
21-Feb-17,41.33,41.67,41.31,41.58,7484046
17-Feb-17,43.71,43.98,43.67,43.91,1892055
16-Feb-17,44.08,44.15,43.89,44.11,1955253
15-Feb-17,43.79,44.18,43.73,44.09,2237748
14-Feb-17,43.31,43.57,43.29,43.51,1664075
13-Feb-17,42.94,43.34,42.92,43.28,2528786
10-Feb-17,42.79,43.07,42.76,42.97,1484623
9-Feb-17,42.92,43.19,42.85,43.06,1744138
8-Feb-17,42.48,42.62,42.20,42.58,1868846
7-Feb-17,42.68,42.89,42.66,42.83,2162537
6-Feb-17,42.60,42.87,42.60,42.76,4395154
3-Feb-17,42.72,42.95,42.66,42.78,6750675
2-Feb-17,42.61,42.66,42.33,42.46,2379206
1-Feb-17,43.10,43.13,42.66,42.78,2221930
31-Jan-17,42.99,43.04,42.46,42.60,1681037
30-Jan-17,42.63,42.66,42.41,42.50,1412395
27-Jan-17,43.10,43.14,42.91,42.96,1353866
26-Jan-17,42.90,43.03,42.82,42.99,1626272
25-Jan-17,42.65,42.85,42.58,42.83,1415726
24-Jan-17,42.07,42.25,41.99,42.10,1331036
23-Jan-17,41.59,41.93,41.56,41.88,1394139
20-Jan-17,41.66,41.81,41.64,41.74,1206226
19-Jan-17,41.83,41.92,41.49,41.67,2159483
18-Jan-17,41.79,41.98,41.56,41.91,3071440
17-Jan-17,41.70,41.72,41.15,41.18,1988952
13-Jan-17,41.08,41.34,41.08,41.16,1592855
12-Jan-17,41.26,41.34,41.04,41.18,1318293
11-Jan-17,40.99,41.35,40.82,41.35,1917668
10-Jan-17,40.79,41.06,40.71,40.75,1764194
9-Jan-17,40.76,40.79,40.62,40.66,1896502
6-Jan-17,41.05,41.27,41.04,41.15,2313263
5-Jan-17,41.05,41.21,40.92,41.16,1573939
4-Jan-17,41.01,41.30,40.84,41.28,1398653
3-Jan-17,41.07,41.08,40.74,40.89,2353037
30-Dec-16,40.28,40.40,40.12,40.18,1743461
29-Dec-16,39.84,39.87,39.64,39.77,1405547
28-Dec-16,40.01,40.08,39.76,39.77,1167003
27-Dec-16,39.93,39.98,39.87,39.87,748131
23-Dec-16,39.69,39.92,39.58,39.87,1477661
22-Dec-16,40.34,40.47,40.25,40.34,1382380
21-Dec-16,40.58,40.62,40.43,40.52,1393066
20-Dec-16,40.35,40.68,40.29,40.57,2867821
19-Dec-16,40.79,41.00,40.66,40.89,2041221
16-Dec-16,41.37,41.57,41.31,41.36,1919366
15-Dec-16,41.53,41.69,41.36,41.39,2618335
14-Dec-16,42.10,42.21,41.47,41.51,2701158
13-Dec-16,41.86,42.17,41.67,42.06,4343205
12-Dec-16,41.39,41.65,41.20,41.42,3793945
9-Dec-16,42.46,42.65,42.35,42.64,2326116
8-Dec-16,42.52,42.68,42.36,42.54,2276930
7-Dec-16,42.40,43.07,42.36,42.96,3757543
6-Dec-16,41.40,41.71,41.19,41.62,4701783
5-Dec-16,39.77,40.00,39.74,39.86,1990815
2-Dec-16,39.61,39.87,39.52,39.69,1821324
1-Dec-16,39.40,39.73,39.35,39.54,2059586
30-Nov-16,39.51,39.71,39.40,39.54,2535017
29-Nov-16,39.22,39.48,39.14,39.31,1198336
28-Nov-16,39.35,39.40,39.08,39.13,2464076
25-Nov-16,39.78,39.90,39.71,39.83,698783
23-Nov-16,39.26,40.02,39.25,39.91,1937620
22-Nov-16,39.67,39.79,39.53,39.73,1492075
21-Nov-16,39.42,39.49,39.23,39.47,2003124
18-Nov-16,39.04,39.13,38.95,39.02,1374415
17-Nov-16,39.26,39.43,39.12,39.29,1674185
16-Nov-16,39.19,39.30,39.00,39.06,2345265
15-Nov-16,39.51,39.99,39.44,39.95,2129016
14-Nov-16,39.52,39.73,39.43,39.64,2269989
11-Nov-16,38.92,39.26,38.82,39.23,3073839
10-Nov-16,39.46,39.65,38.95,39.14,4515122
9-Nov-16,38.19,38.96,38.18,38.70,3672405
8-Nov-16,37.92,38.56,37.85,38.38,1732704
7-Nov-16,38.46,38.64,38.37,38.49,3019626
4-Nov-16,36.98,37.25,36.93,37.03,1875519
3-Nov-16,37.24,37.37,37.01,37.09,1342676
2-Nov-16,37.37,37.39,36.99,37.10,2143200
1-Nov-16,37.74,37.76,37.21,37.50,2193408
31-Oct-16,37.64,37.80,37.51,37.63,1660104
28-Oct-16,37.69,37.99,37.66,37.85,2064755
27-Oct-16,38.16,38.24,37.95,38.03,1809475
26-Oct-16,37.86,38.18,37.84,38.12,1961683
25-Oct-16,38.08,38.21,37.97,38.12,1686863
24-Oct-16,38.35,38.37,37.99,38.08,1360966
21-Oct-16,38.04,38.35,38.00,38.23,2043871
20-Oct-16,37.80,38.26,37.78,38.04,2402095
19-Oct-16,37.78,37.97,37.74,37.82,1321833
18-Oct-16,38.31,38.49,38.12,38.33,3085346
17-Oct-16,37.46,37.57,37.29,37.38,1405911
14-Oct-16,37.88,37.97,37.65,37.67,1356192
13-Oct-16,37.03,37.47,36.79,37.39,1971944
12-Oct-16,37.73,37.77,37.49,37.68,1410838
11-Oct-16,38.20,38.23,37.48,37.61,3158376
10-Oct-16,38.62,38.76,38.52,38.54,1494163
7-Oct-16,38.39,38.60,38.16,38.55,1939925
6-Oct-16,38.20,38.27,38.04,38.21,1436371
5-Oct-16,38.18,38.41,38.01,38.31,1996438
4-Oct-16,38.23,38.37,37.85,37.96,3671834
3-Oct-16,37.66,37.82,37.50,37.62,2585471
30-Sep-16,37.32,37.77,37.23,37.61,2362987
29-Sep-16,37.59,37.78,36.90,37.16,2729356
28-Sep-16,37.49,37.53,37.03,37.43,1579230
27-Sep-16,37.12,37.60,36.97,37.59,2403416
26-Sep-16,36.99,37.06,36.79,36.84,2931740
23-Sep-16,37.25,37.34,37.14,37.21,1992193
22-Sep-16,38.13,38.22,37.76,37.81,2787036
21-Sep-16,38.25,38.43,38.00,38.43,2290137
20-Sep-16,37.87,37.92,37.63,37.80,1896019
19-Sep-16,37.84,37.96,37.59,37.74,2221156
16-Sep-16,37.26,37.30,37.07,37.17,3114954
15-Sep-16,37.53,37.88,37.40,37.84,2237414
14-Sep-16,37.11,37.47,37.02,37.10,2553238
13-Sep-16,37.11,37.17,36.80,36.96,3756761
12-Sep-16,37.42,38.06,37.35,38.00,2540682
9-Sep-16,38.42,38.44,38.11,38.18,3216640
8-Sep-16,38.00,38.24,37.92,38.19,2098396
7-Sep-16,38.09,38.22,37.78,37.85,3343755
6-Sep-16,38.59,38.61,38.16,38.33,2456690
2-Sep-16,38.51,38.85,38.40,38.65,4803721
1-Sep-16,38.14,38.19,37.62,37.88,3845942
31-Aug-16,37.19,37.22,36.95,37.20,2816898
30-Aug-16,36.54,36.61,36.45,36.57,1764386
29-Aug-16,35.86,36.16,35.84,36.13,996792
26-Aug-16,36.08,36.34,35.70,35.87,2167815
25-Aug-16,35.77,35.87,35.74,35.86,1411901
24-Aug-16,36.02,36.03,35.73,35.77,1546609
23-Aug-16,35.84,35.94,35.68,35.69,2186014
22-Aug-16,35.53,35.64,35.42,35.60,1560603
19-Aug-16,35.48,35.63,35.35,35.61,1236653
18-Aug-16,35.84,35.90,35.62,35.86,3547065
17-Aug-16,35.47,35.63,35.34,35.58,6275319
16-Aug-16,35.32,35.46,35.24,35.35,5832148
15-Aug-16,35.25,35.41,35.25,35.39,1499108
12-Aug-16,35.25,35.31,35.14,35.25,1402785
11-Aug-16,35.19,35.35,35.12,35.30,1712025
10-Aug-16,35.06,35.08,34.82,34.91,1949094
9-Aug-16,35.03,35.31,35.02,35.20,2057694
8-Aug-16,34.96,35.10,34.95,35.08,1864160
5-Aug-16,34.51,34.80,34.50,34.80,2282460
4-Aug-16,33.92,34.26,33.88,34.25,3225466
3-Aug-16,33.80,33.85,33.48,33.70,4894657
2-Aug-16,32.30,32.31,32.03,32.16,2489079
1-Aug-16,32.26,32.46,32.15,32.26,2305765
29-Jul-16,32.83,32.98,32.58,32.75,2064707
28-Jul-16,32.36,32.41,32.22,32.38,3564831
27-Jul-16,32.75,32.80,32.54,32.71,1914024
26-Jul-16,32.73,32.77,32.30,32.53,2288945
25-Jul-16,32.17,32.27,32.09,32.16,1706652
22-Jul-16,32.35,32.40,32.25,32.38,1307754
21-Jul-16,32.55,32.72,32.44,32.48,1599772
20-Jul-16,32.63,32.70,32.46,32.57,2157403
19-Jul-16,32.03,32.15,31.90,31.97,2079221
18-Jul-16,31.98,32.32,31.89,32.13,2021403
15-Jul-16,31.87,31.91,31.65,31.86,2603297
14-Jul-16,31.91,32.07,31.78,31.89,3296638
13-Jul-16,31.54,31.61,31.33,31.42,4596943
12-Jul-16,31.34,31.67,31.28,31.54,3507482
11-Jul-16,31.13,31.22,31.00,31.08,2991386
8-Jul-16,30.66,30.67,30.40,30.51,2607279
7-Jul-16,30.45,30.50,29.88,30.02,3543044
6-Jul-16,29.92,30.19,29.67,30.19,4908003
5-Jul-16,30.56,30.61,30.21,30.30,4670593
1-Jul-16,31.49,31.52,31.22,31.33,4243995
30-Jun-16,30.72,31.40,30.63,31.31,7364952
29-Jun-16,30.40,30.74,30.23,30.66,3814332
28-Jun-16,30.21,30.27,29.62,30.14,5415473
27-Jun-16,29.27,29.48,28.62,29.38,11420077
24-Jun-16,30.30,31.76,30.28,30.68,12283732
23-Jun-16,33.50,33.75,33.15,33.73,3843156
22-Jun-16,32.74,33.05,32.55,32.65,3905130
21-Jun-16,32.28,32.66,32.09,32.43,5571218
20-Jun-16,32.38,32.39,31.95,32.00,4604693
17-Jun-16,30.89,31.15,30.69,31.15,3633549
16-Jun-16,29.84,30.56,29.62,30.51,2934257
15-Jun-16,30.36,30.56,30.16,30.23,3106648
