Date,Open,High,Low,Close,Volume
31-Mar-17,73.50,73.55,72.88,72.91,882817
30-Mar-17,73.80,74.24,73.31,73.38,1277205
29-Mar-17,73.20,73.76,72.95,73.64,975495
28-Mar-17,72.40,73.40,72.37,73.09,984362
27-Mar-17,71.54,72.71,71.39,72.39,1030290
24-Mar-17,72.47,72.84,71.86,72.14,1036511
23-Mar-17,71.50,72.77,71.48,72.41,1017015
22-Mar-17,70.80,71.70,70.36,71.46,1222161
21-Mar-17,72.47,73.20,71.30,71.45,2352631
20-Mar-17,72.34,72.68,71.81,72.10,859941
17-Mar-17,72.89,73.20,72.53,72.59,913349
16-Mar-17,72.34,73.52,72.32,72.94,945505
15-Mar-17,72.29,72.78,71.71,72.64,1397399
14-Mar-17,72.15,72.54,72.00,72.15,932941
13-Mar-17,72.42,72.89,72.30,72.52,1427427
10-Mar-17,73.40,73.49,71.98,72.54,1427980
9-Mar-17,72.88,73.16,72.51,72.77,798745
8-Mar-17,73.63,73.84,72.82,72.85,681803
7-Mar-17,73.64,74.04,73.51,73.58,1075827
6-Mar-17,73.16,74.00,72.85,73.89,771713
3-Mar-17,72.97,73.58,72.82,73.48,846677
2-Mar-17,73.26,73.38,72.80,73.05,1128627
1-Mar-17,73.41,73.61,72.72,73.12,1570207
28-Feb-17,73.69,74.14,72.64,72.67,1301221
27-Feb-17,74.07,74.35,73.69,74.17,1813235
24-Feb-17,75.27,75.28,73.50,73.77,1894102
23-Feb-17,75.40,75.67,74.79,74.88,1201577
22-Feb-17,75.14,75.24,74.70,75.02,1218797
21-Feb-17,75.88,76.01,75.19,75.36,1087291
17-Feb-17,75.19,75.63,75.11,75.63,912328
16-Feb-17,75.32,75.83,75.32,75.46,1252127
15-Feb-17,74.60,75.47,74.34,75.32,1002915
14-Feb-17,74.37,74.81,74.07,74.58,755123
13-Feb-17,74.16,74.65,74.16,74.28,798182
10-Feb-17,73.62,74.25,73.57,73.98,999026
9-Feb-17,72.78,73.58,72.69,73.20,983172
8-Feb-17,72.23,72.61,71.84,72.53,843975
7-Feb-17,71.92,72.56,71.92,72.37,663123
6-Feb-17,72.22,72.75,71.96,72.42,754665
3-Feb-17,72.26,72.95,72.06,72.62,813523
2-Feb-17,71.86,72.14,71.77,72.03,976310
1-Feb-17,71.89,72.06,71.37,71.77,779394
31-Jan-17,71.84,72.25,71.24,71.87,1041461
30-Jan-17,71.78,71.93,71.38,71.70,745564
27-Jan-17,71.91,72.11,71.68,71.90,600782
26-Jan-17,71.98,72.13,71.68,72.03,695480
25-Jan-17,71.45,72.06,71.44,71.97,999529
24-Jan-17,70.42,71.13,70.10,71.00,1197375
23-Jan-17,70.57,71.10,70.33,70.92,1185462
20-Jan-17,70.11,70.68,69.92,70.65,777613
19-Jan-17,70.35,70.35,69.84,70.05,693823
18-Jan-17,71.46,71.64,70.25,70.36,1113960
17-Jan-17,71.90,72.17,71.54,71.65,1004637
13-Jan-17,71.50,72.24,71.41,71.96,1224602
12-Jan-17,71.49,71.52,70.80,71.41,1082272
11-Jan-17,70.28,71.33,70.10,71.29,1195366
10-Jan-17,70.10,70.46,70.06,70.31,870875
9-Jan-17,69.83,70.09,69.45,69.94,712517
6-Jan-17,70.14,70.34,69.86,70.07,918989
5-Jan-17,69.76,70.65,69.76,70.08,1183094
4-Jan-17,68.52,69.90,68.52,69.77,1719845
3-Jan-17,67.92,68.42,67.85,68.14,853826
30-Dec-16,68.16,68.29,67.60,67.71,717457
29-Dec-16,67.78,68.05,67.33,67.68,618889
28-Dec-16,67.69,67.95,67.46,67.71,471898
27-Dec-16,67.97,67.98,67.85,67.90,267936
23-Dec-16,67.92,67.97,67.68,67.77,423297
22-Dec-16,68.09,68.27,67.85,68.21,609342
21-Dec-16,68.75,68.83,68.37,68.61,448828
20-Dec-16,68.76,68.99,68.51,68.81,747621
19-Dec-16,68.68,68.71,68.39,68.42,1136518
16-Dec-16,68.58,68.82,68.35,68.63,1037848
15-Dec-16,67.93,68.75,67.89,68.56,910085
14-Dec-16,69.32,69.35,68.21,68.30,1241563
13-Dec-16,68.99,69.70,68.95,69.46,911689
12-Dec-16,68.66,68.84,68.52,68.76,816401
9-Dec-16,67.86,68.74,67.86,68.53,1123122
8-Dec-16,66.96,68.14,66.75,67.80,1090763
7-Dec-16,66.31,66.76,66.03,66.75,1065124
6-Dec-16,66.60,66.62,66.18,66.28,822900
5-Dec-16,66.48,66.69,66.20,66.28,939261
2-Dec-16,65.75,66.18,65.58,66.07,921560
1-Dec-16,65.26,65.97,64.92,65.46,1296755
30-Nov-16,66.50,66.55,64.82,64.82,2017822
29-Nov-16,66.45,67.11,66.43,67.05,1736931
28-Nov-16,66.81,67.00,66.32,66.49,757195
25-Nov-16,66.47,66.57,66.10,66.53,393195
23-Nov-16,66.09,66.69,65.88,66.59,1027101
22-Nov-16,67.03,67.07,65.86,66.33,1060278
21-Nov-16,65.16,66.46,65.05,66.37,1574435
18-Nov-16,64.24,64.68,64.20,64.55,639351
17-Nov-16,64.12,64.56,63.94,64.34,937588
16-Nov-16,63.53,64.23,63.53,64.01,896313
15-Nov-16,63.99,64.11,63.73,63.99,831957
14-Nov-16,63.54,64.04,63.20,63.89,940529
11-Nov-16,63.29,63.67,62.92,63.47,938047
10-Nov-16,63.12,63.93,62.69,63.65,1135645
9-Nov-16,61.84,63.31,61.62,63.06,1514855
8-Nov-16,62.06,62.84,62.00,62.76,687180
7-Nov-16,61.86,62.30,61.72,62.13,626169
4-Nov-16,61.48,61.54,60.92,61.20,894339
3-Nov-16,61.86,62.04,61.57,61.81,769327
2-Nov-16,61.83,62.06,61.59,61.67,637283
1-Nov-16,62.57,62.72,61.81,62.12,1083400
31-Oct-16,62.53,62.79,62.38,62.48,585179
28-Oct-16,62.54,62.78,62.29,62.54,633687
27-Oct-16,62.87,62.87,62.44,62.56,727770
26-Oct-16,62.25,62.93,62.25,62.52,663728
25-Oct-16,62.70,62.76,62.41,62.53,639538
24-Oct-16,62.85,62.88,62.49,62.59,796043
21-Oct-16,63.00,63.58,62.90,63.41,825759
20-Oct-16,63.57,63.73,63.36,63.48,745077
19-Oct-16,63.70,64.31,63.69,63.73,806940
18-Oct-16,63.61,63.81,63.31,63.66,706315
17-Oct-16,62.85,63.27,62.85,63.05,766958
14-Oct-16,62.99,63.34,62.72,62.88,889915
13-Oct-16,61.89,62.70,61.57,62.62,1032755
12-Oct-16,61.97,62.17,61.63,61.94,569322
11-Oct-16,62.04,62.24,61.55,61.95,644023
10-Oct-16,61.86,62.07,61.82,61.98,388555
7-Oct-16,62.02,62.22,61.34,61.62,718542
6-Oct-16,61.77,62.22,61.75,62.16,658625
5-Oct-16,61.63,62.11,61.63,61.93,798890
4-Oct-16,61.61,61.92,61.15,61.48,1186188
3-Oct-16,61.96,62.02,61.48,61.75,600325
30-Sep-16,62.18,62.42,61.94,61.96,811044
29-Sep-16,62.02,62.48,61.39,61.74,905493
28-Sep-16,61.41,62.27,61.12,62.16,789332
27-Sep-16,60.67,61.28,60.57,61.20,539949
26-Sep-16,61.52,61.60,61.02,61.11,566879
23-Sep-16,62.25,62.29,61.63,61.78,606785
22-Sep-16,62.78,63.11,62.61,62.64,872983
21-Sep-16,61.65,62.27,61.48,62.23,797588
20-Sep-16,61.36,61.49,61.00,61.32,637105
19-Sep-16,61.53,61.79,61.00,61.10,703398
16-Sep-16,61.39,61.39,60.73,61.11,918986
15-Sep-16,60.64,61.94,60.64,61.84,1009468
14-Sep-16,60.67,61.19,60.50,60.69,856622
13-Sep-16,61.16,61.21,60.58,60.87,1165111
12-Sep-16,61.34,61.93,61.09,61.79,1124719
9-Sep-16,62.23,62.23,61.37,61.84,1262043
8-Sep-16,63.01,63.13,62.54,62.71,825264
7-Sep-16,63.46,63.57,62.76,63.10,746939
6-Sep-16,63.18,63.53,62.92,63.51,957430
2-Sep-16,62.77,63.05,62.62,62.77,944246
1-Sep-16,62.05,62.37,61.86,62.28,1082881
31-Aug-16,62.32,62.42,61.73,62.12,1205925
30-Aug-16,62.82,62.82,62.30,62.46,1128622
29-Aug-16,62.67,63.04,62.58,62.79,901935
26-Aug-16,63.11,63.84,62.62,62.76,1034658
25-Aug-16,63.25,63.32,62.74,62.96,1072856
24-Aug-16,63.98,64.13,63.00,63.38,1663430
23-Aug-16,62.99,63.78,62.97,63.60,1613460
22-Aug-16,62.63,62.65,62.22,62.56,832747
19-Aug-16,62.39,63.00,62.13,62.92,805447
18-Aug-16,62.55,62.78,62.43,62.74,695521
17-Aug-16,62.08,62.56,61.88,62.47,765177
16-Aug-16,62.18,62.45,61.97,62.21,644344
15-Aug-16,62.08,62.23,61.91,62.03,477940
12-Aug-16,61.95,62.04,61.55,61.79,779659
11-Aug-16,61.70,62.19,61.58,62.03,812477
10-Aug-16,61.55,61.75,61.32,61.41,816708
9-Aug-16,60.70,61.31,60.70,61.13,807179
8-Aug-16,60.48,60.79,60.40,60.69,905092
5-Aug-16,60.22,60.42,59.99,60.31,905905
4-Aug-16,60.28,60.78,59.98,60.51,930842
3-Aug-16,60.09,60.40,59.96,60.29,602095
2-Aug-16,60.42,60.79,59.88,60.00,932475
1-Aug-16,60.87,60.95,60.23,60.28,461726
29-Jul-16,60.64,61.29,60.47,60.96,1371771
28-Jul-16,60.31,60.71,59.92,60.57,830171
27-Jul-16,60.99,61.09,59.92,60.17,922882
26-Jul-16,60.45,61.06,60.35,60.92,840273
25-Jul-16,60.16,60.51,60.16,60.41,744094
22-Jul-16,60.86,61.11,60.35,60.58,826540
21-Jul-16,61.84,62.01,61.41,61.44,856691
20-Jul-16,61.39,61.95,61.24,61.89,919196
19-Jul-16,61.63,61.63,61.17,61.38,884659
18-Jul-16,61.80,62.01,61.56,61.85,1375537
15-Jul-16,62.00,62.10,61.63,61.92,782033
14-Jul-16,61.56,62.26,61.56,61.91,1163143
13-Jul-16,60.73,61.34,60.43,61.04,1462381
12-Jul-16,60.32,60.95,60.06,60.66,1635690
11-Jul-16,59.78,59.97,59.52,59.56,924499
8-Jul-16,59.38,59.83,59.11,59.36,1252329
7-Jul-16,59.52,59.61,58.75,59.01,811004
6-Jul-16,58.82,59.22,58.21,59.14,1005815
5-Jul-16,59.38,59.61,59.10,59.10,1171184
1-Jul-16,59.04,59.43,58.79,59.20,1068798
30-Jun-16,59.54,59.56,58.72,59.09,1746571
29-Jun-16,59.20,59.56,58.79,59.25,1459084
28-Jun-16,58.43,58.72,57.97,58.63,1337450
27-Jun-16,58.75,58.75,57.01,57.50,2166944
24-Jun-16,59.83,60.52,59.05,59.39,2452727
23-Jun-16,62.06,62.49,61.99,62.43,930121
22-Jun-16,61.58,61.94,61.11,61.12,806490
21-Jun-16,61.16,61.73,60.91,61.40,836918
20-Jun-16,61.43,61.73,60.89,60.95,1076216
17-Jun-16,60.06,60.67,59.97,60.13,1393402
16-Jun-16,58.87,59.92,58.26,59.61,1164538
15-Jun-16,60.01,60.11,59.54,59.59,1131141
14-Jun-16,60.96,60.99,59.85,59.99,1192529
13-Jun-16,60.93,61.57,60.93,61.29,633926
10-Jun-16,61.78,62.22,61.26,61.57,1151675
9-Jun-16,62.32,62.44,61.86,62.39,783710
8-Jun-16,63.09,63.43,62.47,62.78,1045907
7-Jun-16,62.25,62.73,62.09,62.64,1102393
6-Jun-16,61.33,62.12,61.33,61.90,941710
3-Jun-16,61.18,61.50,60.68,61.28,1078525
2-Jun-16,60.20,60.85,59.96,60.78,1041193
1-Jun-16,59.76,60.64,59.34,60.57,1053679
31-May-16,61.63,61.81,60.16,60.21,1511511
27-May-16,61.29,61.92,61.14,61.85,1020045
26-May-16,61.59,62.02,61.34,61.73,1299609
25-May-16,60.12,61.17,59.96,60.89,1180747
24-May-16,59.63,60.17,59.37,59.74,1345478
23-May-16,59.27,59.77,58.74,59.40,588669
20-May-16,59.39,59.67,59.20,59.34,726307
19-May-16,59.40,59.49,58.65,59.17,1027623
18-May-16,59.17,60.38,59.09,60.00,1342749
17-May-16,59.53,59.98,59.28,59.53,949673
16-May-16,59.50,60.12,59.46,59.76,727112
13-May-16,59.69,60.00,59.08,59.37,914842
12-May-16,60.22,60.29,59.15,59.97,833554
11-May-16,59.34,59.94,58.95,59.58,763032
10-May-16,58.50,59.51,58.50,59.34,906387
9-May-16,58.48,58.74,58.02,58.35,1140059
6-May-16,58.34,59.22,58.14,58.95,1891979
5-May-16,59.22,59.22,58.41,58.79,1223381
4-May-16,59.28,59.42,58.17,58.80,1220560
3-May-16,61.11,61.11,59.69,59.91,1490339
2-May-16,62.31,62.39,61.66,61.97,596500
29-Apr-16,61.87,62.78,61.87,62.12,1710863
28-Apr-16,61.53,62.37,61.29,61.97,1117501
27-Apr-16,61.74,62.10,61.46,61.79,926298
26-Apr-16,61.28,61.90,61.21,61.67,733572
25-Apr-16,60.93,61.22,60.68,60.96,794758
22-Apr-16,61.18,61.73,61.03,61.26,1065634
21-Apr-16,61.37,61.40,60.62,60.85,1385402
20-Apr-16,61.81,62.56,61.70,62.23,1835679
19-Apr-16,61.31,61.96,61.28,61.86,1521821
18-Apr-16,59.92,60.82,59.86,60.78,1017034
15-Apr-16,60.10,60.44,59.84,60.42,968925
14-Apr-16,59.94,60.70,59.94,60.19,1036243
13-Apr-16,59.79,60.22,59.47,59.95,1415462
12-Apr-16,58.37,59.78,58.17,59.38,1799859
11-Apr-16,57.84,58.59,57.76,58.06,1126067
8-Apr-16,56.91,57.75,56.87,57.62,1203030
7-Apr-16,55.94,56.35,55.68,56.01,1578045
6-Apr-16,56.35,56.56,55.68,56.41,815839
5-Apr-16,56.35,56.50,56.06,56.34,1381415
4-Apr-16,57.66,57.75,57.06,57.19,1143788
