Date,Open,High,Low,Close,Volume
31-Mar-17,49.90,50.36,49.81,50.09,2390525
30-Mar-17,49.84,50.10,49.49,49.66,2071821
29-Mar-17,49.38,49.62,49.11,49.60,1728955
28-Mar-17,48.73,49.35,48.73,49.24,1880494
27-Mar-17,48.31,48.78,48.07,48.70,1587340
24-Mar-17,49.23,49.30,48.52,48.68,2098522
23-Mar-17,48.57,49.32,48.56,49.00,1739522
22-Mar-17,48.11,48.68,47.95,48.59,1738121
21-Mar-17,49.60,49.71,48.46,48.57,2177822
20-Mar-17,49.48,49.57,49.04,49.13,1290503
17-Mar-17,49.82,50.01,49.41,49.50,1302014
16-Mar-17,49.68,50.05,49.64,49.71,1352557
15-Mar-17,49.36,49.69,49.05,49.56,2458214
14-Mar-17,49.81,49.84,49.16,49.25,1594477
13-Mar-17,49.19,50.16,49.07,49.85,4162945
10-Mar-17,52.03,52.03,48.91,49.02,9254871
9-Mar-17,52.00,52.19,51.62,51.77,1265637
8-Mar-17,52.41,52.50,51.92,52.00,1813126
7-Mar-17,52.41,52.61,52.17,52.23,1406989
6-Mar-17,51.92,52.43,51.65,52.37,1737231
3-Mar-17,51.42,52.14,51.39,52.10,2079188
2-Mar-17,53.55,53.55,51.22,51.49,2983254
1-Mar-17,52.11,52.24,51.64,52.16,2759524
28-Feb-17,52.26,52.67,51.55,51.60,2316423
27-Feb-17,53.00,53.00,52.19,52.73,2226206
24-Feb-17,53.41,53.65,52.71,52.84,2278040
23-Feb-17,53.94,54.44,53.48,53.54,2181178
22-Feb-17,52.94,53.74,52.90,53.67,2598544
21-Feb-17,52.96,53.22,52.85,53.10,2162588
17-Feb-17,52.87,53.07,52.56,53.03,1089284
16-Feb-17,53.02,53.18,52.93,52.97,1483400
15-Feb-17,52.43,52.90,52.41,52.90,1268011
14-Feb-17,52.48,52.60,52.26,52.47,1331551
13-Feb-17,52.36,52.47,52.25,52.35,1389438
10-Feb-17,52.23,52.30,52.12,52.17,1192709
9-Feb-17,51.70,51.99,51.59,51.91,1356459
8-Feb-17,51.32,51.52,50.92,51.52,1245684
7-Feb-17,51.32,51.45,51.22,51.32,1140121
6-Feb-17,51.58,51.70,51.38,51.53,1024072
3-Feb-17,51.87,52.15,51.70,51.83,1336250
2-Feb-17,51.75,51.80,51.46,51.58,1112485
1-Feb-17,51.81,51.96,51.38,51.66,1360363
31-Jan-17,51.92,52.18,51.38,51.77,1442960
30-Jan-17,51.67,51.99,51.51,51.76,1429768
27-Jan-17,52.25,52.32,51.75,51.90,1156574
26-Jan-17,52.21,52.24,51.92,52.19,1064653
25-Jan-17,51.63,52.20,51.63,52.08,1265548
24-Jan-17,50.82,51.41,50.64,51.37,1605348
23-Jan-17,50.59,50.84,50.31,50.78,840414
20-Jan-17,50.13,50.63,49.94,50.61,1364713
19-Jan-17,50.18,50.27,49.96,50.06,1116955
18-Jan-17,50.79,50.97,50.11,50.27,1292692
17-Jan-17,51.21,51.27,50.78,50.86,1506920
13-Jan-17,51.25,51.45,51.11,51.15,1190597
12-Jan-17,51.30,51.31,50.82,51.14,1253077
11-Jan-17,50.65,51.14,50.45,51.14,1461602
10-Jan-17,50.76,50.96,50.65,50.74,915732
9-Jan-17,50.64,50.94,50.37,50.66,1114531
6-Jan-17,50.90,51.01,50.74,50.87,1462269
5-Jan-17,50.94,51.45,50.88,51.22,2226338
4-Jan-17,50.36,50.97,50.29,50.84,1528889
3-Jan-17,49.57,49.85,49.57,49.79,1310160
30-Dec-16,49.63,49.67,49.26,49.34,755835
29-Dec-16,49.50,49.74,49.19,49.42,1002288
28-Dec-16,49.61,49.64,49.33,49.50,955840
27-Dec-16,49.56,49.69,49.56,49.63,358366
23-Dec-16,49.62,49.80,49.50,49.56,863080
22-Dec-16,49.67,49.95,49.49,49.85,1345448
21-Dec-16,50.08,50.13,49.88,49.92,1092601
20-Dec-16,49.97,50.23,49.93,50.11,1010715
19-Dec-16,49.76,49.83,49.62,49.73,829317
16-Dec-16,49.98,50.06,49.71,49.82,944694
15-Dec-16,49.27,49.97,49.12,49.84,1898478
14-Dec-16,50.34,50.42,49.50,49.56,1725230
13-Dec-16,50.03,50.53,50.01,50.29,1415978
12-Dec-16,49.98,50.17,49.72,49.87,1135486
9-Dec-16,49.49,49.99,49.44,49.90,1695074
8-Dec-16,48.96,49.53,48.85,49.42,1454980
7-Dec-16,48.31,48.85,48.02,48.84,1196701
6-Dec-16,48.13,48.28,48.00,48.18,1249083
5-Dec-16,47.91,48.14,47.78,47.92,898636
2-Dec-16,47.57,47.82,47.35,47.67,1391088
1-Dec-16,47.87,47.87,46.83,47.36,1713941
30-Nov-16,47.98,47.98,47.35,47.39,1950077
29-Nov-16,47.64,47.88,47.63,47.74,1170984
28-Nov-16,47.81,48.04,47.45,47.58,1235284
25-Nov-16,47.54,47.70,47.28,47.69,598296
23-Nov-16,47.11,47.62,47.08,47.41,1024402
22-Nov-16,47.52,47.61,47.09,47.29,967216
21-Nov-16,47.49,47.49,47.10,47.26,983986
18-Nov-16,46.45,47.03,46.37,46.85,891680
17-Nov-16,46.52,46.73,46.30,46.49,1288395
16-Nov-16,46.22,46.54,46.01,46.40,1021406
15-Nov-16,46.75,46.76,46.26,46.43,1464191
14-Nov-16,45.74,46.43,45.63,46.39,2215429
11-Nov-16,45.62,45.92,45.23,45.53,1513356
10-Nov-16,45.41,46.10,45.18,45.88,2287309
9-Nov-16,44.64,45.34,44.62,45.26,2017764
8-Nov-16,45.18,45.55,45.00,45.49,1079080
7-Nov-16,44.99,45.29,44.98,45.16,1057265
4-Nov-16,44.84,44.84,44.37,44.54,1138612
3-Nov-16,45.24,45.39,44.96,45.07,1220888
2-Nov-16,45.27,45.40,45.04,45.14,1567435
1-Nov-16,45.60,45.62,45.15,45.34,1410956
31-Oct-16,45.16,45.53,45.09,45.38,1224029
28-Oct-16,45.31,45.44,45.05,45.23,1152365
27-Oct-16,45.54,45.57,45.29,45.38,1185589
26-Oct-16,44.99,45.54,44.96,45.31,2262756
25-Oct-16,45.06,45.27,44.99,45.17,1167842
24-Oct-16,45.18,45.23,44.84,44.94,1081232
21-Oct-16,44.53,45.20,44.46,45.03,1562476
20-Oct-16,44.78,44.99,44.69,44.86,949758
19-Oct-16,45.00,45.42,44.88,45.01,1418993
18-Oct-16,44.79,44.94,44.63,44.94,1131007
17-Oct-16,44.38,44.56,44.34,44.54,1274122
14-Oct-16,44.37,44.57,44.22,44.35,1355079
13-Oct-16,43.51,44.13,43.31,44.13,1355238
12-Oct-16,43.69,43.88,43.38,43.68,1745255
11-Oct-16,44.15,44.20,43.55,43.75,1951046
10-Oct-16,44.00,44.15,43.94,44.04,567376
7-Oct-16,43.95,44.10,43.48,43.84,1012461
6-Oct-16,43.95,44.21,43.88,44.04,985362
5-Oct-16,43.90,44.29,43.90,44.14,1289399
4-Oct-16,44.37,44.60,44.02,44.27,1859148
3-Oct-16,44.44,44.52,44.15,44.46,1211241
30-Sep-16,44.53,44.72,44.34,44.40,1413577
29-Sep-16,44.53,44.78,44.09,44.31,1063561
28-Sep-16,43.93,44.59,43.85,44.51,1023945
27-Sep-16,43.61,43.95,43.38,43.89,1063762
26-Sep-16,44.01,44.03,43.66,43.73,973820
23-Sep-16,44.31,44.36,44.00,44.15,922112
22-Sep-16,44.69,44.76,44.51,44.60,1165043
21-Sep-16,43.86,44.19,43.63,44.15,1224394
20-Sep-16,43.54,43.68,43.39,43.61,844080
19-Sep-16,43.53,43.82,43.21,43.34,907067
16-Sep-16,43.44,43.55,43.09,43.28,1105774
15-Sep-16,43.15,43.80,43.15,43.74,1146423
14-Sep-16,43.49,43.65,43.14,43.17,1342597
13-Sep-16,43.91,43.98,43.30,43.50,1597814
12-Sep-16,44.13,44.47,44.03,44.40,1613393
9-Sep-16,44.65,45.66,44.24,44.47,1363481
8-Sep-16,45.18,45.32,44.94,45.03,841290
