Date,Open,High,Low,Close,Volume
31-Mar-17,88.98,89.35,88.87,88.87,6429764
30-Mar-17,89.08,89.10,88.60,89.01,6227073
29-Mar-17,88.99,89.39,88.56,89.18,4737996
28-Mar-17,89.12,89.42,88.49,89.12,7045509
27-Mar-17,88.31,88.99,88.07,88.95,5230008
24-Mar-17,89.06,89.60,88.97,89.19,7597620
23-Mar-17,88.47,89.39,88.42,88.86,7710654
22-Mar-17,87.85,89.04,87.85,88.52,7828563
21-Mar-17,89.49,89.71,88.00,88.06,11092126
20-Mar-17,90.29,92.05,88.96,89.18,9438042
17-Mar-17,90.25,90.63,90.17,90.24,8613377
16-Mar-17,90.31,90.33,89.47,90.04,9174440
15-Mar-17,89.75,90.10,89.41,89.92,6350706
14-Mar-17,89.93,90.03,89.24,89.55,6009803
13-Mar-17,89.80,90.31,89.61,90.11,8944143
10-Mar-17,89.50,89.86,89.10,89.73,12247187
9-Mar-17,89.02,89.50,88.71,89.11,5953875
8-Mar-17,89.17,89.30,88.87,88.96,5866775
7-Mar-17,88.99,89.30,88.85,89.06,5688364
6-Mar-17,88.53,89.27,88.27,88.94,7347648
3-Mar-17,88.31,88.91,88.18,88.79,5713897
2-Mar-17,89.00,89.13,88.10,88.53,10544171
1-Mar-17,88.74,89.14,88.42,88.99,11131368
28-Feb-17,88.16,88.38,87.76,87.94,8521926
27-Feb-17,88.32,88.38,87.91,88.00,6131649
24-Feb-17,87.36,88.43,87.30,88.43,5151311
23-Feb-17,88.23,88.49,87.87,88.18,6040523
22-Feb-17,87.61,88.15,87.51,87.80,8389934
21-Feb-17,87.51,88.04,87.17,87.92,9301250
17-Feb-17,87.27,87.68,86.98,87.46,5887160
16-Feb-17,87.55,87.68,86.79,87.41,8680571
15-Feb-17,87.02,87.54,86.70,87.54,8049742
14-Feb-17,86.52,86.97,86.26,86.85,5952016
13-Feb-17,86.20,86.70,86.00,86.44,6046310
10-Feb-17,85.80,86.14,85.23,85.90,10431983
9-Feb-17,85.37,85.77,84.88,85.58,6554731
8-Feb-17,85.80,85.84,85.08,85.09,7587713
7-Feb-17,85.96,86.35,85.67,85.78,8600299
6-Feb-17,86.07,86.10,85.51,85.83,9665269
3-Feb-17,85.74,86.82,85.11,86.08,28079568
2-Feb-17,82.14,82.70,81.57,82.30,11142259
1-Feb-17,82.90,83.09,82.05,82.44,7534371
31-Jan-17,82.13,83.28,82.10,82.71,7479425
30-Jan-17,83.47,83.74,82.66,83.70,8792818
27-Jan-17,83.32,83.80,82.92,83.77,5445940
26-Jan-17,83.92,83.92,83.08,83.24,8428212
25-Jan-17,83.79,84.27,83.45,83.90,9360857
24-Jan-17,82.40,83.49,81.85,83.23,8397522
23-Jan-17,81.70,82.30,81.50,82.15,7414232
20-Jan-17,82.09,82.28,81.61,81.84,9048515
19-Jan-17,81.79,81.85,81.41,81.73,6479361
18-Jan-17,81.27,81.83,80.98,81.59,8512272
17-Jan-17,80.76,81.49,80.76,81.26,6326480
13-Jan-17,81.02,81.85,80.79,81.17,7291220
12-Jan-17,81.05,81.47,80.51,81.37,6884016
11-Jan-17,81.25,81.80,80.91,81.80,7499170
10-Jan-17,81.70,81.90,81.13,81.31,6017500
9-Jan-17,82.28,82.45,81.65,81.75,7305302
6-Jan-17,81.30,82.49,80.94,82.21,8898332
5-Jan-17,80.34,81.53,80.22,81.09,7805139
4-Jan-17,79.44,80.26,79.36,80.15,8033051
3-Jan-17,78.76,79.91,78.49,79.50,13785211
30-Dec-16,78.43,78.54,77.94,78.02,7127305
29-Dec-16,78.49,78.84,78.30,78.33,6241083
28-Dec-16,78.40,78.65,77.97,78.30,7587068
27-Dec-16,78.27,78.85,78.23,78.35,3776005
23-Dec-16,78.08,78.48,77.90,78.15,6192947
22-Dec-16,78.02,78.06,77.19,77.90,12074044
21-Dec-16,78.48,78.55,77.98,78.14,9343636
20-Dec-16,78.41,78.58,77.69,78.36,6917426
19-Dec-16,78.04,78.60,78.02,78.10,8699074
16-Dec-16,79.22,79.46,78.17,78.35,19141694
15-Dec-16,79.37,80.39,79.13,79.50,14070899
14-Dec-16,79.28,79.98,79.12,79.13,20146201
13-Dec-16,78.81,79.50,78.25,79.20,12995086
12-Dec-16,78.99,79.03,77.92,78.50,11942252
9-Dec-16,79.15,79.93,78.83,79.14,10728310
