Date,Open,High,Low,Close,Volume
31-Mar-17,65.46,65.52,65.15,65.16,4057839
30-Mar-17,65.76,65.82,65.25,65.46,3749633
29-Mar-17,65.95,66.27,65.68,65.77,3649941
28-Mar-17,65.96,66.21,65.64,65.98,5067383
27-Mar-17,65.37,66.28,65.24,66.10,4962319
24-Mar-17,65.51,66.12,65.32,65.62,4056311
23-Mar-17,65.52,66.06,65.36,65.65,4099497
22-Mar-17,65.38,65.73,65.10,65.52,5662572
21-Mar-17,65.96,66.00,65.04,65.35,5187438
20-Mar-17,65.78,66.01,65.56,65.80,4252114
17-Mar-17,66.04,66.09,65.50,65.69,11288046
16-Mar-17,66.40,66.45,65.55,65.90,5162786
15-Mar-17,65.70,66.79,65.68,66.55,5241216
14-Mar-17,65.88,66.05,65.60,65.67,3728039
13-Mar-17,65.87,65.94,65.30,65.85,7577385
10-Mar-17,65.30,66.45,65.11,65.88,12788109
9-Mar-17,64.14,64.72,64.05,64.50,6957213
8-Mar-17,63.75,64.68,63.50,64.14,7049660
7-Mar-17,63.14,64.14,62.97,63.69,9638038
6-Mar-17,63.00,63.85,62.88,63.55,6837019
3-Mar-17,63.11,63.53,62.83,63.34,6125782
2-Mar-17,62.78,63.60,62.60,63.25,8190430
1-Mar-17,62.16,62.93,61.95,62.83,7737382
28-Feb-17,62.11,62.40,61.69,61.84,6756122
27-Feb-17,62.02,62.37,61.68,62.22,5214091
24-Feb-17,61.92,62.23,61.49,62.09,6536399
23-Feb-17,61.68,62.24,61.45,61.94,8057672
22-Feb-17,61.72,61.95,61.30,61.36,6422208
21-Feb-17,61.84,62.11,61.50,61.83,8503519
17-Feb-17,61.54,62.08,61.17,61.77,8124442
16-Feb-17,61.67,61.91,60.81,61.48,5662016
15-Feb-17,60.92,61.84,60.40,61.65,8927630
14-Feb-17,60.44,60.98,60.15,60.82,13562193
13-Feb-17,60.58,60.86,60.43,60.51,6396046
10-Feb-17,60.85,61.00,60.27,60.42,5749160
9-Feb-17,60.74,61.00,60.42,60.84,4324649
8-Feb-17,60.14,61.02,60.05,60.52,5357808
7-Feb-17,60.65,60.87,60.40,60.56,4210335
6-Feb-17,60.51,60.96,60.35,60.65,5358137
3-Feb-17,60.90,61.06,60.44,60.67,6470271
2-Feb-17,60.65,61.12,60.48,60.89,5365347
1-Feb-17,61.07,61.10,60.27,60.89,5888681
31-Jan-17,60.01,61.32,59.75,61.11,8149764
30-Jan-17,59.91,60.47,59.27,60.43,7792654
27-Jan-17,60.00,61.25,59.52,60.00,14151233
26-Jan-17,61.16,61.90,61.07,61.27,7765266
25-Jan-17,60.60,61.63,60.34,61.38,8052806
24-Jan-17,60.91,60.93,59.67,60.58,6642033
23-Jan-17,61.02,61.26,60.68,60.96,5244715
20-Jan-17,61.41,61.77,61.08,61.15,6730041
19-Jan-17,61.45,61.88,61.12,61.38,5384163
18-Jan-17,61.76,62.14,61.32,61.66,5519407
17-Jan-17,61.75,62.04,61.10,61.86,8446663
13-Jan-17,61.35,62.41,61.05,61.99,7295072
12-Jan-17,60.77,61.43,60.42,61.28,8194353
11-Jan-17,63.38,63.64,60.59,61.14,13565179
10-Jan-17,64.05,64.50,63.77,64.07,6523547
9-Jan-17,63.80,64.38,63.75,64.21,8794509
6-Jan-17,63.88,64.00,63.52,63.79,4722267
5-Jan-17,63.38,63.95,63.03,63.77,5359393
4-Jan-17,62.64,63.80,62.64,63.29,8674823
3-Jan-17,62.92,63.03,61.94,62.41,9328198
30-Dec-16,62.73,62.93,62.41,62.62,5999195
29-Dec-16,62.39,63.06,62.39,62.73,4990040
28-Dec-16,62.51,62.75,62.25,62.27,5190362
27-Dec-16,62.52,63.02,62.41,62.50,5396206
23-Dec-16,61.78,62.40,61.47,62.34,4798112
22-Dec-16,61.58,61.92,61.35,61.66,5625978
21-Dec-16,62.22,62.41,61.43,61.45,5498667
20-Dec-16,62.34,62.71,61.75,62.16,5751786
19-Dec-16,62.37,63.33,62.12,62.22,5976755
16-Dec-16,62.12,62.49,61.83,62.22,10555844
15-Dec-16,61.80,62.11,61.55,62.02,6416907
14-Dec-16,61.55,62.30,61.51,61.67,5115655
13-Dec-16,62.33,62.44,61.36,61.99,8599585
12-Dec-16,61.53,62.45,61.51,62.04,5984503
9-Dec-16,61.19,61.92,60.92,61.54,7102861
8-Dec-16,60.02,60.98,59.09,60.90,9192264
7-Dec-16,60.26,60.65,58.80,59.99,13095613
6-Dec-16,60.76,61.72,60.33,61.62,7610418
5-Dec-16,59.60,61.22,59.57,60.86,10227657
2-Dec-16,59.19,60.00,58.95,59.43,8020668
1-Dec-16,60.83,60.83,58.75,59.16,8266158
30-Nov-16,61.63,61.84,60.63,60.80,9025182
29-Nov-16,59.70,62.10,59.52,61.59,11858788
28-Nov-16,59.13,59.94,59.01,59.46,6274639
25-Nov-16,60.04,60.67,59.67,60.51,2942309
23-Nov-16,58.81,60.38,58.60,60.18,5580284
22-Nov-16,60.49,60.56,58.61,58.93,8518573
21-Nov-16,60.70,60.80,60.20,60.42,6328304
18-Nov-16,61.65,62.14,60.39,60.52,7023246
17-Nov-16,61.75,61.99,61.13,61.70,4866958
16-Nov-16,62.67,62.97,61.42,61.54,6571245
15-Nov-16,63.39,63.39,61.98,62.87,5610308
14-Nov-16,63.40,63.64,62.25,62.97,8315696
11-Nov-16,63.54,63.85,62.79,63.10,10201578
10-Nov-16,63.06,65.05,62.79,64.00,15948718
9-Nov-16,64.10,64.70,60.41,62.64,18693998
8-Nov-16,58.80,59.60,58.03,58.81,9353242
7-Nov-16,56.81,61.16,56.64,58.91,17763114
4-Nov-16,56.07,56.87,55.87,56.04,11186952
3-Nov-16,57.12,57.29,55.85,55.89,9842567
2-Nov-16,56.46,57.19,56.40,56.79,9779080
1-Nov-16,56.00,56.61,55.68,56.45,9799441
31-Oct-16,57.06,57.30,55.72,55.78,14185793
28-Oct-16,57.55,58.39,55.06,57.60,24865263
27-Oct-16,61.45,61.72,60.60,61.46,6612491
26-Oct-16,61.51,61.71,60.71,61.02,4560833
25-Oct-16,61.06,61.66,60.95,61.55,6432753
24-Oct-16,61.13,61.68,61.02,61.12,3934849
21-Oct-16,61.38,61.44,60.65,60.98,4341713
20-Oct-16,61.45,61.98,61.33,61.76,4391317
19-Oct-16,62.04,62.16,61.17,61.43,5588887
18-Oct-16,60.62,61.62,60.40,61.55,6655071
17-Oct-16,60.10,60.71,59.86,60.14,6138658
14-Oct-16,61.45,61.52,60.15,60.17,5606474
13-Oct-16,60.96,61.61,60.68,61.15,5988601
12-Oct-16,62.00,62.23,61.02,61.21,4563796
11-Oct-16,63.08,63.26,62.05,62.39,5308425
10-Oct-16,63.07,63.66,62.92,63.31,3135309
7-Oct-16,63.10,63.58,62.50,62.93,3812671
6-Oct-16,63.16,63.21,62.56,62.83,4446105
5-Oct-16,63.08,63.75,63.00,63.39,4442517
4-Oct-16,63.31,63.53,62.55,63.00,4719437
3-Oct-16,63.02,63.29,62.25,63.23,4239556
30-Sep-16,62.67,63.26,62.45,63.07,7325429
29-Sep-16,64.30,64.31,62.80,62.82,6431183
28-Sep-16,64.94,64.94,63.88,64.22,5645599
27-Sep-16,63.95,64.75,63.69,64.57,4358334
26-Sep-16,64.52,64.88,64.02,64.07,5567717
23-Sep-16,65.05,65.33,64.75,64.98,5154154
22-Sep-16,64.12,65.20,64.08,65.08,5416092
21-Sep-16,63.49,64.25,63.20,64.10,7587358
20-Sep-16,63.36,63.55,62.76,63.28,4826460
19-Sep-16,63.62,63.71,62.83,62.91,7903516
16-Sep-16,63.53,63.79,63.17,63.27,11165269
15-Sep-16,63.17,63.82,62.92,63.35,7811582
14-Sep-16,63.41,63.96,63.06,63.34,5889959
13-Sep-16,63.66,64.15,63.01,63.34,7640367
12-Sep-16,62.98,64.23,62.66,64.08,6653007
9-Sep-16,63.22,64.00,63.06,63.36,8848534
8-Sep-16,63.96,64.15,63.44,64.06,8238846
7-Sep-16,64.37,65.14,64.29,64.97,5714320
6-Sep-16,64.70,64.90,64.05,64.61,6286293
2-Sep-16,64.37,64.48,63.87,64.12,4073203
1-Sep-16,64.10,64.14,63.60,64.03,5126674
31-Aug-16,64.21,64.45,63.50,64.10,6750010
30-Aug-16,64.54,64.71,64.10,64.16,5531774
29-Aug-16,64.84,65.09,64.19,64.51,5099249
26-Aug-16,64.68,65.02,64.21,64.61,7041630
25-Aug-16,65.04,65.43,64.27,64.72,6378983
24-Aug-16,66.31,66.53,64.84,65.06,8551058
23-Aug-16,67.26,67.49,65.99,66.17,10227754
22-Aug-16,67.31,67.79,66.92,67.01,7884845
19-Aug-16,66.57,67.18,66.51,67.10,6709360
18-Aug-16,66.57,67.43,66.55,66.77,8205847
17-Aug-16,66.69,67.35,66.35,66.83,7945418
16-Aug-16,67.13,67.61,66.50,66.74,7147645
15-Aug-16,67.47,68.12,67.32,67.39,5215360
12-Aug-16,66.86,67.39,66.55,67.19,5215441
11-Aug-16,66.86,67.11,66.70,66.95,4246610
10-Aug-16,66.70,66.96,66.19,66.43,4506059
9-Aug-16,66.34,67.25,66.25,66.76,5717281
8-Aug-16,66.38,66.67,65.75,66.34,5309293
5-Aug-16,66.15,66.60,66.12,66.54,5045559
4-Aug-16,66.58,66.98,66.08,66.10,4901851
3-Aug-16,66.81,67.00,66.22,66.57,6355090
2-Aug-16,66.93,67.06,66.05,66.78,8763200
1-Aug-16,66.23,67.08,66.23,66.94,7599007
29-Jul-16,65.27,66.40,65.15,66.23,10525016
28-Jul-16,64.79,65.06,63.93,64.72,6556138
27-Jul-16,64.42,65.12,64.32,64.90,6220402
26-Jul-16,64.41,64.73,63.96,64.45,4885238
25-Jul-16,63.91,64.50,63.71,64.32,7241174
22-Jul-16,64.00,64.09,63.58,63.81,4972888
21-Jul-16,63.23,64.00,63.17,63.89,6515660
20-Jul-16,63.57,63.90,63.33,63.41,7502821
19-Jul-16,63.41,63.97,63.09,63.32,5794503
18-Jul-16,63.23,63.77,63.18,63.56,6384755
15-Jul-16,63.82,64.17,63.13,63.32,8827486
14-Jul-16,63.70,64.14,62.94,63.62,12090057
13-Jul-16,64.81,65.04,64.25,64.77,7684239
12-Jul-16,64.67,65.81,64.32,65.50,11870533
11-Jul-16,64.25,64.98,64.07,64.35,9641532
8-Jul-16,63.48,64.48,62.74,64.16,7921725
7-Jul-16,63.60,63.75,63.21,63.43,7081909
6-Jul-16,61.84,63.76,61.80,63.37,9202151
5-Jul-16,62.50,62.71,61.77,61.92,6293647
1-Jul-16,61.98,63.22,61.83,62.71,6533694
30-Jun-16,61.79,62.02,61.14,61.91,7920605
29-Jun-16,60.58,62.03,60.23,61.81,9308022
28-Jun-16,59.28,60.13,59.15,59.99,9897585
27-Jun-16,59.38,59.68,58.33,58.68,7947017
24-Jun-16,59.26,60.60,59.18,59.86,9878541
23-Jun-16,60.86,61.32,60.62,61.31,5328196
22-Jun-16,60.00,61.18,59.92,60.39,6718704
21-Jun-16,60.20,60.40,59.75,59.98,6366529
20-Jun-16,60.64,61.18,60.06,60.11,7076452
17-Jun-16,60.88,60.97,59.57,60.01,12574723
16-Jun-16,59.93,60.94,59.91,60.90,7011206
15-Jun-16,60.29,61.27,60.01,60.40,7739270
14-Jun-16,59.46,60.38,59.16,59.90,11560211
13-Jun-16,60.46,61.39,59.85,59.93,11673621
10-Jun-16,59.99,61.01,59.72,61.00,11052311
9-Jun-16,61.50,62.17,60.52,60.75,11503706
8-Jun-16,62.21,62.30,61.37,61.73,13172984
7-Jun-16,62.59,63.59,62.30,63.10,10980086
6-Jun-16,62.13,62.99,61.87,62.82,16403352
3-Jun-16,64.76,65.37,63.75,65.00,10621604
2-Jun-16,62.87,65.15,62.83,65.09,11628027
1-Jun-16,62.90,63.17,62.63,62.83,5284439
31-May-16,62.71,63.49,62.64,62.93,7147942
27-May-16,61.99,63.20,61.90,62.71,5763992
26-May-16,61.00,62.17,60.90,61.90,6299837
25-May-16,61.08,61.47,60.79,61.22,5857029
24-May-16,59.73,60.91,59.52,60.70,8760935
23-May-16,59.75,59.84,59.13,59.30,6468530
20-May-16,59.63,60.05,59.03,59.69,10766273
19-May-16,60.06,60.35,58.90,59.28,9811484
18-May-16,59.87,60.80,59.56,60.46,10552960
17-May-16,62.44,62.79,58.50,60.25,31513191
16-May-16,61.91,62.62,61.50,62.45,6677476
13-May-16,62.15,62.86,61.82,62.00,7294609
12-May-16,62.86,63.07,62.39,62.49,7872274
11-May-16,63.77,63.82,62.64,62.70,9358284
10-May-16,63.51,63.76,63.32,63.74,12078855
9-May-16,62.36,63.87,62.28,63.70,9905160
6-May-16,62.00,62.74,61.65,62.51,10852685
5-May-16,61.41,62.40,61.09,62.34,8624345
4-May-16,61.30,61.65,61.01,61.46,7729958
3-May-16,60.99,62.09,60.72,61.77,9226381
2-May-16,60.79,62.00,60.70,61.44,9488094
29-Apr-16,61.03,61.44,60.48,61.00,13047966
28-Apr-16,58.56,62.10,57.53,61.20,16190287
27-Apr-16,60.93,61.48,60.25,60.70,5672686
26-Apr-16,60.96,61.29,60.53,60.93,4277865
25-Apr-16,61.13,61.30,60.75,60.97,4312605
22-Apr-16,61.30,61.99,60.96,61.42,5089608
21-Apr-16,60.57,61.43,60.54,61.37,5671629
20-Apr-16,60.17,61.11,59.96,60.48,4407184
19-Apr-16,60.09,61.23,59.67,60.17,5968066
18-Apr-16,59.60,60.32,59.30,59.88,5813075
15-Apr-16,59.55,59.74,58.78,59.51,4640758
14-Apr-16,59.15,59.49,59.00,59.28,4898280
13-Apr-16,59.87,60.00,58.70,59.06,6919850
12-Apr-16,58.98,60.05,58.69,59.89,7062617
11-Apr-16,58.59,59.25,58.25,58.50,4886621
8-Apr-16,59.49,59.80,58.17,58.47,5736568
7-Apr-16,59.42,59.90,58.76,59.30,7804414
6-Apr-16,58.52,59.90,58.52,59.89,6164763
5-Apr-16,58.54,59.56,58.08,58.54,6779355
4-Apr-16,57.64,59.40,57.49,59.21,8100248
