Stock,Date,Open,High,Low,Close,Volume
abbv,4-Apr-16,57.64,59.40,57.49,59.21,8100248
abbv,5-Apr-16,58.54,59.56,58.08,58.54,6779355
abbv,6-Apr-16,58.52,59.90,58.52,59.89,6164763
abbv,7-Apr-16,59.42,59.90,58.76,59.30,7804414
abbv,8-Apr-16,59.49,59.80,58.17,58.47,5736568
abbv,11-Apr-16,58.59,59.25,58.25,58.50,4886621
abbv,12-Apr-16,58.98,60.05,58.69,59.89,7062617
abbv,13-Apr-16,59.87,60.00,58.70,59.06,6919850
abbv,14-Apr-16,59.15,59.49,59.00,59.28,4898280
abbv,15-Apr-16,59.55,59.74,58.78,59.51,4640758
abbv,18-Apr-16,59.60,60.32,59.30,59.88,5813075
abbv,19-Apr-16,60.09,61.23,59.67,60.17,5968066
abbv,20-Apr-16,60.17,61.11,59.96,60.48,4407184
abbv,21-Apr-16,60.57,61.43,60.54,61.37,5671629
abbv,22-Apr-16,61.30,61.99,60.96,61.42,5089608
abbv,25-Apr-16,61.13,61.30,60.75,60.97,4312605
abbv,26-Apr-16,60.96,61.29,60.53,60.93,4277865
abbv,27-Apr-16,60.93,61.48,60.25,60.70,5672686
abbv,28-Apr-16,58.56,62.10,57.53,61.20,16190287
abbv,29-Apr-16,61.03,61.44,60.48,61.00,13047966
abbv,2-May-16,60.79,62.00,60.70,61.44,9488094
abbv,3-May-16,60.99,62.09,60.72,61.77,9226381
abbv,4-May-16,61.30,61.65,61.01,61.46,7729958
abbv,5-May-16,61.41,62.40,61.09,62.34,8624345
abbv,6-May-16,62.00,62.74,61.65,62.51,10852685
abbv,9-May-16,62.36,63.87,62.28,63.70,9905160
abbv,10-May-16,63.51,63.76,63.32,63.74,12078855
abbv,11-May-16,63.77,63.82,62.64,62.70,9358284
abbv,12-May-16,62.86,63.07,62.39,62.49,7872274
abbv,13-May-16,62.15,62.86,61.82,62.00,7294609
abbv,16-May-16,61.91,62.62,61.50,62.45,6677476
abbv,17-May-16,62.44,62.79,58.50,60.25,31513191
abbv,18-May-16,59.87,60.80,59.56,60.46,10552960
abbv,19-May-16,60.06,60.35,58.90,59.28,9811484
abbv,20-May-16,59.63,60.05,59.03,59.69,10766273
abbv,23-May-16,59.75,59.84,59.13,59.30,6468530
abbv,24-May-16,59.73,60.91,59.52,60.70,8760935
abbv,25-May-16,61.08,61.47,60.79,61.22,5857029
abbv,26-May-16,61.00,62.17,60.90,61.90,6299837
abbv,27-May-16,61.99,63.20,61.90,62.71,5763992
abbv,31-May-16,62.71,63.49,62.64,62.93,7147942
abbv,1-Jun-16,62.90,63.17,62.63,62.83,5284439
abbv,2-Jun-16,62.87,65.15,62.83,65.09,11628027
abbv,3-Jun-16,64.76,65.37,63.75,65.00,10621604
abbv,6-Jun-16,62.13,62.99,61.87,62.82,16403352
abbv,7-Jun-16,62.59,63.59,62.30,63.10,10980086
abbv,8-Jun-16,62.21,62.30,61.37,61.73,13172984
abbv,9-Jun-16,61.50,62.17,60.52,60.75,11503706
abbv,10-Jun-16,59.99,61.01,59.72,61.00,11052311
abbv,13-Jun-16,60.46,61.39,59.85,59.93,11673621
abbv,14-Jun-16,59.46,60.38,59.16,59.90,11560211
abbv,15-Jun-16,60.29,61.27,60.01,60.40,7739270
abbv,16-Jun-16,59.93,60.94,59.91,60.90,7011206
abbv,17-Jun-16,60.88,60.97,59.57,60.01,12574723
abbv,20-Jun-16,60.64,61.18,60.06,60.11,7076452
abbv,21-Jun-16,60.20,60.40,59.75,59.98,6366529
abbv,22-Jun-16,60.00,61.18,59.92,60.39,6718704
abbv,23-Jun-16,60.86,61.32,60.62,61.31,5328196
abbv,24-Jun-16,59.26,60.60,59.18,59.86,9878541
abbv,27-Jun-16,59.38,59.68,58.33,58.68,7947017
abbv,28-Jun-16,59.28,60.13,59.15,59.99,9897585
abbv,29-Jun-16,60.58,62.03,60.23,61.81,9308022
abbv,30-Jun-16,61.79,62.02,61.14,61.91,7920605
abbv,1-Jul-16,61.98,63.22,61.83,62.71,6533694
abbv,5-Jul-16,62.50,62.71,61.77,61.92,6293647
abbv,6-Jul-16,61.84,63.76,61.80,63.37,9202151
abbv,7-Jul-16,63.60,63.75,63.21,63.43,7081909
abbv,8-Jul-16,63.48,64.48,62.74,64.16,7921725
abbv,11-Jul-16,64.25,64.98,64.07,64.35,9641532
abbv,12-Jul-16,64.67,65.81,64.32,65.50,11870533
abbv,13-Jul-16,64.81,65.04,64.25,64.77,7684239
abbv,14-Jul-16,63.70,64.14,62.94,63.62,12090057
abbv,15-Jul-16,63.82,64.17,63.13,63.32,8827486
abbv,18-Jul-16,63.23,63.77,63.18,63.56,6384755
abbv,19-Jul-16,63.41,63.97,63.09,63.32,5794503
abbv,20-Jul-16,63.57,63.90,63.33,63.41,7502821
abbv,21-Jul-16,63.23,64.00,63.17,63.89,6515660
abbv,22-Jul-16,64.00,64.09,63.58,63.81,4972888
abbv,25-Jul-16,63.91,64.50,63.71,64.32,7241174
abbv,26-Jul-16,64.41,64.73,63.96,64.45,4885238
abbv,27-Jul-16,64.42,65.12,64.32,64.90,6220402
abbv,28-Jul-16,64.79,65.06,63.93,64.72,6556138
abbv,29-Jul-16,65.27,66.40,65.15,66.23,10525016
abbv,1-Aug-16,66.23,67.08,66.23,66.94,7599007
abbv,2-Aug-16,66.93,67.06,66.05,66.78,8763200
abbv,3-Aug-16,66.81,67.00,66.22,66.57,6355090
abbv,4-Aug-16,66.58,66.98,66.08,66.10,4901851
abbv,5-Aug-16,66.15,66.60,66.12,66.54,5045559
abbv,8-Aug-16,66.38,66.67,65.75,66.34,5309293
abbv,9-Aug-16,66.34,67.25,66.25,66.76,5717281
abbv,10-Aug-16,66.70,66.96,66.19,66.43,4506059
abbv,11-Aug-16,66.86,67.11,66.70,66.95,4246610
abbv,12-Aug-16,66.86,67.39,66.55,67.19,5215441
abbv,15-Aug-16,67.47,68.12,67.32,67.39,5215360
abbv,16-Aug-16,67.13,67.61,66.50,66.74,7147645
abbv,17-Aug-16,66.69,67.35,66.35,66.83,7945418
abbv,18-Aug-16,66.57,67.43,66.55,66.77,8205847
abbv,19-Aug-16,66.57,67.18,66.51,67.10,6709360
abbv,22-Aug-16,67.31,67.79,66.92,67.01,7884845
abbv,23-Aug-16,67.26,67.49,65.99,66.17,10227754
abbv,24-Aug-16,66.31,66.53,64.84,65.06,8551058
abbv,25-Aug-16,65.04,65.43,64.27,64.72,6378983
abbv,26-Aug-16,64.68,65.02,64.21,64.61,7041630
abbv,29-Aug-16,64.84,65.09,64.19,64.51,5099249
abbv,30-Aug-16,64.54,64.71,64.10,64.16,5531774
abbv,31-Aug-16,64.21,64.45,63.50,64.10,6750010
abbv,1-Sep-16,64.10,64.14,63.60,64.03,5126674
abbv,2-Sep-16,64.37,64.48,63.87,64.12,4073203
abbv,6-Sep-16,64.70,64.90,64.05,64.61,6286293
abbv,7-Sep-16,64.37,65.14,64.29,64.97,5714320
abbv,8-Sep-16,63.96,64.15,63.44,64.06,8238846
abbv,9-Sep-16,63.22,64.00,63.06,63.36,8848534
abbv,12-Sep-16,62.98,64.23,62.66,64.08,6653007
abbv,13-Sep-16,63.66,64.15,63.01,63.34,7640367
abbv,14-Sep-16,63.41,63.96,63.06,63.34,5889959
abbv,15-Sep-16,63.17,63.82,62.92,63.35,7811582
abbv,16-Sep-16,63.53,63.79,63.17,63.27,11165269
abbv,19-Sep-16,63.62,63.71,62.83,62.91,7903516
abbv,20-Sep-16,63.36,63.55,62.76,63.28,4826460
abbv,21-Sep-16,63.49,64.25,63.20,64.10,7587358
abbv,22-Sep-16,64.12,65.20,64.08,65.08,5416092
