Date,Open,High,Low,Close,Volume
31-Mar-17,55.30,55.67,54.16,54.38,12390392
30-Mar-17,55.96,56.00,55.25,55.36,8147515
29-Mar-17,56.17,56.55,55.92,55.95,6136155
28-Mar-17,56.04,56.37,55.93,56.20,8525945
27-Mar-17,55.60,56.35,55.53,56.04,11139741
24-Mar-17,55.87,56.25,55.68,55.89,6170612
23-Mar-17,56.08,56.53,55.68,55.77,7624712
22-Mar-17,55.70,56.42,55.17,56.36,9808349
21-Mar-17,56.50,56.66,55.38,55.71,9394520
20-Mar-17,56.33,56.71,56.24,56.41,8481366
17-Mar-17,57.23,57.25,56.11,56.29,15881880
16-Mar-17,57.33,57.58,57.12,57.31,9903868
15-Mar-17,56.67,57.93,56.67,57.65,10337688
14-Mar-17,56.95,57.60,56.58,56.69,11746430
13-Mar-17,58.30,58.30,56.86,56.93,11689400
10-Mar-17,58.03,58.54,57.81,58.32,8547335
9-Mar-17,57.37,58.05,57.20,57.99,7535226
8-Mar-17,56.33,57.50,56.22,57.12,13556428
7-Mar-17,56.27,56.63,55.78,56.33,16970337
6-Mar-17,57.02,57.22,56.23,56.97,7917208
3-Mar-17,56.74,57.34,56.63,57.26,9657427
2-Mar-17,56.89,57.49,56.59,56.86,12103706
1-Mar-17,57.00,57.24,56.52,57.18,13349282
28-Feb-17,56.54,56.93,56.21,56.71,9046039
27-Feb-17,56.50,57.00,56.24,56.56,11285328
24-Feb-17,55.92,56.47,55.88,56.44,11382544
23-Feb-17,55.63,56.09,55.02,55.77,14410368
22-Feb-17,55.49,56.45,55.29,55.35,21293710
21-Feb-17,54.41,57.21,53.41,54.78,26919342
17-Feb-17,54.30,54.72,54.08,54.59,9706078
16-Feb-17,55.08,55.16,53.92,54.28,9917069
15-Feb-17,53.70,55.34,53.60,55.03,11860785
14-Feb-17,52.31,54.27,52.09,53.71,19785205
13-Feb-17,51.83,52.09,51.62,52.03,6769739
10-Feb-17,51.61,51.97,51.52,51.65,5845618
9-Feb-17,52.00,52.25,51.46,51.51,5813111
8-Feb-17,51.29,52.12,51.12,52.00,12236543
7-Feb-17,51.49,52.32,51.26,51.66,15747761
6-Feb-17,50.65,51.09,50.56,51.04,8263438
3-Feb-17,50.60,50.91,50.36,50.78,10933979
2-Feb-17,49.35,50.89,49.27,50.50,18610222
1-Feb-17,49.13,49.32,48.32,49.29,16021890
31-Jan-17,48.40,49.42,48.20,49.16,15094048
30-Jan-17,48.22,49.10,47.96,48.69,15738223
27-Jan-17,47.26,48.62,47.12,47.74,22918662
26-Jan-17,48.59,49.51,46.01,46.82,44800782
25-Jan-17,49.34,49.57,48.80,49.55,15978452
24-Jan-17,50.05,50.14,48.93,48.96,17172827
23-Jan-17,49.53,50.31,49.15,50.00,23886066
20-Jan-17,50.01,50.69,48.92,49.23,77021216
19-Jan-17,56.10,56.31,55.34,55.49,7122292
18-Jan-17,56.51,56.55,55.89,56.07,6640000
17-Jan-17,55.89,56.58,55.21,56.28,10416327
13-Jan-17,56.56,56.73,56.05,56.22,7660198
12-Jan-17,56.50,56.78,56.02,56.55,9977917
11-Jan-17,58.12,58.87,56.53,56.80,20497892
10-Jan-17,59.78,60.45,59.72,59.98,6103701
9-Jan-17,59.75,59.92,59.65,59.73,5263011
6-Jan-17,60.04,60.33,58.85,59.95,10104635
5-Jan-17,59.39,60.42,59.31,60.13,8422274
4-Jan-17,59.46,59.75,59.03,59.14,6703370
3-Jan-17,58.78,59.68,58.58,59.45,10061749
30-Dec-16,58.86,58.96,58.21,58.44,7008874
29-Dec-16,58.81,59.19,58.63,58.90,3642660
28-Dec-16,59.29,59.44,58.54,58.61,4249121
27-Dec-16,59.61,59.75,59.29,59.33,4251889
23-Dec-16,58.85,59.92,58.77,59.61,5412829
22-Dec-16,58.74,58.98,58.52,58.76,4812301
21-Dec-16,59.23,59.58,58.68,58.69,4471195
20-Dec-16,59.30,59.53,58.94,59.12,3918827
19-Dec-16,59.04,59.85,59.02,59.42,8399106
16-Dec-16,58.92,59.05,58.20,58.62,12218246
15-Dec-16,58.51,59.80,58.28,58.65,13210797
14-Dec-16,57.30,58.52,57.27,58.50,12603939
13-Dec-16,57.00,57.34,56.70,57.17,6902818
12-Dec-16,56.83,56.97,56.40,56.55,8829260
9-Dec-16,55.16,57.18,55.10,57.04,11782750
8-Dec-16,54.93,55.42,54.78,55.23,8191230
7-Dec-16,55.55,55.68,54.36,55.24,12210792
6-Dec-16,55.71,56.04,55.56,56.03,5924415
5-Dec-16,55.86,55.96,55.23,55.55,9904426
2-Dec-16,55.69,56.11,55.30,55.96,9281504
1-Dec-16,55.94,56.27,55.44,55.80,12719553
30-Nov-16,56.29,56.69,56.00,56.44,16418924
29-Nov-16,56.62,56.89,56.14,56.36,9818891
28-Nov-16,56.92,56.96,56.25,56.51,8724213
25-Nov-16,56.85,57.14,56.71,56.98,6228571
23-Nov-16,56.05,56.78,55.78,56.75,10159776
22-Nov-16,56.66,56.90,56.26,56.55,10349954
21-Nov-16,56.71,56.84,56.40,56.73,11312292
18-Nov-16,56.58,56.84,56.25,56.76,7387424
17-Nov-16,56.75,57.10,56.06,56.68,6820451
16-Nov-16,56.70,56.72,55.92,56.20,8935479
15-Nov-16,56.73,56.78,55.76,56.69,9312808
14-Nov-16,56.66,56.85,56.02,56.56,7234945
11-Nov-16,56.31,56.73,55.88,56.37,12438294
10-Nov-16,57.00,57.55,56.22,56.66,17744691
9-Nov-16,55.25,57.30,54.90,56.30,28681017
8-Nov-16,52.29,53.34,52.02,53.16,10093969
7-Nov-16,51.70,53.10,51.59,52.62,12825281
4-Nov-16,50.50,51.45,50.46,51.01,12817975
3-Nov-16,50.51,50.88,50.10,50.21,14924787
2-Nov-16,50.93,50.98,50.53,50.57,8197345
1-Nov-16,50.93,51.36,50.38,50.80,8740777
31-Oct-16,51.05,51.62,50.65,50.91,11326176
28-Oct-16,52.11,52.22,50.66,51.00,13798712
27-Oct-16,52.42,53.17,50.66,51.96,31896653
26-Oct-16,49.58,49.76,49.07,49.29,8331095
25-Oct-16,49.22,50.13,49.03,49.55,10212818
24-Oct-16,50.11,50.17,49.04,49.23,12107557
21-Oct-16,50.11,50.45,49.88,50.02,8558673
20-Oct-16,49.81,50.48,49.76,50.36,9310189
19-Oct-16,49.95,50.18,49.80,49.87,7636179
18-Oct-16,49.48,50.35,49.34,50.05,8773340
17-Oct-16,49.69,49.79,49.10,49.34,11577968
14-Oct-16,50.35,50.65,49.76,49.77,13848384
13-Oct-16,49.63,50.49,49.12,50.24,15095991
12-Oct-16,49.82,50.97,49.74,50.01,18137465
11-Oct-16,49.67,50.23,49.50,49.55,24532533
10-Oct-16,50.79,51.30,49.54,49.81,65259694
7-Oct-16,55.22,55.90,55.06,55.43,12714378
6-Oct-16,54.57,55.36,54.48,55.05,10955332
5-Oct-16,54.90,55.20,54.49,54.79,10964066
4-Oct-16,54.90,55.82,54.80,55.21,14042673
3-Oct-16,53.94,54.70,53.56,54.66,9697216
30-Sep-16,53.93,54.37,53.90,53.92,13326712
29-Sep-16,55.26,55.27,53.76,53.87,17228510
28-Sep-16,55.81,55.81,54.93,55.09,13768416
27-Sep-16,55.68,55.89,55.50,55.74,8619892
26-Sep-16,56.26,56.31,55.40,55.48,8599822
23-Sep-16,56.30,56.95,56.26,56.48,8569054
22-Sep-16,56.03,56.65,55.87,56.42,10611009
21-Sep-16,55.86,56.12,55.26,55.93,11651434
20-Sep-16,55.35,56.28,55.16,55.56,9940177
19-Sep-16,55.95,55.97,55.02,55.08,10517424
16-Sep-16,56.22,56.41,55.53,55.60,12082897
15-Sep-16,55.35,56.34,55.27,55.97,9844567
14-Sep-16,55.85,56.09,55.11,55.23,9007207
13-Sep-16,56.08,56.13,55.09,55.60,9473392
12-Sep-16,55.30,56.44,55.02,56.32,9958857
9-Sep-16,56.60,57.01,55.66,55.66,12349552
8-Sep-16,56.63,57.24,56.28,56.81,11571495
7-Sep-16,57.02,57.45,56.42,56.57,11719312
6-Sep-16,56.69,57.13,56.12,56.96,11710635
2-Sep-16,56.93,56.93,55.11,56.35,33971729
1-Sep-16,57.60,57.62,56.49,56.76,12873853
31-Aug-16,57.37,57.51,56.92,57.39,12533948
30-Aug-16,58.97,58.97,57.16,57.24,16800450
29-Aug-16,58.89,59.14,58.46,58.76,6573273
26-Aug-16,58.76,59.40,58.54,58.77,7845194
25-Aug-16,58.59,59.41,58.36,58.76,9116511
24-Aug-16,59.80,60.00,58.40,58.59,13198695
23-Aug-16,59.51,60.04,59.30,59.86,10582999
22-Aug-16,59.65,59.68,59.01,59.26,11133617
19-Aug-16,58.74,59.35,58.53,59.29,12134850
18-Aug-16,58.27,59.48,58.26,58.68,14693323
17-Aug-16,59.50,59.52,58.07,58.30,21007446
16-Aug-16,60.02,60.39,59.30,59.41,13273714
15-Aug-16,60.74,60.86,60.01,60.03,12142914
12-Aug-16,61.23,61.30,60.61,60.63,9376495
11-Aug-16,60.70,61.13,60.25,60.97,14576344
10-Aug-16,61.77,61.83,60.50,60.58,14455087
9-Aug-16,60.65,62.25,60.57,61.61,25005611
8-Aug-16,63.50,63.65,60.00,60.30,60132826
5-Aug-16,62.00,64.77,61.56,63.28,86212615
4-Aug-16,74.96,75.62,74.57,75.32,3474924
3-Aug-16,74.93,75.06,74.25,74.80,4349626
2-Aug-16,76.02,76.07,74.71,75.05,4479810
1-Aug-16,75.13,76.30,74.89,76.19,5081858
29-Jul-16,74.57,75.16,74.22,74.81,4861139
28-Jul-16,75.41,76.48,74.50,74.66,7412612
27-Jul-16,75.20,76.80,75.01,76.47,5542648
26-Jul-16,75.78,75.87,74.88,75.06,3826419
25-Jul-16,75.70,75.75,75.07,75.56,3988974
22-Jul-16,75.50,75.98,75.00,75.68,5276211
21-Jul-16,75.61,76.08,75.15,75.50,3420459
20-Jul-16,75.71,76.04,75.54,75.72,3949784
19-Jul-16,75.90,76.19,75.43,75.47,3693247
18-Jul-16,76.27,76.36,75.62,75.96,3794127
15-Jul-16,77.11,77.12,75.08,76.00,7523623
14-Jul-16,76.79,76.92,76.29,76.77,4352625
13-Jul-16,76.69,76.89,76.10,76.58,4651040
12-Jul-16,75.48,76.55,75.48,76.20,5935551
11-Jul-16,75.30,75.84,75.03,75.39,5277992
8-Jul-16,74.29,75.72,74.00,75.28,5428134
7-Jul-16,73.85,74.15,73.63,74.08,4056693
6-Jul-16,74.01,74.06,72.87,73.86,6517612
5-Jul-16,73.75,74.19,73.29,73.78,4255906
1-Jul-16,73.66,74.16,73.34,73.78,3123075
30-Jun-16,73.10,73.75,72.71,73.55,5763885
29-Jun-16,72.12,73.17,71.96,73.00,6539785
28-Jun-16,70.95,72.08,70.67,72.01,7066389
27-Jun-16,70.39,71.13,70.09,70.32,7477388
24-Jun-16,70.75,71.85,70.53,70.61,7414129
23-Jun-16,72.86,72.91,72.15,72.64,5624535
22-Jun-16,71.25,73.44,71.22,72.31,8093816
21-Jun-16,71.16,71.50,70.36,71.25,6450861
20-Jun-16,71.33,71.75,70.96,70.96,5165827
17-Jun-16,72.00,72.00,70.13,70.67,15007684
16-Jun-16,72.35,72.52,70.77,71.73,10778234
15-Jun-16,73.25,73.76,72.49,72.57,5390075
14-Jun-16,72.22,73.15,72.16,73.10,4691859
13-Jun-16,72.67,73.17,72.00,72.22,4726820
10-Jun-16,72.50,72.98,72.18,72.65,5007081
9-Jun-16,73.37,73.71,72.64,72.73,5693650
8-Jun-16,73.96,73.99,73.28,73.41,5702712
7-Jun-16,74.24,74.65,73.69,73.91,5037478
6-Jun-16,73.42,75.12,73.41,74.29,9599927
3-Jun-16,72.76,73.37,72.32,72.89,5039457
2-Jun-16,71.92,73.00,71.79,73.00,4610844
1-Jun-16,71.71,72.11,71.40,71.87,3726024
31-May-16,71.36,71.88,70.94,71.70,7162549
27-May-16,70.94,71.54,70.71,71.31,3630578
26-May-16,70.54,70.98,70.29,70.73,3994841
25-May-16,71.30,71.57,70.54,70.69,5809395
24-May-16,70.94,71.44,70.83,71.23,3872952
