Date,Open,High,Low,Close,Volume
31-Mar-17,42.26,42.44,42.16,42.16,3943044
30-Mar-17,42.74,42.76,42.37,42.48,2619576
29-Mar-17,42.17,42.76,42.15,42.73,4902393
28-Mar-17,42.61,42.67,42.37,42.41,1911795
27-Mar-17,42.51,42.82,42.47,42.69,2057716
24-Mar-17,42.24,42.38,42.20,42.31,2009566
23-Mar-17,42.22,42.58,42.18,42.31,1778225
22-Mar-17,42.26,42.42,42.15,42.28,2071561
21-Mar-17,42.44,42.56,42.28,42.32,2852008
20-Mar-17,42.23,42.45,42.23,42.32,3399970
17-Mar-17,42.33,42.42,42.22,42.27,2386461
16-Mar-17,42.33,42.39,42.12,42.26,2771560
15-Mar-17,41.64,42.03,41.62,42.00,3125868
14-Mar-17,41.51,41.79,41.51,41.73,2440562
13-Mar-17,41.54,41.72,41.49,41.65,2173242
10-Mar-17,41.35,41.46,41.28,41.37,2623732
9-Mar-17,41.14,41.49,41.14,41.45,2271868
8-Mar-17,41.09,41.36,41.07,41.13,3351238
7-Mar-17,41.15,41.57,41.12,41.44,3102523
6-Mar-17,41.77,41.96,41.75,41.82,2410174
3-Mar-17,41.75,42.03,41.72,41.99,2931597
2-Mar-17,41.47,41.82,41.38,41.66,2481641
1-Mar-17,41.41,41.64,41.21,41.38,2913067
28-Feb-17,41.47,41.71,41.42,41.48,2751169
27-Feb-17,41.23,41.67,41.21,41.57,2760311
24-Feb-17,41.25,41.56,41.18,41.56,3197341
23-Feb-17,41.26,41.60,41.16,41.49,2855500
22-Feb-17,40.97,41.24,40.94,41.03,3784865
21-Feb-17,41.42,41.75,41.31,41.63,5968779
17-Feb-17,41.02,41.34,40.88,41.34,4272870
16-Feb-17,41.10,41.18,40.86,40.92,4413748
15-Feb-17,39.98,40.58,39.93,40.57,4084632
14-Feb-17,39.88,40.12,39.79,40.11,4524821
13-Feb-17,40.20,40.30,39.92,39.99,6614244
10-Feb-17,39.98,40.46,39.90,40.28,3685782
9-Feb-17,40.23,40.32,40.00,40.02,3930619
8-Feb-17,39.30,39.86,39.25,39.75,3883930
7-Feb-17,39.41,39.65,39.39,39.46,4079542
6-Feb-17,39.23,39.58,39.20,39.56,2549898
3-Feb-17,39.29,39.41,39.24,39.32,2717811
2-Feb-17,39.26,39.42,39.13,39.30,2763200
1-Feb-17,39.59,39.59,39.15,39.46,3575325
31-Jan-17,38.78,39.35,38.77,39.31,3490735
30-Jan-17,38.77,39.01,38.68,39.00,3700370
27-Jan-17,38.77,38.86,38.62,38.73,2746533
26-Jan-17,38.94,38.96,38.75,38.82,3251129
25-Jan-17,39.10,39.10,38.78,38.88,4886005
24-Jan-17,38.73,38.79,38.51,38.73,2961798
23-Jan-17,38.77,38.98,38.56,38.92,3496622
20-Jan-17,38.67,38.75,38.55,38.72,2249977
19-Jan-17,39.00,39.08,38.67,38.75,3872525
18-Jan-17,38.94,39.07,38.81,38.89,3012061
17-Jan-17,39.24,39.37,38.94,39.30,3998771
13-Jan-17,38.96,39.33,38.85,39.22,3228108
12-Jan-17,38.94,39.15,38.80,39.01,4240501
11-Jan-17,39.27,39.36,38.76,39.05,5387010
10-Jan-17,39.39,39.46,39.30,39.34,3084500
9-Jan-17,39.23,39.60,39.20,39.43,3840900
6-Jan-17,39.36,39.50,39.34,39.38,2891245
5-Jan-17,39.20,39.79,39.18,39.73,3020435
4-Jan-17,38.90,39.17,38.83,39.09,2987672
3-Jan-17,38.55,38.87,38.45,38.84,3869728
30-Dec-16,38.65,38.74,38.41,38.51,2902299
29-Dec-16,38.46,38.60,38.34,38.44,3330032
28-Dec-16,38.36,38.45,38.14,38.16,2908983
27-Dec-16,38.35,38.47,38.25,38.28,2349337
23-Dec-16,38.20,38.42,38.20,38.35,1969834
22-Dec-16,38.31,38.45,38.09,38.28,3425854
21-Dec-16,38.25,38.37,38.12,38.13,3084574
20-Dec-16,38.39,38.43,38.18,38.30,3490590
19-Dec-16,38.35,38.57,38.26,38.31,3332817
16-Dec-16,38.43,38.62,38.28,38.54,5025053
15-Dec-16,38.34,38.34,38.03,38.12,4052812
14-Dec-16,38.31,38.47,37.94,37.96,3835585
13-Dec-16,38.28,38.70,38.23,38.45,4567151
12-Dec-16,37.75,37.96,37.71,37.82,3855067
9-Dec-16,37.68,37.87,37.59,37.79,6515493
8-Dec-16,37.41,37.51,37.20,37.39,5409951
7-Dec-16,37.47,37.63,37.20,37.55,4975806
6-Dec-16,37.50,37.80,37.48,37.69,3639562
5-Dec-16,37.82,37.85,37.56,37.67,3828923
2-Dec-16,37.54,37.85,37.46,37.70,3910786
1-Dec-16,37.58,37.68,37.36,37.43,4802677
30-Nov-16,38.15,38.20,37.77,37.79,5655904
29-Nov-16,38.31,38.37,38.17,38.27,4381576
28-Nov-16,38.49,38.57,38.28,38.29,3321901
25-Nov-16,38.99,38.99,38.75,38.86,3027774
23-Nov-16,37.74,38.14,37.65,38.10,4103422
22-Nov-16,38.52,38.59,37.85,38.04,3673658
21-Nov-16,38.36,38.46,38.23,38.43,3060548
18-Nov-16,38.29,38.34,38.04,38.11,3429658
17-Nov-16,38.28,38.52,38.20,38.45,6252778
16-Nov-16,38.56,38.88,38.10,38.18,8761861
15-Nov-16,38.73,38.99,38.60,38.93,3964132
14-Nov-16,39.03,39.08,38.81,38.98,3105436
11-Nov-16,39.37,39.62,39.07,39.19,5681499
10-Nov-16,39.67,40.16,39.42,39.90,5776940
9-Nov-16,40.18,40.60,39.60,40.40,7359611
8-Nov-16,38.99,39.40,38.93,39.14,3381650
7-Nov-16,38.89,39.00,38.76,38.84,3327351
4-Nov-16,38.78,38.88,38.56,38.63,4027132
3-Nov-16,39.63,39.67,38.72,38.74,4225579
2-Nov-16,39.87,39.91,39.43,39.49,4918446
1-Nov-16,39.87,40.11,39.64,39.85,4376481
31-Oct-16,39.80,40.14,39.61,40.01,3762224
28-Oct-16,40.39,40.44,40.01,40.14,4250558
27-Oct-16,40.56,40.70,40.10,40.42,4985173
26-Oct-16,39.74,40.48,39.56,40.34,5428889
25-Oct-16,40.45,40.51,40.19,40.32,6494688
24-Oct-16,40.90,41.02,40.65,40.68,3094211
21-Oct-16,41.01,41.25,40.96,41.13,2302444
20-Oct-16,41.11,41.60,41.09,41.43,3432723
19-Oct-16,41.53,41.71,41.44,41.49,2309042
18-Oct-16,41.61,41.80,41.54,41.76,2485450
17-Oct-16,41.31,41.50,41.19,41.19,3855964
14-Oct-16,41.93,42.03,41.68,41.68,3538625
13-Oct-16,41.64,42.58,41.60,42.39,3862990
12-Oct-16,42.13,42.19,41.85,42.08,2347858
11-Oct-16,42.85,42.87,42.05,42.14,3022670
10-Oct-16,42.95,43.16,42.94,43.04,1581138
7-Oct-16,42.78,43.01,42.68,42.96,2177718
6-Oct-16,42.89,43.00,42.77,42.90,1711688
5-Oct-16,43.33,43.44,43.20,43.33,2088451
4-Oct-16,43.89,43.92,43.23,43.44,3260562
3-Oct-16,43.22,43.28,42.98,43.22,2368238
30-Sep-16,42.90,43.27,42.82,43.13,2598392
29-Sep-16,43.64,43.66,42.76,42.90,3449131
28-Sep-16,43.72,43.78,43.30,43.67,1969010
27-Sep-16,42.83,43.34,42.72,43.32,2084804
26-Sep-16,43.09,43.10,42.87,42.96,2056978
23-Sep-16,43.20,43.52,43.18,43.42,2128068
22-Sep-16,43.62,43.87,43.53,43.58,1899058
21-Sep-16,42.99,43.26,42.64,43.21,3227984
20-Sep-16,43.32,43.41,43.02,43.06,2581837
19-Sep-16,43.46,43.51,43.22,43.30,2192690
16-Sep-16,43.08,43.22,42.70,42.88,3206109
15-Sep-16,43.13,43.62,42.95,43.54,1908781
14-Sep-16,43.01,43.23,42.80,43.15,2719597
13-Sep-16,43.03,43.07,42.43,42.51,3655096
12-Sep-16,42.50,43.35,42.48,43.30,3214534
9-Sep-16,42.91,43.00,42.50,42.50,3425586
8-Sep-16,43.66,43.81,43.56,43.65,2393718
7-Sep-16,43.73,44.02,43.73,43.82,3080958
6-Sep-16,44.08,44.20,43.88,43.99,2944238
2-Sep-16,43.89,44.46,43.76,44.26,3873012
1-Sep-16,43.07,43.19,42.88,42.98,3220811
31-Aug-16,43.38,43.51,43.25,43.46,2370365
30-Aug-16,43.44,43.59,43.35,43.36,1914054
29-Aug-16,43.54,43.70,43.39,43.61,2133972
26-Aug-16,43.79,44.19,43.43,43.55,3571015
25-Aug-16,44.00,44.10,43.65,43.74,2259901
24-Aug-16,44.45,44.54,43.82,43.90,2605931
23-Aug-16,44.47,44.50,44.20,44.41,2490868
22-Aug-16,43.89,44.29,43.88,44.12,1874302
19-Aug-16,44.02,44.17,43.90,44.16,2321509
18-Aug-16,44.52,44.58,44.36,44.49,1526945
17-Aug-16,44.50,44.51,44.07,44.39,1751701
16-Aug-16,44.42,44.59,44.32,44.32,2197299
15-Aug-16,44.39,44.59,44.33,44.40,2042345
12-Aug-16,44.45,44.49,44.03,44.17,2368950
11-Aug-16,44.25,44.41,44.15,44.39,1940623
10-Aug-16,44.37,44.37,43.98,44.13,2331081
9-Aug-16,44.06,44.51,44.05,44.40,2429868
8-Aug-16,44.18,44.45,44.14,44.41,4597803
5-Aug-16,44.49,44.93,44.49,44.89,2735825
4-Aug-16,44.87,45.21,44.83,45.08,1754230
3-Aug-16,44.71,45.12,44.70,45.03,2761643
2-Aug-16,45.49,45.58,45.21,45.49,2356397
1-Aug-16,45.08,45.43,44.89,45.25,2972701
29-Jul-16,45.19,45.38,44.85,45.07,2978330
