Date,Open,High,Low,Close,Volume
31-Mar-17,74.63,74.64,74.25,74.27,1516042
30-Mar-17,75.03,75.32,74.68,74.76,1836072
29-Mar-17,74.86,75.11,74.82,74.85,1822925
28-Mar-17,75.19,75.29,74.83,74.83,1934093
27-Mar-17,74.81,75.32,74.78,75.10,1878834
24-Mar-17,74.26,74.49,74.07,74.37,1637449
23-Mar-17,74.45,74.89,74.34,74.43,2132551
22-Mar-17,74.39,74.43,73.95,74.19,3272236
21-Mar-17,75.89,75.95,74.29,74.39,3744266
20-Mar-17,75.99,76.17,75.68,75.68,1437727
17-Mar-17,75.75,75.98,75.55,75.55,1758413
16-Mar-17,75.46,75.71,75.32,75.67,2094463
15-Mar-17,74.74,75.62,74.59,75.57,3765965
14-Mar-17,74.96,75.30,74.90,75.06,3574776
13-Mar-17,75.65,75.74,75.20,75.61,2272283
10-Mar-17,75.23,75.71,75.02,75.60,3009912
9-Mar-17,74.44,75.20,74.40,75.11,3117124
8-Mar-17,74.09,74.57,74.06,74.26,3494147
7-Mar-17,73.76,74.55,73.61,74.37,4214334
6-Mar-17,75.71,75.81,75.37,75.55,1940806
3-Mar-17,75.33,76.05,75.26,75.92,3216458
2-Mar-17,74.45,75.22,74.41,74.83,6191941
1-Mar-17,75.41,75.95,75.32,75.73,2722243
28-Feb-17,77.74,78.53,77.69,78.17,2790014
27-Feb-17,77.35,77.70,77.29,77.58,1635734
24-Feb-17,76.84,77.35,76.82,77.28,2748937
23-Feb-17,77.36,77.66,77.07,77.45,3532363
22-Feb-17,76.50,77.11,76.48,76.85,3981486
21-Feb-17,76.53,77.34,76.48,77.04,3897897
17-Feb-17,76.27,77.21,76.23,77.20,3566815
16-Feb-17,76.44,76.75,76.13,76.73,2497879
15-Feb-17,74.90,75.91,74.86,75.83,3136451
14-Feb-17,74.99,75.33,74.53,75.16,3080706
13-Feb-17,75.43,75.46,75.15,75.43,2865835
10-Feb-17,74.80,75.39,74.75,75.21,2025492
9-Feb-17,74.98,75.40,74.88,75.12,2633393
8-Feb-17,73.95,74.64,73.85,74.60,2620975
7-Feb-17,74.39,74.45,73.98,74.14,2015578
6-Feb-17,73.65,74.10,73.65,74.08,1995755
3-Feb-17,73.62,73.97,73.49,73.89,3019758
2-Feb-17,72.76,73.24,72.72,73.08,4212413
1-Feb-17,73.11,73.45,72.74,73.42,5323274
31-Jan-17,72.49,73.95,72.25,73.92,3501744
30-Jan-17,71.95,72.50,71.81,72.30,4098043
27-Jan-17,71.70,72.23,71.50,72.21,4527842
