Date,Open,High,Low,Close,Volume
31-Mar-17,34.21,34.38,34.16,34.21,18611785
30-Mar-17,34.19,34.44,34.15,34.35,14993815
29-Mar-17,34.16,34.45,34.11,34.33,17281021
28-Mar-17,34.06,34.26,33.97,34.16,18337464
27-Mar-17,33.74,34.31,33.74,34.18,17886174
24-Mar-17,34.27,34.27,33.94,34.00,27118654
23-Mar-17,34.32,34.56,34.23,34.29,20283431
22-Mar-17,34.30,34.54,33.99,34.47,26117870
21-Mar-17,34.48,34.61,34.18,34.25,31388495
20-Mar-17,34.40,34.50,34.32,34.38,17490950
17-Mar-17,34.46,34.58,34.27,34.32,43392929
16-Mar-17,34.57,34.63,34.25,34.43,20698492
15-Mar-17,34.22,34.71,34.18,34.63,23035916
14-Mar-17,34.02,34.33,33.98,34.22,14766085
13-Mar-17,34.14,34.15,33.91,34.11,18964029
10-Mar-17,34.14,34.32,34.00,34.11,19179038
9-Mar-17,33.88,34.14,33.78,34.05,19164707
8-Mar-17,33.91,34.10,33.72,33.91,22647434
7-Mar-17,33.87,34.20,33.75,33.99,29206226
6-Mar-17,34.33,34.47,34.08,34.35,18191883
3-Mar-17,34.42,34.65,34.36,34.52,18837249
2-Mar-17,34.46,34.75,34.42,34.51,25572123
1-Mar-17,34.27,34.53,34.05,34.42,32291229
28-Feb-17,34.10,34.26,33.91,34.12,27480705
27-Feb-17,34.23,34.46,34.16,34.28,21830284
24-Feb-17,34.17,34.35,33.99,34.26,24711954
23-Feb-17,33.70,34.12,33.58,34.06,30477129
22-Feb-17,33.57,33.75,33.25,33.59,27207299
21-Feb-17,33.57,33.80,33.48,33.62,24090742
17-Feb-17,33.59,33.89,33.53,33.62,34992707
16-Feb-17,33.45,33.88,33.22,33.62,38332300
15-Feb-17,32.78,33.58,32.68,33.51,45574488
14-Feb-17,32.53,32.77,32.35,32.75,22965351
13-Feb-17,32.44,32.69,32.44,32.61,20620122
10-Feb-17,32.41,32.45,32.23,32.35,21907167
9-Feb-17,32.26,32.54,32.23,32.38,23816348
8-Feb-17,31.92,32.34,31.92,32.14,19160070
7-Feb-17,32.32,32.35,31.94,32.08,23512005
6-Feb-17,32.00,32.33,31.94,32.23,24534376
3-Feb-17,32.12,32.24,31.92,32.09,35991724
2-Feb-17,31.47,31.73,31.32,31.73,23372299
1-Feb-17,31.51,31.69,31.26,31.67,28493260
31-Jan-17,31.01,31.93,30.93,31.73,37450039
30-Jan-17,31.47,31.50,31.06,31.31,27464839
27-Jan-17,31.47,31.54,31.26,31.42,24054743
26-Jan-17,31.40,31.47,31.20,31.28,27185453
25-Jan-17,31.36,31.52,31.10,31.29,32168240
24-Jan-17,31.40,31.46,30.90,31.15,29625416
23-Jan-17,31.68,31.82,31.44,31.46,24760966
20-Jan-17,31.72,32.12,31.66,31.77,30159695
19-Jan-17,32.06,32.09,31.53,31.70,26144122
18-Jan-17,32.09,32.28,31.95,32.03,21469733
17-Jan-17,32.35,32.38,31.78,32.06,32104523
13-Jan-17,32.67,32.78,32.33,32.52,20291186
12-Jan-17,32.53,32.62,32.30,32.60,31760852
11-Jan-17,33.37,33.54,32.40,32.83,40439412
10-Jan-17,33.59,33.66,33.32,33.44,19397333
9-Jan-17,33.43,33.67,33.38,33.47,20455302
6-Jan-17,33.66,33.70,33.34,33.48,17474593
5-Jan-17,33.37,33.69,33.12,33.61,20003366
4-Jan-17,33.13,33.35,33.03,33.29,21588216
3-Jan-17,32.70,33.00,32.59,33.00,22193434
30-Dec-16,32.34,32.60,32.31,32.48,18866618
29-Dec-16,32.39,32.62,32.37,32.49,14067567
28-Dec-16,32.50,32.69,32.34,32.35,13938755
27-Dec-16,32.57,32.72,32.48,32.53,11220427
23-Dec-16,32.41,32.56,32.36,32.48,10804464
22-Dec-16,32.29,32.43,32.05,32.34,18613336
21-Dec-16,32.73,32.93,32.33,32.40,18739717
20-Dec-16,32.78,32.88,32.57,32.85,25074289
19-Dec-16,32.76,32.97,32.72,32.83,24930729
16-Dec-16,32.88,32.94,32.52,32.84,37585369
15-Dec-16,32.63,32.96,32.60,32.75,20877122
14-Dec-16,32.92,33.30,32.64,32.82,36347068
13-Dec-16,32.81,32.88,32.56,32.83,28760300
12-Dec-16,31.70,32.65,31.66,32.40,32255700
9-Dec-16,31.11,31.92,31.09,31.70,29350843
8-Dec-16,30.84,31.10,30.51,30.94,35493010
7-Dec-16,31.33,31.33,30.60,31.19,44053675
6-Dec-16,31.65,31.70,31.43,31.56,17706806
5-Dec-16,31.74,31.77,31.39,31.59,19300328
2-Dec-16,31.54,31.73,31.36,31.63,19007839
1-Dec-16,32.25,32.25,31.40,31.46,30606411
30-Nov-16,31.98,32.36,31.75,32.14,38519485
29-Nov-16,31.85,31.97,31.61,31.92,21642215
28-Nov-16,31.69,31.84,31.50,31.54,17735150
25-Nov-16,31.60,31.74,31.55,31.69,10452948
23-Nov-16,31.18,31.45,30.63,31.42,21270415
22-Nov-16,31.93,31.99,31.05,31.33,26434849
21-Nov-16,31.51,31.69,31.49,31.57,21872759
18-Nov-16,31.95,31.95,31.44,31.48,24156427
17-Nov-16,32.01,32.12,31.68,31.73,26073099
16-Nov-16,32.20,32.33,31.93,31.96,22641562
15-Nov-16,32.76,32.76,31.88,32.23,29614279
14-Nov-16,32.85,32.90,32.13,32.38,30568352
11-Nov-16,33.22,33.34,32.19,32.59,35803589
10-Nov-16,33.32,33.83,32.85,33.49,67275205
9-Nov-16,33.01,33.37,31.50,32.12,118753768
8-Nov-16,30.13,30.45,29.96,30.00,35451303
7-Nov-16,30.23,30.44,30.08,30.38,30877493
4-Nov-16,29.91,30.37,29.90,30.00,35028231
3-Nov-16,30.70,30.70,29.83,29.89,36329216
2-Nov-16,30.99,31.04,30.36,30.63,36084519
1-Nov-16,30.94,31.72,30.75,31.07,54350118
31-Oct-16,32.04,32.04,31.61,31.71,35949424
28-Oct-16,32.52,32.56,31.88,31.93,28508651
27-Oct-16,32.58,32.81,32.37,32.48,18253037
26-Oct-16,32.28,32.60,32.15,32.40,17102660
25-Oct-16,32.02,32.37,31.98,32.28,19336056
24-Oct-16,32.30,32.36,32.05,32.13,19586374
21-Oct-16,32.42,32.45,32.18,32.18,18834961
20-Oct-16,32.49,32.74,32.49,32.54,19292363
19-Oct-16,32.75,32.84,32.49,32.60,16363791
18-Oct-16,32.74,32.87,32.61,32.69,14823626
17-Oct-16,32.58,32.71,32.48,32.50,16923468
14-Oct-16,32.73,32.90,32.66,32.66,15569339
13-Oct-16,32.57,32.90,32.52,32.76,24182290
12-Oct-16,33.14,33.24,32.94,33.07,15138764
11-Oct-16,33.56,33.57,32.94,33.13,17332125
