Date,Open,High,Low,Close,Volume
31-Mar-17,44.97,45.30,44.86,45.25,1357914
30-Mar-17,45.03,45.18,44.77,44.85,1286334
29-Mar-17,45.24,45.47,45.22,45.27,1608545
28-Mar-17,45.24,45.95,45.18,45.35,2212614
27-Mar-17,45.32,45.49,45.25,45.38,2362479
24-Mar-17,44.76,44.82,44.50,44.63,2117041
23-Mar-17,44.69,45.13,44.44,44.51,1348940
22-Mar-17,44.76,44.88,44.55,44.67,1039038
21-Mar-17,44.96,45.07,44.34,44.36,1775486
20-Mar-17,44.55,44.74,44.36,44.51,1516020
17-Mar-17,44.17,44.50,44.00,44.30,1417985
16-Mar-17,44.31,44.58,44.16,44.57,1003446
15-Mar-17,43.52,44.20,43.52,44.19,754496
14-Mar-17,43.64,43.78,43.56,43.63,582558
13-Mar-17,43.83,43.88,43.66,43.84,775584
10-Mar-17,43.82,43.94,43.71,43.91,1161550
9-Mar-17,43.51,43.71,43.41,43.58,1335482
8-Mar-17,43.35,43.52,43.19,43.27,1015723
7-Mar-17,42.87,43.27,42.85,43.09,1718295
6-Mar-17,43.76,43.86,43.54,43.70,1023520
3-Mar-17,44.09,44.37,44.01,44.24,1299741
2-Mar-17,43.28,43.64,43.26,43.52,1166449
1-Mar-17,43.81,43.84,43.46,43.48,1525679
28-Feb-17,43.00,43.33,42.94,43.13,2527595
27-Feb-17,42.54,42.96,42.53,42.92,2874165
24-Feb-17,42.27,42.84,42.26,42.70,1786466
23-Feb-17,42.71,42.76,42.40,42.51,1491003
22-Feb-17,42.13,42.61,42.11,42.52,2316519
21-Feb-17,42.21,42.78,42.08,42.76,2857519
17-Feb-17,43.12,43.33,43.06,43.16,1811565
16-Feb-17,43.60,43.72,43.40,43.54,962489
15-Feb-17,42.75,43.45,42.75,43.35,1637088
14-Feb-17,42.84,42.93,42.53,42.76,1206485
13-Feb-17,42.70,42.72,42.44,42.54,985025
10-Feb-17,42.60,42.81,42.55,42.57,1159991
9-Feb-17,42.28,42.97,42.25,42.70,2412677
8-Feb-17,40.61,41.26,40.56,41.21,2386345
7-Feb-17,40.61,40.74,40.18,40.25,1120241
6-Feb-17,40.37,40.68,40.37,40.64,789519
3-Feb-17,40.68,40.82,40.60,40.63,746745
2-Feb-17,40.55,40.71,40.42,40.51,1057359
1-Feb-17,40.62,40.88,40.50,40.88,1563121
31-Jan-17,39.94,40.81,39.89,40.78,2496444
30-Jan-17,39.87,40.14,39.71,40.00,1785302
27-Jan-17,39.88,40.01,39.71,39.88,1365069
26-Jan-17,40.00,40.01,39.48,39.51,1720213
25-Jan-17,40.10,40.10,39.69,39.89,2435643
24-Jan-17,39.75,39.88,39.42,39.72,1541439
23-Jan-17,40.33,40.35,39.91,40.21,2106309
20-Jan-17,40.42,40.58,40.23,40.35,988291
19-Jan-17,40.28,40.37,40.00,40.17,958621
18-Jan-17,40.85,40.90,40.61,40.76,1357116
17-Jan-17,40.68,41.07,40.54,40.96,2536087
13-Jan-17,41.69,41.71,41.29,41.47,2553962
12-Jan-17,40.54,41.77,40.47,40.62,3864327
11-Jan-17,41.06,41.16,40.38,40.79,2265954
10-Jan-17,41.56,41.58,41.00,41.05,2009526
9-Jan-17,40.90,41.08,40.70,40.96,2357977
6-Jan-17,40.13,40.54,40.12,40.32,2609682
5-Jan-17,41.28,41.67,41.11,41.50,2828734
4-Jan-17,40.79,41.02,40.67,40.85,2819625
