Stock,Date,Open,High,Low,Close,Volume
abb,4-Apr-16,19.54,19.58,19.32,19.39,1822405
abb,5-Apr-16,19.05,19.18,19.01,19.09,1675097
abb,6-Apr-16,19.02,19.22,18.96,19.20,2727147
abb,7-Apr-16,19.04,19.13,18.93,18.98,1566818
abb,8-Apr-16,19.24,19.46,19.23,19.37,1218557
abb,11-Apr-16,19.46,19.57,19.39,19.39,1296378
abb,12-Apr-16,19.54,19.76,19.47,19.71,1521986
abb,13-Apr-16,19.77,19.79,19.67,19.78,1087004
abb,14-Apr-16,19.87,19.91,19.80,19.85,905997
abb,15-Apr-16,19.78,19.90,19.76,19.79,1518371
abb,18-Apr-16,19.74,20.02,19.74,19.99,1586569
abb,19-Apr-16,20.28,20.37,20.20,20.26,1823392
abb,20-Apr-16,20.85,21.03,20.81,20.88,3159504
abb,21-Apr-16,20.70,20.84,20.62,20.69,2685320
abb,22-Apr-16,20.74,20.81,20.69,20.78,1283848
abb,25-Apr-16,20.62,20.68,20.54,20.59,1589592
abb,26-Apr-16,20.88,20.95,20.83,20.91,1807597
abb,27-Apr-16,20.98,21.13,20.90,21.08,1226884
abb,28-Apr-16,20.94,21.12,20.87,20.92,1368117
abb,29-Apr-16,21.12,21.22,21.01,21.11,2937935
abb,2-May-16,21.18,21.25,21.09,21.23,2067259
abb,3-May-16,21.15,21.16,20.97,21.02,2375140
abb,4-May-16,20.89,20.93,20.63,20.69,1864046
abb,5-May-16,20.78,20.78,20.48,20.54,1223609
abb,6-May-16,20.50,20.62,20.48,20.60,2595464
abb,9-May-16,20.53,20.55,20.38,20.40,2769624
abb,10-May-16,20.45,20.71,20.45,20.69,1672549
abb,11-May-16,20.75,20.85,20.66,20.70,1302356
abb,12-May-16,20.90,20.91,20.58,20.71,1616750
abb,13-May-16,20.32,20.47,20.12,20.20,1942522
abb,16-May-16,20.27,20.44,20.25,20.34,2001953
abb,17-May-16,20.43,20.56,20.27,20.32,1704261
abb,18-May-16,20.35,20.55,20.24,20.36,2291527
abb,19-May-16,20.17,20.26,20.10,20.23,1591203
abb,20-May-16,20.39,20.45,20.32,20.34,1142321
abb,23-May-16,20.46,20.57,20.42,20.50,1800808
abb,24-May-16,20.42,20.59,20.42,20.54,1611834
abb,25-May-16,20.67,20.76,20.65,20.69,1466822
abb,26-May-16,21.03,21.07,20.90,20.92,1194923
abb,27-May-16,21.04,21.09,20.96,20.99,1070355
abb,31-May-16,20.87,20.99,20.70,20.78,2493168
abb,1-Jun-16,20.73,20.88,20.67,20.88,1130517
abb,2-Jun-16,20.76,20.86,20.71,20.84,1491713
abb,3-Jun-16,20.94,20.99,20.84,20.95,1162554
abb,6-Jun-16,21.20,21.31,21.12,21.22,1672223
abb,7-Jun-16,21.50,21.56,21.47,21.47,1773162
abb,8-Jun-16,21.54,21.57,21.43,21.47,1293095
abb,9-Jun-16,21.03,21.16,21.03,21.14,1805592
abb,10-Jun-16,20.78,20.85,20.59,20.68,1662499
abb,13-Jun-16,20.25,20.41,20.23,20.27,2563464
abb,14-Jun-16,20.19,20.24,20.07,20.18,2289302
abb,15-Jun-16,20.40,20.55,20.30,20.33,2056677
abb,16-Jun-16,20.11,20.35,19.89,20.31,2029920
abb,17-Jun-16,20.50,20.60,20.38,20.55,2583332
abb,20-Jun-16,20.98,21.08,20.92,20.95,1066492
abb,21-Jun-16,21.20,21.36,21.07,21.29,1651108
abb,22-Jun-16,21.36,21.42,21.24,21.26,1328472
abb,23-Jun-16,21.54,21.64,21.39,21.62,1349096
abb,24-Jun-16,20.00,20.39,19.84,19.88,4212960
abb,27-Jun-16,19.53,19.53,19.08,19.29,3279061
abb,28-Jun-16,19.31,19.40,19.14,19.33,2702007
abb,29-Jun-16,19.26,19.49,19.23,19.44,2341722
abb,30-Jun-16,19.47,19.84,19.45,19.83,2444406
abb,1-Jul-16,19.86,19.95,19.84,19.91,1714576
abb,5-Jul-16,19.50,19.54,19.26,19.31,1575379
abb,6-Jul-16,19.16,19.36,19.02,19.34,2143819
abb,7-Jul-16,19.44,19.55,19.29,19.37,1740142
abb,8-Jul-16,18.75,18.94,18.72,18.90,1528012
abb,11-Jul-16,19.37,19.46,19.34,19.36,1746078
abb,12-Jul-16,19.51,19.59,19.49,19.53,2246350
abb,13-Jul-16,19.69,19.72,19.56,19.63,1352241
abb,14-Jul-16,20.00,20.09,19.91,19.95,3024571
abb,15-Jul-16,19.95,20.02,19.87,20.00,1588569
abb,18-Jul-16,19.97,20.05,19.90,19.93,1566950
abb,19-Jul-16,20.00,20.18,19.95,20.11,2072738
abb,20-Jul-16,20.20,20.35,20.11,20.24,1843117
abb,21-Jul-16,20.65,20.86,20.61,20.70,3017933
abb,22-Jul-16,20.95,20.96,20.74,20.91,2299618
abb,25-Jul-16,20.86,20.88,20.74,20.84,1120643
abb,26-Jul-16,20.84,20.99,20.78,20.97,1391555
abb,27-Jul-16,20.91,20.99,20.80,20.94,1601765
abb,28-Jul-16,21.04,21.12,20.98,21.07,1853487
abb,29-Jul-16,21.24,21.38,21.16,21.25,1697206
abb,1-Aug-16,21.02,21.16,20.95,21.07,1180759
abb,2-Aug-16,21.21,21.21,21.00,21.08,1542893
abb,3-Aug-16,20.95,21.02,20.94,21.00,1250288
abb,4-Aug-16,21.18,21.30,21.14,21.23,898891
abb,5-Aug-16,21.19,21.32,21.19,21.30,1034569
abb,8-Aug-16,21.33,21.41,21.32,21.39,1067533
abb,9-Aug-16,21.55,21.64,21.52,21.56,862906
abb,10-Aug-16,21.89,21.94,21.84,21.86,1715083
abb,11-Aug-16,22.02,22.08,21.95,22.02,1074082
abb,12-Aug-16,22.12,22.15,22.02,22.07,1067928
abb,15-Aug-16,22.05,22.16,22.05,22.13,1253869
abb,16-Aug-16,22.07,22.16,22.03,22.05,1156744
abb,17-Aug-16,22.05,22.10,21.91,22.06,1413258
abb,18-Aug-16,22.23,22.36,22.21,22.36,1122555
abb,19-Aug-16,21.99,22.09,21.90,22.06,1240588
abb,22-Aug-16,21.92,22.01,21.86,21.95,1089504
abb,23-Aug-16,22.13,22.19,22.06,22.07,846147
abb,24-Aug-16,22.05,22.08,21.96,21.99,585655
abb,25-Aug-16,21.93,22.00,21.93,21.94,643640
abb,26-Aug-16,22.03,22.26,21.76,21.84,1455403
abb,29-Aug-16,21.81,21.94,21.80,21.91,930967
abb,30-Aug-16,21.88,21.91,21.71,21.76,987189
abb,31-Aug-16,21.72,21.76,21.60,21.67,940767
abb,1-Sep-16,21.64,22.10,21.59,22.07,2812286
abb,2-Sep-16,22.15,22.25,22.09,22.21,1817619
abb,6-Sep-16,22.46,22.59,22.34,22.54,3144143
abb,7-Sep-16,22.63,22.68,22.54,22.60,1111553
abb,8-Sep-16,22.62,22.78,22.61,22.65,1836702
abb,9-Sep-16,22.57,22.58,22.17,22.17,1837843
abb,12-Sep-16,22.02,22.44,21.98,22.39,1940918
abb,13-Sep-16,22.41,22.48,22.12,22.24,2838682
abb,14-Sep-16,22.28,22.33,22.02,22.07,4370762
abb,15-Sep-16,22.05,22.31,22.00,22.25,1992771
abb,16-Sep-16,22.01,22.06,21.87,21.95,2274353
abb,19-Sep-16,21.99,22.12,21.95,21.98,1473921
abb,20-Sep-16,22.31,22.31,22.12,22.13,1306931
abb,21-Sep-16,22.39,22.52,22.23,22.51,1450297
abb,22-Sep-16,22.85,22.88,22.75,22.81,1123251
abb,23-Sep-16,22.69,22.79,22.62,22.65,1936831
abb,26-Sep-16,22.60,22.61,22.49,22.50,1202866
abb,27-Sep-16,22.31,22.52,22.28,22.49,1232664
abb,28-Sep-16,22.49,22.71,22.43,22.70,1634329
abb,29-Sep-16,22.49,22.60,22.28,22.38,2525502
abb,30-Sep-16,22.28,22.54,22.27,22.51,2473389
abb,3-Oct-16,22.58,22.66,22.48,22.52,1491453
abb,4-Oct-16,22.62,22.74,22.50,22.57,1926776
abb,5-Oct-16,22.66,22.79,22.59,22.76,1265594
abb,6-Oct-16,22.88,22.92,22.79,22.88,1263961
abb,7-Oct-16,22.88,22.89,22.58,22.72,1784117
abb,10-Oct-16,22.80,22.86,22.76,22.78,1075169
abb,11-Oct-16,22.71,22.72,22.30,22.37,2284517
abb,12-Oct-16,22.38,22.44,22.29,22.39,996477
abb,13-Oct-16,22.09,22.33,22.05,22.25,1531310
abb,14-Oct-16,22.41,22.50,22.33,22.34,1110586
abb,17-Oct-16,22.33,22.42,22.28,22.33,1019594
abb,18-Oct-16,22.40,22.50,22.32,22.45,1597192
abb,19-Oct-16,22.41,22.52,22.40,22.45,2931201
abb,20-Oct-16,22.33,22.45,22.28,22.37,1402920
abb,21-Oct-16,22.21,22.36,22.20,22.35,1717003
abb,24-Oct-16,22.32,22.39,22.21,22.29,1274787
abb,25-Oct-16,22.13,22.17,22.06,22.12,1714931
abb,26-Oct-16,22.22,22.23,22.08,22.08,1548173
abb,27-Oct-16,20.70,20.74,20.49,20.53,5638944
abb,28-Oct-16,20.49,20.63,20.46,20.62,3182251
abb,31-Oct-16,20.60,20.67,20.55,20.65,2119448
abb,1-Nov-16,20.63,20.64,20.45,20.52,2001562
abb,2-Nov-16,20.46,20.58,20.44,20.45,1426690
abb,3-Nov-16,20.60,20.60,20.40,20.43,1491576
abb,4-Nov-16,20.41,20.56,20.31,20.40,1621035
abb,7-Nov-16,20.85,20.90,20.80,20.89,1262003
abb,8-Nov-16,20.65,20.92,20.65,20.90,1856709
abb,9-Nov-16,21.09,21.37,21.00,21.27,3167096
abb,10-Nov-16,21.19,21.41,21.09,21.36,3434556
abb,11-Nov-16,21.40,21.43,21.16,21.38,2081577
abb,14-Nov-16,21.07,21.18,21.02,21.16,1901540
abb,15-Nov-16,20.92,21.22,20.91,21.22,2534390
abb,16-Nov-16,21.01,21.08,20.86,20.88,1388856
abb,17-Nov-16,20.94,21.00,20.86,20.90,1174098
abb,18-Nov-16,20.63,20.74,20.61,20.69,1775124
abb,21-Nov-16,20.66,20.75,20.62,20.68,1699854
abb,22-Nov-16,20.77,20.78,20.64,20.75,1904282
abb,23-Nov-16,20.50,20.62,20.48,20.59,1699752
abb,25-Nov-16,20.61,20.71,20.60,20.70,678490
abb,28-Nov-16,20.48,20.53,20.39,20.40,1053016
abb,29-Nov-16,20.28,20.48,20.26,20.38,889060
abb,30-Nov-16,20.41,20.48,20.34,20.43,3131525
abb,1-Dec-16,20.45,20.71,20.43,20.59,1872940
abb,2-Dec-16,20.63,20.73,20.54,20.61,1433128
abb,5-Dec-16,21.04,21.09,20.96,21.07,1430504
abb,6-Dec-16,20.89,21.07,20.88,21.04,1335253
abb,7-Dec-16,20.89,21.14,20.86,21.10,2104977
abb,8-Dec-16,20.89,21.01,20.86,20.92,1561960
abb,9-Dec-16,20.87,21.02,20.86,20.98,1090224
abb,12-Dec-16,21.20,21.35,21.17,21.26,4925193
abb,13-Dec-16,21.20,21.38,21.12,21.28,2522313
abb,14-Dec-16,21.36,21.45,20.93,20.95,3610918
abb,15-Dec-16,20.86,20.98,20.80,20.97,1951829
abb,16-Dec-16,20.93,21.11,20.93,20.96,1206846
abb,19-Dec-16,21.05,21.14,20.98,21.14,2834579
abb,20-Dec-16,21.07,21.18,21.06,21.18,4064941
abb,21-Dec-16,21.02,21.16,21.00,21.05,3108181
abb,22-Dec-16,21.12,21.22,21.08,21.19,3475243
abb,23-Dec-16,21.10,21.13,21.03,21.04,1019138
abb,27-Dec-16,21.04,21.13,21.02,21.08,675530
abb,28-Dec-16,21.23,21.23,21.01,21.04,1314197
abb,29-Dec-16,21.14,21.17,21.06,21.08,1474539
abb,30-Dec-16,21.26,21.27,21.04,21.07,1387970
abb,3-Jan-17,21.14,21.28,21.11,21.28,2009610
abb,4-Jan-17,21.15,21.38,21.14,21.37,2333104
abb,5-Jan-17,21.35,21.58,21.34,21.56,1515354
abb,6-Jan-17,21.62,21.68,21.56,21.60,1118277
abb,9-Jan-17,21.41,21.55,21.38,21.50,1359130
abb,10-Jan-17,21.68,22.13,21.68,22.10,3257116
abb,11-Jan-17,22.10,22.32,22.08,22.28,3642118
abb,12-Jan-17,22.29,22.32,22.15,22.26,3055113
abb,13-Jan-17,22.46,22.50,22.37,22.48,2241897
abb,17-Jan-17,22.39,22.49,22.30,22.33,7203826
abb,18-Jan-17,22.34,22.47,22.33,22.41,2777025
abb,19-Jan-17,22.48,22.58,22.39,22.56,1619796
abb,20-Jan-17,22.73,22.80,22.69,22.78,1370352
abb,23-Jan-17,22.74,22.81,22.62,22.78,1621864
abb,24-Jan-17,22.87,23.01,22.86,22.95,1745201
abb,25-Jan-17,23.41,23.58,23.39,23.50,2216167
abb,26-Jan-17,23.85,23.90,23.68,23.80,5785526
abb,27-Jan-17,23.82,23.86,23.74,23.83,4281134
abb,30-Jan-17,23.63,23.81,23.58,23.80,2626126
abb,31-Jan-17,23.81,23.85,23.65,23.82,3627774
abb,1-Feb-17,23.82,23.88,23.62,23.75,1645758
abb,2-Feb-17,23.69,23.73,23.63,23.67,1530060
abb,3-Feb-17,23.58,23.70,23.56,23.63,3017064
abb,6-Feb-17,23.33,23.40,23.27,23.37,1819929
abb,7-Feb-17,23.43,23.52,23.38,23.45,1698708
abb,8-Feb-17,22.71,22.72,22.57,22.61,3670237
abb,9-Feb-17,22.85,22.88,22.73,22.77,2049295
abb,10-Feb-17,22.89,22.96,22.56,22.88,4664083
abb,13-Feb-17,22.94,22.98,22.86,22.94,2427720
abb,14-Feb-17,22.92,22.92,22.71,22.82,1233030
abb,15-Feb-17,22.68,22.94,22.68,22.93,1987499
abb,16-Feb-17,22.96,23.03,22.94,23.01,1159777
abb,17-Feb-17,22.74,22.83,22.69,22.82,1859657
abb,21-Feb-17,22.80,23.00,22.79,22.97,1849175
abb,22-Feb-17,22.83,22.91,22.73,22.82,2328105
abb,23-Feb-17,22.89,22.92,22.75,22.78,2559557
abb,24-Feb-17,22.39,22.57,22.37,22.55,1413193
abb,27-Feb-17,22.44,22.56,22.40,22.50,1951613
abb,28-Feb-17,22.58,22.69,22.53,22.55,2198142
abb,1-Mar-17,22.77,23.02,22.77,22.98,1584483
abb,2-Mar-17,22.78,22.82,22.66,22.68,1128375
abb,3-Mar-17,22.73,22.80,22.60,22.78,905961
abb,6-Mar-17,22.58,22.59,22.48,22.57,1781914
abb,7-Mar-17,22.55,22.64,22.49,22.61,1381235
abb,8-Mar-17,22.57,22.68,22.52,22.54,1581863
abb,9-Mar-17,22.32,22.39,22.24,22.36,1683974
abb,10-Mar-17,22.51,22.66,22.47,22.64,2832498
