Date,Open,High,Low,Close,Volume
31-Mar-17,92.63,93.24,92.02,92.76,4020648
30-Mar-17,92.98,93.37,92.40,93.22,3672610
29-Mar-17,92.76,93.25,92.40,92.86,2513702
28-Mar-17,91.56,93.16,91.51,92.95,3866074
27-Mar-17,90.90,91.97,90.34,91.51,3425749
24-Mar-17,92.24,93.24,91.56,92.15,3634569
23-Mar-17,92.45,93.00,91.96,92.23,2586255
22-Mar-17,92.00,93.13,91.72,92.43,5035553
21-Mar-17,95.38,95.39,92.09,92.43,7720164
20-Mar-17,93.13,95.48,92.89,95.40,6516200
17-Mar-17,92.99,93.32,92.65,92.91,7141421
16-Mar-17,93.97,94.09,92.64,92.85,3717911
15-Mar-17,92.37,93.79,92.06,93.36,6434599
14-Mar-17,91.22,92.00,90.62,91.86,5781058
13-Mar-17,93.33,93.53,92.26,92.64,4376144
10-Mar-17,91.89,93.10,90.81,92.31,7168974
9-Mar-17,92.45,93.22,90.41,91.39,9260934
8-Mar-17,94.10,95.48,92.86,93.23,9370375
7-Mar-17,95.65,96.23,94.76,95.93,4683089
6-Mar-17,94.32,95.94,94.10,95.66,4706107
3-Mar-17,94.36,95.90,94.21,95.12,8178213
2-Mar-17,98.49,98.73,92.84,94.36,23059151
1-Mar-17,98.20,98.97,97.43,98.58,5564894
28-Feb-17,97.24,97.60,96.44,96.66,3951691
27-Feb-17,95.48,97.52,95.12,97.44,5444968
24-Feb-17,94.86,95.50,93.50,95.48,5018244
23-Feb-17,98.44,98.50,95.12,95.55,6024786
22-Feb-17,98.04,98.73,97.62,98.20,3031129
21-Feb-17,98.87,99.20,97.92,98.10,3916568
17-Feb-17,98.07,98.95,97.54,98.85,3631547
16-Feb-17,99.05,99.07,97.80,98.26,3062422
15-Feb-17,98.11,99.02,98.00,99.02,4325979
14-Feb-17,98.29,98.74,97.26,98.09,4342641
13-Feb-17,97.69,99.04,97.16,98.50,6995085
10-Feb-17,94.87,96.62,94.50,96.31,5600224
9-Feb-17,93.06,94.18,92.69,93.96,3994308
8-Feb-17,93.00,93.00,92.11,92.91,4083514
7-Feb-17,94.32,94.92,93.02,93.31,4995605
6-Feb-17,92.81,93.12,92.43,92.87,4621278
3-Feb-17,94.32,94.45,92.81,93.28,4677910
2-Feb-17,94.77,95.13,93.50,93.77,3807479
1-Feb-17,95.81,96.52,94.40,95.11,3582499
31-Jan-17,96.59,96.63,94.59,95.66,5724663
30-Jan-17,98.40,98.59,96.57,96.79,5221787
27-Jan-17,97.69,99.46,97.50,98.99,6371428
26-Jan-17,98.45,98.98,96.02,97.22,9097281
25-Jan-17,97.82,98.59,97.32,98.15,7557915
24-Jan-17,95.02,96.73,94.80,96.24,5768201
23-Jan-17,94.60,94.74,93.56,94.46,3254899
20-Jan-17,94.01,95.00,93.62,94.58,5045228
19-Jan-17,93.58,93.98,92.96,93.38,3540068
18-Jan-17,92.79,93.42,92.53,93.33,3425712
17-Jan-17,94.24,94.29,93.22,93.57,5040301
13-Jan-17,94.07,94.62,93.68,94.48,2609480
12-Jan-17,94.37,94.37,92.78,93.99,3102819
11-Jan-17,94.47,94.75,93.39,94.65,3720504
10-Jan-17,92.98,94.44,92.77,93.83,3980193
9-Jan-17,92.93,93.49,92.20,92.37,3095018
6-Jan-17,93.45,93.60,92.41,93.04,4023073
5-Jan-17,93.18,94.46,92.42,93.00,4698750
4-Jan-17,94.46,94.50,93.43,93.57,3772050
3-Jan-17,94.00,95.19,93.25,93.99,5054885
30-Dec-16,93.04,93.25,92.33,92.74,3471158
29-Dec-16,93.28,93.85,93.00,93.29,2387183
28-Dec-16,94.60,94.90,92.82,93.15,2700257
27-Dec-16,94.34,94.80,94.10,94.55,1735397
23-Dec-16,93.79,94.40,93.64,94.32,1545895
22-Dec-16,93.78,94.45,93.72,94.12,2534883
21-Dec-16,94.26,94.30,93.68,93.82,2829309
20-Dec-16,93.64,94.83,93.30,94.34,4302415
19-Dec-16,91.93,92.78,91.00,92.71,3856324
16-Dec-16,94.35,94.48,92.53,92.58,7872713
15-Dec-16,93.80,94.73,93.05,94.53,4200139
14-Dec-16,95.77,96.00,93.61,93.74,5647437
13-Dec-16,95.74,96.50,95.18,96.02,3803344
12-Dec-16,96.01,96.65,94.91,95.08,3597051
9-Dec-16,96.23,96.30,95.19,95.53,6550220
8-Dec-16,97.26,97.40,96.13,96.27,3861626
7-Dec-16,95.25,97.33,94.93,97.33,4901054
6-Dec-16,94.10,95.31,94.07,95.22,3663143
5-Dec-16,95.87,95.99,94.15,94.45,4980335
2-Dec-16,95.36,96.15,94.93,95.14,5038257
1-Dec-16,96.00,97.39,94.05,96.24,9361618
30-Nov-16,95.75,95.90,94.35,95.56,4641863
29-Nov-16,94.00,94.57,93.63,94.04,3806021
28-Nov-16,95.51,95.86,94.47,94.90,4916004
25-Nov-16,95.96,96.44,95.21,95.81,2006880
