Date,Open,High,Low,Close,Volume
31-Mar-17,270.47,270.47,267.60,267.60,1214444
30-Mar-17,268.56,270.93,268.21,270.54,562507
29-Mar-17,268.92,268.92,267.26,268.24,814143
28-Mar-17,266.63,270.79,266.02,269.12,1021333
27-Mar-17,265.65,267.88,264.04,267.16,994391
24-Mar-17,269.83,269.98,266.72,267.42,870501
23-Mar-17,269.42,271.47,268.98,269.50,804297
22-Mar-17,268.83,270.28,267.91,269.42,1021193
21-Mar-17,272.35,273.02,268.36,269.00,1359584
20-Mar-17,272.16,274.57,271.62,272.03,1324995
17-Mar-17,268.78,272.18,268.30,271.98,2127652
16-Mar-17,270.68,270.68,267.13,267.94,982178
15-Mar-17,268.00,269.87,267.75,269.44,748495
14-Mar-17,268.93,269.15,267.38,268.00,701651
13-Mar-17,268.51,269.26,268.00,269.19,819126
10-Mar-17,269.90,269.90,267.27,268.66,687343
9-Mar-17,268.00,269.00,267.54,268.68,729460
8-Mar-17,269.00,269.04,267.31,267.72,820093
7-Mar-17,267.31,269.38,267.30,269.04,884634
6-Mar-17,267.43,268.48,266.80,267.72,778302
3-Mar-17,267.07,268.33,266.25,267.76,772421
2-Mar-17,269.00,269.00,266.22,266.99,954181
1-Mar-17,269.09,270.00,267.33,268.38,1125601
28-Feb-17,269.64,269.72,266.45,266.58,2049434
27-Feb-17,265.00,270.00,264.20,269.36,1500444
24-Feb-17,264.57,266.00,263.18,266.00,929225
23-Feb-17,266.31,266.31,263.77,264.85,1008277
22-Feb-17,265.00,266.02,264.21,265.92,712715
21-Feb-17,264.81,266.07,264.19,265.66,957257
17-Feb-17,264.71,265.43,263.50,265.35,882742
16-Feb-17,263.92,265.40,262.73,265.33,859021
15-Feb-17,262.00,263.76,261.07,263.46,1063803
14-Feb-17,262.19,263.16,261.85,262.56,824197
13-Feb-17,261.05,263.11,261.02,262.35,906759
10-Feb-17,258.48,260.92,258.00,260.55,749403
9-Feb-17,256.80,259.04,256.80,258.20,869679
8-Feb-17,256.93,257.81,256.40,256.74,973415
7-Feb-17,256.00,257.30,255.58,256.37,977790
6-Feb-17,254.43,257.07,254.11,255.31,980820
3-Feb-17,252.67,256.46,251.50,254.46,1803657
2-Feb-17,250.90,252.16,250.34,251.97,1045748
1-Feb-17,250.83,252.56,249.98,250.90,1210386
31-Jan-17,252.32,252.50,249.96,251.33,1276311
30-Jan-17,254.33,256.28,251.88,252.83,1537362
27-Jan-17,254.98,259.12,250.13,253.50,2597749
26-Jan-17,250.00,254.99,249.55,254.97,1956738
25-Jan-17,253.06,254.33,248.00,251.00,2329854
24-Jan-17,250.38,253.45,249.02,252.91,2984999
23-Jan-17,258.15,259.74,255.02,257.48,1606287
20-Jan-17,257.96,258.08,256.10,257.73,1184433
19-Jan-17,255.57,257.44,255.19,257.03,1076458
18-Jan-17,254.10,254.73,252.94,254.07,925341
17-Jan-17,253.46,254.34,252.06,254.12,1431482
13-Jan-17,252.74,255.95,252.02,254.53,1162023
12-Jan-17,254.91,255.33,251.31,252.62,1153409
11-Jan-17,256.30,257.00,251.71,255.13,1613810
10-Jan-17,258.16,258.96,256.17,256.17,1146353
9-Jan-17,258.00,258.99,257.43,257.81,1067126
6-Jan-17,255.48,258.57,255.48,257.85,1246437
5-Jan-17,254.37,258.02,254.10,255.98,1279448
4-Jan-17,254.10,254.90,253.34,253.99,1077649
3-Jan-17,251.20,254.11,250.76,253.31,1667668
30-Dec-16,250.53,251.32,248.78,249.94,1058246
29-Dec-16,250.19,251.92,249.45,250.59,900899
28-Dec-16,250.44,251.00,248.52,249.58,1007706
27-Dec-16,250.78,251.75,250.20,250.86,788812
23-Dec-16,248.17,251.88,247.01,249.59,2087062
22-Dec-16,252.01,253.50,251.10,252.80,831089
21-Dec-16,254.50,254.50,252.28,252.52,819578
20-Dec-16,252.18,253.78,252.10,253.73,900193
19-Dec-16,249.54,252.46,249.54,252.18,1045618
16-Dec-16,251.28,252.79,249.03,250.08,2138087
15-Dec-16,252.34,253.31,250.41,250.65,1855577
14-Dec-16,252.31,254.83,252.08,252.30,1844932
13-Dec-16,254.67,255.50,250.12,251.69,2519206
12-Dec-16,251.78,253.70,245.50,253.11,7080271
9-Dec-16,258.60,260.22,258.06,259.53,1546118
8-Dec-16,266.38,266.38,258.61,259.25,2767329
7-Dec-16,266.07,267.00,264.35,266.38,1269400
6-Dec-16,265.83,266.80,264.01,266.00,1145873
5-Dec-16,268.95,269.90,266.31,266.93,1270311
2-Dec-16,266.58,268.15,266.01,267.62,1090977
