Date,Open,High,Low,Close,Volume
31-Mar-17,112.50,112.63,111.85,112.21,2483734
30-Mar-17,111.96,112.66,111.85,112.45,1481596
29-Mar-17,112.55,112.55,111.91,112.06,1998809
28-Mar-17,111.41,113.15,111.32,112.74,3257682
27-Mar-17,111.08,111.93,110.45,111.83,2490820
24-Mar-17,111.98,112.28,111.33,111.80,2249660
23-Mar-17,111.93,112.45,111.56,111.84,2288027
22-Mar-17,112.37,112.42,111.42,111.93,2127037
21-Mar-17,113.66,114.15,111.98,112.16,3572132
20-Mar-17,113.40,114.08,112.83,113.51,3057832
17-Mar-17,112.68,113.95,112.27,113.45,7442342
16-Mar-17,112.77,113.22,111.94,112.34,2933831
15-Mar-17,112.12,113.30,111.87,113.08,3169053
14-Mar-17,111.88,112.17,111.55,111.83,2195323
13-Mar-17,112.56,112.73,111.96,112.31,2976331
10-Mar-17,112.39,112.58,111.29,112.14,3220155
9-Mar-17,111.87,112.34,107.05,111.93,2919791
8-Mar-17,112.48,112.66,111.65,111.75,2585009
7-Mar-17,111.86,112.41,111.50,112.28,2457237
6-Mar-17,111.83,112.30,111.54,111.66,3772184
3-Mar-17,112.83,113.43,112.17,112.34,3108508
2-Mar-17,113.83,114.04,112.63,112.69,2880797
1-Mar-17,113.64,114.44,113.46,113.68,5085491
28-Feb-17,112.97,113.19,112.34,112.55,2942507
27-Feb-17,112.59,112.97,112.03,112.81,2731362
24-Feb-17,111.82,112.69,111.75,112.46,2917947
23-Feb-17,112.70,112.88,111.97,112.09,3471711
22-Feb-17,112.35,112.71,111.72,112.66,2205614
21-Feb-17,112.19,112.80,112.04,112.50,2136895
17-Feb-17,111.93,112.33,111.61,112.15,2531804
16-Feb-17,112.14,112.33,111.81,112.07,2802060
15-Feb-17,111.13,112.08,111.06,111.91,2624996
14-Feb-17,111.99,112.32,111.45,111.57,2771931
13-Feb-17,111.61,112.10,111.42,112.02,2831001
10-Feb-17,110.25,111.26,110.08,111.05,2679214
9-Feb-17,110.28,110.72,110.00,110.09,2653958
8-Feb-17,111.09,111.09,110.35,110.40,2073053
7-Feb-17,111.38,111.73,110.96,111.25,2774432
6-Feb-17,109.81,111.25,109.68,110.68,4229572
3-Feb-17,108.53,109.78,108.50,109.65,3411707
2-Feb-17,108.08,108.68,106.85,108.36,4714506
1-Feb-17,109.63,109.90,107.90,108.18,4670143
31-Jan-17,109.04,109.81,108.39,109.67,3945675
30-Jan-17,109.31,109.60,108.25,109.17,2909899
