Date,Open,High,Low,Close,Volume
31-Mar-17,47.37,47.81,47.23,47.59,464219
30-Mar-17,47.36,47.46,46.93,47.46,287058
29-Mar-17,47.45,47.74,47.07,47.38,515152
28-Mar-17,47.25,47.58,46.89,47.55,505714
27-Mar-17,47.84,48.30,47.08,47.25,613956
24-Mar-17,47.99,48.49,47.98,48.07,485042
23-Mar-17,47.66,48.51,47.37,47.96,715265
22-Mar-17,47.41,47.68,46.79,47.67,1113937
21-Mar-17,47.47,47.51,47.07,47.20,487430
20-Mar-17,47.41,47.50,47.11,47.31,257656
17-Mar-17,47.05,47.70,46.91,47.36,906498
16-Mar-17,47.28,47.57,46.92,47.07,489248
15-Mar-17,46.19,47.64,46.10,47.33,573001
14-Mar-17,46.00,46.05,45.36,45.96,568392
13-Mar-17,45.73,46.17,45.68,46.04,1101379
10-Mar-17,46.84,47.12,45.46,45.73,1174480
9-Mar-17,47.29,47.48,46.00,46.43,948953
8-Mar-17,48.08,48.12,47.29,47.29,572264
7-Mar-17,48.70,48.70,48.20,48.32,612190
6-Mar-17,49.07,49.19,48.57,48.69,805158
3-Mar-17,49.62,49.75,48.95,49.30,658980
2-Mar-17,50.35,50.35,49.17,50.00,1024852
1-Mar-17,50.82,50.86,50.24,50.50,1113220
28-Feb-17,51.38,51.41,51.02,51.10,735867
27-Feb-17,51.41,51.70,51.06,51.34,493800
24-Feb-17,50.81,51.43,50.55,51.43,437050
23-Feb-17,50.03,50.84,49.65,50.73,619040
22-Feb-17,49.97,50.38,49.22,49.99,516453
21-Feb-17,49.35,50.33,49.26,50.22,510984
17-Feb-17,49.64,49.81,48.96,49.61,659524
16-Feb-17,49.28,49.81,49.27,49.58,335533
15-Feb-17,48.82,49.43,48.39,49.31,591313
14-Feb-17,49.12,49.28,48.33,49.18,623023
13-Feb-17,49.31,49.49,48.60,49.08,620972
10-Feb-17,48.88,49.30,48.88,49.25,619247
9-Feb-17,49.13,49.22,48.39,48.93,752822
8-Feb-17,48.53,49.17,48.32,49.16,628198
7-Feb-17,48.43,48.62,48.24,48.39,491786
6-Feb-17,48.40,48.49,47.93,48.35,575783
3-Feb-17,48.67,48.88,48.21,48.34,652097
2-Feb-17,47.40,48.24,47.33,48.22,763095
1-Feb-17,48.36,48.86,47.44,47.63,771060
31-Jan-17,48.45,49.12,48.35,48.62,612702
30-Jan-17,48.42,48.69,47.99,48.31,502982
27-Jan-17,49.40,49.71,48.51,48.56,468629
26-Jan-17,49.44,49.89,49.24,49.38,539090
25-Jan-17,50.85,51.20,49.24,49.38,879780
24-Jan-17,50.85,51.02,50.54,50.90,738340
23-Jan-17,50.13,50.82,49.89,50.78,645251
20-Jan-17,49.60,50.06,49.52,50.05,635433
19-Jan-17,49.68,50.04,49.34,49.59,422119
18-Jan-17,50.13,50.20,49.84,49.94,412498
17-Jan-17,49.39,50.12,49.19,50.11,756577
13-Jan-17,49.11,49.69,49.00,49.49,571073
12-Jan-17,49.18,49.27,48.64,49.25,523607
