Date,Open,High,Low,Close,Volume
31-Mar-17,47.83,48.27,47.71,47.96,147708
30-Mar-17,47.62,47.90,47.35,47.86,70494
29-Mar-17,47.29,47.66,47.18,47.63,115407
28-Mar-17,47.71,47.89,47.24,47.82,128391
27-Mar-17,47.89,48.63,47.47,47.77,264907
24-Mar-17,48.03,48.32,47.77,48.14,238458
23-Mar-17,47.22,48.42,47.22,48.00,324008
22-Mar-17,47.95,48.31,46.74,47.31,410759
21-Mar-17,48.31,48.35,47.76,47.86,127319
20-Mar-17,48.21,48.40,47.87,48.13,129834
17-Mar-17,47.74,48.32,47.56,48.22,237220
16-Mar-17,47.58,48.03,47.45,47.75,100121
15-Mar-17,46.87,47.89,46.77,47.61,190969
14-Mar-17,46.46,46.83,46.31,46.68,80346
13-Mar-17,46.42,47.01,46.34,46.71,144032
10-Mar-17,46.61,46.96,46.05,46.41,106456
9-Mar-17,46.73,47.39,46.07,46.24,147663
8-Mar-17,47.77,48.20,46.64,46.73,186012
7-Mar-17,48.14,48.42,47.90,48.13,83138
6-Mar-17,48.48,48.48,47.50,48.30,143498
3-Mar-17,48.78,48.86,47.57,48.84,187601
2-Mar-17,48.96,49.12,48.54,48.68,166963
1-Mar-17,49.44,49.90,48.54,49.14,248699
28-Feb-17,49.91,50.16,49.44,49.63,304580
27-Feb-17,50.15,51.10,50.04,50.08,233988
24-Feb-17,48.96,50.97,48.72,50.74,269758
23-Feb-17,49.19,49.19,48.25,48.62,139895
22-Feb-17,49.45,49.89,48.05,48.91,290404
21-Feb-17,48.66,49.72,48.52,49.52,314441
17-Feb-17,48.31,48.75,48.02,48.68,473460
16-Feb-17,47.99,48.44,47.81,48.10,284681
15-Feb-17,47.34,48.06,46.98,47.87,183509
14-Feb-17,47.95,48.06,47.20,47.75,128945
13-Feb-17,48.22,48.40,47.66,48.16,122491
10-Feb-17,47.24,48.17,47.22,48.05,105091
9-Feb-17,46.90,47.78,46.54,47.52,123992
8-Feb-17,47.04,47.43,46.70,47.08,114040
7-Feb-17,46.91,47.15,46.64,46.73,130395
6-Feb-17,46.91,47.22,46.68,46.87,113396
3-Feb-17,47.06,47.32,46.75,46.87,120111
2-Feb-17,46.57,47.09,46.49,46.69,122013
1-Feb-17,46.64,47.49,45.94,46.31,160516
31-Jan-17,46.26,47.26,46.26,46.90,206862
30-Jan-17,46.17,46.62,45.75,46.33,197369
27-Jan-17,46.78,46.78,45.89,46.29,216453
26-Jan-17,46.31,46.63,46.08,46.60,228351
25-Jan-17,46.92,47.10,46.35,46.58,226334
24-Jan-17,46.55,47.04,46.55,46.93,149987
23-Jan-17,45.99,46.75,45.94,46.69,104218
20-Jan-17,45.10,46.03,44.95,45.99,169219
19-Jan-17,45.90,45.99,45.14,45.23,147155
18-Jan-17,46.01,46.61,45.88,46.19,275977
17-Jan-17,45.86,46.49,45.68,46.13,170557
13-Jan-17,45.80,46.09,45.59,45.79,101042
12-Jan-17,46.06,46.06,45.22,45.91,168357
11-Jan-17,45.75,46.11,45.26,45.81,135816
10-Jan-17,45.80,46.19,45.40,45.71,337035
9-Jan-17,46.48,46.78,45.92,45.93,191537
6-Jan-17,46.51,47.17,46.28,46.41,221968
5-Jan-17,45.50,47.22,44.75,47.07,269523
4-Jan-17,46.45,47.43,46.32,47.25,191413
3-Jan-17,46.29,46.41,45.53,46.21,180743
30-Dec-16,45.22,46.18,45.22,46.05,155174
29-Dec-16,44.25,45.09,43.98,45.09,223129
28-Dec-16,44.71,44.71,43.69,43.94,123326
27-Dec-16,44.54,45.12,44.33,44.61,179407
23-Dec-16,45.05,45.08,44.62,44.76,136327
22-Dec-16,44.39,44.69,43.66,44.66,162412
21-Dec-16,45.41,45.96,44.79,44.80,220777
20-Dec-16,45.60,46.43,45.60,46.01,247879
19-Dec-16,44.89,46.12,44.65,46.06,225975
16-Dec-16,43.66,44.67,43.66,44.62,883451
15-Dec-16,43.90,44.32,43.12,43.30,189855
14-Dec-16,45.74,45.90,43.92,43.99,252436
13-Dec-16,45.99,46.17,45.31,45.72,189492
12-Dec-16,45.36,45.83,45.01,45.78,149008
9-Dec-16,44.85,46.06,44.85,45.59,152401
8-Dec-16,44.81,44.92,44.15,44.89,262788
7-Dec-16,44.96,45.89,44.96,45.28,237400
6-Dec-16,44.36,45.02,44.34,44.63,154268
5-Dec-16,44.52,44.61,44.18,44.34,183730
2-Dec-16,45.16,45.50,44.04,44.64,198222
1-Dec-16,44.50,45.00,43.71,43.99,225726
30-Nov-16,45.10,45.28,44.32,44.89,227808
29-Nov-16,44.91,45.74,44.79,45.47,178337
28-Nov-16,44.48,45.00,44.48,44.97,153907
25-Nov-16,44.34,44.76,44.20,44.55,46243
23-Nov-16,43.86,44.27,43.53,44.19,112563
22-Nov-16,43.46,44.55,43.25,44.31,173156
21-Nov-16,43.90,44.16,43.08,43.20,140476
18-Nov-16,43.16,43.76,42.94,43.59,332990
17-Nov-16,43.46,44.18,42.88,43.01,201641
16-Nov-16,42.70,43.23,42.29,43.16,284708
15-Nov-16,42.72,43.29,42.41,42.70,377284
14-Nov-16,43.03,43.25,41.01,42.54,647863
11-Nov-16,42.51,43.57,42.44,43.22,411269
10-Nov-16,45.79,45.79,42.38,42.44,619795
9-Nov-16,46.15,46.74,45.18,45.74,271522
8-Nov-16,46.84,47.34,46.84,47.06,158102
7-Nov-16,46.42,46.95,46.13,46.91,225090
4-Nov-16,46.45,46.45,45.58,45.87,340800
3-Nov-16,46.20,46.38,45.72,46.07,275505
2-Nov-16,46.84,47.04,46.24,46.25,335011
1-Nov-16,48.36,48.53,46.81,46.85,429234
31-Oct-16,47.39,48.43,47.26,48.35,461344
28-Oct-16,47.60,47.69,46.77,47.14,588556
27-Oct-16,49.01,49.42,47.14,47.40,642815
26-Oct-16,48.30,49.45,48.30,49.25,1418073
25-Oct-16,47.97,48.88,47.40,48.55,178450
24-Oct-16,48.21,48.66,47.96,48.23,85021
21-Oct-16,47.73,48.23,47.73,47.96,125340
20-Oct-16,47.82,48.29,47.58,48.16,190224
19-Oct-16,47.61,48.12,47.39,47.95,140757
18-Oct-16,47.61,47.82,47.34,47.59,177922
17-Oct-16,47.03,47.84,46.86,47.39,163138
14-Oct-16,47.14,47.28,46.34,46.82,288127
