Date,Open,High,Low,Close,Volume
31-Mar-17,6.39,6.44,6.32,6.37,988198
30-Mar-17,6.32,6.38,6.20,6.36,918138
29-Mar-17,5.86,6.38,5.82,6.32,3488157
28-Mar-17,5.81,5.86,5.68,5.85,1243627
27-Mar-17,5.85,5.90,5.75,5.80,1204543
24-Mar-17,5.87,5.92,5.80,5.85,856340
23-Mar-17,5.82,5.94,5.82,5.83,1268135
22-Mar-17,6.08,6.16,5.80,5.85,1236710
21-Mar-17,6.05,6.10,5.80,5.90,854174
20-Mar-17,6.25,6.25,6.02,6.05,807786
17-Mar-17,6.24,6.28,6.17,6.26,1482025
16-Mar-17,6.23,6.35,6.18,6.24,759238
15-Mar-17,6.15,6.29,6.09,6.23,913144
14-Mar-17,6.04,6.17,5.94,6.12,519406
13-Mar-17,6.07,6.19,6.04,6.07,572328
10-Mar-17,6.23,6.25,6.07,6.08,553708
9-Mar-17,6.30,6.35,6.09,6.11,1237061
8-Mar-17,6.48,6.54,6.25,6.30,878075
7-Mar-17,6.50,6.52,6.35,6.49,971970
6-Mar-17,6.43,6.54,6.35,6.49,726526
3-Mar-17,6.40,6.46,6.22,6.46,1073021
2-Mar-17,6.53,6.56,6.35,6.39,902609
1-Mar-17,6.59,6.74,6.54,6.55,935952
28-Feb-17,6.87,6.89,6.56,6.57,1278323
27-Feb-17,6.56,6.93,6.53,6.80,1679791
24-Feb-17,7.27,7.27,6.32,6.41,3020851
23-Feb-17,7.55,7.55,7.28,7.37,1045814
22-Feb-17,7.61,7.68,7.45,7.50,930599
21-Feb-17,7.55,7.74,7.51,7.58,1331861
17-Feb-17,7.73,7.75,7.55,7.65,900919
16-Feb-17,7.78,7.90,7.65,7.68,356970
15-Feb-17,7.74,7.84,7.66,7.80,366788
14-Feb-17,7.72,7.80,7.65,7.79,381298
13-Feb-17,7.80,7.85,7.74,7.77,280949
10-Feb-17,7.71,7.84,7.67,7.81,475752
9-Feb-17,7.71,7.73,7.63,7.67,298973
8-Feb-17,7.67,7.70,7.56,7.68,400681
7-Feb-17,7.77,7.85,7.63,7.66,360841
6-Feb-17,7.94,7.94,7.68,7.72,473520
3-Feb-17,7.70,7.98,7.66,7.97,605228
2-Feb-17,7.51,7.62,7.45,7.60,492144
1-Feb-17,7.64,7.83,7.49,7.52,484898
31-Jan-17,7.71,7.75,7.51,7.60,549926
30-Jan-17,8.15,8.15,7.71,7.71,643574
27-Jan-17,8.23,8.23,8.02,8.22,645598
26-Jan-17,7.98,8.20,7.94,8.19,583389
25-Jan-17,7.88,8.08,7.85,7.94,413021
24-Jan-17,7.68,7.93,7.61,7.86,584601
23-Jan-17,7.62,7.72,7.60,7.68,506631
20-Jan-17,7.60,7.77,7.58,7.60,263998
19-Jan-17,7.74,7.78,7.50,7.60,461002
18-Jan-17,7.72,7.78,7.62,7.75,349698
17-Jan-17,7.75,7.78,7.64,7.70,390593
13-Jan-17,7.66,7.83,7.64,7.70,579137
12-Jan-17,7.80,7.81,7.50,7.63,675410
11-Jan-17,7.71,7.89,7.66,7.82,695425
10-Jan-17,7.69,7.96,7.64,7.87,699756
9-Jan-17,7.75,7.76,7.56,7.70,806219
6-Jan-17,7.80,7.85,7.53,7.76,640753
5-Jan-17,7.82,7.92,7.76,7.81,517202
4-Jan-17,7.59,7.93,7.50,7.93,762254
3-Jan-17,7.78,7.94,7.76,7.92,639924
30-Dec-16,7.69,7.78,7.54,7.76,593557
29-Dec-16,7.60,7.77,7.60,7.63,522257
28-Dec-16,7.63,7.77,7.54,7.61,399746
27-Dec-16,7.79,7.84,7.73,7.76,526453
23-Dec-16,7.70,7.78,7.58,7.77,345129
22-Dec-16,7.65,7.74,7.56,7.65,425300
21-Dec-16,7.83,7.87,7.58,7.65,852892
20-Dec-16,7.71,7.84,7.69,7.80,682611
19-Dec-16,7.53,7.70,7.53,7.65,613641
16-Dec-16,7.44,7.57,7.43,7.47,1796209
15-Dec-16,7.26,7.46,7.21,7.36,642647
14-Dec-16,7.48,7.61,7.22,7.24,1190193
13-Dec-16,7.66,7.73,7.41,7.50,599548
12-Dec-16,7.81,7.82,7.51,7.63,728343
9-Dec-16,7.75,7.82,7.67,7.77,735218
8-Dec-16,7.79,7.91,7.66,7.75,735081
7-Dec-16,7.45,7.84,7.42,7.79,871636
6-Dec-16,7.22,7.56,7.18,7.45,705144
5-Dec-16,7.08,7.27,7.05,7.22,624792
2-Dec-16,7.20,7.23,7.01,7.01,526821
1-Dec-16,7.07,7.24,6.99,7.18,931446
30-Nov-16,6.90,7.06,6.82,7.03,855227
29-Nov-16,6.75,7.00,6.74,6.89,855347
28-Nov-16,6.73,6.80,6.66,6.67,431174
25-Nov-16,6.71,6.80,6.69,6.77,112602
23-Nov-16,6.70,6.77,6.59,6.72,286907
22-Nov-16,6.60,6.71,6.56,6.70,348961
21-Nov-16,6.59,6.65,6.48,6.54,308994
18-Nov-16,6.52,6.55,6.44,6.49,404626
17-Nov-16,6.58,6.68,6.44,6.52,349047
16-Nov-16,6.47,6.59,6.47,6.59,451870
15-Nov-16,6.63,6.64,6.38,6.50,414618
14-Nov-16,6.28,6.62,6.25,6.61,687065
11-Nov-16,6.02,6.29,5.99,6.23,871768
10-Nov-16,6.19,6.19,5.84,5.99,972337
9-Nov-16,5.61,6.13,5.57,6.10,1034808
8-Nov-16,5.58,5.86,5.50,5.79,726847
7-Nov-16,5.61,5.69,5.56,5.60,933180
4-Nov-16,5.53,5.59,5.35,5.48,654476
3-Nov-16,5.58,5.62,5.50,5.52,522817
2-Nov-16,5.54,5.62,5.52,5.54,328014
1-Nov-16,5.78,5.83,5.47,5.56,650710
31-Oct-16,5.85,5.88,5.76,5.81,584035
28-Oct-16,5.81,5.93,5.78,5.81,332707
27-Oct-16,6.03,6.03,5.79,5.82,445351
26-Oct-16,6.12,6.19,6.00,6.01,278921
25-Oct-16,6.25,6.28,6.17,6.20,284823
24-Oct-16,6.29,6.41,6.22,6.29,359547
21-Oct-16,6.18,6.29,6.15,6.26,380830
20-Oct-16,6.20,6.30,6.07,6.29,503900
19-Oct-16,6.19,6.30,6.19,6.20,464197
18-Oct-16,6.11,6.28,6.07,6.21,545207
17-Oct-16,6.05,6.13,6.02,6.03,326790
14-Oct-16,6.10,6.15,5.99,6.04,930156
13-Oct-16,6.17,6.27,5.99,6.10,841781
12-Oct-16,5.86,6.06,5.84,6.00,420378
11-Oct-16,5.92,5.93,5.80,5.86,658878
