Date,Open,High,Low,Close,Volume
31-Mar-17,29.85,30.16,29.85,30.06,710403
30-Mar-17,29.75,29.96,29.43,29.90,355145
29-Mar-17,29.69,29.82,29.43,29.73,404287
28-Mar-17,29.70,29.93,29.52,29.90,523999
27-Mar-17,30.29,30.39,29.62,29.73,462978
24-Mar-17,30.03,30.48,30.03,30.33,426483
23-Mar-17,29.76,30.33,29.64,30.02,719884
22-Mar-17,30.53,30.53,29.33,29.76,876494
21-Mar-17,30.67,30.77,30.36,30.53,550928
20-Mar-17,30.93,30.99,30.61,30.65,430046
17-Mar-17,30.84,30.97,30.57,30.86,1957721
16-Mar-17,31.21,31.31,30.93,30.94,455041
15-Mar-17,30.51,31.31,30.47,31.14,542778
14-Mar-17,29.82,30.44,29.80,30.30,412877
13-Mar-17,29.53,30.08,29.52,29.92,626103
10-Mar-17,29.64,29.85,29.23,29.48,774354
9-Mar-17,30.26,30.42,29.48,29.65,874814
8-Mar-17,30.61,30.83,30.12,30.25,587644
7-Mar-17,31.56,31.62,31.02,31.05,449626
6-Mar-17,31.73,31.85,31.45,31.69,410588
3-Mar-17,32.00,32.04,31.10,31.90,739475
2-Mar-17,31.77,32.19,31.57,31.96,925626
1-Mar-17,31.90,32.06,31.71,31.76,630793
28-Feb-17,32.48,32.52,31.85,32.03,532387
27-Feb-17,32.70,32.89,32.44,32.61,511505
24-Feb-17,32.71,32.81,32.45,32.62,604730
23-Feb-17,32.46,32.74,32.18,32.74,703101
22-Feb-17,32.43,32.58,31.99,32.26,289915
21-Feb-17,31.72,32.50,31.59,32.47,568651
17-Feb-17,31.78,31.85,31.36,31.76,675057
16-Feb-17,31.40,31.91,31.39,31.66,581164
15-Feb-17,31.55,31.75,30.90,31.40,989813
14-Feb-17,32.41,32.45,31.83,31.91,332047
13-Feb-17,32.66,32.74,32.31,32.52,354233
10-Feb-17,32.13,32.66,32.13,32.62,244486
9-Feb-17,32.03,32.28,32.01,32.22,195212
8-Feb-17,31.78,32.09,31.69,31.99,164507
7-Feb-17,32.06,32.18,31.70,31.78,366031
6-Feb-17,32.25,32.35,31.90,32.03,272303
3-Feb-17,32.27,32.32,31.82,32.15,445493
2-Feb-17,31.42,31.84,31.36,31.82,284935
1-Feb-17,31.74,32.10,31.32,31.42,280226
31-Jan-17,31.60,32.15,31.60,31.84,475417
30-Jan-17,31.29,31.51,31.04,31.50,501668
27-Jan-17,31.80,31.80,31.11,31.36,579727
26-Jan-17,31.73,31.96,31.64,31.76,391262
25-Jan-17,32.11,32.18,31.54,31.72,484660
24-Jan-17,32.01,32.19,31.82,32.07,613503
23-Jan-17,31.87,32.12,31.87,32.03,391769
20-Jan-17,31.64,31.94,31.64,31.90,237857
19-Jan-17,32.03,32.09,31.59,31.72,386990
18-Jan-17,32.39,32.48,32.12,32.19,383690
17-Jan-17,32.20,32.41,32.10,32.37,231897
13-Jan-17,32.20,32.36,31.95,32.03,243566
12-Jan-17,31.98,32.27,31.77,32.20,604025
11-Jan-17,32.38,32.59,31.97,32.02,297513
10-Jan-17,32.36,32.43,32.15,32.28,389136
9-Jan-17,33.11,33.11,32.26,32.36,448643
6-Jan-17,33.28,33.45,33.04,33.07,311010
5-Jan-17,33.10,33.37,32.89,33.33,278884
4-Jan-17,32.72,33.38,32.72,33.35,554377
3-Jan-17,32.65,32.86,32.42,32.62,636700
30-Dec-16,32.05,32.80,32.02,32.68,506748
29-Dec-16,31.68,32.15,31.56,32.12,423297
28-Dec-16,31.92,31.92,31.31,31.66,420261
27-Dec-16,32.20,32.29,32.04,32.14,203904
23-Dec-16,32.15,32.24,31.95,32.16,198144
22-Dec-16,32.15,32.15,31.71,32.07,387777
21-Dec-16,32.84,33.09,32.18,32.22,756874
20-Dec-16,32.81,33.00,32.46,32.77,353216
19-Dec-16,32.79,33.04,32.65,32.79,433604
16-Dec-16,32.10,32.80,31.97,32.50,2329483
15-Dec-16,32.10,32.49,31.78,31.93,668385
14-Dec-16,33.24,33.47,32.07,32.11,588862
13-Dec-16,33.43,33.83,33.06,33.28,596126
12-Dec-16,33.63,34.02,33.45,33.60,648205
9-Dec-16,33.95,34.30,33.67,33.83,350420
8-Dec-16,33.53,34.14,33.45,33.91,395449
7-Dec-16,33.30,33.96,33.30,33.88,399868
6-Dec-16,33.14,33.45,32.80,33.20,420704
5-Dec-16,33.02,33.14,32.74,33.09,397641
2-Dec-16,32.93,33.32,32.74,32.98,311367
1-Dec-16,32.86,33.00,32.45,32.68,398139
30-Nov-16,32.96,33.30,32.72,33.06,406294
29-Nov-16,33.36,33.78,33.31,33.45,357292
28-Nov-16,33.40,33.88,33.26,33.41,364888
25-Nov-16,33.40,33.67,33.21,33.46,117937
23-Nov-16,32.98,33.33,32.81,33.32,216328
22-Nov-16,32.83,33.35,32.62,33.35,386531
21-Nov-16,33.15,33.31,32.55,32.65,478628
18-Nov-16,33.04,33.18,32.25,33.04,721577
17-Nov-16,33.24,33.57,32.93,32.93,426983
16-Nov-16,33.34,33.56,32.94,33.21,333495
15-Nov-16,33.61,33.91,33.13,33.34,250528
14-Nov-16,32.70,33.47,32.52,33.46,439706
11-Nov-16,32.43,33.23,32.36,32.70,649444
10-Nov-16,32.83,32.99,31.90,32.35,591894
9-Nov-16,32.18,32.93,31.85,32.80,514971
8-Nov-16,32.76,33.18,32.72,33.07,209343
7-Nov-16,32.56,32.85,32.43,32.71,411669
4-Nov-16,32.15,32.33,31.94,32.15,304770
3-Nov-16,31.98,32.15,31.75,32.05,1333166
2-Nov-16,32.58,32.64,31.92,31.95,432482
1-Nov-16,33.54,33.55,32.56,32.58,401820
31-Oct-16,33.42,33.71,33.28,33.69,396373
28-Oct-16,33.59,33.87,33.24,33.27,450021
27-Oct-16,34.25,34.25,33.22,33.57,1418854
26-Oct-16,34.74,34.82,34.07,34.40,600356
25-Oct-16,34.80,35.08,34.72,35.02,482946
24-Oct-16,35.22,35.46,34.86,35.07,269686
21-Oct-16,34.55,35.05,34.55,34.98,186994
20-Oct-16,34.93,35.07,34.64,34.90,201026
19-Oct-16,35.07,35.10,34.72,35.02,211361
18-Oct-16,34.94,35.16,34.73,35.00,294334
17-Oct-16,34.65,34.96,34.57,34.74,169955
14-Oct-16,34.96,35.06,34.59,34.60,211827
13-Oct-16,34.54,35.03,34.50,34.91,268387
12-Oct-16,34.17,34.71,34.14,34.67,172738
11-Oct-16,34.34,34.68,34.07,34.17,280712
10-Oct-16,34.37,34.72,34.37,34.60,237099
7-Oct-16,34.50,34.83,34.08,34.25,231292
6-Oct-16,34.24,34.53,33.90,34.30,493078
5-Oct-16,35.07,35.16,34.08,34.49,579136
4-Oct-16,35.44,35.45,34.68,34.98,249358
3-Oct-16,35.99,36.02,35.26,35.47,314861
30-Sep-16,36.62,36.70,36.08,36.24,368950
29-Sep-16,36.68,36.73,36.18,36.37,313359
28-Sep-16,36.71,36.83,36.46,36.82,270703
27-Sep-16,37.39,37.54,36.76,36.79,328946
26-Sep-16,37.03,37.38,37.03,37.28,378344
23-Sep-16,36.80,37.24,36.53,37.10,608163
22-Sep-16,36.42,36.98,36.34,36.97,398554
21-Sep-16,35.77,36.08,35.30,36.08,751273
20-Sep-16,36.02,36.10,35.75,35.76,648530
19-Sep-16,35.53,35.88,35.43,35.84,413207
16-Sep-16,35.25,35.56,35.04,35.50,1595725
15-Sep-16,35.13,35.42,34.91,35.25,317722
14-Sep-16,35.33,35.37,34.99,35.13,248510
13-Sep-16,36.11,36.13,35.07,35.18,474307
12-Sep-16,36.06,36.41,35.89,36.29,578144
9-Sep-16,36.60,36.60,35.74,36.09,1201229
8-Sep-16,37.29,37.38,37.00,37.17,311350
7-Sep-16,37.35,37.51,37.16,37.49,477156
6-Sep-16,37.07,37.40,36.72,37.40,601067
2-Sep-16,36.67,37.35,36.67,36.99,461620
1-Sep-16,36.94,37.01,36.36,36.56,588643
31-Aug-16,36.62,37.04,35.80,36.94,1746351
30-Aug-16,36.73,36.91,36.33,36.69,545831
29-Aug-16,36.70,36.97,36.58,36.74,384355
26-Aug-16,36.81,37.12,36.30,36.61,630380
25-Aug-16,36.55,36.93,36.52,36.70,537437
24-Aug-16,36.35,36.48,36.03,36.48,446393
23-Aug-16,36.49,36.60,36.20,36.38,587193
22-Aug-16,36.10,36.37,35.99,36.31,335286
19-Aug-16,36.19,36.22,35.92,36.01,685301
18-Aug-16,35.91,36.27,35.78,36.25,601387
17-Aug-16,35.92,35.92,35.47,35.87,651251
16-Aug-16,35.99,36.08,35.50,35.79,562916
15-Aug-16,36.46,36.64,36.10,36.12,617270
12-Aug-16,36.57,36.84,36.35,36.44,629861
11-Aug-16,36.03,36.83,36.03,36.40,1721505
10-Aug-16,36.71,36.97,36.53,36.89,1139633
9-Aug-16,36.07,36.72,35.66,36.57,4052238
8-Aug-16,36.54,36.80,36.22,36.27,362037
5-Aug-16,36.71,36.88,36.51,36.60,257916
4-Aug-16,36.90,36.90,36.50,36.60,223962
3-Aug-16,37.02,37.02,36.48,36.69,224401
2-Aug-16,37.55,37.74,36.90,36.97,399050
