Stock,Date,Open,High,Low,Close,Volume
acc,4-Apr-16,46.66,46.87,46.03,46.19,828917
acc,5-Apr-16,45.78,46.00,45.65,45.88,658472
acc,6-Apr-16,45.74,46.16,45.58,46.11,1047259
acc,7-Apr-16,45.94,46.30,45.72,46.26,482917
acc,8-Apr-16,46.45,46.74,46.14,46.64,567501
acc,11-Apr-16,46.69,46.82,46.18,46.21,986272
acc,12-Apr-16,46.37,46.38,46.05,46.27,828160
acc,13-Apr-16,46.56,46.56,44.92,45.24,1000754
acc,14-Apr-16,45.11,45.33,44.52,45.25,1078018
acc,15-Apr-16,45.21,45.42,45.08,45.21,947604
acc,18-Apr-16,45.23,45.49,44.88,45.22,842510
acc,19-Apr-16,45.44,45.74,45.24,45.56,662383
acc,20-Apr-16,45.68,45.68,44.42,44.49,680760
acc,21-Apr-16,44.45,44.85,43.66,43.84,1023023
acc,22-Apr-16,43.96,44.47,43.74,44.10,885791
acc,25-Apr-16,44.04,45.04,43.95,45.02,982654
acc,26-Apr-16,44.17,45.98,44.00,45.48,941572
acc,27-Apr-16,45.58,45.76,44.91,45.30,687381
acc,28-Apr-16,45.02,45.54,44.69,45.04,290027
acc,29-Apr-16,44.77,44.82,44.29,44.75,517330
acc,2-May-16,44.84,45.74,44.77,45.56,1447505
acc,3-May-16,45.55,45.70,45.26,45.63,351603
acc,4-May-16,44.92,46.80,44.81,46.20,912046
acc,5-May-16,46.38,46.84,46.15,46.55,722314
acc,6-May-16,46.30,47.25,45.71,47.25,722674
acc,9-May-16,47.20,48.02,47.18,47.99,631628
acc,10-May-16,48.02,48.30,47.53,48.05,634633
acc,11-May-16,48.04,48.04,46.78,47.26,1639590
acc,12-May-16,46.97,47.31,46.29,47.27,884278
acc,13-May-16,47.17,47.17,46.73,47.00,973351
acc,16-May-16,46.91,47.60,46.69,47.59,591281
acc,17-May-16,47.35,47.43,46.60,46.95,1262934
acc,18-May-16,46.70,47.30,46.12,47.24,1957918
acc,19-May-16,46.82,46.93,46.09,46.09,1688504
acc,20-May-16,46.25,46.43,45.99,46.28,1679779
acc,23-May-16,46.44,46.59,46.08,46.22,1493553
acc,24-May-16,46.56,46.90,46.36,46.51,1529455
acc,25-May-16,46.69,46.94,46.15,46.55,1416930
acc,26-May-16,46.48,46.78,46.33,46.42,1098230
acc,27-May-16,46.42,46.93,46.41,46.60,1011561
acc,31-May-16,46.66,47.12,46.28,47.02,2470586
acc,1-Jun-16,46.73,47.04,46.31,46.56,623781
acc,2-Jun-16,46.45,46.69,46.09,46.54,490782
acc,3-Jun-16,46.70,47.27,46.60,47.04,695035
acc,6-Jun-16,46.99,47.21,45.73,46.27,1088487
acc,7-Jun-16,46.31,46.64,46.24,46.36,499619
acc,8-Jun-16,46.25,46.74,46.06,46.66,547667
acc,9-Jun-16,46.69,47.64,46.67,47.57,795590
acc,10-Jun-16,47.34,47.89,47.22,47.65,896058
acc,13-Jun-16,47.83,48.50,47.62,48.09,1000485
acc,14-Jun-16,48.07,48.22,47.86,48.12,815110
acc,15-Jun-16,48.17,48.70,47.98,48.50,813976
acc,16-Jun-16,48.45,48.86,48.40,48.85,633540
acc,17-Jun-16,48.67,48.76,48.32,48.55,1464164
acc,20-Jun-16,48.90,49.19,48.26,48.30,498428
acc,21-Jun-16,48.30,49.11,48.30,49.09,603797
acc,22-Jun-16,49.09,49.36,48.90,49.13,538271
acc,23-Jun-16,49.45,49.70,49.27,49.51,768313
acc,24-Jun-16,48.47,50.21,48.39,49.68,1212217
acc,27-Jun-16,49.55,50.50,49.49,50.34,1188085
acc,28-Jun-16,50.68,51.62,50.35,51.62,1254129
acc,29-Jun-16,51.93,52.33,51.54,51.78,1796508
acc,30-Jun-16,51.92,52.87,51.48,52.87,1421435
acc,1-Jul-16,52.66,52.98,51.61,51.69,1262552
acc,5-Jul-16,51.74,52.85,51.74,52.76,709323
acc,6-Jul-16,52.60,53.09,52.07,52.48,868785
acc,7-Jul-16,52.47,52.62,51.46,52.09,820488
acc,8-Jul-16,52.44,52.65,52.03,52.43,828198
acc,11-Jul-16,52.73,52.84,52.06,52.58,1026347
acc,12-Jul-16,52.30,52.55,51.90,52.43,730362
acc,13-Jul-16,52.67,52.79,52.26,52.69,616004
acc,14-Jul-16,52.50,52.53,51.77,51.82,1102553
acc,15-Jul-16,51.81,51.97,51.36,51.79,699432
acc,18-Jul-16,51.54,51.95,51.47,51.60,600035
acc,19-Jul-16,51.67,52.16,51.46,52.16,450128
acc,20-Jul-16,51.96,52.09,51.72,51.89,491408
acc,21-Jul-16,51.74,52.14,51.50,52.12,746503
acc,22-Jul-16,52.00,52.92,52.00,52.64,463228
acc,25-Jul-16,52.83,52.83,52.27,52.44,578991
