Date,Open,High,Low,Close,Volume
31-Mar-17,429.35,432.75,428.45,431.86,7855
30-Mar-17,425.12,428.57,424.94,428.57,4048
29-Mar-17,426.49,426.49,422.54,425.02,5854
28-Mar-17,425.25,427.45,423.41,423.43,8823
27-Mar-17,419.15,426.15,417.50,426.15,5577
24-Mar-17,420.86,422.00,418.97,420.15,8421
23-Mar-17,425.84,426.70,420.11,420.86,6389
22-Mar-17,425.90,429.01,419.31,423.57,9503
21-Mar-17,423.20,427.52,419.62,426.73,6228
20-Mar-17,427.54,427.55,423.71,424.05,2446
17-Mar-17,432.76,432.76,425.98,427.51,6146
16-Mar-17,423.12,431.74,422.08,431.74,5573
15-Mar-17,414.00,423.87,414.00,421.85,11674
14-Mar-17,407.72,414.92,407.72,411.42,2180
13-Mar-17,406.80,408.10,406.00,408.06,10338
10-Mar-17,414.12,416.45,407.50,407.52,6183
9-Mar-17,417.00,417.04,410.63,414.70,8863
8-Mar-17,424.03,426.00,411.04,417.59,13337
7-Mar-17,428.97,428.97,421.00,424.71,4579
6-Mar-17,426.15,426.15,423.48,423.48,1590
3-Mar-17,431.70,431.75,424.22,429.86,4946
2-Mar-17,437.01,439.44,431.01,431.01,9772
1-Mar-17,435.45,440.67,435.45,439.39,3073
28-Feb-17,435.20,437.43,435.00,437.15,8974
27-Feb-17,435.48,439.22,435.48,439.22,5491
24-Feb-17,435.00,438.40,435.00,438.40,2639
23-Feb-17,440.99,440.99,437.02,439.35,3680
22-Feb-17,439.82,441.54,439.82,441.00,3984
21-Feb-17,438.30,440.42,435.68,439.94,11940
17-Feb-17,439.79,439.79,435.26,436.72,8165
16-Feb-17,425.00,438.80,425.00,435.82,14498
15-Feb-17,418.14,424.30,414.42,424.30,5625
14-Feb-17,416.00,419.78,413.23,419.78,11792
13-Feb-17,414.77,418.00,409.00,417.98,10191
10-Feb-17,418.09,418.09,418.09,418.09,833
9-Feb-17,408.22,409.90,404.48,409.90,3970
8-Feb-17,413.89,413.89,411.40,411.40,1432
7-Feb-17,421.00,421.00,412.00,416.60,8952
6-Feb-17,424.01,424.01,416.00,418.90,14495
3-Feb-17,425.01,425.99,421.11,424.39,6140
2-Feb-17,416.46,422.10,416.46,419.98,4427
1-Feb-17,421.02,423.54,413.00,413.00,2185
31-Jan-17,421.60,422.91,418.47,422.81,4865
30-Jan-17,429.66,429.66,422.11,422.36,1779
27-Jan-17,428.69,428.69,426.40,426.40,1456
26-Jan-17,436.85,436.85,429.70,429.70,3042
25-Jan-17,440.70,441.00,440.55,440.94,5120
24-Jan-17,439.99,441.00,439.27,440.80,7101
23-Jan-17,440.98,441.00,435.72,438.57,3093
20-Jan-17,435.94,439.85,435.94,436.83,2722
19-Jan-17,438.64,438.64,436.00,436.00,2572
18-Jan-17,438.48,438.74,436.76,438.74,2718
17-Jan-17,440.00,441.01,438.01,438.01,5398
13-Jan-17,432.12,437.40,429.54,437.40,6787
12-Jan-17,434.00,434.00,426.90,427.61,5655
11-Jan-17,428.80,434.99,428.04,434.99,4991
10-Jan-17,431.00,431.47,425.97,428.86,10936
9-Jan-17,432.02,433.50,427.99,432.88,9981
6-Jan-17,438.00,438.00,432.21,435.73,18705
5-Jan-17,439.79,439.79,428.41,436.86,10579
4-Jan-17,422.99,440.58,422.85,438.80,10779
3-Jan-17,424.98,427.17,415.00,421.64,15717
30-Dec-16,424.95,428.08,424.39,426.87,7858
29-Dec-16,420.50,425.00,419.46,424.93,6435
28-Dec-16,429.80,433.76,413.55,420.63,16064
27-Dec-16,427.28,432.02,427.28,432.02,3343
23-Dec-16,428.79,428.79,428.79,428.79,1488
22-Dec-16,432.94,432.94,421.15,427.93,7052
21-Dec-16,436.65,440.69,432.00,432.00,5306
20-Dec-16,430.33,436.05,430.33,434.50,4137
19-Dec-16,432.60,433.56,427.50,433.56,4411
16-Dec-16,435.41,436.98,422.80,432.48,26971
15-Dec-16,437.26,441.00,430.54,432.81,10176
14-Dec-16,440.00,441.00,435.59,437.70,6200
13-Dec-16,445.00,451.99,440.00,442.43,9734
12-Dec-16,440.74,443.49,438.10,442.30,4502
9-Dec-16,441.00,441.10,439.00,441.00,7378
8-Dec-16,437.00,443.25,437.00,440.00,6772
7-Dec-16,434.45,437.72,431.91,436.15,6057
6-Dec-16,421.59,435.00,421.59,435.00,11105
5-Dec-16,418.00,424.73,416.00,421.94,7195
2-Dec-16,413.98,419.98,411.45,417.00,12803
1-Dec-16,426.73,429.99,409.01,412.59,8863
30-Nov-16,426.38,434.66,425.14,427.70,17839
29-Nov-16,425.98,428.76,422.50,425.19,3594
28-Nov-16,421.21,430.00,421.21,427.06,5829
25-Nov-16,421.93,425.63,419.19,425.63,1064
23-Nov-16,409.13,421.93,409.13,421.93,5476
22-Nov-16,410.00,413.95,405.62,413.69,8696
21-Nov-16,408.92,416.35,401.00,408.33,6294
18-Nov-16,406.59,415.20,401.93,409.88,25301
17-Nov-16,406.99,410.00,397.20,408.88,12417
16-Nov-16,405.31,416.09,396.20,403.75,25843
15-Nov-16,425.00,428.20,396.00,408.52,26714
14-Nov-16,426.05,430.50,421.98,425.61,20796
11-Nov-16,402.00,424.87,400.06,424.78,21413
10-Nov-16,387.00,405.02,385.98,402.56,17588
9-Nov-16,377.40,385.71,377.40,385.50,4826
8-Nov-16,381.71,384.69,373.37,378.78,5985
7-Nov-16,380.23,384.30,375.20,383.00,9025
4-Nov-16,370.64,378.65,370.64,378.65,4153
3-Nov-16,377.54,377.54,369.33,370.45,5070
2-Nov-16,384.03,384.03,379.00,379.06,5247
1-Nov-16,389.73,389.73,384.29,384.59,2755
31-Oct-16,385.40,385.40,383.01,384.27,5544
28-Oct-16,383.52,385.39,381.20,385.39,6067
27-Oct-16,385.27,387.89,383.48,383.55,2887
26-Oct-16,396.10,396.10,386.07,386.07,5274
25-Oct-16,396.49,405.75,395.52,398.37,7424
24-Oct-16,390.34,399.63,390.34,399.40,4412
21-Oct-16,385.38,387.60,385.38,386.80,1340
20-Oct-16,387.99,387.99,387.79,387.94,1161
19-Oct-16,387.75,388.50,386.18,387.99,5834
18-Oct-16,390.09,390.09,386.50,388.98,4616
17-Oct-16,378.80,388.02,378.80,386.44,8782
14-Oct-16,384.68,384.68,376.55,380.03,12260
13-Oct-16,383.60,386.00,382.00,383.60,6161
12-Oct-16,386.99,387.22,383.78,386.36,8032
11-Oct-16,390.00,390.14,385.00,386.90,9665
10-Oct-16,399.48,403.95,389.99,391.85,17292
7-Oct-16,409.46,409.46,391.50,397.24,24921
6-Oct-16,413.98,413.98,406.98,409.99,7265
5-Oct-16,414.97,415.84,412.76,412.79,9613
4-Oct-16,416.09,416.09,412.76,415.97,2973
3-Oct-16,419.40,419.83,413.00,417.70,4304
30-Sep-16,423.00,424.00,418.31,419.60,6076
29-Sep-16,425.74,426.49,422.57,422.57,2802
28-Sep-16,427.62,427.88,423.52,426.41,3790
27-Sep-16,425.93,425.93,423.96,423.96,3655
26-Sep-16,426.67,426.75,423.90,425.90,5718
23-Sep-16,425.21,427.86,424.96,425.00,5637
22-Sep-16,425.09,430.85,424.06,429.44,5679
21-Sep-16,419.99,426.51,417.00,421.92,4197
20-Sep-16,421.79,421.79,417.05,419.02,2477
19-Sep-16,416.54,418.00,415.19,417.99,6509
16-Sep-16,420.48,420.48,415.79,418.00,19651
15-Sep-16,417.61,421.15,415.14,418.90,5897
14-Sep-16,421.11,423.05,416.00,418.82,19991
13-Sep-16,428.23,428.23,420.88,420.88,8652
12-Sep-16,423.88,433.96,422.83,430.24,15558
9-Sep-16,437.98,437.98,423.08,425.53,5133
8-Sep-16,436.48,437.93,434.51,437.83,2827
7-Sep-16,431.12,438.72,430.00,438.04,15612
6-Sep-16,435.05,435.05,427.61,434.17,6825
2-Sep-16,427.53,432.10,427.53,431.14,2547
1-Sep-16,428.18,428.50,424.82,426.85,5293
31-Aug-16,433.25,434.90,429.17,430.01,7533
30-Aug-16,433.51,434.02,432.00,434.02,3538
29-Aug-16,434.01,437.93,434.01,437.20,2663
26-Aug-16,433.03,436.77,432.30,436.75,2396
25-Aug-16,435.92,436.46,434.00,435.08,2979
24-Aug-16,432.02,432.02,429.70,431.15,4600
23-Aug-16,430.92,434.81,430.92,432.18,4268
22-Aug-16,432.35,434.99,432.35,434.67,2063
19-Aug-16,431.91,434.02,431.32,431.85,5473
18-Aug-16,428.87,434.99,425.30,433.60,3026
17-Aug-16,436.01,436.01,429.11,430.53,5126
16-Aug-16,443.50,443.50,437.67,439.32,2394
15-Aug-16,443.92,443.92,441.67,441.67,1726
12-Aug-16,440.21,442.00,436.90,441.00,5559
11-Aug-16,444.27,447.99,435.47,442.51,12569
10-Aug-16,449.40,449.48,447.34,447.34,4329
9-Aug-16,446.47,448.38,443.51,446.80,10283
8-Aug-16,444.45,448.00,441.45,446.48,3952
5-Aug-16,445.29,450.04,444.00,446.19,7994
4-Aug-16,441.13,446.38,436.19,446.32,9479
3-Aug-16,430.01,441.28,430.00,438.97,14434
2-Aug-16,427.44,435.00,427.44,428.02,8207
1-Aug-16,430.85,432.76,428.05,428.05,4227
29-Jul-16,430.24,433.99,422.54,429.27,9460
28-Jul-16,435.00,435.00,430.02,434.19,6834
27-Jul-16,434.98,434.98,425.87,434.50,5549
26-Jul-16,432.10,433.03,430.66,432.74,5027
25-Jul-16,429.53,432.50,429.53,430.34,4845
22-Jul-16,434.58,434.99,430.00,432.10,5435
21-Jul-16,434.20,440.42,430.00,432.99,13938
20-Jul-16,423.70,434.57,423.70,433.99,7178
19-Jul-16,419.60,422.85,419.60,420.45,4818
18-Jul-16,420.60,423.99,420.60,421.27,3715
15-Jul-16,423.44,423.44,415.57,421.80,2545
14-Jul-16,421.48,425.97,419.39,423.43,11023
13-Jul-16,423.01,423.01,412.60,421.20,7429
12-Jul-16,414.41,423.47,414.41,423.00,3226
11-Jul-16,422.06,428.13,410.39,414.41,7687
8-Jul-16,413.85,425.15,413.85,419.98,10268
7-Jul-16,414.96,420.53,414.96,419.99,2566
6-Jul-16,409.21,418.01,409.21,415.59,5924
5-Jul-16,405.14,415.24,405.14,410.21,3776
1-Jul-16,407.00,409.23,406.27,409.23,2093
30-Jun-16,399.71,411.53,399.71,409.23,7411
29-Jun-16,391.61,395.69,391.61,395.05,5855
28-Jun-16,383.95,386.42,382.41,384.71,3642
27-Jun-16,367.10,375.47,367.10,371.72,7424
24-Jun-16,365.40,369.54,364.75,367.55,13241
23-Jun-16,367.16,370.26,367.16,368.32,4902
22-Jun-16,371.99,371.99,366.16,366.16,2248
21-Jun-16,370.55,370.55,365.35,365.35,2579
20-Jun-16,366.89,369.00,366.60,366.60,3506
17-Jun-16,368.28,368.58,364.38,364.38,12700
16-Jun-16,370.36,370.36,367.11,368.10,1286
15-Jun-16,371.78,371.78,368.00,368.00,2838
14-Jun-16,368.29,368.85,367.77,368.29,2885
13-Jun-16,366.70,375.14,365.77,365.77,1752
10-Jun-16,373.39,373.53,365.96,368.02,6022
9-Jun-16,370.62,370.62,366.87,366.87,3048
8-Jun-16,370.74,370.95,369.62,370.95,2181
7-Jun-16,371.20,373.05,368.71,368.71,4435
6-Jun-16,372.74,372.74,368.32,368.32,7384
3-Jun-16,370.96,371.99,369.42,370.92,4081
2-Jun-16,370.00,373.75,368.83,372.00,8986
1-Jun-16,368.21,370.26,364.01,370.00,4613
31-May-16,366.35,366.35,366.35,366.35,3693
27-May-16,368.00,370.26,366.83,370.26,2208
26-May-16,369.00,370.00,366.83,366.90,1360
25-May-16,370.01,372.00,367.56,367.60,2089
24-May-16,366.12,374.50,366.12,373.00,2043
23-May-16,365.27,365.27,365.27,365.27,650
20-May-16,368.20,369.58,367.41,368.72,2980
19-May-16,371.49,371.49,370.00,370.98,6796
18-May-16,375.13,375.77,371.56,371.56,2536
17-May-16,379.61,382.94,378.61,380.11,2820
16-May-16,387.44,387.69,387.44,387.69,1228
13-May-16,375.03,382.16,375.03,382.00,2037
12-May-16,383.75,385.53,382.37,382.76,2892
11-May-16,386.60,386.60,382.00,382.00,2668
10-May-16,387.00,392.20,386.60,386.60,7006
9-May-16,387.00,388.99,386.24,388.99,14978
6-May-16,386.22,386.22,386.22,386.22,840
5-May-16,390.22,390.22,390.22,390.22,900
4-May-16,390.00,390.20,387.00,390.00,7865
3-May-16,391.01,393.20,390.00,392.01,2595
2-May-16,392.28,392.28,382.38,387.98,7150
29-Apr-16,386.50,387.00,382.67,382.67,2939
28-Apr-16,387.68,389.79,385.46,385.46,1614
27-Apr-16,382.00,389.99,382.00,388.43,3233
26-Apr-16,385.00,386.35,381.88,381.88,6428
25-Apr-16,384.94,388.09,384.94,385.02,5372
22-Apr-16,378.01,386.58,378.01,386.58,2158
21-Apr-16,385.72,385.72,379.35,384.06,2565
20-Apr-16,392.10,392.10,387.50,387.50,1284
19-Apr-16,392.41,393.16,391.27,391.27,2595
18-Apr-16,383.74,389.99,383.74,387.93,3693
15-Apr-16,378.98,384.41,378.00,381.20,4692
14-Apr-16,377.00,378.97,377.00,378.97,1832
13-Apr-16,379.98,380.00,373.00,377.75,16138
12-Apr-16,378.00,379.05,377.22,378.00,5202
11-Apr-16,377.00,378.25,375.57,377.61,4282
8-Apr-16,376.99,379.82,376.76,377.38,6553
7-Apr-16,375.35,376.95,375.35,376.95,2230
6-Apr-16,382.02,382.57,379.57,380.28,13163
5-Apr-16,377.53,379.23,377.00,379.23,2756
4-Apr-16,381.00,381.00,378.37,379.45,5229
